"","IE_6_6.1","IE_6_6.2","IE_6_6.3","IE_6_6.4","IE_6_6.5","IE_6_6.6","IE_6_6.7","IE_6_6.8","IE_6_6.9","IE_6_6.10","IE_6_6.11","IE_6_6.12","IE_6_6.13","IE_6_6.14","IE_6_6.15","IE_6_6.16","IE_6_6.17","IE_6_6.18"
"NÚMERO SECUENCIAL",2338601,2338615,2338616,2338617,2338618,2338619,2338620,2338621,2338622,2338623,2338624,2339069,2338625,2338626,2338627,2338628,2338629,2338630
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACION SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACIÓN SEGUN PDE"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"DIC 2004",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
