"","IE_6_5.1","IE_6_5.2","IE_6_5.3","IE_6_5.4","IE_6_5.5","IE_6_5.6","IE_6_5.7","IE_6_5.8","IE_6_5.9","IE_6_5.10","IE_6_5.11","IE_6_5.12","IE_6_5.13","IE_6_5.14","IE_6_5.15"
"NÚMERO SECUENCIAL",2332388,2332389,2332384,2332385,2332386,2332387,2332393,2332390,2332391,2332392,2358669,458055,2150984,2150985,2350606
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL PASIVOS EN MONEDA EXTRANJERA","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.PRESTAMOS A LARGO PLAZO.BANCO DE ESPAÑA","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.OTROS PASIVOS MATERIALIZADOS EN INSTRUMENTOS DE MERCADO","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL PASIVOS EN PODER DE SECTORES RESIDENTES","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL PASIVOS EN PODER DE AAPP.","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL PASIVOS EN PODER DE OTROS SECTORES RESIDENTES","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL PASIVOS EN PODER DEL RESTO DEL MUNDO","SEC2010.AAPP.ESTADO.OP FINANCIERAS.ACTIVOS.SALDOS.DEPOSITOS.DEPOSITOS EN EL BANCO DE ESPAÑA INCLUYENDO SUBASTAS DE LIQUIDEZ DEL TESORO","PRO MEMORIA: AVALES PRESTADOS (SALDO VIVO)","PRO MEMORIA: AVALES PRESTADOS CONCEDIDOS A OTRAS ADMINISTRACIONES PUBLICAS (SALDO VIVO)","PRO MEMORIA: AVALES PRESTADOS CONCEDIDOS AL FEEF (SALDO VIVO)","PRO MEMORIA: AVALES PRESTADOS CONCEDIDOS A ENTIDADES DE CREDITO (SALDO VIVO)"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"DIC 1991","_","_","_","_","_","_","_","_","_","_","_",6805861,"_","_","_"
"ENE 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1992","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1992","_","_","_","_","_","_","_","_","_","_","_",5824408,"_","_","_"
"ENE 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1993","_","_","_","_","_","_","_","_","_","_","_",5233614,"_","_","_"
"ENE 1994","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1994","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1994","_","_","_","_","_","_","_","_","_","_","_",4879617,"_","_","_"
"ABR 1994","_","_","_","_","_","_","_","_","_","_","_",4957749,"_","_","_"
"MAY 1994","_","_","_","_","_","_","_","_","_","_","_",4957749,"_","_","_"
"JUN 1994","_","_","_","_","_","_","_","_","_","_","_",4830334,"_","_","_"
"JUL 1994","_","_","_","_","_","_","_","_","_","_","_",4238939,"_","_","_"
"AGO 1994","_","_","_","_","_","_","_","_","_","_","_",4247954,"_","_","_"
"SEP 1994","_","_","_","_","_","_","_","_","_","_","_",4299641,"_","_","_"
"OCT 1994","_","_","_","_","_","_","_","_","_","_","_",4241944,"_","_","_"
"NOV 1994","_","_","_","_","_","_","_","_","_","_","_",4247954,"_","_","_"
"DIC 1994",207140004,"_","_","_","_","_","_","_","_","_","_",4494369,"_","_","_"
"ENE 1995",207914574,22573964,66848404,109015833,11286515,20763822,163555839,408093,163147745,44358735,7950860,3508709,"_","_","_"
"FEB 1995",214231993,22488994,72417264,109830096,11286515,20698118,170570100,408093,170162006,43661893,15121533,3503900,"_","_","_"
"MAR 1995",214800872,24780166,69191592,113321150,11286515,21001616,172763187,408093,172355094,42037685,8972796,3544769,"_","_","_"
"ABR 1995",213797676,23905182,68622752,113345592,11286515,20542816,172701679,408093,172293586,41095997,9017172,3514719,"_","_","_"
"MAY 1995",216018532,23268746,68966928,115026816,11286515,20738272,171494522,408093,171086429,44524009,6703002,3488274,"_","_","_"
"JUN 1995",224778706,22970002,73896504,119103237,11286515,20492450,177592008,408093,177183915,47186698,12817326,3420961,"_","_","_"
"JUL 1995",226927351,21466558,77054608,118916673,11286515,19669554,178898361,408093,178490268,48028989,14655359,2727994,"_","_","_"
"AGO 1995",229618668,21303402,76779304,121844801,11286515,19708048,183360551,408093,182952458,46258117,12479781,2759247,"_","_","_"
"SEP 1995",231338871,19593618,76448704,125633612,11286515,17970040,183724849,408093,183316756,47614022,11860752,6222279,"_","_","_"
"OCT 1995",229256122,19565358,72441696,127627174,11286508,17900744,181275281,408093,180867188,47980842,12438619,6222279,"_","_","_"
"NOV 1995",229866200,19353790,70528296,130241932,11286515,17809456,179293956,408093,178885863,50572244,10837552,6212061,"_","_","_"
"DIC 1995",233138691,19361946,71106456,132811078,11050206,18170952,180407777,384654,180023123,52730914,9379379,6059000,"_","_","_"
"ENE 1996",237968295,19073436,70631464,135856322,11050206,20430304,179249845,384654,178865191,58718451,12552013,3661366,"_","_","_"
"FEB 1996",239396255,19044888,68913032,139074616,11050206,20358400,184224818,384654,183840164,55171436,13831378,3667977,"_","_","_"
"MAR 1996",242015476,18963566,69224944,141433645,11050206,20306680,187892950,384654,187508296,54122525,12094378,3660164,"_","_","_"
"ABR 1996",242379092,18987960,71386152,139850697,11050206,20092036,189424724,384654,189040070,52954368,13295221,3657159,"_","_","_"
"MAY 1996",241873164,18106768,69687952,141102740,11050206,20032266,190438327,384654,190053673,51434837,9462889,4138569,"_","_","_"
"JUN 1996",243574490,18028534,69488104,143157368,11050206,19878812,190786439,384654,190401785,52788051,10392908,8443619,"_","_","_"
"JUL 1996",245412613,19149054,69867840,144784352,11050206,19710214,192678372,384654,192293718,52734241,13030021,7523469,"_","_","_"
"AGO 1996",243098839,21797006,66360968,143120410,11050206,22567254,194752117,384654,194367463,48346722,5577860,7474186,"_","_","_"
"SEP 1996",250097682,19911962,72476720,146935071,11050206,19635684,197171216,384654,196786562,52926465,11568635,7456156,"_","_","_"
"OCT 1996",255407301,19800438,74392688,150453575,11050206,19510832,200873611,384654,200488957,54533691,15785905,7619632,"_","_","_"
"NOV 1996",257734964,20344918,77513584,149728454,11050206,19442720,200450127,384654,200065473,57284837,21378880,7673723,"_","_","_"
"DIC 1996",264500607,20433648,81144264,152770541,10813896,19771906,210497346,528896,209968450,54003261,15194776,8185000,"_","_","_"
"ENE 1997",265872037,21507160,81064368,154432876,10813896,19560896,211896111,528890,211367221,53975926,14756780,8242280,"_","_","_"
"FEB 1997",261005989,21566564,79096488,151749587,10813896,19346018,212974073,528884,212445190,48031916,11846627,8271730,"_","_","_"
"MAR 1997",263713602,21103200,79446752,154511470,10813896,18941484,216655406,528878,216126528,47058196,10731079,8033128,"_","_","_"
"ABR 1997",268153404,22110334,77719568,160705990,10813896,18913950,219017499,528878,218488621,49135905,17498962,8016900,"_","_","_"
"MAY 1997",276207236,22521702,76552184,170024644,10813896,18816512,221794334,528872,221265462,54412902,21906538,7987451,"_","_","_"
"JUN 1997",268995069,22656894,71650080,172873261,10813896,13657832,213817728,528866,213288862,55177341,13087016,7917734,"_","_","_"
"JUL 1997",270120372,24149166,66779084,179118820,10813896,13408572,212372617,528860,211843757,57747756,14835582,7613020,"_","_","_"
"AGO 1997",273977196,23965304,65807584,185213503,10813896,12142213,217230695,528854,216701842,56746500,16846898,7590783,"_","_","_"
"SEP 1997",273029445,23803956,56645560,193579891,10813896,11990098,211613224,528848,211084376,61416220,13027346,7579363,"_","_","_"
"OCT 1997",274087776,23614908,50096784,201205812,10813896,11971284,214493220,528842,213964378,59594556,16238852,7537293,"_","_","_"
"NOV 1997",272797614,23405346,44774492,205868203,10813896,11341023,212473329,528836,211944493,60324285,13503012,7549313,"_","_","_"
"DIC 1997",274621204,23270120,42350060,210390252,10577586,11303306,211537957,444755,211093202,63083247,9829287,7251000,"_","_","_"
"ENE 1998",279674794,23489262,40986772,217032955,10577586,11077482,215622913,444749,215178164,64051882,14941273,7221000,"_","_","_"
"FEB 1998",283561530,23373784,39807392,222516695,10577586,10659857,220315896,444749,219871147,63245635,21403088,7227000,"_","_","_"
"MAR 1998",284950947,24254960,36168216,228169005,10577586,10036140,225187594,444743,224742851,59763353,17016334,7190000,"_","_","_"
"ABR 1998",284162414,24051324,30495402,233698163,10577586,9391263,225625426,444737,225180689,58536988,19569144,7138000,"_","_","_"
"MAY 1998",285067561,23945384,27704430,237431998,10577586,9353547,224894753,444737,224450016,60172808,17656962,7112000,"_","_","_"
"JUN 1998",289358480,25052514,25272360,244246022,10577586,9262512,224333798,444731,223889067,65024682,20274900,7173000,"_","_","_"
