"","IE_7_8.1","IE_7_8.2","IE_7_8.3","IE_7_8.4","IE_7_8.5","IE_7_8.6","IE_7_8.7"
"NÚMERO SECUENCIAL",699644,2418519,699648,699649,699650,2418554,252356
"DESCRIPCIÓN DE LA SERIE","Activos de reserva. ","Activos de reserva. Divisas convertibles ","Activos de reserva. Posicion de reserva en el FMI ","Activos de reserva. Deg ","Activos de reserva. Oro monetario","Otros activos de Reserva","PII. Activos de reserva. Oro en miles de onzas troy  "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Onzas troy"
"MAR 2010",20918295,9103173,660835,3332278,7452431,369578,9054
"ABR 2010",21656683,9252459,643509,3352124,8034189,374402,9054
"MAY 2010",23869624,10050664,1078461,3508993,8838551,392956,9054
"JUN 2010",24352721,10143591,1091427,3537204,9168733,411767,9054
"JUL 2010",22626232,9619289,1055283,3412383,8129525,409751,9054
"AGO 2010",23716634,9932314,1018139,3465541,8864508,436132,9054
"SEP 2010",22641455,9211353,994839,3320453,8696851,417959,9054
"OCT 2010",22754020,9279576,990223,3301760,8766366,416095,9054
"NOV 2010",24351091,9848397,1024323,3416008,9631560,430803,9054
"DIC 2010",23905012,9563598,994991,3396277,9555491,394655,9054
"ENE 2011",23033892,9380734,1157968,3345167,8761902,388122,9054
"FEB 2011",23409693,9309778,1040036,3322335,9235006,502539,9054
"MAR 2011",23158906,9057469,1643015,2957169,9119389,381864,9054
"ABR 2011",22964830,8728768,1606421,2891385,9364836,373419,9054
"MAY 2011",23734244,9064590,1675737,2943190,9663791,386936,9054
"JUN 2011",23470901,9043716,1667249,2937505,9446519,375911,9054
"JUL 2011",25955253,10527973,1809495,2979019,10258894,379872,9054
"AGO 2011",27004125,10500235,1795695,2957785,11372840,377570,9054
"SEP 2011",27565618,11226260,1952729,3071897,10922434,392297,9054
"OCT 2011",28196875,11739780,1913184,3009732,11149647,384532,9054
"NOV 2011",33156954,16000611,1951822,3071752,11739952,392818,9054
"DIC 2011",36402430,19578282,2250748,3162599,11017182,393619,9054
"ENE 2012",37016652,19230624,2232932,3139232,12024783,389082,9054
"FEB 2012",36582496,18859056,2304880,3086507,11949247,382807,9054
"MAR 2012",35976901,18927953,2311528,3095429,11257876,384115,9054
"ABR 2012",36540488,19319788,2402358,3129706,11300075,388561,9054
"MAY 2012",38439900,20904250,2492379,3247670,11392134,403467,9054
"JUN 2012",41429841,24019381,2508316,3225787,11286621,389734,9054
"JUL 2012",40879027,22675495,2560155,3287194,11960564,395618,9054
"AGO 2012",40184325,22070419,2619421,3231650,11874536,388299,9054
"SEP 2012",40193483,21564147,2582578,3194916,12470788,381055,9054
"OCT 2012",39492067,21438505,2490585,3175298,12002311,385367,9054
"NOV 2012",39463017,21410445,2479244,3165664,12011356,396308,9054
