"","IE_7_8.1","IE_7_8.2","IE_7_8.3","IE_7_8.4","IE_7_8.5","IE_7_8.6","IE_7_8.7"
"NÚMERO SECUENCIAL",699644,2418519,699648,699649,699650,2418554,252356
"DESCRIPCIÓN DE LA SERIE","Activos de reserva. ","Activos de reserva. Divisas convertibles ","Activos de reserva. Posicion de reserva en el FMI ","Activos de reserva. Deg ","Activos de reserva. Oro monetario","Otros activos de Reserva","PII. Activos de reserva. Oro en miles de onzas troy  "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Onzas troy"
"AGO 1977","_","_","_","_","_","_",14352
"SEP 1977","_","_","_","_","_","_",14352
"OCT 1977","_","_","_","_","_","_",14352
"NOV 1977","_","_","_","_","_","_",14352
"DIC 1977","_","_","_","_","_","_",14437
"ENE 1978","_","_","_","_","_","_",14437
"FEB 1978","_","_","_","_","_","_",14437
"MAR 1978","_","_","_","_","_","_",14437
"ABR 1978","_","_","_","_","_","_",14437
"MAY 1978","_","_","_","_","_","_",14437
"JUN 1978","_","_","_","_","_","_",14437
"JUL 1978","_","_","_","_","_","_",14437
"AGO 1978","_","_","_","_","_","_",14437
"SEP 1978","_","_","_","_","_","_",14437
"OCT 1978","_","_","_","_","_","_",14437
"NOV 1978","_","_","_","_","_","_",14437
"DIC 1978","_","_","_","_","_","_",14521
"ENE 1979","_","_","_","_","_","_",14521
"FEB 1979","_","_","_","_","_","_",14521
"MAR 1979","_","_","_","_","_","_",14521
"ABR 1979","_","_","_","_","_","_",14521
"MAY 1979","_","_","_","_","_","_",14521
"JUN 1979","_","_","_","_","_","_",14521
"JUL 1979","_","_","_","_","_","_",14521
"AGO 1979","_","_","_","_","_","_",14521
"SEP 1979","_","_","_","_","_","_",14521
"OCT 1979","_","_","_","_","_","_",14521
"NOV 1979","_","_","_","_","_","_",14521
"DIC 1979","_","_","_","_","_","_",14606
"ENE 1980","_","_","_","_","_","_",14606
"FEB 1980","_","_","_","_","_","_",14606
"MAR 1980","_","_","_","_","_","_",14606
"ABR 1980","_","_","_","_","_","_",14606
"MAY 1980","_","_","_","_","_","_",14606
"JUN 1980","_","_","_","_","_","_",14606
"JUL 1980","_","_","_","_","_","_",14606
"AGO 1980","_","_","_","_","_","_",14606
"SEP 1980","_","_","_","_","_","_",14606
"OCT 1980","_","_","_","_","_","_",14606
"NOV 1980","_","_","_","_","_","_",14606
"DIC 1980","_","_","_","_","_","_",14606
"ENE 1981","_","_","_","_","_","_",14606
"FEB 1981","_","_","_","_","_","_",14606
"MAR 1981","_","_","_","_","_","_",14606
"ABR 1981","_","_","_","_","_","_",14606
"MAY 1981","_","_","_","_","_","_",14606
"JUN 1981","_","_","_","_","_","_",14606
"JUL 1981","_","_","_","_","_","_",14606
"AGO 1981","_","_","_","_","_","_",14606
"SEP 1981","_","_","_","_","_","_",14606
"OCT 1981","_","_","_","_","_","_",14606
"NOV 1981","_","_","_","_","_","_",14606
"DIC 1981","_","_","_","_","_","_",14606
"ENE 1982","_","_","_","_","_","_",14606
"FEB 1982","_","_","_","_","_","_",14606
"MAR 1982","_","_","_","_","_","_",14606
"ABR 1982","_","_","_","_","_","_",14606
"MAY 1982","_","_","_","_","_","_",14606
"JUN 1982","_","_","_","_","_","_",14606
"JUL 1982","_","_","_","_","_","_",14606
"AGO 1982","_","_","_","_","_","_",14606
"SEP 1982","_","_","_","_","_","_",14606
"OCT 1982","_","_","_","_","_","_",14606
"NOV 1982","_","_","_","_","_","_",14606
"DIC 1982","_","_","_","_","_","_",14606
"ENE 1983","_","_","_","_","_","_",14606
"FEB 1983","_","_","_","_","_","_",14606
"MAR 1983","_","_","_","_","_","_",14606
"ABR 1983","_","_","_","_","_","_",14606
"MAY 1983","_","_","_","_","_","_",14606
"JUN 1983","_","_","_","_","_","_",14606
"JUL 1983","_","_","_","_","_","_",14606
"AGO 1983","_","_","_","_","_","_",14606
"SEP 1983","_","_","_","_","_","_",14606
"OCT 1983","_","_","_","_","_","_",14606
"NOV 1983","_","_","_","_","_","_",14606
"DIC 1983","_","_","_","_","_","_",14606
"ENE 1984","_","_","_","_","_","_",14606
"FEB 1984","_","_","_","_","_","_",14606
"MAR 1984","_","_","_","_","_","_",14606
"ABR 1984","_","_","_","_","_","_",14606
"MAY 1984","_","_","_","_","_","_",14606
"JUN 1984","_","_","_","_","_","_",14606
"JUL 1984","_","_","_","_","_","_",14606
"AGO 1984","_","_","_","_","_","_",14606
"SEP 1984","_","_","_","_","_","_",14614
"OCT 1984","_","_","_","_","_","_",14615
"NOV 1984","_","_","_","_","_","_",14615
"DIC 1984","_","_","_","_","_","_",14627
"ENE 1985","_","_","_","_","_","_",14627
"FEB 1985","_","_","_","_","_","_",14627
"MAR 1985","_","_","_","_","_","_",14627
"ABR 1985","_","_","_","_","_","_",14627
"MAY 1985","_","_","_","_","_","_",14627
"JUN 1985","_","_","_","_","_","_",14627
"JUL 1985","_","_","_","_","_","_",14627
"AGO 1985","_","_","_","_","_","_",14627
"SEP 1985","_","_","_","_","_","_",14627
"OCT 1985","_","_","_","_","_","_",14648
"NOV 1985","_","_","_","_","_","_",14648
"DIC 1985","_","_","_","_","_","_",14654
"ENE 1986","_","_","_","_","_","_",14676
"FEB 1986","_","_","_","_","_","_",14682
"MAR 1986","_","_","_","_","_","_",14682
"ABR 1986","_","_","_","_","_","_",14682
"MAY 1986","_","_","_","_","_","_",14686
"JUN 1986","_","_","_","_","_","_",14694
"JUL 1986","_","_","_","_","_","_",14694
"AGO 1986","_","_","_","_","_","_",14706
"SEP 1986","_","_","_","_","_","_",14733
"OCT 1986","_","_","_","_","_","_",14783
"NOV 1986","_","_","_","_","_","_",14814
"DIC 1986","_","_","_","_","_","_",14821
"ENE 1987",12000246,9423137,391037,337120,1771628,"_",14822
"FEB 1987",12389185,9778202,418917,342174,1772565,"_",14825
"MAR 1987",12850642,10226786,419116,351706,1775708,"_",14836
"ABR 1987",13954708,11325184,419116,351706,1781376,"_",14857
"MAY 1987",14828495,12100988,484199,383698,1782283,"_",14861
"JUN 1987",16070397,13322155,503546,383824,1783546,"_",14866
"JUL 1987",18920162,16535123,504778,389786,1413148,"_",11901
"AGO 1987",20052571,17660771,504814,396091,1413569,"_",11902
"SEP 1987",21415450,19022899,504814,396091,1414320,"_",11906
"OCT 1987",21611356,19215307,504808,396085,1417830,"_",11920
"NOV 1987",21108555,18664100,547011,402287,1417830,"_",11920
"DIC 1987",21715475,19006852,510115,387370,1716941,"_",11920
"ENE 1988",22930301,19795001,500751,387370,2152982,"_",13338
"FEB 1988",23701537,20334632,509526,394480,2368703,"_",14576
"MAR 1988",24094395,20662339,574423,394733,2368703,"_",14576
"ABR 1988",24642091,21300608,574147,394733,2278407,"_",14044
"MAY 1988",25237244,21880567,582621,401452,2278407,"_",14044
"JUN 1988",26675339,23217837,682269,402630,2278407,"_",14044
"JUL 1988",26782307,23331308,675766,402630,2278407,"_",14044
"AGO 1988",27799983,24319943,695527,411910,2278407,"_",14044
"SEP 1988",27178290,23669431,736318,412841,2265503,"_",14044
"OCT 1988",27212386,23871341,736318,412841,2097689,"_",14044
"NOV 1988",27343472,23992716,734365,424507,2097689,"_",14044
"DIC 1988",27659082,24324096,721233,419182,2097689,"_",14044
"ENE 1989",28836525,25071322,706850,419188,2542281,"_",15651
"FEB 1989",28426851,24506220,715890,432086,2675772,"_",16131
"MAR 1989",28506365,24580409,721136,432068,2675868,"_",16131
"ABR 1989",29690689,25784195,766897,432008,2610707,"_",15714
"MAY 1989",31317419,27420708,742827,446294,2610707,"_",15714
"JUN 1989",31593511,27619818,818464,447466,2610881,"_",15715
"JUL 1989",32492974,28519208,818464,447466,2610953,"_",15715
"AGO 1989",32948541,28978862,797892,463753,2611151,"_",15716
"SEP 1989",32891115,29364730,776099,461391,2192011,"_",15716
"OCT 1989",31405900,27891998,763568,461391,2192059,"_",15716
"NOV 1989",31302285,27711556,823946,477594,2192306,"_",15717
"DIC 1989",29635642,26094527,805687,453187,2192216,"_",15717
"ENE 1990",29211453,25686765,789411,453187,2192065,"_",15716
"FEB 1990",29454840,25920012,780583,472155,2192065,"_",15716
"MAR 1990",29396740,25878939,763556,472155,2192065,"_",15716
"ABR 1990",29622137,26125377,742514,472155,2192065,"_",15716
"MAY 1990",30013162,26485066,756007,489999,2192065,"_",15716
"JUN 1990",30250430,26715733,762702,489855,2192065,"_",15717
"JUL 1990",31796053,28291077,732910,489855,2192137,"_",15717
"AGO 1990",31721215,28203486,727056,508462,2192137,"_",15717
"SEP 1990",31846471,28328742,727056,508462,2192137,"_",15717
"OCT 1990",32214887,28694830,709056,508462,2302537,"_",15610
"NOV 1990",32672305,29135547,708359,525795,2302604,"_",15610
"DIC 1990",32032563,28677028,655885,402876,2296774,"_",15611
"ENE 1991",32629830,29235037,692041,402888,2299863,"_",15632
"FEB 1991",32868863,29508414,664846,398609,2296996,"_",15612
"MAR 1991",34179641,30853317,634837,394492,2296996,"_",15612
"ABR 1991",36280410,32958567,630083,394174,2297585,"_",15616
"MAY 1991",39155871,35820736,630480,407072,2297585,"_",15616
"JUN 1991",39292957,35957863,630480,407029,2297585,"_",15616
"JUL 1991",39723348,36475564,608531,341669,2297585,"_",15616
"AGO 1991",39984586,36823597,608994,254408,2297585,"_",15616
"SEP 1991",39834457,36793439,608994,254408,2177617,"_",15617
"OCT 1991",39389840,36363486,594076,254637,2177641,"_",15618
"NOV 1991",40129688,37085224,603326,263496,2177641,"_",15618
"DIC 1991",40355426,37306149,621765,264896,2162616,"_",15618
"ENE 1992",40243867,37194590,621765,264896,2162616,"_",15618
"FEB 1992",40918395,37879877,602905,272998,2162616,"_",15618
"MAR 1992",41824203,38768196,620124,273268,2162616,"_",15618
"ABR 1992",42634242,39578229,620130,273268,2162616,"_",15618
"MAY 1992",42921477,39874904,602304,281652,2162616,"_",15618
"JUN 1992",44139809,41091121,604408,281664,2162616,"_",15618
"JUL 1992",42635551,39590885,600411,281640,2162616,"_",15618
"AGO 1992",42066555,39027196,587339,289405,2162616,"_",15618
"SEP 1992",34676035,31757505,565426,273094,2080013,"_",15618
"OCT 1992",34300156,31383746,562728,273671,2080013,"_",15618
"NOV 1992",28804672,25912343,564410,247905,2080013,"_",15618
"DIC 1992",33565824,30622445,788883,127048,2027448,"_",15618
"ENE 1993",36341898,33426437,760977,127036,2027448,"_",15618
"FEB 1993",34684828,31763869,758922,134591,2027448,"_",15618
"MAR 1993",32791406,29870795,759709,133455,2027448,"_",15618
"ABR 1993",30000252,27079532,759806,133467,2027448,"_",15618
"MAY 1993",30481213,27570301,742184,141280,2027448,"_",15618
"JUN 1993",31757979,28856065,732832,141635,2027448,"_",15618
"JUL 1993",33609504,30709086,731336,141635,2027448,"_",15618
"AGO 1993",33227602,30338045,720475,141635,2027448,"_",15618
"SEP 1993",33105410,30187324,743692,146941,2027448,"_",15618
"OCT 1993",33414883,30496792,743698,146941,2027448,"_",15618
"NOV 1993",33489633,30587658,722945,151581,2027448,"_",15618
"DIC 1993",36843129,33747865,882731,185082,2027448,"_",15618
"ENE 1994",37480113,34384848,882731,185082,2027448,"_",15618
"FEB 1994",37368691,34275102,876324,189812,2027448,"_",15618
"MAR 1994",37113969,34025285,871419,189812,2027448,"_",15618
"ABR 1994",36660145,33538663,904241,189788,2027448,"_",15618
"MAY 1994",36317168,33202180,892749,194782,2027448,"_",15618
"JUN 1994",36254258,33139267,892749,194782,2027448,"_",15618
"JUL 1994",36509473,33375116,912312,194596,2027448,"_",15618
"AGO 1994",36633898,33494675,912180,199590,2027448,"_",15618
"SEP 1994",36442758,33332738,882977,199590,2027448,"_",15618
"OCT 1994",36694098,33566570,900779,199296,2027448,"_",15618
"NOV 1994",36431695,33309034,890592,204615,2027448,"_",15618
"DIC 1994",34707840,31600778,877917,201695,2027451,"_",15618
"ENE 1995",35566871,32459979,877744,201695,2027451,"_",15618
"FEB 1995",32741539,29429151,990141,294796,2027451,"_",15618
"MAR 1995",29045285,25732897,990141,294796,2027451,"_",15618
"ABR 1995",27546379,24166545,1057324,295059,2027451,"_",15618
"MAY 1995",27838957,24437050,1071422,303035,2027451,"_",15618
"JUN 1995",27872949,24461958,1080560,302981,2027451,"_",15618
"JUL 1995",27908076,24468066,1107226,302891,2029894,"_",15618
"AGO 1995",28009248,24534203,1133857,311296,2029894,"_",15636
"SEP 1995",28042826,24511981,1190080,310869,2029894,"_",15636
"OCT 1995",28037203,24506883,1190082,310867,2029377,"_",15632
"NOV 1995",28104670,24583256,1172330,319709,2029375,"_",15632
"DIC 1995",27263291,23778649,1155058,300209,2029375,"_",15632
"ENE 1996",28325133,24840492,1155058,300209,2029375,"_",15632
"FEB 1996",30173732,26683724,1147388,313245,2029375,"_",15632
"MAR 1996",32807598,29299415,1165536,313274,2029375,"_",15632
"ABR 1996",36361102,32852918,1165536,313274,2029375,"_",15632
"MAY 1996",38787531,35230160,1206458,321537,2029375,"_",15632
"JUN 1996",39109980,35541342,1217640,321623,2029375,"_",15632
"JUL 1996",40131098,36562459,1217640,321623,2029375,"_",15632
"AGO 1996",40438238,36855441,1222423,331001,2029375,"_",15632
"SEP 1996",41469172,37886377,1222423,331001,2029375,"_",15632
"OCT 1996",42697371,39118103,1218893,331001,2029375,"_",15632
"NOV 1996",44503258,40921653,1211337,340894,2029375,"_",15632
"DIC 1996",47658113,44016513,1256909,355312,2029383,"_",15632
"ENE 1997",50827563,47198326,1244543,355312,2029383,"_",15632
"FEB 1997",50530293,46926099,1219497,355312,2029383,"_",15632
"MAR 1997",50762219,47169784,1197179,365876,2029383,"_",15632
"ABR 1997",52350070,48757632,1197179,365876,2029383,"_",15632
"MAY 1997",52851699,49248360,1197711,376245,2029383,"_",15632
"JUN 1997",53776734,50183595,1187513,376245,2029383,"_",15632
"JUL 1997",55652859,52081678,1165554,376245,2029383,"_",15632
"AGO 1997",56693797,53110873,1166465,387078,2029383,"_",15632
"SEP 1997",57821711,54137150,1266068,389113,2029383,"_",15632
"OCT 1997",58136238,54451675,1266068,389113,2029383,"_",15632
"NOV 1997",58803188,54924471,1446351,402982,2029383,"_",15632
"DIC 1997",64174445,60016690,1735378,432479,1989899,"_",15632
"ENE 1998",64161074,60003713,1735378,432479,1989899,"_",15632
"FEB 1998",64355203,60148581,1783773,432720,1989899,"_",15632
"MAR 1998",64224949,60001951,1783919,448929,1989899,"_",15632
"ABR 1998",63444227,59221564,1783919,448929,1989871,"_",15632
"MAY 1998",63672348,59404026,1812481,466309,1989871,"_",15632
"JUN 1998",63791402,59535081,1802034,464004,1989849,"_",15632
"JUL 1998",64274609,59981725,1838688,464004,1989826,"_",15632
"AGO 1998",64157852,59846795,1838688,482106,1989941,"_",15632
"SEP 1998",62853844,58844744,1779277,461516,1768007,"_",15632
"OCT 1998",62836230,58827129,1779281,461517,1767923,"_",15631
"NOV 1998",61696457,57679406,1770974,478875,1767917,"_",15631
"DIC 1998",52095230,44913593,1876326,491520,4813792,"_",19539
"ENE 1999",48689199,42066130,1901798,498193,4223078,"_",16832
"FEB 1999",48132594,41863930,1693243,177932,4397487,"_",16832
"MAR 1999",45873535,39580745,1701003,207597,4384191,"_",16832
"ABR 1999",43181216,36624405,1792219,209392,4555200,"_",16832
"MAY 1999",38881987,32651177,1688273,222441,4320096,"_",16832
"JUN 1999",38153402,32010368,1676887,224179,4241968,"_",16831
"JUL 1999",36776862,31018617,1511949,221109,4025188,"_",16831
"AGO 1999",36831408,30970895,1561521,235849,4063143,"_",16831
"SEP 1999",35902737,29414905,1457194,236876,4793762,"_",16831
"OCT 1999",36831422,30308175,1479161,240447,4803639,"_",16831
"NOV 1999",37521615,30897414,1488901,257426,4877873,"_",16831
"DIC 1999",37287844,30639455,1516734,259040,4872615,"_",16830
"ENE 2000",39637169,32971011,1535384,262225,4868744,-196,16830
"FEB 2000",39636699,32776910,1485869,273104,5108156,-7340,16830
"MAR 2000",39763103,33202740,1422202,279839,4860566,-2243,16830
"ABR 2000",41252892,34388902,1490871,287636,5086807,-1324,16830
"MAY 2000",39709604,33177782,1347034,292686,4907724,-15621,16830
"JUN 2000",39353824,32644769,1326733,288274,5092377,1670,16830
"JUL 2000",42242895,35572551,1348923,293096,5029249,-925,16830
"AGO 2000",42392744,35516248,1343685,314169,5229151,-10510,16830
"SEP 2000",42750462,35810718,1355944,317035,5262945,3820,16830
"OCT 2000",42567634,35653111,1342940,325935,5252410,-6761,16830
"NOV 2000",40502847,33651058,1304319,328662,5201894,16914,16829
"DIC 2000",38233929,31545619,1270636,311707,4931161,174806,16829
"ENE 2001",39001328,32339046,1383311,347223,4775075,156673,16829
"FEB 2001",40438002,33706496,1337135,361194,4877502,155674,16829
"MAR 2001",41379872,34673314,1366155,369033,4936061,35309,16829
"ABR 2001",40361773,33628153,1342309,368563,4991553,31195,16829
"MAY 2001",41025148,34095468,1383580,393769,5314849,-162517,16829
"JUN 2001",40776332,33817264,1374827,391069,5356195,-163023,16829
"JUL 2001",40200380,33310276,1436242,382773,5105213,-34124,16829
"AGO 2001",39147486,32237422,1346298,384304,5036504,142959,16829
"SEP 2001",39971376,32734979,1348242,384859,5360528,142768,16829
"OCT 2001",39607605,32639163,1273268,386167,5208783,100223,16829
"NOV 2001",40895047,34082620,1253270,397252,5177363,-15458,16829
"DIC 2001",38865266,31726914,1502978,397707,5300897,-63230,16829
"ENE 2002",41531902,34272393,1517264,401487,5512603,-171845,16829
"FEB 2002",41301461,33757917,1514298,400702,5785308,-156765,16829
