"","IE_5_1.1","IE_5_1.2","IE_5_1.3","IE_5_1.4","IE_5_1.5","IE_5_1.6","IE_5_1.7","IE_5_1.8","IE_5_1.9","IE_5_1.10","IE_5_1.11","IE_5_1.12"
"NÚMERO SECUENCIAL",2113275,2114492,2113864,2114451,2114377,2114366,2114386,2114391,2114383,2114369,1745043,1745219
"DESCRIPCIÓN DE LA SERIE","IPC. General. Base 2011","IPC. General. Base 2011. Tasa de variación intermensual no anualizada","IPC. General. Tasa de variación interanual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","IPC. General. Base 2011. Tasa de variación del mes sobre diciembre del año anterior","IPC.Alimentos sin elaboración. Base 2011. Tasa de variación interanual","IPC. Alimentos con elaboración, bebidas y tabacos. Base 2011. Tasa de variación interanual","IPC. Bienes industriales sin productos energéticos. Base 2011. Tasa de variación interanual","IPC. Productos energéticos. Base 2011. Tasa de variación interanual","IPC .Servicios (con alquiler de vivienda). Base 2011. Tasa de variación interanual","IPC. General sin alimentos no elaborados ni productos energéticos. Base 2011. Tasa de variación interanual.","Precios Percibidos por los agricultores. Índice General. Base 2005=100","Precios Percibidos por los agricultores. Índice General. Tasa de variacion interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Céntimos de Base 2011 = 100","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Base 2005 = 100","Porcentaje"
"FEB 1961","_",-0.80,"_","_","_","_","_","_","_","_","_","_"
"MAR 1961","_",-0.40,"_","_","_","_","_","_","_","_","_","_"
"ABR 1961","_",0.30,"_","_","_","_","_","_","_","_","_","_"
"MAY 1961","_",-0.30,"_","_","_","_","_","_","_","_","_","_"
"JUN 1961","_",-0.50,"_","_","_","_","_","_","_","_","_","_"
"JUL 1961","_",0.00,"_","_","_","_","_","_","_","_","_","_"
"AGO 1961","_",0.20,"_","_","_","_","_","_","_","_","_","_"
"SEP 1961","_",0.10,"_","_","_","_","_","_","_","_","_","_"
"OCT 1961","_",0.40,"_","_","_","_","_","_","_","_","_","_"
"NOV 1961","_",1.60,"_","_","_","_","_","_","_","_","_","_"
"DIC 1961","_",0.20,"_","_","_","_","_","_","_","_","_","_"
"ENE 1962","_",-0.20,0.40,-0.20,"_","_","_","_","_","_","_","_"
"FEB 1962","_",0.50,1.60,0.30,"_","_","_","_","_","_","_","_"
"MAR 1962","_",0.90,3.00,1.10,"_","_","_","_","_","_","_","_"
"ABR 1962","_",1.40,4.20,2.60,"_","_","_","_","_","_","_","_"
"MAY 1962","_",1.30,5.80,3.90,"_","_","_","_","_","_","_","_"
"JUN 1962","_",0.50,6.90,4.40,"_","_","_","_","_","_","_","_"
"JUL 1962","_",0.00,6.90,4.40,"_","_","_","_","_","_","_","_"
"AGO 1962","_",-0.20,6.50,4.20,"_","_","_","_","_","_","_","_"
"SEP 1962","_",0.60,7.00,4.80,"_","_","_","_","_","_","_","_"
"OCT 1962","_",1.00,7.60,5.80,"_","_","_","_","_","_","_","_"
"NOV 1962","_",2.60,8.70,8.50,"_","_","_","_","_","_","_","_"
"DIC 1962","_",1.30,9.90,9.90,"_","_","_","_","_","_","_","_"
"ENE 1963","_",0.20,10.40,0.20,"_","_","_","_","_","_","_","_"
"FEB 1963","_",0.80,10.70,1.00,"_","_","_","_","_","_","_","_"
"MAR 1963","_",1.90,11.90,3.00,"_","_","_","_","_","_","_","_"
"ABR 1963","_",-0.10,10.30,2.90,"_","_","_","_","_","_","_","_"
"MAY 1963","_",0.60,9.50,3.50,"_","_","_","_","_","_","_","_"
"JUN 1963","_",-1.80,6.90,1.60,"_","_","_","_","_","_","_","_"
"JUL 1963","_",1.10,8.10,2.70,"_","_","_","_","_","_","_","_"
"AGO 1963","_",1.00,9.50,3.70,"_","_","_","_","_","_","_","_"
"SEP 1963","_",-0.20,8.50,3.50,"_","_","_","_","_","_","_","_"
"OCT 1963","_",0.30,7.80,3.80,"_","_","_","_","_","_","_","_"
"NOV 1963","_",1.30,6.40,5.10,"_","_","_","_","_","_","_","_"
