"","IE_8_6.1","IE_8_6.2","IE_8_6.3","IE_8_6.4","IE_8_6.5","IE_8_6.6","IE_8_6.7","IE_8_6.8","IE_8_6.9","IE_8_6.10","IE_8_6.11","IE_8_6.12","IE_8_6.13","IE_8_6.14"
"OCT 1999",302447686,5869404,19.78,222902013,17.03,12.83,20021226,"_",11.78,0.83,59524447,34.79,6.12,7124481
"NOV 1999",307373606,5056272,19.19,224274182,14.92,11.27,20654894,"_",15.81,1.09,62444530,38.91,6.83,7214488
"DIC 1999",310275188,1669713,19.23,226749832,15.32,11.64,20532304,"_",18.31,1.22,62993052,36.74,6.37,6526818
"ENE 2000",311154541,1474281,18.76,230445442,16.93,12.77,17330648,"_",-0.42,-0.03,63378451,33.53,6.02,6950146
"FEB 2000",312983593,1728656,18.53,231841621,17.66,13.21,15368936,"_",-15.37,-1.06,65773035,34.79,6.37,8057320
"MAR 2000",317253030,3237078,20.08,235474281,20.32,15.14,15478468,"_",-14.93,-1.03,66300281,32.13,5.97,8341516
"ABR 2000",326826189,9086219,20.76,242642713,21.11,15.75,15936698,"_",-14.45,-1.00,68246778,32.50,6.01,8231788
"MAY 2000",329533127,3095012,19.29,243487583,18.73,13.95,15972222,"_",-12.69,-0.84,70073322,32.73,6.18,8356341
"JUN 2000",337308444,7763316,15.34,250362001,16.56,12.19,16514512,"_",-8.81,-0.54,70431931,18.27,3.69,8832758
"JUL 2000",343778433,7398352,16.67,255243716,18.11,13.28,14947418,"_",-24.86,-1.67,73587299,25.37,5.07,9396179
"AGO 2000",344047840,-537680,17.08,253690325,18.29,13.39,14715594,"_",-25.90,-1.75,75641921,27.15,5.44,9416387
"SEP 2000",359833443,14790719,20.32,260671706,19.60,14.36,14609744,"_",-26.91,-1.80,84551993,38.79,7.77,8847957
"OCT 2000",364689770,5079235,19.79,262900824,18.28,13.47,14682814,"_",-26.66,-1.77,87106132,41.05,8.08,9498316
"NOV 2000",366321083,1937544,18.45,266192567,19.00,13.86,14354544,"_",-30.50,-2.05,85773972,32.68,6.64,8936898
"DIC 2000",370311414,4533201,19.20,270162687,19.43,14.20,14073174,"_",-31.46,-2.08,86075553,34.91,7.09,9387905
"ENE 2001",372876248,3720663,19.87,268845058,16.94,12.54,14497184,"_",-16.35,-0.91,89534006,40.45,8.24,9749960
"FEB 2001",374689115,2027856,19.85,269197587,16.38,12.13,14368494,"_",-6.51,-0.32,91123034,38.25,8.04,10439017
"MAR 2001",380085461,4259022,19.91,271731483,15.66,11.62,14331836,"_",-7.41,-0.36,94022142,41.38,8.65,10408564
"ABR 2001",388978683,10389517,19.72,276406866,14.16,10.51,14271018,"_",-10.45,-0.51,98300799,46.55,9.72,10419382
"MAY 2001",393604942,2891249,19.50,278448474,14.59,10.78,14558468,"_",-8.85,-0.43,100598001,43.01,9.15,10593621
"JUN 2001",402635758,9728216,19.63,286408742,14.62,10.85,14739904,"_",-10.75,-0.53,101487112,44.58,9.31,10422050
"JUL 2001",408505146,7069028,19.17,289501116,13.63,10.12,15229350,"_",1.89,0.08,103774680,41.88,8.96,11630726
"AGO 2001",407453294,-1378849,18.91,288099314,13.77,10.15,15475472,"_",5.16,0.22,103878509,38.82,8.53,11380676
"SEP 2001",414693794,6587597,15.80,295464424,13.54,9.81,15163342,"_",3.79,0.15,104066028,24.84,5.84,11041806
"OCT 2001",420673805,6333319,15.93,298772721,13.84,9.97,15160730,"_",3.25,0.13,106740353,24.39,5.83,11699144
"NOV 2001",427679468,7484022,17.37,304272078,14.50,10.53,15205220,"_",5.93,0.23,108202170,28.22,6.61,10934202
"DIC 2001",435864487,6284650,17.66,308914238,14.54,10.60,14280392,"_",1.47,0.06,112669857,30.11,7.00,10155934
"ENE 2002",437764398,2305141,17.16,308322623,14.88,10.73,14199910,"_",-2.05,-0.08,115241865,27.12,6.51,11160802
"FEB 2002",439906495,2165643,17.11,309556435,15.19,10.91,14340031,"_",-0.20,-0.01,116010029,25.53,6.21,11202357
"MAR 2002",450477489,10089655,18.40,314924481,16.09,11.50,14255316,"_",-0.53,-0.02,121297692,27.98,6.92,11320436
"ABR 2002",453485251,4014115,16.34,316561101,14.71,10.45,13964816,"_",-2.15,-0.08,122959334,23.61,5.97,11196679
"MAY 2002",455074397,2133489,15.96,317925460,14.36,10.16,13371642,"_",-8.15,-0.30,123777295,23.88,6.10,11036884
"JUN 2002",459924414,4534924,14.31,323112830,12.98,9.24,13303768,"_",-9.74,-0.36,123507816,21.55,5.43,12320747
"JUL 2002",463220929,4030848,13.36,327674448,13.36,9.47,13178130,"_",-13.47,-0.50,122368351,17.31,4.40,12260432
"AGO 2002",463984142,-620360,13.58,328587663,14.23,10.06,13106540,"_",-15.31,-0.58,122289938,16.08,4.10,12252914
"SEP 2002",470607131,6506060,13.33,332710364,12.79,9.11,13012530,"_",-14.18,-0.52,124884237,18.87,4.74,12109582
"OCT 2002",477293783,9558059,13.90,338499174,13.50,9.59,12847164,"_",-15.26,-0.55,125947445,19.16,4.86,12363485
"NOV 2002",481794354,4771699,13.04,342310791,12.74,9.06,12296522,"_",-19.13,-0.68,127187041,18.42,4.66,12822112
"DIC 2002",486222083,5595128,12.64,345609846,12.14,8.60,11983149,"_",-16.09,-0.53,128629088,17.65,4.56,13375110
"ENE 2003",487288101,1654941,12.43,347574585,12.99,9.15,11830398,0,-16.69,-0.54,127883119,14.55,3.83,13187277
"FEB 2003",491462194,3798203,12.75,349466652,13.15,9.25,12038219,0,-16.05,-0.52,129957323,15.24,4.02,13144100
"MAR 2003",499549901,7763179,11.93,355091706,13.01,9.09,11770926,0,-17.43,-0.55,132687269,12.58,3.39,13096732
"ABR 2003",505797145,6932672,12.49,361566095,14.47,10.10,11470033,0,-17.86,-0.55,132761017,10.86,2.94,13413161
"MAY 2003",508533598,2379006,12.50,364102478,14.77,10.32,11740402,0,-12.20,-0.36,132690718,9.36,2.55,13111433
"JUN 2003",515157851,5826331,12.65,369435450,14.58,10.24,11542578,0,-13.24,-0.38,134179823,10.41,2.79,12980358
"JUL 2003",522485177,7043824,13.21,374897959,14.65,10.36,11499301,0,-12.74,-0.36,136087917,12.17,3.22,12703170
"AGO 2003",527329911,2213684,13.80,374550493,14.22,10.07,11575722,0,-11.68,-0.33,141203696,15.42,4.06,12517236
"SEP 2003",529774855,4608643,13.21,376933974,13.53,9.56,11587914,0,-10.95,-0.30,141252967,14.86,3.94,13679858
"OCT 2003",536476934,5352626,12.14,381611108,12.94,9.18,11623110,0,-9.53,-0.26,143242715,12.20,3.22,13452680
"NOV 2003",542408679,4945268,12.06,387702735,13.43,9.54,11277994,0,-8.28,-0.21,143427951,10.34,2.73,13349559
"DIC 2003",555646906,14310642,13.74,391569610,13.48,9.58,10848458,0,-9.47,-0.23,153228838,16.62,4.40,13646866
"ENE 2004",561733401,5829816,14.57,394099698,13.57,9.68,10945097,0,-7.48,-0.18,156688607,19.32,5.07,13317567
"FEB 2004",562498177,1511393,13.98,397009513,13.80,9.81,11518413,0,-4.32,-0.11,153970250,16.17,4.28,13096118
"MAR 2004",571475983,7575862,13.72,403448653,13.82,9.82,11870158,0,0.84,0.02,156157172,14.58,3.87,12860036
"ABR 2004",577634905,6620423,13.49,409361195,13.42,9.59,11660189,0,1.66,0.04,156613521,14.69,3.86,12964536
"MAY 2004",583142037,3752812,13.68,414095061,13.94,9.98,11490921,0,-2.12,-0.05,157556055,14.39,3.76,12576177
"JUN 2004",593670760,10857270,14.49,423618518,14.87,10.66,11701133,0,1.37,0.03,158351109,14.56,3.79,12612415
"JUL 2004",605160341,11430393,15.12,434452835,16.08,11.54,11412736,0,-0.75,-0.02,159294770,13.82,3.60,12445271
"AGO 2004",600643807,-4036726,13.80,430389608,15.10,10.73,11190606,0,-3.33,-0.07,159063594,11.73,3.14,12544907
"SEP 2004",607759148,6680922,14.13,436309843,15.94,11.34,11516068,0,-0.62,-0.01,159933237,10.49,2.80,12248229
"OCT 2004",622272445,15878010,15.91,447763547,17.52,12.46,11273635,0,-3.01,-0.07,163235263,13.17,3.52,13325472
"NOV 2004",621628164,-883456,14.66,450288707,16.33,11.67,10912220,0,-3.24,-0.07,160427238,11.56,3.06,14245966
"DIC 2004",632875703,10185984,13.57,460775991,17.84,12.57,10719592,0,-1.19,-0.02,161380120,3.70,1.02,15537658
"ENE 2005",642797537,10327041,14.22,469035634,19.18,13.45,10949766,0,0.04,0.00,162812137,2.76,0.77,15002746
"FEB 2005",648791914,7554844,15.28,474224809,19.60,13.83,11433794,0,-0.73,-0.02,163133311,5.34,1.46,13047461
"MAR 2005",661281689,10609865,15.57,482964483,19.84,14.00,11802664,0,-0.57,-0.01,166514542,5.77,1.58,12812580
"ABR 2005",677159393,15173861,16.88,495264676,21.10,14.96,12110115,223020,3.86,0.08,169784602,6.83,1.85,12236468
"MAY 2005",682035304,4380035,16.83,500476300,20.97,14.89,11752954,223477,2.28,0.04,169806050,7.01,1.89,11846819
"JUN 2005",702345625,18387802,17.80,517625224,22.31,15.92,13287506,1595793,13.56,0.27,171432895,6.06,1.62,6545319
"JUL 2005",721554496,19462814,18.79,532955547,22.79,16.36,13057516,1595147,14.41,0.27,175541433,8.21,2.16,5919647
"AGO 2005",716629794,-4417162,18.87,527692991,22.72,16.28,13001277,1595098,16.18,0.30,175935526,8.64,2.29,5809282
"SEP 2005",728820144,13363071,19.75,540280139,23.94,17.18,12776529,1845037,10.95,0.21,175763476,8.96,2.36,6143276
"OCT 2005",741151793,13206633,18.86,552356001,23.46,16.88,12804270,1893968,13.58,0.25,175991521,6.60,1.73,6294834
"NOV 2005",757866178,16722306,21.71,559779756,24.41,17.68,13077733,1893614,19.84,0.35,185008689,14.27,3.68,6071955
"DIC 2005",774047426,14639023,22.03,577304708,25.38,18.48,13247686,2634196,23.58,0.40,183495033,12.35,3.15,5580762
"ENE 2006",784091183,9631675,21.58,584166698,24.63,17.97,13428206,2633203,22.63,0.39,186496279,12.72,3.22,5414432
"FEB 2006",815054448,33138256,25.32,592407836,25.02,18.28,19970100,8861839,74.66,1.32,202676512,22.76,5.72,5362419
"MAR 2006",831706071,12812544,25.18,606713089,25.72,18.79,20469338,9494924,73.43,1.31,204523644,20.19,5.08,5040513
"ABR 2006",847971348,17783694,24.97,623555308,26.00,19.02,20457892,9614957,68.93,1.23,203958148,18.84,4.72,4806632
"MAY 2006",857695084,9401767,25.53,631834012,26.34,19.33,20998860,10276971,78.67,1.36,204862212,19.46,4.84,4640184
"JUN 2006",877905673,18346114,24.79,650414073,25.75,18.98,25777616,14764736,94.00,1.78,201713984,16.52,4.03,4569482
"JUL 2006",907827312,30949090,25.72,673563599,26.48,19.56,27675080,16251581,111.95,2.03,206588634,17.01,4.14,4433784
"AGO 2006",907370460,227136,26.54,673216004,27.67,20.38,27592152,16435531,112.23,2.04,206562304,16.83,4.13,4345040
"SEP 2006",931073830,27821518,28.08,695856127,28.89,21.41,28476182,17203358,122.88,2.15,206741521,18.72,4.52,4245416
"OCT 2006",950740842,20365428,28.58,712329931,29.06,21.66,29714928,18148810,132.07,2.28,208695983,19.56,4.64,3844020
"NOV 2006",968637596,17628802,28.07,728433289,30.22,22.32,30151366,18281762,130.56,2.25,210052942,14.32,3.50,3824186
"DIC 2006",994123184,25528446,28.89,749355038,29.89,22.29,30975772,19369646,133.82,2.29,213792374,18.17,4.31,3229688
"ENE 2007",1007834620,11225792,28.72,760438709,30.26,22.55,30583204,19526118,127.75,2.19,216812707,16.78,3.99,3440383
"FEB 2007",1018165815,9216996,24.70,766793396,29.52,21.45,31717932,20820688,58.83,1.44,219654487,7.26,1.80,3441158
"MAR 2007",1037917839,14439264,24.40,782607940,29.07,21.21,31994148,21172230,56.30,1.39,223315751,7.35,1.81,3317886
"ABR 2007",1054094064,23332946,24.59,797840853,28.03,20.61,31527158,21049378,54.11,1.31,224726053,11.09,2.67,3360629
"MAY 2007",1076190846,23233534,25.92,812422660,28.67,21.12,32209302,21137424,53.39,1.31,231558884,14.64,3.50,3041095
"JUN 2007",1102632577,17723554,25.25,831944242,27.99,20.74,33044654,21389342,28.19,0.83,237643681,16.04,3.68,3301729
"JUL 2007",1125516271,30862048,24.41,853869949,26.85,19.92,35143352,23321216,26.99,0.82,236502970,16.12,3.67,3187775
"AGO 2007",1126084663,-192325,24.38,855798602,27.20,20.18,35136152,23303862,27.34,0.83,235149909,14.79,3.37,3129824
"SEP 2007",1139416443,13752919,22.25,869165804,25.01,18.69,35666560,23022556,25.25,0.77,234584080,12.53,2.78,2969498
"OCT 2007",1147288664,13042648,21.01,874027369,22.80,17.08,36041616,23338276,21.29,0.67,237219679,14.89,3.27,2934584
"NOV 2007",1158693412,12506705,20.10,883607231,21.40,16.09,35891984,23233550,19.04,0.59,239194197,15.74,3.41,2816427
"DIC 2007",1175769622,13502632,18.37,894786393,19.53,14.72,35874272,23056270,15.81,0.49,245108957,14.69,3.16,2677707
"ENE 2008",1182864359,9241913,17.93,901284611,18.64,14.07,35946932,22871722,17.54,0.53,245632816,15.46,3.33,2632052
"FEB 2008",1187851397,4161333,17.25,905593743,18.22,13.73,35869816,22667410,13.09,0.41,246387838,14.44,3.11,2551911
"MAR 2008",1195444602,7658607,16.27,913650419,16.91,12.75,35157112,22587394,9.89,0.30,246637072,14.92,3.21,2488844
"ABR 2008",1203332984,9044451,14.66,918343142,15.28,11.56,35824648,22573346,13.63,0.41,249165194,12.61,2.69,2460728
"MAY 2008",1211832520,7014456,12.85,923192382,13.82,10.43,37266036,24195072,15.70,0.47,251374102,9.06,1.95,2500359
"JUN 2008",1225362889,15568912,12.35,931117132,12.14,9.16,38446872,25408160,16.35,0.49,255798884,12.51,2.70,2421691
"JUL 2008",1235132934,15255427,10.71,940206455,10.35,7.85,38669348,25528738,10.03,0.31,256257131,12.11,2.54,2351077
"AGO 2008",1234764464,-2298813,10.52,938459849,9.90,7.53,38623224,25538468,9.92,0.31,257681392,12.85,2.68,2204706
"SEP 2008",1246751101,12444004,10.28,945686739,9.06,6.91,38056336,24846054,6.70,0.21,263008026,15.34,3.16,2187414
"OCT 2008",1255710607,9310167,9.89,951708736,9.16,6.98,38392256,25224956,6.52,0.20,265609615,13.07,2.70,2102630
"NOV 2008",1257965773,3617129,9.02,951491226,7.96,6.07,40311344,26668944,12.31,0.38,266163203,12.44,2.57,2075379
"DIC 2008",1261105231,8818726,8.49,953046218,6.80,5.18,40178460,25726384,12.00,0.37,267880553,14.14,2.95,2059624
"ENE 2009",1264360746,2332246,7.86,953387747,6.08,4.63,42271468,27963584,17.59,0.53,268701531,12.97,2.69,1943783
"FEB 2009",1265708225,1838605,7.63,952239136,5.45,4.16,43696116,30080292,21.82,0.66,269772972,13.56,2.81,1899655
"MAR 2009",1266912644,2305113,7.13,951354420,4.41,3.37,44441896,30868156,26.41,0.78,271116328,14.45,2.98,1787784
"ABR 2009",1273637415,8882020,7.07,953816209,4.16,3.18,44793904,31975606,25.04,0.75,275027302,15.20,3.15,2786781
"MAY 2009",1270134740,-3971263,6.11,951861937,3.40,2.59,44120044,31601140,18.39,0.57,274152759,14.26,2.96,2475547
"JUN 2009",1266167988,-12212470,3.78,938858154,1.13,0.86,43515240,31850982,13.18,0.41,283794594,12.01,2.51,1560456
"JUL 2009",1266317943,-920296,2.44,934654089,-0.29,-0.22,48959488,36078616,26.61,0.83,282704366,8.82,1.83,1487255
"AGO 2009",1257034968,-9319718,1.87,925150246,-1.11,-0.84,48504508,35563452,25.58,0.80,283380214,9.18,1.92,1464959
"SEP 2009",1254856375,-804369,0.79,923440559,-2.01,-1.52,48330644,35480376,27.00,0.82,283085173,7.07,1.49,1447485
"OCT 2009",1252797511,-880713,-0.03,921397732,-2.79,-2.12,49583460,35448964,29.15,0.89,281816319,5.68,1.20,1406012
"NOV 2009",1253489883,1913315,-0.16,917400629,-3.19,-2.41,53772652,39380164,33.39,1.07,282316603,5.59,1.18,1417945
"DIC 2009",1246501857,-7223025,-1.43,914902330,-3.56,-2.69,54781944,40216796,36.35,1.16,276817583,0.48,0.10,1255790
"ENE 2010",1237886237,-4947534,-2.00,908042005,-4.30,-3.24,56105744,41512644,32.73,1.09,273738487,0.68,0.14,1220457
"FEB 2010",1236450110,-562268,-2.19,906504605,-4.33,-3.26,56353496,41575112,28.97,1.00,273592009,0.30,0.06,1186866
"MAR 2010",1244271861,1320706,-2.27,906050984,-4.21,-3.16,57259748,43263240,28.84,1.01,280961129,-0.56,-0.12,1139845
"ABR 2010",1246363008,2854484,-2.73,903252828,-4.74,-3.55,60432200,46010088,34.91,1.23,282677981,-1.89,-0.41,1187363
"MAY 2010",1248848786,632417,-2.37,904376978,-4.40,-3.30,60928744,46796376,38.10,1.32,283543063,-1.84,-0.40,1350949
"JUN 2010",1250397735,1645332,-1.29,906254141,-2.87,-2.13,60356424,46497252,38.70,1.33,283787170,-2.18,-0.49,1856157
"JUL 2010",1249346363,316932,-1.19,906046187,-2.42,-1.79,59476936,45657608,21.48,0.83,283823240,-1.04,-0.23,1782544
"AGO 2010",1243897376,-4967504,-0.85,899260658,-2.12,-1.56,59580264,45959496,22.83,0.88,285056454,-0.77,-0.17,1696725
"SEP 2010",1247662340,10974021,0.09,903232005,-1.39,-1.02,60235656,46072032,24.63,0.95,284194678,0.71,0.16,1492725
"OCT 2010",1248709067,2657570,0.37,902719234,-1.27,-0.93,62209416,48071944,25.46,1.01,283780416,1.31,0.29,1593134
"NOV 2010",1252635631,2374263,0.40,902224492,-0.81,-0.59,62964444,48898536,17.09,0.73,287446695,1.17,0.26,1597250
"DIC 2010",1244017651,-3523242,0.70,895918504,-1.02,-0.75,61872016,48016584,12.94,0.57,286227131,3.98,0.88,1581134
"ENE 2011",1236384782,-3494781,0.83,890703453,-0.83,-0.61,61599084,47783816,9.79,0.44,284082245,4.47,0.99,1447045
"FEB 2011",1232892090,-1728071,0.73,882195550,-1.59,-1.16,64356940,50610196,14.20,0.65,286339600,5.64,1.25,1342476
"MAR 2011",1227043289,-4607988,0.25,879966786,-1.65,-1.20,64173996,50246112,12.08,0.56,282902507,3.97,0.90,1316697
"ABR 2011",1224767692,-433830,-0.01,876253652,-1.76,-1.27,64963764,50739344,7.50,0.36,283550276,3.95,0.90,1454339
"MAY 2011",1220518768,-4459535,-0.42,871251916,-2.34,-1.69,65946236,51685480,8.24,0.40,283320616,3.84,0.87,1430518
"JUN 2011",1212505811,-1436980,-0.67,865215622,-2.41,-1.75,64961328,50798188,7.63,0.37,282328861,3.14,0.71,1427086
"JUL 2011",1212510149,882100,-0.62,863879357,-2.54,-1.84,66155192,51821048,11.23,0.53,282475600,3.00,0.68,1386288
"AGO 2011",1201815608,-10003960,-1.03,852994503,-3.02,-2.19,65925716,51630640,10.65,0.51,282895389,2.82,0.65,1328274
"SEP 2011",1205970849,6726188,-1.37,852339904,-3.60,-2.61,66905332,52457908,11.07,0.53,286725613,3.11,0.71,1211978
"OCT 2011",1202630766,289811,-1.55,850977691,-3.65,-2.64,67168944,52625952,7.97,0.40,284484131,3.01,0.68,1294366
