"","IE_8_6.1","IE_8_6.2","IE_8_6.3","IE_8_6.4","IE_8_6.5","IE_8_6.6","IE_8_6.7","IE_8_6.8","IE_8_6.9","IE_8_6.10","IE_8_6.11","IE_8_6.12","IE_8_6.13","IE_8_6.14"
"NÚMERO SECUENCIAL",1656444,1656445,1656433,1656446,1656447,1656448,1656449,1656391,1656436,1656451,1656450,1656452,1656453,1656454
"DESCRIPCIÓN DE LA SERIE","Financiación total a las sociedades no financieras, residentes en España","Financiación total a las sociedades no financieras, residentes en España. Flujo efectivo","Financiación total a las sociedades no financieras, residentes en España. Tasa interanual","Financiación a las sociedades no financieras. Préstamos de entidades de crédito y préstamos titulizados fuera de balance","Financiación a las sociedades no financieras. Préstamos de entidades de crédito y préstamos titulizados fuera de balance. Tasa interanual","Financiación a las sociedades no financieras. Préstamos de entidades de crédito y titulizados fuera de balance. Contribución a la tasa del total","Financiación a las sociedades no financieras. Valores distintos de acciones","Financiación a las sociedades no financieras. Emisiones de filiales financieras residentes","Financiación a las sociedades no financieras. Valores distintos de acciones. Contribución a la tasa del total","Financiación a las sociedades no financieras. Valores distintos de acciones. Contribución a la tasa del total","Financiación a las sociedades no financieras. Préstamos del exterior","Financiación a las sociedades no financieras. Préstamos del exterior. Tasa interanual","Financiación a las sociedades no financieras. Préstamos del exterior. Contribución a la tasa del total","Financiación a las sociedades no financieras. Préstamos titulizados fuera del balance"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros"
"DIC 1994",199567488,-16513127,"_",141310064,"_","_",23819384,"_","_","_",34438032,"_","_",144359
"ENE 1995",196836432,-2377978,"_",139272992,"_","_",23082398,"_","_","_",34481044,"_","_",196338
"FEB 1995",196394912,-175826,"_",138779152,"_","_",23114652,"_","_","_",34501108,"_","_",197287
"MAR 1995",197625355,477585,"_",138905287,"_","_",23248004,"_","_","_",35472064,"_","_",162926
"ABR 1995",197774331,884379,"_",140211209,"_","_",22737566,"_","_","_",34825556,"_","_",284621
"MAY 1995",197087578,-263743,"_",139787156,"_","_",22804914,"_","_","_",34495508,"_","_",282521
"JUN 1995",198599209,1558594,"_",141675161,"_","_",22423304,"_","_","_",34500744,"_","_",244224
"JUL 1995",200751400,2627377,"_",143779754,"_","_",22521542,"_","_","_",34450104,"_","_",300149
"AGO 1995",198208042,-2455988,"_",141453118,"_","_",22338328,"_","_","_",34416596,"_","_",296488
"SEP 1995",199497321,1150873,"_",142754941,"_","_",22161140,"_","_","_",34581240,"_","_",267350
"OCT 1995",198919646,381045,"_",143010414,"_","_",21873152,"_","_","_",34036080,"_","_",288612
"NOV 1995",199599830,952987,"_",144206020,"_","_",21472542,"_","_","_",33921268,"_","_",308732
"DIC 1995",200951027,1706940,2.24,145737429,4.48,3.18,20870314,"_",-12.71,-1.48,34343284,3.13,0.54,277006
"ENE 1996",198743141,-1607299,2.66,143836093,4.63,3.28,20774648,"_",-10.37,-1.17,34132400,3.18,0.56,299333
"FEB 1996",197267095,-1314045,2.09,142532031,4.05,2.86,20529860,"_",-11.49,-1.32,34205204,3.09,0.54,304852
"MAR 1996",196969549,-386944,1.64,142496353,3.91,2.75,20536500,"_",-12.02,-1.37,33936696,1.45,0.26,280155
"ABR 1996",197874997,987235,1.69,143201165,3.50,2.48,20533092,"_",-10.04,-1.11,34140740,1.81,0.32,301134
"MAY 1996",198257716,523597,2.09,143652946,4.20,2.98,20595042,"_",-10.06,-1.12,34009728,1.34,0.23,300286
"JUN 1996",200072597,2160995,2.38,146347957,4.77,3.41,20529616,"_",-8.83,-0.95,33195024,-0.41,-0.07,270857
"JUL 1996",203664937,3667429,2.87,150209955,5.91,4.23,20113566,"_",-11.08,-1.20,33341416,-0.93,-0.16,4671152
"AGO 1996",201662223,-1880441,3.20,148645193,6.53,4.66,19784902,"_",-11.86,-1.29,33232128,-0.97,-0.17,4668374
"SEP 1996",202642421,903570,3.06,149344269,6.03,4.31,19341604,"_",-12.96,-1.41,33956548,0.90,0.16,4478503
"OCT 1996",204762090,2440523,4.10,151387354,7.23,5.20,19284460,"_",-12.07,-1.30,34090276,1.18,0.20,4658451
"NOV 1996",206275191,1621188,4.42,152984219,7.41,5.36,19162312,"_",-10.99,-1.16,34128660,1.30,0.22,4659230
"DIC 1996",209353399,2964370,5.02,155996523,8.32,6.03,18717924,"_",-10.56,-1.07,34638952,0.32,0.06,4455758
"ENE 1997",212063565,2359001,7.02,157876793,11.04,7.99,18712916,"_",-10.40,-1.09,35473856,0.73,0.13,4459192
"FEB 1997",212348284,294553,7.89,157741252,11.95,8.63,18461832,"_",-10.51,-1.10,36145200,2.11,0.36,4482847
"MAR 1997",212817528,530391,8.38,159031380,12.87,9.30,18376308,"_",-10.95,-1.15,35409840,1.27,0.22,4442784
"ABR 1997",213700103,747606,8.22,159697923,12.70,9.19,18303028,"_",-11.26,-1.17,35699152,1.21,0.21,4530927
"MAY 1997",215006940,1281751,8.60,160360840,12.72,9.22,17983336,"_",-13.02,-1.36,36662764,4.30,0.74,4527749
"JUN 1997",216394880,1096064,7.99,161726144,11.50,8.41,17695608,"_",-14.13,-1.45,36973128,6.22,1.03,4422200
"JUL 1997",221555377,4985320,8.50,166397645,11.73,8.65,17584876,"_",-12.88,-1.28,37572856,6.91,1.13,4537344
"AGO 1997",220770125,-473011,9.29,166613525,13.03,9.60,17219624,"_",-13.24,-1.30,36936976,6.02,0.99,4526891
"SEP 1997",222585316,1770054,9.68,167471800,13.05,9.62,17450060,"_",-10.02,-0.96,37663456,6.09,1.02,4373088
"OCT 1997",224987467,2550438,9.63,169705983,12.99,9.60,17425112,"_",-9.89,-0.93,37856372,5.79,0.96,4575886
"NOV 1997",225857544,833480,9.18,172999276,13.95,10.34,17180776,"_",-10.60,-0.99,35677492,-1.08,-0.18,4574854
"DIC 1997",228815251,2927968,9.03,174084299,12.43,9.26,17646488,"_",-5.97,-0.53,37084464,1.81,0.30,4329306
"ENE 1998",232834250,4277586,9.82,176698464,12.74,9.49,17777750,"_",-5.00,-0.44,38358036,4.61,0.77,4345353
"FEB 1998",232978982,503269,9.90,176317976,12.59,9.36,17451070,"_",-5.47,-0.48,39209936,6.02,1.02,4344636
"MAR 1998",232128332,-1148416,9.09,174239958,10.37,7.75,17832194,"_",-2.96,-0.26,40056180,9.62,1.60,4229569
"ABR 1998",234841838,3232849,10.22,176396102,11.24,8.40,17528084,"_",-4.23,-0.36,40917652,13.04,2.18,4346533
"MAY 1998",237974587,2923204,10.92,178902107,12.33,9.20,17474044,"_",-2.83,-0.24,41598436,11.48,1.96,4421525
"JUN 1998",243035590,4743858,12.54,183731014,14.36,10.73,17073392,"_",-3.52,-0.29,42231184,12.24,2.09,4337606
"JUL 1998",246866039,4246711,11.91,186698749,13.02,9.78,17460226,"_",-0.71,-0.06,42707064,12.90,2.19,4493916
"AGO 1998",245330241,-1434342,11.52,184873465,11.87,8.96,17448436,"_",1.33,0.10,43008340,14.69,2.46,4491664
"SEP 1998",248741605,4063876,12.45,188150609,13.33,10.03,17405800,"_",-0.25,-0.02,43185196,14.42,2.44,4243878
"OCT 1998",253769131,4873840,13.35,191228305,13.64,10.29,17911214,"_",2.79,0.22,44629612,16.95,2.85,4846504
"NOV 1998",259267027,5509792,15.37,195927447,14.17,10.85,17834444,"_",3.80,0.29,45505136,26.78,4.23,4915944
"DIC 1998",259803750,1453440,14.53,197379745,14.27,10.86,17355226,"_",-1.65,-0.13,45068779,23.44,3.80,5071515
"ENE 1999",262289179,2239136,13.40,197796719,12.80,9.71,17404372,"_",-2.10,-0.16,47088088,23.36,3.85,5391929
"FEB 1999",264309007,1961338,14.02,197738574,13.00,9.84,18159096,"_",4.06,0.30,48411337,23.06,3.88,5782721
"MAR 1999",263566885,-720056,14.26,196368697,13.54,10.16,18195022,"_",2.03,0.16,49003166,22.81,3.94,5863909
"ABR 1999",269501636,6061338,15.30,201015480,14.77,11.09,18628196,"_",6.28,0.47,49857961,21.43,3.73,6304601
"MAY 1999",276212359,5773246,16.29,205786586,15.81,11.89,18294360,"_",4.69,0.34,52131413,23.22,4.06,6284240
"JUN 1999",292757493,16141114,20.64,215525896,18.06,13.65,18109564,"_",6.07,0.43,59122033,37.79,6.57,6313326
"JUL 1999",295793946,2983522,19.81,216811086,16.78,12.69,19892362,"_",13.93,0.99,59090498,35.45,6.13,6776505
"AGO 1999",293924905,-1435436,19.93,215148110,16.95,12.77,19859382,"_",13.82,0.98,58917414,35.24,6.18,6916808
"SEP 1999",298337863,4370505,19.78,218628836,16.68,12.62,19989252,"_",14.84,1.04,59719775,35.28,6.13,6936617
