"","IE_3_3.1","IE_3_3.2","IE_3_3.3","IE_3_3.4","IE_3_3.5","IE_3_3.6","IE_3_3.7","IE_3_3.8","IE_3_3.9","IE_3_3.10","IE_3_3.11","IE_3_3.12","IE_3_3.13","IE_3_3.14"
"ENE 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",27.84
"FEB 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",21.35
"MAR 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",16.46
"ABR 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",7.02
"MAY 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",15.38
"JUN 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",19.71
"JUL 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",15.87
"AGO 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",7.11
"SEP 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",9.14
"OCT 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",16.64
"NOV 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",13.13
"DIC 1973","_","_","_","_","_","_","_","_","_","_","_","_","_",8.99
"ENE 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",16.54
"FEB 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",3.61
"MAR 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.28
"ABR 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",10.82
"MAY 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",8.83
"JUN 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.74
"JUL 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",1.25
"AGO 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.85
"SEP 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.49
"OCT 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",5.12
"NOV 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.66
"DIC 1974","_","_","_","_","_","_","_","_","_","_","_","_","_",0.88
"ENE 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.95
"FEB 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.83
"MAR 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-15.45
"ABR 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.62
"MAY 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.42
"JUN 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",2.24
"JUL 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.72
"AGO 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.09
"SEP 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",0.33
"OCT 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.30
"NOV 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.06
"DIC 1975","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.25
"ENE 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.98
"FEB 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.99
"MAR 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",28.18
"ABR 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",-6.48
"MAY 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",1.70
"JUN 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.60
"JUL 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",7.60
"AGO 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",7.46
"SEP 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",2.36
"OCT 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.72
"NOV 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",10.17
"DIC 1976","_","_","_","_","_","_","_","_","_","_","_","_","_",6.71
"ENE 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.36
"FEB 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",10.07
"MAR 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",2.04
"ABR 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.85
"MAY 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",6.26
"JUN 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",7.63
"JUL 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",-6.91
"AGO 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",4.82
"SEP 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",4.98
"OCT 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",2.71
"NOV 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",3.96
"DIC 1977","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.39
"ENE 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",12.14
"FEB 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.36
"MAR 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.19
"ABR 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",7.71
"MAY 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.03
"JUN 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",7.97
"JUL 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",5.38
"AGO 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",1.15
"SEP 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.82
"OCT 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",6.13
"NOV 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",3.19
"DIC 1978","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.27
"ENE 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.55
"FEB 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.92
"MAR 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",0.88
"ABR 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.99
"MAY 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",3.58
"JUN 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.78
"JUL 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",0.43
"AGO 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.80
"SEP 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-13.89
"OCT 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.47
"NOV 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",-10.17
"DIC 1979","_","_","_","_","_","_","_","_","_","_","_","_","_",2.92
"ENE 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",2.57
"FEB 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",5.34
"MAR 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.80
"ABR 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.89
"MAY 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.56
"JUN 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.25
"JUL 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.09
"AGO 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-13.92
"SEP 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",1.37
"OCT 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.06
"NOV 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.23
"DIC 1980","_","_","_","_","_","_","_","_","_","_","_","_","_",-8.11
"ENE 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-17.90
"FEB 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.08
"MAR 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",5.03
"ABR 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.87
"MAY 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.38
"JUN 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.65
"JUL 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.25
"AGO 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",0.55
"SEP 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.60
"OCT 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.48
"NOV 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",3.72
"DIC 1981","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.17
"ENE 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.89
"FEB 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.88
"MAR 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.67
"ABR 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",6.74
"MAY 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",4.92
"JUN 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.04
"JUL 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.11
"AGO 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",6.92
"SEP 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",4.21
"OCT 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.69
"NOV 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.53
"DIC 1982","_","_","_","_","_","_","_","_","_","_","_","_","_",12.85
"ENE 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",12.04
"FEB 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-8.27
"MAR 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",0.65
"ABR 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.58
"MAY 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",1.93
"JUN 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",0.25
"JUL 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.76
"AGO 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.24
"SEP 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.83
"OCT 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.02
"NOV 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-10.39
"DIC 1983","_","_","_","_","_","_","_","_","_","_","_","_","_",-8.63
"ENE 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-6.99
"FEB 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",0.15
"MAR 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-20.89
"ABR 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-15.35
"MAY 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-14.52
"JUN 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.41
"JUL 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.16
"AGO 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-6.36
"SEP 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.75
"OCT 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",2.42
"NOV 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-8.09
"DIC 1984","_","_","_","_","_","_","_","_","_","_","_","_","_",-11.93
"ENE 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-20.78
"FEB 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-9.24
"MAR 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.34
"ABR 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",2.68
"MAY 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",4.07
"JUN 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-4.41
"JUL 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",4.82
"AGO 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.87
"SEP 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",11.21
"OCT 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",14.18
"NOV 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",8.49
"DIC 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",18.01
"ENE 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",18.00
"FEB 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",6.11
"MAR 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",3.76
"ABR 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",23.62
"MAY 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",4.71
"JUN 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",22.64
"JUL 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",12.15
"AGO 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",4.18
"SEP 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",11.10
"OCT 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",3.08
"NOV 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",12.42
"DIC 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",4.68
"ENE 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-2.49
"FEB 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",14.47
"MAR 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",31.51
"ABR 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",0.96
"MAY 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",19.77
"JUN 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",12.99
"JUL 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",16.39
"AGO 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",13.84
"SEP 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",9.56
"OCT 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.34
"NOV 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",13.79
"DIC 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",2.33
"ENE 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",17.36
"FEB 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",20.87
"MAR 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",13.19
"ABR 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",5.65
"MAY 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",6.38
"JUN 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",7.83
"JUL 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.34
"AGO 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",20.38
"SEP 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",14.25
"OCT 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",13.85
"NOV 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",15.31
"DIC 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",20.07
"ENE 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",36.63
"FEB 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",13.65
"MAR 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",10.78
"ABR 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",20.16
"MAY 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",16.26
"JUN 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",22.51
"JUL 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",17.51
"AGO 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",10.82
"SEP 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",8.82
"OCT 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",20.50
"NOV 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",6.20
"DIC 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.20
"ENE 1990","_","_","_","_","_","_",-25.83,-25.83,28.28,34.12,2.29,25.23,-39.51,13.00
"FEB 1990","_","_","_","_","_","_",-11.83,-19.47,48.61,71.47,33.56,39.99,-25.24,13.39
"MAR 1990","_","_","_","_","_","_",31.17,-5.41,18.57,210.04,332.27,-1.88,35.62,19.70
"ABR 1990","_","_","_","_","_","_",7.27,-2.05,3.06,1.90,237.16,3.87,8.49,2.50
"MAY 1990","_","_","_","_","_","_",13.54,1.19,19.45,18.26,43.96,20.70,10.38,20.28
"JUN 1990","_","_","_","_","_","_",11.19,3.51,25.98,18.67,0.48,30.26,6.31,3.74
"JUL 1990","_","_","_","_","_","_",25.69,6.77,-25.02,-61.37,-34.20,28.90,60.22,13.66
"AGO 1990","_","_","_","_","_","_",-40.86,-9.34,36.46,56.74,102.12,30.33,-47.72,7.73
"SEP 1990","_","_","_","_","_","_",-19.29,-10.52,17.44,53.89,53.90,4.25,-27.90,3.26
"OCT 1990","_","_","_","_","_","_",-21.81,-12.11,-1.88,51.43,37.02,-23.28,-28.24,3.86
"NOV 1990","_","_","_","_","_","_",27.54,-8.55,17.65,94.48,55.12,-6.14,32.95,13.82
"DIC 1990","_","_","_","_","_","_",4.64,-7.80,9.35,-27.45,-54.24,25.42,2.88,1.95
"ENE 1991",-10.35,-25.54,-23.68,50.16,"_","_",33.14,33.14,-28.57,-75.56,-39.57,-2.30,66.23,9.35
"FEB 1991",-17.62,-10.17,-7.95,-37.11,"_","_",50.61,41.83,21.94,-7.70,-53.97,35.65,63.27,-3.50
"MAR 1991",-18.12,-18.47,-19.69,-16.83,"_","_",25.04,35.36,65.29,49.25,68.61,70.71,12.63,-22.99
"ABR 1991",-3.89,4.02,5.56,-25.70,"_","_",52.95,40.47,68.17,109.80,149.05,39.84,48.77,21.57
"MAY 1991",4.40,-1.11,-0.44,22.76,"_","_",32.48,38.60,-3.09,-60.36,-28.71,55.84,53.05,-1.64
"JUN 1991",-27.72,-27.33,-27.50,-28.77,"_","_",-14.08,25.49,-36.26,-54.29,-39.37,-26.64,-5.42,-0.79
"JUL 1991",-16.71,-15.94,-14.60,-19.16,"_","_",1.57,21.35,-0.59,-12.65,-16.66,4.77,2.27,5.74
"AGO 1991",-20.91,-19.44,-15.84,-26.69,"_","_",-66.78,1.90,-30.76,-40.20,-47.33,-27.33,-75.11,-8.67
"SEP 1991",-6.84,0.23,-0.15,-28.84,"_","_",-45.00,-3.11,-25.88,-22.40,3.44,-27.74,-52.30,4.91
"OCT 1991",5.44,4.48,6.47,9.13,"_","_",-36.85,-7.34,-30.38,-63.97,-51.61,-3.77,-39.70,10.56
"NOV 1991",-5.81,-5.55,-3.12,-6.74,"_","_",-38.95,-11.30,-23.22,-30.40,-29.73,-18.61,-46.58,-3.99
"DIC 1991",4.53,-1.59,-0.88,28.81,"_","_",-35.10,-12.84,-39.61,-63.96,-33.25,-33.46,-33.31,5.36
"ENE 1992",-22.32,-10.35,-10.79,-45.94,"_","_",-36.30,-36.30,67.54,-35.52,-48.87,81.96,-60.21,-12.61
"FEB 1992",25.34,25.14,25.70,26.07,"_","_",-22.03,-28.76,-41.06,-62.20,-11.91,-34.40,-15.76,0.08
"MAR 1992",13.82,11.03,13.25,23.83,"_","_",-30.57,-29.41,-54.59,-70.66,-53.41,-49.84,-19.71,18.51
"ABR 1992",-6.83,-10.14,-8.28,5.97,"_","_",-54.61,-37.37,-57.58,-73.08,-90.66,-41.75,-53.69,-17.57
"MAY 1992",-29.67,-29.95,-29.43,-28.92,"_","_",-47.19,-39.56,-27.90,67.95,-17.38,-52.99,-54.25,-17.51
"JUN 1992",30.81,42.86,43.90,-2.43,"_","_",-9.94,-34.52,22.39,12.49,43.72,25.68,-18.46,-7.95
"JUL 1992",18.36,25.06,26.55,-3.75,"_","_",31.34,-24.97,26.65,45.98,45.46,19.49,32.80,-8.39
"AGO 1992",-3.42,2.24,2.62,-27.87,"_","_",56.01,-19.14,53.97,41.98,52.99,57.56,57.32,-10.60
"SEP 1992",8.64,9.02,9.60,6.98,"_","_",24.41,-16.50,-2.71,-36.46,-48.97,16.65,40.51,-7.97
"OCT 1992",-11.75,-8.10,-8.44,-25.20,"_","_",82.21,-8.06,35.74,141.12,94.18,4.47,105.87,-23.92
"NOV 1992",6.45,7.23,8.37,3.61,-21.78,-15.60,20.85,-5.57,7.42,51.97,-12.40,-17.04,30.21,-12.13
"DIC 1992",-12.06,-5.12,-4.46,-33.08,-14.56,-17.22,283.24,8.35,139.57,1314.66,984.40,-21.36,334.64,-4.75
"ENE 1993",-15.14,-8.13,-8.41,-38.08,-11.90,-5.03,-17.95,-17.95,-36.08,402.17,298.95,-57.81,-0.37,-17.82
"FEB 1993",-19.93,-16.37,-15.35,-33.13,-6.60,3.53,0.09,-7.53,66.84,-3.11,-19.42,79.53,-15.31,-14.97
"MAR 1993",-19.44,-12.94,-12.83,-40.33,-1.00,0.57,34.34,7.12,91.31,226.09,64.19,68.05,19.77,-15.50
"ABR 1993",-6.84,1.40,1.32,-33.79,-28.13,-19.66,128.82,34.98,119.90,2.85,278.48,175.14,131.35,-8.95
"MAY 1993",-3.12,11.10,11.75,-40.77,-12.63,-15.45,173.38,61.96,166.40,169.68,180.10,163.33,177.41,-13.05
"JUN 1993",-13.64,-16.90,-17.48,-0.47,-5.83,-1.10,55.43,60.43,42.25,123.82,171.55,17.99,60.64,-10.12
"JUL 1993",-8.67,-10.99,-11.13,1.24,-22.42,-17.01,32.63,53.38,25.10,-2.26,-3.20,37.49,34.86,-11.56
"AGO 1993",15.83,18.82,17.37,-2.49,10.75,14.49,36.60,51.05,-10.36,7.37,-22.47,-15.14,66.19,-9.11
"SEP 1993",-4.15,0.73,-2.39,-25.93,-12.19,-6.32,14.28,47.73,19.34,8.88,15.19,22.61,12.20,-12.45
"OCT 1993",-9.44,-8.87,-10.40,-12.01,-10.59,-1.44,-15.54,37.01,-25.53,-21.64,11.16,-28.20,-12.18,-16.70
"NOV 1993",-3.53,-0.58,0.19,-14.65,5.92,9.58,29.80,36.22,0.89,-7.57,128.25,9.41,46.42,-12.89
"DIC 1993",4.72,14.81,13.05,-38.62,-2.73,1.16,-27.48,25.36,-20.53,-84.80,-80.56,137.79,-28.85,-8.83
"ENE 1994",4.25,5.21,6.72,-0.43,-13.06,-3.14,5.14,5.14,-8.49,-69.33,-51.28,27.42,13.62,-9.42
"FEB 1994",-15.64,-12.54,-13.54,-30.00,-2.23,-3.51,-13.10,-6.27,-34.03,81.69,218.30,-45.35,-3.60,-5.66
"MAR 1994",20.17,15.24,15.74,43.27,-1.84,4.24,1.86,-2.70,-25.74,-44.80,0.03,-19.35,13.14,4.80
"ABR 1994",-11.93,-8.18,-8.15,-30.71,24.02,25.25,-40.34,-17.31,-20.53,37.28,11.85,-30.73,-45.71,0.80
"MAY 1994",7.89,12.33,13.65,-14.15,25.07,28.14,-27.94,-20.81,-60.80,-65.15,-29.36,-56.64,-9.72,5.80
"JUN 1994",2.37,14.53,14.75,-38.62,13.98,9.75,-10.56,-18.48,12.76,77.12,10.57,-23.54,-18.73,4.84
"JUL 1994",-12.21,-2.92,-2.37,-47.23,8.50,13.82,-23.26,-19.53,-13.00,90.13,-25.10,-46.21,-26.07,-7.07
"AGO 1994",-6.80,-6.81,-9.27,-6.71,40.77,42.26,2.70,-16.74,-9.49,37.25,28.28,-25.45,6.84,16.27
"SEP 1994",2.61,2.00,3.35,6.29,39.34,43.62,131.69,-6.37,54.36,169.77,199.69,22.34,165.48,9.98
"OCT 1994",2.83,3.50,4.33,-0.31,44.08,48.92,17.01,-3.93,63.69,-6.51,-6.74,116.16,3.72,16.64
"NOV 1994",9.21,16.93,15.77,-24.80,45.66,37.63,-9.77,-4.54,10.91,-17.66,-55.18,35.18,-17.96,16.33
"DIC 1994",16.81,13.95,14.53,39.82,34.54,35.60,36.55,-0.49,43.26,244.55,350.63,11.56,35.07,19.16
"ENE 1995",22.72,26.56,26.69,2.99,57.21,53.20,23.12,23.12,-2.61,55.58,5.33,-10.88,36.02,21.54
"FEB 1995",36.65,31.83,32.09,64.62,22.70,26.54,33.40,29.08,28.10,51.70,7.30,20.42,35.05,13.23
"MAR 1995",20.67,27.32,26.62,-4.41,51.01,53.13,2.87,17.04,23.93,-72.24,-76.26,45.97,-2.78,13.35
