"","IE_8_2.1","IE_8_2.2","IE_8_2.3","IE_8_2.4","IE_8_2.5","IE_8_2.6","IE_8_2.7","IE_8_2.8","IE_8_2.9","IE_8_2.10","IE_8_2.11","IE_8_2.12","IE_8_2.13","IE_8_2.14","IE_8_2.15"
"NÚMERO SECUENCIAL",1656393,1656394,1656395,1656396,1656397,1656398,1656399,1656400,1656401,1656402,1656403,1656404,1656405,1656406,1656392
"DESCRIPCIÓN DE LA SERIE","Medios de pago de las sociedades no financieras y los hogares e ISFLSH","Medios de pago de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Efectivo en poder de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Depósitos mantenidos por las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Otros pasivos de entidades de crédito en poder de las sociedades no financieras y los hogares e ISFLSH","Otros pasivos de entidades de crédito en poder de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Otros depósitos mantenidos por las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Cesiones temporales y valores de entidades de crédito en poder de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Depósitos en sucursales en el extranjero mantenidos por las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Participaciones en fondos de inversión residentes de las sociedades no financieras y los hogares e ISFLSH","Participaciones en fondos de inversión residentes de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Participaciones en fondos de inversión de renta fija en euros de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Participaciones en resto de fondos de inversión de las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Medios de pago, otros pasivos de entidades de crédito y participaciones en fondos de inversión de renta fija en euros. Tasa de variación interanual","Contribución de España a la tasa de crecimiento interanual de agregados UEM. M3"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"DIC 1994",169821258,"_","_","_",185353348,"_","_","_","_","_","_","_","_","_","_"
"ENE 1995",162779812,"_","_","_",186550794,"_","_","_","_","_","_","_","_","_","_"
"FEB 1995",162715391,"_","_","_",188167748,"_","_","_","_","_","_","_","_","_","_"
"MAR 1995",163856655,"_","_","_",189681207,"_","_","_","_","_","_","_","_","_","_"
"ABR 1995",162414793,"_","_","_",191068262,"_","_","_","_","_","_","_","_","_","_"
"MAY 1995",163033633,"_","_","_",193345644,"_","_","_","_","_","_","_","_","_","_"
"JUN 1995",168973276,"_","_","_",194384687,"_","_","_","_","_","_","_","_","_","_"
"JUL 1995",168890954,"_","_","_",195331891,"_","_","_","_","_","_","_","_","_","_"
"AGO 1995",165950243,"_","_","_",198744670,"_","_","_","_","_","_","_","_","_","_"
"SEP 1995",168997520,"_","_","_",200225325,"_","_","_","_","_","_","_","_","_","_"
"OCT 1995",165386023,"_","_","_",200913042,"_","_","_","_","_","_","_","_","_","_"
"NOV 1995",168411114,"_","_","_",203009256,"_","_","_","_","_","_","_","_","_","_"
"DIC 1995",175500938,3.34,5.18,2.72,204589899,10.38,12.52,-2.01,69.18,"_","_","_","_","_","_"
"ENE 1996",168016289,3.22,4.51,2.78,207180594,11.06,11.43,1.70,73.84,"_","_","_","_","_","_"
"FEB 1996",168066151,3.29,4.42,2.90,208064203,10.57,10.21,3.45,68.71,"_","_","_","_","_","_"
"MAR 1996",171695862,4.78,4.36,4.93,208300306,9.82,8.77,9.77,30.10,"_","_","_","_","_","_"
"ABR 1996",169850477,4.58,4.05,4.76,206751017,8.21,7.65,7.42,22.76,"_","_","_","_","_","_"
"MAY 1996",170339253,4.48,5.38,4.16,206284409,6.69,6.28,3.90,28.79,"_","_","_","_","_","_"
"JUN 1996",178145569,5.43,4.04,5.91,204061915,4.98,4.92,1.55,24.61,"_","_","_","_","_","_"
"JUL 1996",176571587,4.55,4.40,4.60,203340429,4.10,3.99,1.02,21.47,"_","_","_","_","_","_"
"AGO 1996",176007155,6.06,5.49,6.26,204197971,2.74,2.84,-1.99,24.18,"_","_","_","_","_","_"
"SEP 1996",178496941,5.62,5.00,5.84,204552181,2.16,1.89,-1.13,24.96,"_","_","_","_","_","_"
"OCT 1996",176987893,7.02,6.49,7.20,203929629,1.50,0.61,-1.96,34.98,"_","_","_","_","_","_"
"NOV 1996",180439221,7.14,6.35,7.42,202536334,-0.23,-0.73,-5.19,32.91,"_","_","_","_","_","_"
"DIC 1996",187561923,6.87,5.39,7.39,200478497,-2.01,-2.63,-2.02,8.57,"_","_","_","_","_","_"
"ENE 1997",182513618,8.63,6.83,9.25,201077758,-2.95,-5.48,-2.85,33.92,"_","_","_","_","_","_"
"FEB 1997",183939994,9.44,6.85,10.35,198191461,-4.75,-7.62,-1.36,22.37,"_","_","_","_","_","_"
"MAR 1997",186913759,8.86,6.87,9.55,196388495,-5.72,-8.79,-1.82,24.62,"_","_","_","_","_","_"
"ABR 1997",185057166,8.95,6.63,9.76,195439844,-5.47,-9.46,0.07,32.58,"_","_","_","_","_","_"
"MAY 1997",187038538,9.80,6.06,11.13,194894220,-5.52,-10.44,4.03,25.95,"_","_","_","_","_","_"
"JUN 1997",198251054,11.29,6.12,13.04,192699327,-5.57,-11.21,6.66,26.65,"_","_","_","_","_","_"
"JUL 1997",195401943,10.66,6.54,12.11,192408613,-5.38,-11.14,6.92,27.55,"_","_","_","_","_","_"
"AGO 1997",194780457,10.67,6.21,12.23,190096175,-6.91,-12.39,3.37,27.66,"_","_","_","_","_","_"
"SEP 1997",197128928,10.44,5.90,12.00,190597376,-6.82,-12.78,4.58,30.58,"_","_","_","_","_","_"
"OCT 1997",195128215,10.25,5.52,11.91,190634215,-6.52,-13.14,2.64,44.31,"_","_","_","_","_","_"
"NOV 1997",198402512,9.96,5.18,11.58,192486411,-4.96,-12.65,7.36,44.63,"_","_","_","_","_","_"
"DIC 1997",206712615,10.21,5.50,11.82,190203779,-5.13,-11.69,1.35,63.81,162737200,"_","_","_","_","_"
"ENE 1998",200344827,9.77,4.88,11.43,192922922,-4.06,-11.05,-2.41,63.29,170821381,"_","_","_","_","_"
"FEB 1998",206810581,12.43,4.27,15.19,189700163,-4.28,-10.84,-7.09,77.19,179042033,"_","_","_","_","_"
"MAR 1998",206450823,10.45,3.01,12.96,183917713,-6.35,-11.50,-7.69,59.09,189752999,"_","_","_","_","_"
"ABR 1998",204165065,10.33,4.14,12.43,179998823,-7.90,-12.06,-11.43,50.78,192741065,"_","_","_","_","_"
"MAY 1998",209620348,12.07,3.02,15.14,180912709,-7.17,-11.26,-12.08,52.71,195465828,"_","_","_","_","_"
"JUN 1998",212980617,7.43,2.14,9.11,185094558,-3.95,-10.86,-10.98,96.32,197189270,"_","_","_","_","_"
"JUL 1998",214925471,9.99,2.54,12.47,182829964,-4.98,-11.28,-11.89,83.17,200494157,"_","_","_","_","_"
"AGO 1998",213140857,9.43,1.36,12.10,181338620,-4.61,-10.13,-12.02,69.61,195605899,"_","_","_","_","_"
"SEP 1998",216053805,9.60,0.80,12.47,181558456,-4.74,-9.86,-15.22,81.06,194038747,"_","_","_","_",1.74
"OCT 1998",214165290,9.76,0.53,12.81,179599517,-5.79,-9.25,-11.79,37.34,199659986,"_","_","_","_",2.50
