"","IE_8_2.1","IE_8_2.2","IE_8_2.3","IE_8_2.4","IE_8_2.5","IE_8_2.6","IE_8_2.7","IE_8_2.8","IE_8_2.9","IE_8_2.10","IE_8_2.11","IE_8_2.12","IE_8_2.13","IE_8_2.14","IE_8_2.15"
"NOV 1998",221304357,11.54,0.76,15.01,180978491,-5.98,-6.83,-18.14,32.86,208331269,"_","_","_","_",1.85
"DIC 1998",231737926,12.11,0.70,15.78,178405260,-6.20,-7.07,-15.07,27.12,210149362,29.13,-4.72,84.64,1.70,1.81
"ENE 1999",229678415,14.64,0.68,19.11,179567700,-6.92,-5.15,-16.19,0.92,212028444,24.12,-7.24,71.15,1.73,4.04
"FEB 1999",228239161,10.36,0.75,13.30,177840915,-6.25,-5.46,-10.80,-2.36,213962119,19.50,-7.93,56.77,0.28,2.43
"MAR 1999",232612241,12.67,2.82,15.70,177851351,-3.30,-3.14,-13.51,18.27,214615423,13.10,-8.03,37.86,2.41,3.23
"ABR 1999",232837479,14.04,1.68,17.93,176692063,-1.84,-1.84,-11.89,19.45,217444839,12.82,-7.72,35.38,3.62,3.03
"MAY 1999",236351625,12.75,2.94,15.72,178619983,-1.27,-1.21,-10.06,16.22,217671973,11.36,-8.40,32.10,3.27,2.02
"JUN 1999",247801278,16.35,4.38,19.92,176943144,-4.40,1.19,-11.53,-19.59,216650021,9.87,-9.56,29.14,3.48,2.73
"JUL 1999",250010005,16.32,4.52,19.91,175904123,-3.79,3.55,-14.14,-22.54,212193896,5.84,-12.04,22.77,3.31,3.09
"AGO 1999",247069069,15.92,4.74,19.27,176948593,-2.42,4.27,-11.73,-20.26,212567740,8.67,-13.70,31.03,3.28,4.51
"SEP 1999",251081065,16.21,6.13,19.16,176929139,-2.55,5.30,-13.76,-22.37,209647296,8.04,-17.01,33.59,2.77,4.66
"OCT 1999",249575041,16.53,6.37,19.53,180071034,0.26,8.51,-10.61,-23.30,208512200,4.43,-20.77,28.98,3.13,4.50
"NOV 1999",252815599,14.24,6.52,16.41,186471363,3.04,9.09,1.33,-25.55,211175372,1.37,-23.45,23.97,2.74,4.87
"DIC 1999",261184508,12.71,8.31,13.94,191019686,7.07,11.89,7.46,-22.60,213806336,1.74,-23.38,23.00,3.86,5.46
"ENE 2000",255089261,11.06,6.87,12.20,194959179,8.57,12.95,12.19,-20.56,207663492,-2.06,-26.46,17.77,3.10,3.57
"FEB 2000",256855126,12.54,6.77,14.11,196200673,10.32,17.04,8.60,-22.63,209855862,-1.92,-30.19,20.63,3.66,4.26
"MAR 2000",260674399,12.06,6.04,13.71,201550069,13.33,19.92,10.97,-18.09,208505230,-2.85,-32.80,20.56,4.14,5.54
"ABR 2000",261660119,12.38,7.02,13.83,205702933,16.42,22.94,13.94,-14.27,204993036,-5.73,-33.86,15.34,5.23,7.61
"MAY 2000",258173098,9.23,5.36,10.28,207218923,16.01,24.08,12.07,-19.36,198710242,-8.71,-35.48,10.77,3.53,5.88
"JUN 2000",268447774,8.33,6.17,8.89,209886663,18.62,24.72,13.10,-8.52,195775598,-9.64,-34.45,7.60,4.48,6.60
"JUL 2000",269120312,7.64,4.42,8.50,213158722,21.18,25.22,20.97,-5.02,194093366,-8.53,-34.30,8.96,5.26,6.64
"AGO 2000",264416861,7.02,4.39,7.72,217738059,23.05,26.52,24.68,-2.15,195942164,-7.82,-33.93,9.36,5.80,6.32
"SEP 2000",270907798,7.90,4.21,8.86,222086299,25.52,27.24,32.11,2.45,193392812,-7.75,-32.84,8.14,7.52,7.48
"OCT 2000",264195245,5.86,2.68,6.69,222657337,23.65,26.27,23.33,5.22,190520136,-8.63,-31.75,5.20,6.39,7.21
"NOV 2000",263861932,4.37,2.16,4.94,225770789,21.08,24.99,13.58,8.20,183837477,-12.95,-30.73,-2.94,5.24,6.15
"DIC 2000",272699932,4.41,-0.36,5.68,228636054,19.69,25.41,11.96,-8.61,180807984,-15.43,-29.00,-8.28,5.27,7.35
"ENE 2001",263789992,3.41,-0.27,4.36,235139936,20.61,25.36,9.15,10.57,181449237,-12.62,-25.55,-6.06,5.97,7.74
"FEB 2001",264690826,3.05,-0.61,3.98,235439745,20.00,25.90,3.72,10.36,176536329,-15.88,-20.44,-13.77,6.46,7.78
"MAR 2001",267136638,2.48,-1.63,3.53,238371226,18.27,25.33,2.60,-2.58,174522498,-16.30,-14.56,-17.05,6.48,7.65
"ABR 2001",268055894,2.44,-2.83,3.79,240134013,16.74,24.44,0.13,-7.28,177564210,-13.38,-10.84,-14.47,6.46,7.99
"MAY 2001",267529287,3.62,-3.36,5.42,242545505,17.05,24.13,1.50,-5.18,177770414,-10.54,-5.71,-12.58,7.87,9.87
"JUN 2001",280686090,4.56,-4.44,6.83,243658234,16.09,22.81,1.45,-6.38,176882698,-9.65,-3.20,-12.38,8.23,10.42
"JUL 2001",278701583,3.56,-5.56,5.89,242724537,13.87,21.55,-3.25,-12.25,176221868,-9.21,2.29,-13.91,7.51,9.49
"AGO 2001",273853236,3.57,-6.38,6.11,246586352,13.25,21.60,-4.32,-16.12,175079552,-10.65,6.00,-17.26,7.74,10.34
"SEP 2001",281193683,3.80,-8.47,6.86,247209469,11.31,20.29,-6.13,-21.41,171242134,-11.45,12.04,-20.69,7.67,10.20
"OCT 2001",273714350,3.60,-10.15,7.08,248522946,11.62,17.85,0.09,-15.55,176168672,-7.53,18.96,-17.81,8.42,9.74
"NOV 2001",279398492,5.89,-12.66,10.55,251490917,11.39,17.18,4.48,-23.11,181114970,-1.48,24.12,-11.76,9.95,10.73
"DIC 2001",291309639,6.82,-21.30,13.88,250836887,9.71,13.05,6.83,-20.26,183726786,1.61,27.58,-8.98,9.98,10.38
"ENE 2002",280962427,6.51,-20.96,13.27,253798409,7.94,12.03,7.33,-25.87,181686802,0.13,29.20,-11.56,9.26,7.00
"FEB 2002",285068645,7.70,-18.89,14.16,253475723,7.66,10.20,12.26,-25.77,180715492,2.37,27.56,-8.36,9.58,6.94
"MAR 2002",289660310,8.43,-23.69,16.21,254843774,6.91,8.16,13.30,-20.45,183889930,5.37,27.65,-4.63,9.64,7.80
"ABR 2002",287903973,7.40,-19.87,13.91,256405776,6.78,6.94,14.69,-12.67,181239420,2.07,26.08,-8.68,8.96,6.80
"MAY 2002",291662057,9.02,-14.61,14.60,256032356,5.56,6.22,12.92,-18.42,179792176,1.14,25.85,-10.16,9.20,6.22
"JUN 2002",308004105,9.73,-11.50,14.53,258603906,6.13,6.22,11.69,-8.63,176479528,-0.23,25.00,-12.02,9.70,5.51
"JUL 2002",304420595,9.23,-7.93,13.13,259941407,7.09,7.06,14.40,-11.64,171245078,-2.82,22.95,-15.36,9.70,5.73
"AGO 2002",303330103,10.76,-5.47,14.43,262422364,6.42,6.00,13.86,-7.78,169434066,-3.22,21.31,-15.72,9.99,5.95
"SEP 2002",308281412,9.63,-2.45,12.21,260218778,5.26,5.12,11.10,-9.03,164733630,-3.80,18.76,-16.34,8.75,4.86
"OCT 2002",304986345,11.43,2.61,13.29,264779637,6.54,7.13,7.55,-3.44,167800819,-4.75,16.08,-16.45,9.86,6.56
"NOV 2002",314979043,12.73,7.58,13.76,264737913,5.27,6.33,4.18,-5.53,169952318,-6.16,13.15,-17.07,9.63,6.54
"DIC 2002",321910870,10.50,22.21,8.47,265115628,5.69,6.92,1.58,3.57,168872260,-8.09,11.15,-19.08,8.59,5.65
"ENE 2003",314818222,12.05,24.95,9.83,268106498,5.64,6.03,6.81,-3.27,168132948,-7.46,12.92,-19.44,9.44,10.83
"FEB 2003",319139875,11.95,24.72,9.75,270138628,6.57,5.74,8.80,10.57,171746136,-4.96,20.06,-19.80,10.60,10.80
"MAR 2003",326183827,12.61,34.79,9.08,270933578,6.31,4.64,12.93,7.49,173442562,-5.68,19.60,-20.86,10.78,9.16
"ABR 2003",326185775,13.30,31.82,10.19,269213641,5.00,3.81,12.54,-2.37,178635990,-1.44,20.58,-15.05,10.65,9.96
"MAY 2003",329534075,12.98,27.33,10.46,272122407,6.28,5.62,11.17,-0.54,183013296,1.79,20.83,-10.40,11.10,10.84
"JUN 2003",343326632,11.47,24.63,9.17,269199236,4.10,4.16,8.28,-9.41,187726826,6.37,21.65,-3.77,9.60,10.20
"JUL 2003",344335353,13.11,22.95,11.29,267342504,2.85,2.46,6.13,-2.62,191146012,11.62,23.55,3.20,10.08,11.11
"AGO 2003",343379692,13.20,22.18,11.53,270139155,2.94,1.93,7.84,1.19,193272902,14.07,23.72,7.00,10.16,10.80
"SEP 2003",346353424,12.35,21.22,10.70,268641852,3.24,2.45,8.08,-1.86,194171682,17.87,22.55,14.17,9.81,10.14
"OCT 2003",343282061,12.56,21.56,10.83,270346682,2.10,0.40,14.07,-12.26,196898358,17.34,20.30,15.03,9.14,10.86
"NOV 2003",354211204,12.46,21.72,10.72,271196770,2.44,0.55,13.48,-8.05,198547398,16.83,19.34,14.89,9.18,11.29
"DIC 2003",360217705,11.90,20.90,10.14,277139949,4.54,2.23,14.93,-1.21,200190494,18.55,18.46,18.61,9.68,10.29
"ENE 2004",355284401,12.85,21.59,11.15,273269245,1.93,2.07,0.50,4.98,203134072,20.82,14.69,25.87,8.62,9.11
"FEB 2004",358651752,12.38,21.10,10.67,270024730,-0.04,2.08,-3.37,-16.87,206238388,20.08,7.04,31.66,6.73,10.49
"MAR 2004",363439877,11.42,20.77,9.59,267550982,-1.25,3.03,-13.22,-16.74,210282088,21.24,7.17,34.00,5.85,9.97
"ABR 2004",363432743,11.42,21.05,9.49,268420902,-0.29,3.58,-11.32,-14.32,212254466,18.82,6.35,29.76,6.15,9.52
"MAY 2004",371075311,12.61,20.82,10.94,267563780,-1.68,2.41,-15.61,-9.99,212813492,16.28,5.50,25.60,6.07,9.27
"JUN 2004",388767211,13.24,20.59,11.77,266596320,-0.97,3.39,-15.25,-12.80,214014170,14.00,4.85,21.68,6.73,9.44
"JUL 2004",390076644,13.28,21.74,11.56,266479656,-0.32,4.12,-14.24,-17.21,213884646,11.90,3.29,19.17,6.83,9.05
"AGO 2004",381520902,11.11,20.62,9.17,270271303,0.05,4.79,-12.55,-23.01,215086428,11.29,3.64,17.77,5.91,7.64
"SEP 2004",388852758,12.27,21.29,10.44,268851156,0.08,5.49,-17.85,-14.66,214796296,10.62,2.13,17.81,6.34,8.42
"OCT 2004",388787052,13.26,21.02,11.62,269700865,-0.24,7.43,-25.05,-17.97,216601266,10.01,3.03,15.70,6.77,9.23
"NOV 2004",392677085,10.86,20.01,8.97,270707596,-0.18,8.09,-27.18,-18.58,219439514,10.52,4.20,15.58,5.84,8.29
"DIC 2004",401083136,11.34,19.74,9.54,277420728,0.10,8.38,-26.69,-11.31,221621714,10.71,5.19,15.03,6.30,8.87
"ENE 2005",396332794,11.55,19.88,9.77,275515934,0.82,8.68,-21.49,-31.40,224156932,10.35,7.18,12.73,6.92,9.33
"FEB 2005",401943208,12.07,19.11,10.56,276988083,2.58,9.35,-18.55,-25.92,227906756,10.51,8.85,11.70,8.10,8.28
"MAR 2005",408326794,12.35,18.74,10.97,280197118,4.73,8.75,-8.55,-13.75,229067334,8.93,5.74,11.25,8.70,8.58
"ABR 2005",411687962,13.28,18.13,12.20,281225040,4.77,9.49,-8.22,-25.40,230384316,8.54,7.00,9.65,9.34,8.52
"MAY 2005",416189513,12.16,17.28,11.03,281940022,5.37,10.01,-7.48,-26.81,234479786,10.18,7.93,11.81,9.15,8.52
"JUN 2005",434858676,11.86,17.56,10.63,288310736,8.15,11.51,-3.75,-8.25,237781474,11.11,9.45,12.30,10.24,10.00
"JUL 2005",440542398,12.94,16.99,12.03,285522190,7.15,10.43,-6.00,-5.90,241706452,13.01,9.90,15.29,10.50,10.01
"AGO 2005",428605589,12.34,16.87,11.32,289861269,7.25,10.90,-6.77,-7.61,244440796,13.65,9.91,16.44,10.19,10.67
"SEP 2005",435470479,11.99,17.50,10.76,289340817,7.62,10.26,-0.95,-10.80,248075990,15.49,10.75,18.98,10.27,11.19
"OCT 2005",435419235,11.99,16.39,10.99,289026607,7.17,9.52,-1.38,-8.72,247805326,14.41,10.01,17.60,10.02,9.20
"NOV 2005",444857164,13.29,16.67,12.52,296180516,9.41,10.23,6.35,3.47,250805712,14.29,8.52,18.46,11.32,10.06
"DIC 2005",458993189,14.44,16.11,14.05,301880966,8.82,10.54,1.56,1.80,252891586,14.11,7.17,19.09,11.54,10.71
"ENE 2006",449937053,13.53,15.60,13.04,306677071,11.31,10.62,17.72,1.24,253660968,13.16,2.51,20.76,11.38,11.06
"FEB 2006",455006468,13.20,15.79,12.60,311449329,12.44,11.05,21.87,5.97,256849008,12.70,-1.02,22.35,11.20,10.90
"MAR 2006",462433830,13.25,16.26,12.55,318289534,13.59,12.94,23.33,-10.03,260184044,13.58,-2.35,24.57,11.51,11.01
"ABR 2006",462417406,12.32,15.37,11.61,318962527,13.42,12.84,19.89,-0.90,260201936,12.94,-5.67,26.00,10.54,11.86
"MAY 2006",465721327,11.90,14.51,11.29,324070523,14.94,13.52,26.90,-1.32,257471626,9.81,-6.31,21.09,10.77,12.17
"JUN 2006",485709069,11.69,13.88,11.19,330220056,14.54,13.92,24.44,-9.12,257077910,8.12,-5.24,17.53,10.66,11.98
"JUL 2006",485663139,10.24,11.95,9.84,336987172,18.02,16.75,30.89,-2.18,256931936,6.30,-7.74,16.11,10.77,13.45
"AGO 2006",475618128,10.97,11.63,10.81,344555616,18.87,17.74,30.40,-0.62,259494710,6.16,-8.55,16.51,11.36,13.59
"SEP 2006",489219796,12.34,10.53,12.77,347105588,19.96,19.25,29.67,-2.28,259113362,4.45,-9.63,14.07,12.33,14.58
"OCT 2006",480037915,10.25,9.46,10.44,351523310,21.62,20.50,32.86,3.89,261738848,5.62,-9.11,15.63,11.88,15.35
"NOV 2006",484684256,8.95,9.63,8.79,358474682,21.03,21.44,24.28,-1.57,259714298,3.55,-11.38,13.42,10.79,15.07
"DIC 2006",511049956,11.34,8.91,11.92,370255849,22.65,22.77,26.77,2.21,260468341,3.00,-11.64,12.45,12.66,17.34
"ENE 2007",488925991,8.67,8.21,8.77,378546823,23.43,25.96,15.86,-2.45,261079929,2.92,-10.52,11.07,11.83,16.76
"FEB 2007",489372075,7.55,7.57,7.55,385465894,23.77,26.63,14.37,-2.35,261489000,1.81,-8.48,7.66,11.69,17.31
"MAR 2007",500050246,8.13,7.29,8.34,397434899,24.87,27.68,13.44,11.28,264297072,1.58,-4.08,4.64,12.96,19.34
"ABR 2007",489467347,5.85,6.24,5.76,400316133,25.51,28.50,13.27,9.27,265335813,1.97,-3.05,4.61,12.13,19.23
"MAY 2007",496613193,6.63,6.36,6.70,406457299,25.42,28.02,13.08,20.13,267384900,3.85,-4.76,8.52,12.38,19.92
"JUN 2007",514627728,5.95,5.76,6.00,414468859,25.51,28.52,13.44,7.21,267205827,3.94,-7.17,10.26,11.71,18.54
"JUL 2007",500343945,3.02,4.88,2.58,418575730,24.21,26.96,12.48,9.75,265368735,3.28,-6.11,8.50,9.92,17.12
"AGO 2007",489038111,2.82,5.34,2.22,427853758,24.18,26.29,15.54,11.49,264809010,2.05,-4.11,5.45,10.18,18.62
"SEP 2007",498374561,1.87,4.18,1.33,436048823,25.62,27.91,15.95,12.66,260766425,0.64,-3.35,2.80,10.25,18.03
"OCT 2007",482436669,0.50,3.52,-0.22,444547322,26.46,29.84,11.84,6.42,258843033,-1.11,-6.13,1.58,9.74,17.78
"NOV 2007",485037712,0.07,2.46,-0.49,452376427,26.19,29.99,9.41,2.14,254300778,-2.08,-3.86,-1.17,9.75,16.85
"DIC 2007",494840484,-3.17,0.91,-4.12,460589021,24.40,29.82,1.26,-9.53,250547669,-3.81,-3.44,-3.99,7.34,14.69
"ENE 2008",479302316,-1.97,0.47,-2.55,471699880,24.61,29.95,-0.28,-5.88,242193978,-7.23,5.41,-13.40,9.25,14.82
"FEB 2008",477246015,-2.48,0.20,-3.12,482742423,25.24,31.21,-3.28,-6.91,237463408,-9.19,4.34,-15.73,9.25,14.78
"MAR 2008",477571743,-4.50,-1.47,-5.21,488414597,22.89,29.67,-7.94,-15.38,229950818,-13.00,1.30,-20.08,7.07,12.87
"ABR 2008",467878598,-4.41,-1.73,-5.06,499891504,24.87,31.64,-7.89,-10.88,226393192,-14.68,0.02,-21.83,7.99,12.06
"MAY 2008",474002400,-4.55,-2.30,-5.09,506104646,24.52,31.54,-7.74,-19.85,221355628,-17.21,-2.43,-24.25,7.58,11.86
"JUN 2008",484662863,-5.82,-3.28,-6.42,519060057,25.23,30.69,-2.65,1.92,211951160,-20.68,-6.28,-27.57,6.81,12.86
"JUL 2008",476624484,-4.74,-3.37,-5.07,524528812,25.31,31.66,-5.83,-9.94,205984376,-22.38,-8.80,-28.90,7.43,13.04
"AGO 2008",474930612,-2.88,-3.68,-2.69,531904655,24.32,31.78,-12.50,-7.69,203639458,-23.10,-11.71,-28.82,7.91,13.16
"SEP 2008",475503661,-4.59,-3.96,-4.74,534880819,22.67,29.59,-11.57,-11.94,197801630,-24.15,-13.78,-29.42,6.24,10.83
"OCT 2008",462340058,-4.17,1.15,-5.47,540758065,21.64,27.49,-8.11,-18.87,186178692,-28.07,-16.33,-33.87,6.14,9.88
"NOV 2008",472558749,-2.57,0.84,-3.41,540809431,19.55,25.78,-14.38,-24.36,179702992,-29.33,-18.11,-34.97,5.92,9.01
"DIC 2008",478488367,-3.30,0.55,-4.25,544825147,18.29,24.35,-19.56,-8.53,175073492,-30.12,-19.98,-35.30,4.90,8.01
"ENE 2009",469667169,-2.01,1.23,-2.80,536702818,13.78,19.86,-25.06,-22.94,177794554,-26.59,-22.23,-29.18,3.39,7.80
"FEB 2009",472877787,-0.92,1.32,-1.47,536743394,11.19,16.75,-26.57,-21.14,175608044,-26.05,-21.23,-28.94,2.93,7.39
"MAR 2009",473601360,-0.83,1.83,-1.49,536415873,9.83,15.47,-29.59,-19.67,172388842,-25.03,-21.80,-27.06,2.34,7.58
"ABR 2009",472703580,1.03,2.96,0.55,537004927,7.42,11.83,-23.35,-25.30,175566974,-22.45,-18.60,-24.85,2.44,7.01
"MAY 2009",487197126,2.78,3.29,2.66,536018410,5.91,9.73,-20.57,-24.71,175358605,-20.78,-17.05,-23.06,2.70,5.41
"JUN 2009",501929828,3.56,3.28,3.63,531262647,2.35,7.22,-26.37,-48.39,172352802,-18.68,-16.40,-20.10,1.49,3.91
"JUL 2009",499195698,4.74,3.91,4.94,533265414,1.67,5.79,-24.88,-41.28,173534749,-15.75,-12.76,-17.60,1.97,3.30
"AGO 2009",497644001,4.78,4.07,4.96,533776386,0.35,4.20,-24.49,-42.11,175245155,-13.94,-11.22,-15.64,1.46,1.85
"SEP 2009",501928898,5.56,3.94,5.95,529193194,-1.06,2.64,-26.55,-35.52,176334322,-10.85,-6.89,-13.32,1.43,1.58
"OCT 2009",503448042,8.89,-0.43,11.35,520073910,-3.83,-0.35,-30.10,-31.38,176312220,-5.30,-1.91,-7.41,1.77,0.53
"NOV 2009",504855353,6.83,0.00,8.58,519888318,-3.87,-1.37,-24.68,-28.22,176528895,-1.77,0.59,-3.26,1.09,-0.11
"DIC 2009",519298021,8.53,0.58,10.57,526027430,-3.45,-1.31,-19.62,-39.66,176815527,1.00,1.15,0.90,2.09,0.31
"ENE 2010",514973205,9.65,1.04,11.84,523176380,-2.52,-1.17,-13.70,-29.90,175653986,-1.20,-3.56,0.33,2.72,-1.20
"FEB 2010",515478552,9.01,0.73,11.10,518092268,-3.47,-2.16,-13.17,-38.87,174537465,-0.61,-5.94,2.93,1.83,-2.39
"MAR 2010",509054223,7.49,0.93,9.15,524324005,-2.25,-1.38,-5.99,-40.81,174209667,1.06,-8.62,7.57,1.61,-2.75
"ABR 2010",505571628,6.95,-0.44,8.85,523319535,-2.55,-1.76,-7.40,-30.02,173348768,-1.26,-12.21,6.13,0.98,-3.85
"MAY 2010",512263084,5.14,0.29,6.35,528351881,-1.43,-0.08,-10.71,-39.86,168574923,-3.87,-15.26,3.65,0.62,-4.13
"JUN 2010",530946378,5.78,0.79,6.98,534539570,0.62,1.40,-5.54,-20.11,163519449,-5.13,-24.73,7.57,1.41,-4.40
"JUL 2010",523585922,4.89,0.80,5.89,541852506,1.61,2.70,-6.85,-28.50,152902486,-11.89,-29.55,-0.37,1.16,-5.23
