"","IE_3_7.1","IE_3_7.2","IE_3_7.3","IE_3_7.4","IE_3_7.5","IE_3_7.6","IE_3_7.7","IE_3_7.8","IE_3_7.9","IE_3_7.10","IE_3_7.11","IE_3_7.12","IE_3_7.13","IE_3_7.14","IE_3_7.15"
"OCT 1968","_","_","_","_","_","_","_",23.68,"_","_",53.05,"_","_","_","_"
"NOV 1968","_","_","_","_","_","_","_",30.79,"_","_",34.36,"_","_","_","_"
"DIC 1968","_","_","_","_","_","_","_",23.08,"_","_",39.57,"_","_","_","_"
"ENE 1969","_","_","_","_","_","_","_",25.89,"_","_",47.93,"_","_","_","_"
"FEB 1969","_","_","_","_","_","_","_",21.95,"_","_",35.93,"_","_","_","_"
"MAR 1969","_","_","_","_","_","_","_",33.09,"_","_",43.51,"_","_","_","_"
"ABR 1969","_","_","_","_","_","_","_",19.17,"_","_",24.20,"_","_","_","_"
"MAY 1969","_","_","_","_","_","_","_",32.09,"_","_",23.51,"_","_","_","_"
"JUN 1969","_","_","_","_","_","_","_",22.61,"_","_",21.37,"_","_","_","_"
"JUL 1969","_","_","_","_","_","_","_",26.50,"_","_",16.10,"_","_","_","_"
"AGO 1969","_","_","_","_","_","_","_",31.79,"_","_",18.16,"_","_","_","_"
"SEP 1969","_","_","_","_","_","_","_",22.78,"_","_",2.08,"_","_","_","_"
"OCT 1969","_","_","_","_","_","_","_",24.30,"_","_",-0.66,"_","_","_","_"
"NOV 1969","_","_","_","_","_","_","_",28.25,"_","_",18.31,"_","_","_","_"
"DIC 1969","_","_","_","_","_","_","_",26.47,"_","_",15.37,"_","_","_","_"
"ENE 1970","_","_","_","_","_","_","_",29.13,"_","_",14.35,"_","_","_","_"
"FEB 1970","_","_","_","_","_","_","_",31.43,"_","_",14.34,"_","_","_","_"
"MAR 1970","_","_","_","_","_","_","_",30.83,"_","_",9.69,"_","_","_","_"
"ABR 1970","_","_","_","_","_","_","_",16.24,"_","_",18.86,"_","_","_","_"
"MAY 1970","_","_","_","_","_","_","_",23.83,"_","_",7.32,"_","_","_","_"
"JUN 1970","_","_","_","_","_","_","_",13.80,"_","_",9.27,"_","_","_","_"
"JUL 1970","_","_","_","_","_","_","_",20.53,"_","_",20.49,"_","_","_","_"
"AGO 1970","_","_","_","_","_","_","_",21.76,"_","_",11.37,"_","_","_","_"
"SEP 1970","_","_","_","_","_","_","_",19.04,"_","_",5.22,"_","_","_","_"
"OCT 1970","_","_","_","_","_","_","_",26.99,"_","_",5.37,"_","_","_","_"
"NOV 1970","_","_","_","_","_","_","_",28.79,"_","_",-5.04,"_","_","_","_"
"DIC 1970","_","_","_","_","_","_","_",22.38,"_","_",2.19,"_","_","_","_"
"ENE 1971","_","_","_","_","_","_","_",35.07,"_","_",18.71,"_","_","_","_"
"FEB 1971","_","_","_","_","_","_","_",28.45,"_","_",8.37,"_","_","_","_"
"MAR 1971","_","_","_","_","_","_","_",19.56,"_","_",18.88,"_","_","_","_"
"ABR 1971","_","_","_","_","_","_","_",41.32,"_","_",24.69,"_","_","_","_"
"MAY 1971","_","_","_","_","_","_","_",26.90,"_","_",18.42,"_","_","_","_"
"JUN 1971","_","_","_","_","_","_","_",27.12,"_","_",23.45,"_","_","_","_"
"JUL 1971","_","_","_","_","_","_","_",24.32,"_","_",19.35,"_","_","_","_"
"AGO 1971","_","_","_","_","_","_","_",14.70,"_","_",39.27,"_","_","_","_"
"SEP 1971","_","_","_","_","_","_","_",18.56,"_","_",39.84,"_","_","_","_"
"OCT 1971","_","_","_","_","_","_","_",28.29,"_","_",34.83,"_","_","_","_"
"NOV 1971","_","_","_","_","_","_","_",29.86,"_","_",53.96,"_","_","_","_"
"DIC 1971","_","_","_","_","_","_","_",29.61,"_","_",53.71,"_","_","_","_"
"ENE 1972","_","_","_","_","_","_","_",22.18,"_","_",24.18,"_","_","_","_"
"FEB 1972","_","_","_","_","_","_","_",27.85,"_","_",42.55,"_","_","_","_"
"MAR 1972","_","_","_","_","_","_","_",27.57,"_","_",58.97,"_","_","_","_"
"ABR 1972","_","_","_","_","_","_","_",10.35,"_","_",9.10,"_","_","_","_"
"MAY 1972","_","_","_","_","_","_","_",7.96,"_","_",21.18,"_","_","_","_"
"JUN 1972","_","_","_","_","_","_","_",10.19,"_","_",18.68,"_","_","_","_"
"JUL 1972","_","_","_","_","_","_","_",18.03,"_","_",12.83,"_","_","_","_"
"AGO 1972","_","_","_","_","_","_","_",11.83,"_","_",1.95,"_","_","_","_"
"SEP 1972","_","_","_","_","_","_","_",19.27,"_","_",13.58,"_","_","_","_"
"OCT 1972","_","_","_","_","_","_","_",17.92,"_","_",10.94,"_","_","_","_"
"NOV 1972","_","_","_","_","_","_","_",22.36,"_","_",7.88,"_","_","_","_"
"DIC 1972","_","_","_","_","_","_","_",26.63,"_","_",20.91,"_","_","_","_"
"ENE 1973","_","_","_","_","_","_","_",42.27,"_","_",24.98,"_","_","_","_"
"FEB 1973","_","_","_","_","_","_","_",41.10,"_","_",16.79,"_","_","_","_"
"MAR 1973","_","_","_","_","_","_","_",8.02,"_","_",-8.11,"_","_","_","_"
"ABR 1973","_","_","_","_","_","_","_",24.65,"_","_",12.75,"_","_","_","_"
"MAY 1973","_","_","_","_","_","_","_",8.19,"_","_",14.25,"_","_","_","_"
"JUN 1973","_","_","_","_","_","_","_",16.00,"_","_",14.66,"_","_","_","_"
"JUL 1973","_","_","_","_","_","_","_",10.54,"_","_",22.49,"_","_","_","_"
"AGO 1973","_","_","_","_","_","_","_",12.53,"_","_",22.00,"_","_","_","_"
"SEP 1973","_","_","_","_","_","_","_",7.70,"_","_",12.28,"_","_","_","_"
"OCT 1973","_","_","_","_","_","_","_",3.61,"_","_",15.88,"_","_","_","_"
"NOV 1973","_","_","_","_","_","_","_",10.91,"_","_",18.33,"_","_","_","_"
"DIC 1973","_","_","_","_","_","_","_",12.16,"_","_",-2.04,"_","_","_","_"
"ENE 1974","_","_","_","_","_","_","_",-10.90,"_","_",2.98,"_","_","_","_"
"FEB 1974","_","_","_","_","_","_","_",-14.90,"_","_",1.55,"_","_","_","_"
"MAR 1974","_","_","_","_","_","_","_",7.01,"_","_",5.65,"_","_","_","_"
"ABR 1974","_","_","_","_","_","_","_",-0.37,"_","_",15.80,"_","_","_","_"
"MAY 1974","_","_","_","_","_","_","_",-1.33,"_","_",16.66,"_","_","_","_"
"JUN 1974","_","_","_","_","_","_","_",-4.39,"_","_",9.43,"_","_","_","_"
"JUL 1974","_","_","_","_","_","_","_",-7.16,"_","_",1.14,"_","_","_","_"
"AGO 1974","_","_","_","_","_","_","_",4.00,"_","_",7.61,"_","_","_","_"
"SEP 1974","_","_","_","_","_","_","_",0.64,"_","_",9.62,"_","_","_","_"
"OCT 1974","_","_","_","_","_","_","_",-2.96,"_","_",9.43,"_","_","_","_"
"NOV 1974","_","_","_","_","_","_","_",-7.28,"_","_",-0.16,"_","_","_","_"
"DIC 1974","_","_","_","_","_","_","_",-7.40,"_","_",8.76,"_","_","_","_"
"ENE 1975","_","_","_","_","_","_","_",-0.18,"_","_",8.84,"_","_","_","_"
"FEB 1975","_","_","_","_","_","_","_",2.10,"_","_",12.91,"_","_","_","_"
"MAR 1975","_","_","_","_","_","_","_",15.17,"_","_",15.69,"_","_","_","_"
"ABR 1975","_","_","_","_","_","_","_",-5.29,"_","_",2.75,"_","_","_","_"
"MAY 1975","_","_","_","_","_","_","_",19.74,"_","_",-5.40,"_","_","_","_"
"JUN 1975","_","_","_","_","_","_","_",14.77,"_","_",-1.25,"_","_","_","_"
"JUL 1975","_","_","_","_","_","_","_",15.50,"_","_",7.42,"_","_","_","_"
"AGO 1975","_","_","_","_","_","_","_",9.91,"_","_",9.83,"_","_","_","_"
"SEP 1975","_","_","_","_","_","_","_",7.80,"_","_",-2.72,"_","_","_","_"
"OCT 1975","_","_","_","_","_","_","_",4.16,"_","_",4.75,"_","_","_","_"
"NOV 1975","_","_","_","_","_","_","_",1.38,"_","_",11.01,"_","_","_","_"
"DIC 1975","_","_","_","_","_","_","_",11.38,"_","_",6.88,"_","_","_","_"
"ENE 1976","_","_","_","_","_","_","_",7.99,"_","_",-4.34,"_","_","_","_"
"FEB 1976","_","_","_","_","_","_","_",6.70,"_","_",-2.42,"_","_","_","_"
"MAR 1976","_","_","_","_","_","_","_",-9.26,"_","_",-1.88,"_","_","_","_"
"ABR 1976","_","_","_","_","_","_","_",19.96,"_","_",6.26,"_","_","_","_"
"MAY 1976","_","_","_","_","_","_","_",-2.22,"_","_",9.00,"_","_","_","_"
"JUN 1976","_","_","_","_","_","_","_",-4.71,"_","_",5.98,"_","_","_","_"
"JUL 1976","_","_","_","_","_","_","_",1.05,"_","_",15.14,"_","_","_","_"
"AGO 1976","_","_","_","_","_","_","_",-1.84,"_","_",-8.77,"_","_","_","_"
"SEP 1976","_","_","_","_","_","_","_",-5.19,"_","_",14.65,"_","_","_","_"
"OCT 1976","_","_","_","_","_","_","_",6.05,"_","_",6.36,"_","_","_","_"
"NOV 1976","_","_","_","_","_","_","_",8.20,"_","_",11.33,"_","_","_","_"
"DIC 1976","_","_","_","_","_","_","_",5.21,"_","_",23.49,"_","_","_","_"
"ENE 1977","_","_","_","_","_","_","_",11.27,"_","_",25.87,"_","_","_","_"
"FEB 1977","_","_","_","_","_","_","_",9.65,"_","_",23.69,"_","_","_","_"
"MAR 1977","_","_","_","_","_","_","_",13.50,"_","_",20.12,"_","_","_","_"
"ABR 1977","_","_","_","_","_","_","_",5.31,"_","_",13.98,"_","_","_","_"
"MAY 1977","_","_","_","_","_","_","_",8.60,"_","_",21.40,"_","_","_","_"
"JUN 1977","_","_","_","_","_","_","_",8.00,"_","_",17.19,"_","_","_","_"
"JUL 1977","_","_","_","_","_","_","_",11.44,"_","_",2.69,"_","_","_","_"
"AGO 1977","_","_","_","_","_","_","_",9.31,"_","_",27.40,"_","_","_","_"
"SEP 1977","_","_","_","_","_","_","_",19.45,"_","_",20.11,"_","_","_","_"
"OCT 1977","_","_","_","_","_","_","_",20.75,"_","_",20.51,"_","_","_","_"
"NOV 1977","_","_","_","_","_","_","_",1.59,"_","_",6.47,"_","_","_","_"
"DIC 1977","_","_","_","_","_","_","_",10.62,"_","_",8.18,"_","_","_","_"
"ENE 1978","_","_","_","_","_","_","_",7.37,"_","_",9.03,11.85,-10.47,"_","_"
"FEB 1978","_","_","_","_","_","_","_",7.53,"_","_",8.39,7.78,-7.91,"_","_"
"MAR 1978","_","_","_","_","_","_","_",20.79,"_","_",11.87,29.09,4.93,"_","_"
"ABR 1978","_","_","_","_","_","_","_",2.45,"_","_",21.99,-16.78,0.18,"_","_"
"MAY 1978","_","_","_","_","_","_","_",18.44,"_","_",20.28,11.70,-4.63,"_","_"
"JUN 1978","_","_","_","_","_","_","_",14.52,"_","_",23.85,3.90,9.79,"_","_"
"JUL 1978","_","_","_","_","_","_","_",9.31,"_","_",20.11,6.75,-1.91,"_","_"
"AGO 1978","_","_","_","_","_","_","_",11.23,"_","_",7.68,1.06,5.11,"_","_"
"SEP 1978","_","_","_","_","_","_","_",14.08,"_","_",1.65,19.24,8.56,"_","_"
"OCT 1978","_","_","_","_","_","_","_",13.39,"_","_",2.23,20.04,0.10,"_","_"
"NOV 1978","_","_","_","_","_","_","_",29.91,"_","_",11.73,10.79,-13.15,"_","_"
"DIC 1978","_","_","_","_","_","_","_",13.65,"_","_",-5.51,11.90,8.88,"_","_"
"ENE 1979","_","_","_","_","_","_","_",9.71,"_","_",2.50,-2.64,2.52,"_","_"
"FEB 1979","_","_","_","_","_","_","_",3.50,"_","_",-9.12,9.43,1.00,"_","_"
"MAR 1979","_","_","_","_","_","_","_",-2.60,"_","_",-4.87,-12.96,-1.19,"_","_"
"ABR 1979","_","_","_","_","_","_","_",20.95,"_","_",-9.67,26.97,-9.56,"_","_"
"MAY 1979","_","_","_","_","_","_","_",2.24,"_","_",-4.77,11.77,15.79,"_","_"
"JUN 1979","_","_","_","_","_","_","_",6.35,"_","_",-8.29,11.39,-2.53,"_","_"
"JUL 1979","_","_","_","_","_","_","_",-0.31,"_","_",-2.99,3.10,17.61,"_","_"
"AGO 1979","_","_","_","_","_","_","_",-0.68,"_","_",-2.95,-5.65,-5.71,"_","_"
"SEP 1979","_","_","_","_","_","_","_",-1.55,"_","_",-4.41,0.39,32.98,"_","_"
"OCT 1979","_","_","_","_","_","_","_",-4.39,"_","_",-2.24,-4.74,15.80,"_","_"
"NOV 1979","_","_","_","_","_","_","_",-4.95,"_","_",-3.63,2.98,12.39,"_","_"
"DIC 1979","_","_","_","_","_","_","_",-3.18,"_","_",-0.91,8.10,0.34,"_","_"
"ENE 1980","_","_","_","_","_","_","_",-3.90,"_","_",-3.58,11.86,7.73,"_","_"
"FEB 1980","_","_","_","_","_","_","_",5.00,"_","_",10.39,11.67,22.59,"_","_"
"MAR 1980","_","_","_","_","_","_","_",-2.09,"_","_",-2.21,13.64,8.82,"_","_"
"ABR 1980","_","_","_","_","_","_","_",-14.81,"_","_",-1.90,6.94,21.69,"_","_"
"MAY 1980","_","_","_","_","_","_","_",-6.02,"_","_",-0.94,6.85,22.16,"_","_"
"JUN 1980","_","_","_","_","_","_","_",-9.15,"_","_",-6.84,-0.23,7.44,"_","_"
"JUL 1980","_","_","_","_","_","_","_",-8.45,"_","_",-0.43,-0.88,7.85,"_","_"
"AGO 1980","_","_","_","_","_","_","_",-6.26,"_","_",-8.64,18.40,18.11,"_","_"
"SEP 1980","_","_","_","_","_","_","_",-9.59,"_","_",-1.96,3.56,-27.22,"_","_"
"OCT 1980","_","_","_","_","_","_","_",-10.29,"_","_",0.73,-6.48,-1.69,"_","_"
"NOV 1980","_","_","_","_","_","_","_",-8.22,"_","_",-2.88,-13.56,-4.88,"_","_"
"DIC 1980","_","_","_","_","_","_","_",-8.34,"_","_",-2.84,-16.06,-9.57,"_","_"
"ENE 1981","_","_","_","_","_","_","_",-10.85,-17.27,0.17,-10.49,-17.70,4.24,"_","_"
"FEB 1981","_","_","_","_","_","_","_",-13.38,-16.01,-9.34,-7.51,-24.72,5.95,"_","_"
"MAR 1981","_","_","_","_","_","_","_",-12.65,-12.23,-13.21,-1.91,-18.82,7.63,"_","_"
"ABR 1981","_","_","_","_","_","_","_",1.74,-1.87,6.60,6.13,-16.64,11.05,"_","_"
"MAY 1981","_","_","_","_","_","_","_",0.69,-4.50,6.15,-1.13,-16.87,-13.99,"_","_"
"JUN 1981","_","_","_","_","_","_","_",4.56,-2.64,12.12,-1.30,-4.89,3.74,"_","_"
"JUL 1981","_","_","_","_","_","_","_",2.76,-4.65,10.16,-2.97,-21.64,-15.05,"_","_"
"AGO 1981","_","_","_","_","_","_","_",3.25,-4.10,9.90,-5.41,-19.70,-1.31,"_","_"
"SEP 1981","_","_","_","_","_","_","_",7.05,-1.99,16.32,-1.37,-22.89,7.01,"_","_"
"OCT 1981","_","_","_","_","_","_","_",11.49,2.91,20.92,-1.17,-2.78,-1.65,"_","_"
"NOV 1981","_","_","_","_","_","_","_",6.91,1.02,15.96,1.69,1.26,9.32,"_","_"
"DIC 1981","_","_","_","_","_","_","_",3.86,-1.45,13.17,-4.09,0.85,13.48,"_","_"
"ENE 1982","_","_","_","_","_","_","_",10.86,5.31,18.74,-0.16,-5.52,-1.34,"_","_"
"FEB 1982","_","_","_","_","_","_","_",11.00,6.10,17.96,-1.42,1.55,-5.46,"_","_"
"MAR 1982","_","_","_","_","_","_","_",11.85,8.58,16.23,-4.37,-7.85,-4.02,"_","_"
"ABR 1982","_","_","_","_","_","_","_",5.97,1.32,11.74,-7.06,-9.24,-12.02,"_","_"
"MAY 1982","_","_","_","_","_","_","_",10.78,4.40,16.81,-3.97,-8.75,1.96,"_","_"
"JUN 1982","_","_","_","_","_","_","_",5.39,-2.37,12.46,-1.23,-17.01,0.73,"_","_"
"JUL 1982","_","_","_","_","_","_","_",6.96,0.03,12.96,-2.95,-1.33,9.25,"_","_"
"AGO 1982","_","_","_","_","_","_","_",2.87,-0.39,5.44,-1.72,-6.09,2.05,"_","_"
"SEP 1982","_","_","_","_","_","_","_",2.38,-2.52,6.60,0.01,-0.57,3.00,"_","_"
"OCT 1982","_","_","_","_","_","_","_",1.34,-7.34,9.45,-3.59,-0.42,-11.31,"_","_"
"NOV 1982","_","_","_","_","_","_","_",0.30,1.16,-0.84,-2.80,-7.11,3.78,"_","_"
"DIC 1982","_","_","_","_","_","_","_",3.29,2.50,4.51,5.65,8.51,16.89,"_","_"
"ENE 1983","_","_","_","_","_","_","_",3.08,2.15,4.24,-1.13,11.76,5.42,"_","_"
"FEB 1983","_","_","_","_","_","_","_",-0.08,-2.10,2.50,-5.99,4.37,4.13,"_","_"
"MAR 1983","_","_","_","_","_","_","_",4.89,4.16,5.80,4.03,28.21,11.29,"_","_"
"ABR 1983","_","_","_","_","_","_","_",-6.25,-9.07,-3.08,-6.14,1.01,15.87,"_","_"
"MAY 1983","_","_","_","_","_","_","_",-1.63,-2.74,-0.68,-3.55,-3.31,0.03,"_","_"
"JUN 1983","_","_","_","_","_","_","_",2.93,0.15,5.12,2.66,0.91,-3.29,"_","_"
"JUL 1983","_","_","_","_","_","_","_",2.83,-0.70,5.53,2.83,-14.65,3.99,"_","_"
"AGO 1983","_","_","_","_","_","_","_",-0.71,-2.68,0.76,-0.39,-4.15,1.51,"_","_"
"SEP 1983","_","_","_","_","_","_","_",4.28,1.97,6.10,1.75,11.48,11.37,"_","_"
"OCT 1983","_","_","_","_","_","_","_",6.31,7.04,5.73,-0.22,-29.74,11.71,"_","_"
"NOV 1983","_","_","_","_","_","_","_",1.36,-4.23,8.99,-3.69,-3.05,3.33,"_","_"
"DIC 1983","_","_","_","_","_","_","_",-3.53,-11.66,8.66,-5.11,-10.01,-3.73,"_","_"
"ENE 1984","_","_","_","_","_","_","_",-1.28,-7.23,6.05,4.43,-7.67,-10.86,"_","_"
"FEB 1984","_","_","_","_","_","_","_",1.76,-4.83,9.80,9.19,-12.09,-4.07,"_","_"
"MAR 1984","_","_","_","_","_","_","_",-1.19,-10.96,10.89,-0.67,-29.42,-10.25,"_","_"
"ABR 1984","_","_","_","_","_","_","_",12.68,1.78,24.16,7.76,9.34,-2.87,"_","_"
"MAY 1984","_","_","_","_","_","_","_",8.00,-2.19,16.44,7.49,-2.63,3.04,"_","_"
"JUN 1984","_","_","_","_","_","_","_",4.07,-9.30,14.15,2.23,-3.80,1.71,"_","_"
"JUL 1984","_","_","_","_","_","_","_",-2.78,-13.70,5.09,-1.40,12.31,-7.91,"_","_"
"AGO 1984","_","_","_","_","_","_","_",3.76,-8.94,12.91,7.49,-11.67,-12.97,"_","_"
"SEP 1984","_","_","_","_","_","_","_",4.75,-9.63,15.66,-3.85,-20.41,-9.74,"_","_"
"OCT 1984","_","_","_","_","_","_","_",3.81,-3.12,9.36,2.04,67.76,1.28,"_","_"
"NOV 1984","_","_","_","_","_","_","_",5.58,-0.15,12.44,2.63,51.29,-11.41,"_","_"
"DIC 1984","_","_","_","_","_","_","_",7.63,2.96,13.34,0.14,57.32,9.02,"_","_"
"ENE 1985","_","_","_","_","_","_","_",2.05,-0.94,5.27,-1.28,-3.47,-3.93,"_","_"
"FEB 1985","_","_","_","_","_","_","_",4.08,2.82,5.41,1.08,-0.52,-9.31,"_","_"
"MAR 1985","_","_","_","_","_","_","_",5.02,-0.45,10.45,5.44,12.05,3.87,"_","_"
"ABR 1985","_","_","_","_","_","_","_",-7.16,-5.32,-8.75,4.17,-7.95,-7.19,"_","_"
"MAY 1985","_","_","_","_","_","_","_",-8.30,-2.24,-12.52,0.52,1.64,3.91,"_","_"
"JUN 1985","_","_","_","_","_","_","_",-2.47,6.02,-7.55,0.98,23.34,0.69,"_","_"
"JUL 1985","_","_","_","_","_","_","_",-0.16,10.43,-6.43,-0.20,8.04,12.93,"_","_"
"AGO 1985","_","_","_","_","_","_","_",0.02,3.31,-1.89,-4.59,11.67,11.64,"_","_"
"SEP 1985","_","_","_","_","_","_","_",-1.94,7.63,-7.61,0.51,-2.39,4.32,"_","_"
"OCT 1985","_","_","_","_","_","_","_",-2.34,-1.40,-3.01,-3.33,-24.21,14.77,"_","_"
"NOV 1985","_","_","_","_","_","_","_",3.85,-0.32,8.29,-1.01,-33.64,14.26,"_","_"
"DIC 1985","_","_","_","_","_","_","_",-1.29,-6.50,4.48,-0.37,-31.58,2.74,"_","_"
"ENE 1986","_","_","_","_","_","_","_",6.02,3.05,9.03,0.64,7.52,6.79,"_",-5.14
"FEB 1986","_","_","_","_","_","_","_",4.64,1.09,8.23,-1.00,-15.22,-1.04,"_",2.23
"MAR 1986","_","_","_","_","_","_","_",6.08,5.00,7.04,-4.57,7.22,-9.24,"_",-11.26
"ABR 1986","_","_","_","_","_","_","_",-0.31,1.04,2.12,1.96,-17.86,6.91,"_",4.97
"MAY 1986","_","_","_","_","_","_","_",15.11,3.32,24.65,9.00,0.00,-18.50,"_",-2.18
"JUN 1986","_","_","_","_","_","_","_",12.01,3.33,17.97,5.77,-20.90,-8.03,"_",3.88
"JUL 1986","_","_","_","_","_","_","_",14.23,2.09,22.71,-3.45,0.00,2.72,"_",8.61
"AGO 1986","_","_","_","_","_","_","_",11.07,2.87,16.07,-1.19,-6.14,3.38,"_",-2.56
"SEP 1986","_","_","_","_","_","_","_",11.73,5.69,15.89,-4.13,0.67,-1.26,"_",5.60
"OCT 1986","_","_","_","_","_","_","_",14.51,8.09,19.14,1.80,29.54,-14.23,"_",-9.26
"NOV 1986","_","_","_","_","_","_","_",12.11,11.37,12.77,0.52,-5.99,-5.90,"_",-5.16
"DIC 1986","_","_","_","_","_","_","_",16.19,20.27,12.14,2.52,9.57,7.58,"_",-10.34
"ENE 1987","_","_","_","_","_","_","_",11.50,7.58,15.26,-2.26,0.09,-4.12,"_",-9.67
"FEB 1987","_","_","_","_","_","_","_",12.70,12.88,12.60,-2.15,9.94,-3.98,"_",-4.36
"MAR 1987","_","_","_","_","_","_","_",3.03,3.38,2.72,-8.47,-5.99,4.23,"_",2.29
