"","IE_8_4.1","IE_8_4.2","IE_8_4.3","IE_8_4.4","IE_8_4.5","IE_8_4.6","IE_8_4.7","IE_8_4.8","IE_8_4.9","IE_8_4.10","IE_8_4.11","IE_8_4.12"
"NÚMERO SECUENCIAL",1656417,1656418,1656419,1656420,1656421,1656422,1656423,1656424,1656425,1656426,1656427,1656428
"DESCRIPCIÓN DE LA SERIE","Medios de pago de los hogares e ISFLSH","Medios de pago de los hogares e ISFLSH. Tasa de variación interanual","Efectivo en poder de los hogares e ISFLSH. Tasa de variación interanual","Depósitos mantenidos por los hogares e ISFLSH. Tasa de variación interanual","Otros pasivos de entidades de crédito en poder de los hogares e ISFLSH","Otros pasivos de entidades de crédito en poder de los hogares e ISFLSH. Tasa de variación interanual","Otros depósitos mantenidos por los hogares e ISFLSH. Tasa de variación interanual","Cesiones temporales, valores de entidades de crédito y depósitos en sucursales en el extranjero en poder de los hogares e ISFLSH. Tasa de variación interanual","Participaciones en fondos de inversión residentes de los hogares e ISFLSH","Participaciones en fondos de inversión residentes de los hogares e ISFLSH. Tasa de variación interanual","Participaciones en fondos de inversión de renta fija en euros de los hogares e ISFLSH. Tasa de variación interanual","Participaciones en resto de fondos de inversión de los hogares e ISFLSH. Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje"
"DIC 1994",143500396,"_","_","_",158360356,"_","_","_","_","_","_","_"
"ENE 1995",138134326,"_","_","_",159750574,"_","_","_","_","_","_","_"
"FEB 1995",138040386,"_","_","_",161207656,"_","_","_","_","_","_","_"
"MAR 1995",139162746,"_","_","_",162391079,"_","_","_","_","_","_","_"
"ABR 1995",137783885,"_","_","_",163722720,"_","_","_","_","_","_","_"
"MAY 1995",137590968,"_","_","_",165583164,"_","_","_","_","_","_","_"
"JUN 1995",142174088,"_","_","_",166506097,"_","_","_","_","_","_","_"
"JUL 1995",142616688,"_","_","_",167616057,"_","_","_","_","_","_","_"
"AGO 1995",140575698,"_","_","_",170432818,"_","_","_","_","_","_","_"
"SEP 1995",142768765,"_","_","_",171766921,"_","_","_","_","_","_","_"
"OCT 1995",140065258,"_","_","_",172535010,"_","_","_","_","_","_","_"
"NOV 1995",142403788,"_","_","_",173908282,"_","_","_","_","_","_","_"
"DIC 1995",148237304,3.30,5.35,2.46,175171013,10.62,12.88,1.71,"_","_","_","_"
"ENE 1996",142190887,2.94,4.67,2.22,177146278,10.89,11.69,7.49,"_","_","_","_"
"FEB 1996",141897731,2.79,4.58,2.05,177767385,10.27,10.39,9.75,"_","_","_","_"
"MAR 1996",144265585,3.67,4.52,3.31,177534154,9.33,8.86,11.46,"_","_","_","_"
"ABR 1996",142536886,3.45,4.20,3.13,176342267,7.71,7.73,7.62,"_","_","_","_"
"MAY 1996",142636817,3.67,5.53,2.87,175671075,6.09,6.34,4.97,"_","_","_","_"
"JUN 1996",148067096,4.14,4.17,4.13,173703529,4.32,4.96,1.37,"_","_","_","_"
"JUL 1996",147615220,3.50,4.53,3.07,173055665,3.25,3.95,-0.02,"_","_","_","_"
"AGO 1996",147314041,4.79,5.61,4.44,173495995,1.80,2.74,-2.45,"_","_","_","_"
"SEP 1996",148786448,4.21,5.12,3.83,173189767,0.83,1.72,-3.15,"_","_","_","_"
"OCT 1996",148328149,5.90,6.60,5.60,172498097,-0.02,0.59,-2.80,"_","_","_","_"
"NOV 1996",151140733,6.14,6.45,6.00,171075592,-1.63,-0.61,-6.11,"_","_","_","_"
"DIC 1996",157075207,5.96,5.48,6.16,168725705,-3.68,-2.37,-9.41,"_","_","_","_"
"ENE 1997",152846777,7.49,6.91,7.74,167999674,-5.29,-5.34,-5.06,"_","_","_","_"
"FEB 1997",153225576,7.98,6.91,8.44,164746277,-7.45,-7.58,-6.85,"_","_","_","_"
"MAR 1997",155303628,7.65,6.90,7.97,162185995,-8.75,-8.87,-8.24,"_","_","_","_"
"ABR 1997",153849899,7.94,6.64,8.49,161269080,-8.65,-9.52,-4.64,"_","_","_","_"
"MAY 1997",155076659,8.72,6.05,9.89,160098732,-8.98,-10.50,-1.94,"_","_","_","_"
"JUN 1997",162602529,9.82,6.09,11.39,157904711,-9.21,-11.25,0.52,"_","_","_","_"
"JUL 1997",161793165,9.60,6.48,10.96,157947349,-8.85,-11.11,1.95,"_","_","_","_"
"AGO 1997",161376343,9.55,6.12,11.03,156452235,-9.95,-12.29,1.08,"_","_","_","_"
"SEP 1997",162787788,9.41,5.80,10.96,156102128,-9.98,-12.61,2.30,"_","_","_","_"
"OCT 1997",161168797,8.66,5.39,10.07,155420415,-10.02,-13.29,5.11,"_","_","_","_"
"NOV 1997",163242020,8.01,5.03,9.26,155394395,-9.30,-13.12,8.30,"_","_","_","_"
"DIC 1997",168972512,7.57,5.33,8.52,153330663,-9.23,-12.49,6.05,147107437,"_","_","_"
"ENE 1998",164450856,7.59,4.73,8.79,155701782,-7.32,-11.67,11.62,153852632,"_","_","_"
"FEB 1998",167795864,9.51,4.15,11.75,153882327,-6.59,-11.29,14.11,160779075,"_","_","_"
"MAR 1998",167879217,8.10,2.93,10.27,149787257,-7.64,-11.76,10.72,169908501,"_","_","_"
"ABR 1998",166332817,8.11,4.08,9.82,146611139,-9.09,-12.51,5.94,172514756,"_","_","_"
"MAY 1998",169325272,9.19,2.99,11.81,146318121,-8.61,-11.91,5.38,174871341,"_","_","_"
"JUN 1998",171818607,5.67,2.14,7.08,147742082,-6.44,-11.71,15.68,176306080,"_","_","_"
"JUL 1998",174044695,7.57,2.57,9.66,146831792,-7.04,-12.02,13.66,179417611,"_","_","_"
"AGO 1998",172521797,6.91,1.42,9.18,146731216,-6.21,-10.78,12.45,175044641,"_","_","_"
"SEP 1998",174105318,6.95,0.88,9.43,147099888,-5.77,-10.41,12.75,173704697,"_","_","_"
"OCT 1998",173651115,7.74,0.64,10.69,146153591,-5.96,-9.85,8.89,178380082,"_","_","_"
"NOV 1998",177703643,8.86,0.90,12.08,148495799,-4.44,-7.50,6.87,185853663,"_","_","_"
"DIC 1998",186122743,10.15,0.86,13.94,146920024,-4.18,-7.80,9.78,187041292,27.15,-5.18,82.70
"ENE 1999",184260566,12.05,0.81,16.58,148563374,-4.58,-6.05,0.47,188664192,22.63,-7.74,70.62
"FEB 1999",184188631,9.77,0.85,13.25,146757123,-4.63,-6.50,1.79,190350415,18.39,-8.47,56.96
"MAR 1999",187510938,11.69,2.88,15.15,147088183,-1.80,-4.38,7.35,190862699,12.33,-8.61,38.28
"ABR 1999",187511161,12.73,1.69,17.15,146364507,-0.17,-2.91,9.77,192968850,11.86,-8.33,35.28
"MAY 1999",189086824,11.67,2.92,15.08,147278099,0.66,-2.10,10.42,192688285,10.19,-9.05,31.48
"JUN 1999",197294077,14.83,4.32,18.86,146535746,-0.82,0.47,-4.94,191287109,8.50,-10.24,28.06
"JUL 1999",200234444,15.05,4.42,19.19,146566595,-0.18,2.61,-9.17,187043508,4.25,-12.73,21.12
"AGO 1999",198881019,15.28,4.60,19.39,147227501,0.34,3.13,-8.72,187192860,6.94,-14.42,29.32
"SEP 1999",202053201,16.05,5.94,19.86,147177303,0.05,3.95,-12.30,184358332,6.13,-17.72,31.61
"OCT 1999",201702881,16.15,6.15,19.92,149603670,2.36,7.20,-12.95,182697834,2.42,-21.54,26.92
"NOV 1999",204362009,15.00,6.26,18.19,153764431,3.55,7.87,-10.27,184500698,-0.73,-24.26,21.82
"DIC 1999",211464684,13.62,8.00,15.65,156461958,6.49,10.73,-7.25,186253066,-0.42,-24.27,20.85
"ENE 2000",206150443,11.88,6.54,13.74,159999251,7.70,11.79,-5.51,180537448,-4.31,-27.04,15.12
"FEB 2000",207165437,12.47,6.41,14.59,161614357,10.12,15.84,-7.88,182346898,-4.20,-30.50,17.82
"MAR 2000",209998601,11.99,5.64,14.21,166156745,12.96,18.72,-5.25,180923212,-5.21,-32.86,17.44
"ABR 2000",209398438,11.67,6.59,13.44,169820633,16.03,21.46,-1.41,177887656,-7.82,-33.91,12.70
"MAY 2000",205890485,8.89,4.91,10.27,171129099,16.19,22.32,-3.04,172357838,-10.55,-35.54,8.58
"JUN 2000",212630936,7.77,5.69,8.48,173486763,18.39,22.70,3.80,169842106,-11.21,-34.54,5.86
"JUL 2000",214201450,6.98,3.92,8.02,176535770,20.45,23.17,10.56,167689072,-10.35,-34.40,6.86
"AGO 2000",211633788,6.41,3.86,7.27,180217807,22.41,24.43,14.98,168706910,-9.88,-34.04,6.88
"SEP 2000",215611482,6.71,3.65,7.73,183280699,24.53,25.12,22.32,165807170,-10.06,-32.97,5.23
"OCT 2000",211156620,4.69,2.10,5.55,184284009,23.18,24.38,18.51,163794492,-10.35,-31.67,3.13
"NOV 2000",210404833,2.96,1.55,3.42,186577197,21.34,23.32,13.72,158362331,-14.17,-30.45,-4.47
"DIC 2000",217154864,2.69,-0.97,3.93,188498246,20.48,23.95,7.01,156209862,-16.13,-28.49,-9.22
"ENE 2001",210959460,2.33,-1.02,3.43,193835564,21.15,24.05,10.08,157882707,-12.55,-25.09,-5.76
"FEB 2001",211906471,2.29,-1.48,3.51,195490193,20.96,24.71,6.12,154388857,-15.33,-20.05,-13.00
"MAR 2001",214402640,2.10,-2.63,3.63,198452562,19.44,24.29,0.18,153562600,-15.12,-14.25,-15.53
"ABR 2001",213489083,1.95,-3.94,3.88,200340893,17.97,23.61,-4.32,156013034,-12.30,-10.55,-13.10
"MAY 2001",211989392,2.96,-4.60,5.47,201773253,17.91,23.52,-4.33,155830640,-9.59,-5.44,-11.48
"JUN 2001",220454372,3.68,-5.79,6.79,202463622,16.70,22.41,-6.14,154652914,-8.94,-2.93,-11.67
"JUL 2001",219718423,2.58,-7.03,5.73,202461281,14.69,21.22,-11.76,153459128,-8.49,2.27,-13.21
"AGO 2001",216287912,2.20,-7.96,5.52,205543452,14.05,21.32,-14.76,151841270,-10.00,5.67,-16.70
"SEP 2001",220344111,2.19,-10.15,6.15,205471893,12.11,20.07,-18.48,147819766,-10.85,11.39,-20.30
"OCT 2001",214694312,1.68,-11.91,6.06,205821758,11.69,17.60,-12.48,151618344,-7.43,17.96,-18.07
"NOV 2001",218174227,3.69,-14.49,9.54,207791601,11.37,16.90,-11.67,155446832,-1.84,22.81,-12.53
"DIC 2001",224515373,3.39,-23.06,11.90,205562411,9.05,12.74,-7.47,157145008,0.60,25.90,-10.54
"ENE 2002",217912339,3.30,-22.85,11.46,208533493,7.58,11.66,-9.95,155145790,-1.73,27.24,-14.21
"FEB 2002",220908009,4.25,-20.94,11.99,208740839,6.78,9.77,-7.14,154121860,-0.17,25.41,-11.79
"MAR 2002",223879102,4.42,-25.71,13.58,209720190,5.68,7.68,-4.19,156827382,2.13,25.30,-8.89
"ABR 2002",222255886,4.11,-22.09,12.02,211510536,5.58,6.51,0.79,154429152,-1.02,23.61,-12.70
"MAY 2002",224580706,5.94,-17.08,12.84,211539716,4.84,5.84,-0.25,153118098,-1.74,23.25,-13.87
"JUN 2002",235867136,6.99,-14.13,13.10,213850558,5.62,5.88,4.27,150135710,-2.92,22.28,-15.45
"JUL 2002",234390674,6.68,-10.75,11.71,215561179,6.47,6.67,5.38,146047548,-4.83,20.73,-18.06
"AGO 2002",233877423,8.13,-8.45,12.86,217196572,5.67,5.55,6.35,145016966,-4.49,19.56,-17.55
"SEP 2002",236306399,7.24,-5.61,10.73,214996058,4.64,4.61,4.75,141382548,-4.35,17.45,-17.32
"OCT 2002",233229863,8.63,-0.83,11.17,218226769,6.03,6.43,3.82,144256031,-4.86,15.26,-16.99
"NOV 2002",239270626,9.67,3.83,11.14,217641709,4.74,5.46,0.78,146314596,-5.87,12.79,-17.24
"DIC 2002",243287946,8.36,17.78,6.28,215878896,5.02,5.85,0.50,145462386,-7.43,11.24,-19.01
"ENE 2003",238259087,9.34,20.82,6.85,219012842,5.03,5.60,1.97,144525182,-6.85,12.87,-19.43
"FEB 2003",241978576,9.54,20.92,7.07,219751344,5.27,4.71,8.37,147513206,-4.29,19.84,-19.86
"MAR 2003",245311138,9.57,31.08,5.30,218988610,4.42,3.66,8.65,148727594,-5.16,19.14,-21.05
"ABR 2003",247349937,11.29,28.57,7.66,218275965,3.20,2.68,6.00,152434164,-1.29,20.01,-15.61
"MAY 2003",250045221,11.34,24.58,8.42,215674871,1.95,1.83,2.64,155360904,1.46,20.13,-11.50
"JUN 2003",260233639,10.33,22.25,7.71,213853864,0.00,0.28,-1.48,158595082,5.63,20.82,-5.29
"JUL 2003",264219088,12.73,20.91,10.84,213218880,-1.09,-1.43,0.82,161702564,10.72,22.93,1.40
"AGO 2003",263038720,12.47,20.51,10.61,213762623,-1.58,-2.15,1.63,163670814,12.86,23.33,4.63
"SEP 2003",264325681,11.86,19.88,10.00,211975184,-1.41,-1.72,0.36,164528334,16.37,22.35,11.32
"OCT 2003",264518928,13.42,20.55,11.71,211998082,-2.85,-3.25,-0.65,166544166,15.45,19.44,12.11
"NOV 2003",270445893,13.03,21.05,11.15,212004794,-2.59,-3.26,1.28,167613330,14.56,17.86,11.82
"DIC 2003",275194264,13.11,20.55,11.29,213811677,-0.96,-1.44,1.82,168653908,15.94,16.34,15.60
"ENE 2004",272707500,14.46,21.32,12.78,214873465,-1.89,-1.49,-4.10,170888164,18.24,12.40,23.47
"FEB 2004",275165269,13.71,20.85,11.97,211988974,-3.53,-0.80,-18.07,173298446,17.48,4.71,29.80
"MAR 2004",277799882,13.24,20.54,11.44,209692542,-4.25,-0.13,-25.95,176548232,18.71,4.69,32.54
"ABR 2004",279269375,12.90,20.85,10.91,210162274,-3.72,0.39,-25.18,178127662,16.86,3.90,29.23
"MAY 2004",283105907,13.22,20.67,11.34,210124480,-2.57,1.19,-22.81,178462588,14.87,3.09,25.98
"JUN 2004",295156623,13.42,20.47,11.66,210612800,-1.52,2.53,-23.35,179361656,13.09,2.48,22.83
"JUL 2004",298886980,13.12,21.71,10.96,210792204,-1.14,3.26,-25.34,179640414,11.09,1.09,20.34
"AGO 2004",293517186,11.59,20.67,9.30,212215851,-0.72,3.98,-26.09,181084124,10.64,1.56,19.06
"SEP 2004",297370418,12.50,21.39,10.26,212282060,0.14,4.47,-23.76,181207444,10.14,0.21,19.35
"OCT 2004",299298535,13.15,21.20,11.07,213698313,0.80,6.02,-27.81,182377128,9.51,1.25,16.87
"NOV 2004",300905514,11.26,20.21,8.98,213601564,0.75,6.46,-30.70,184462698,10.05,2.58,16.59
"DIC 2004",308035351,11.93,19.94,9.81,214529640,0.34,6.12,-31.90,185945810,10.25,3.72,15.85
"ENE 2005",305119798,11.89,19.93,9.77,216169982,0.60,6.04,-30.22,187816940,9.91,6.13,12.98
"FEB 2005",308210061,12.01,18.99,10.16,217943659,2.81,6.68,-22.07,190761652,10.08,8.19,11.54
"MAR 2005",312739496,12.58,18.42,11.01,218180370,4.05,5.80,-8.43,191365920,8.39,5.45,10.69
"ABR 2005",314308836,12.55,17.63,11.16,219594692,4.49,6.68,-10.88,192291184,7.95,6.81,8.82
"MAY 2005",318451802,12.49,16.61,11.35,221068946,5.21,6.92,-6.87,195620456,9.61,7.87,10.96
