"","IE_8_4.1","IE_8_4.2","IE_8_4.3","IE_8_4.4","IE_8_4.5","IE_8_4.6","IE_8_4.7","IE_8_4.8","IE_8_4.9","IE_8_4.10","IE_8_4.11","IE_8_4.12"
"JUN 2005",330587111,12.00,16.70,10.74,223404280,6.07,6.70,1.53,198282698,10.55,9.54,11.32
"JUL 2005",334660004,11.97,15.99,10.86,223805570,6.17,7.02,-0.28,201599364,12.22,9.80,14.10
"AGO 2005",327600877,11.61,15.69,10.48,224450641,5.77,7.21,-5.19,203884448,12.59,9.63,14.94
"SEP 2005",332175764,11.70,16.15,10.47,222668009,4.89,6.94,-10.66,206933448,14.20,10.30,17.23
"OCT 2005",331891950,10.89,14.91,9.76,223624883,4.65,6.03,-6.52,206188976,13.06,9.37,15.91
"NOV 2005",336537824,11.84,15.00,10.95,226922380,6.24,6.71,2.24,208277410,12.91,7.70,16.92
"DIC 2005",344628600,11.88,14.27,11.19,229936814,7.18,7.26,6.51,209554386,12.70,6.18,17.69
"ENE 2006",339706982,11.34,13.79,10.63,235031103,8.73,7.91,15.73,210860108,12.27,1.56,20.46
"FEB 2006",340867049,10.60,14.03,9.61,240174745,10.20,8.68,23.60,214548086,12.47,-1.54,23.05
"MAR 2006",345135005,10.36,14.53,9.17,245808294,12.66,11.10,25.55,218475650,14.17,-2.43,26.48
"ABR 2006",346722603,10.31,13.71,9.33,247528703,12.72,10.88,28.16,218588422,13.68,-5.51,28.14
"MAY 2006",347537393,9.13,12.91,8.05,251645235,13.83,12.52,24.46,216321000,10.58,-5.86,22.92
"JUN 2006",361070094,9.22,12.30,8.35,256861416,14.98,14.16,21.16,216094958,8.98,-4.53,19.16
"JUL 2006",361745955,8.09,10.38,7.43,262551716,17.31,15.96,28.39,216074390,7.18,-7.09,17.85
"AGO 2006",355417854,8.49,10.08,8.03,267139920,19.02,16.98,36.49,218494928,7.17,-7.87,18.52
"SEP 2006",361362476,8.79,9.01,8.72,269171444,20.88,18.32,44.19,218323382,5.50,-8.93,16.08
"OCT 2006",357084291,7.59,7.99,7.47,274240030,22.63,20.21,44.76,220247150,6.82,-8.56,18.03
"NOV 2006",358666391,6.58,8.23,6.09,280196434,23.48,21.82,38.11,218167368,4.75,-10.94,15.86
"DIC 2006",373875125,8.49,7.57,8.76,288214217,25.34,23.84,38.51,218747060,4.39,-11.03,15.05
"ENE 2007",360439847,6.10,7.12,5.80,297540143,26.60,26.24,29.44,218474252,3.61,-10.29,12.58
"FEB 2007",359953284,5.60,6.69,5.27,303324950,26.29,26.34,25.90,218100368,1.66,-8.95,8.06
"MAR 2007",365951879,6.03,6.64,5.85,311434515,26.70,27.11,23.73,219744184,0.58,-5.28,3.94
"ABR 2007",361109411,4.15,5.81,3.65,316335813,27.80,28.44,23.13,221071812,1.14,-4.03,4.01
"MAY 2007",363635330,4.63,6.16,4.17,319566227,26.99,27.67,21.98,223305984,3.23,-5.53,8.26
"JUN 2007",377980913,4.68,5.78,4.36,322648515,25.61,26.92,16.30,223572420,3.46,-7.72,10.21
"JUL 2007",372754640,3.04,5.14,2.42,329281674,25.42,26.33,18.64,222470920,2.96,-6.47,8.52
"AGO 2007",363712512,2.33,5.81,1.30,334678670,25.28,26.08,19.44,222494970,1.83,-4.32,5.44
"SEP 2007",366752322,1.49,4.88,0.50,340096823,26.35,27.37,18.76,219410544,0.50,-3.46,2.77
"OCT 2007",357911410,0.23,4.44,-1.01,347419906,26.68,28.69,11.50,217341892,-1.32,-6.16,1.41
"NOV 2007",356944276,-0.48,3.59,-1.69,353277267,26.08,28.57,6.72,212980176,-2.38,-3.84,-1.58
"DIC 2007",362441479,-3.06,2.26,-4.63,359977229,24.90,28.37,-2.27,209322844,-4.31,-3.67,-4.65
"ENE 2008",355197031,-1.45,1.94,-2.47,371317504,24.80,28.77,-6.36,201982028,-7.55,5.76,-14.38
"FEB 2008",354092886,-1.63,1.76,-2.65,380037151,25.29,29.80,-9.79,197713964,-9.35,4.89,-16.60
"MAR 2008",355408562,-2.88,0.21,-3.81,383918149,23.27,28.52,-15.92,192323142,-12.48,2.72,-20.41
"ABR 2008",350424509,-2.96,0.04,-3.88,392233648,23.99,29.21,-15.55,189891490,-14.10,1.32,-22.02
"MAY 2008",354098072,-2.62,-0.40,-3.30,396623542,24.11,29.31,-15.73,186152104,-16.64,-1.27,-24.35
"JUN 2008",360693567,-4.57,-1.28,-5.56,403314105,25.00,29.65,-11.23,178435134,-20.19,-5.29,-27.72
"JUL 2008",359670080,-3.51,-1.26,-4.20,411000340,24.82,30.40,-19.09,173396170,-22.06,-7.90,-29.25
"AGO 2008",355417714,-2.28,-1.45,-2.54,415749471,24.22,30.52,-24.71,171587320,-22.88,-10.91,-29.25
"SEP 2008",350528189,-4.42,-1.66,-5.27,417765315,22.84,29.39,-29.47,166627556,-24.06,-13.07,-29.99
"OCT 2008",347363099,-2.95,3.52,-4.97,420968889,21.17,27.19,-31.53,158126448,-27.25,-14.44,-33.94
"NOV 2008",352680473,-1.19,3.30,-2.61,424346103,20.12,26.32,-38.18,153898782,-27.74,-15.19,-34.42
"DIC 2008",357670602,-1.32,3.10,-2.71,426484163,18.48,24.19,-40.26,151372066,-27.68,-16.03,-33.99
"ENE 2009",354963162,-0.07,3.81,-1.28,425160970,14.50,19.81,-42.75,152922814,-24.29,-19.04,-27.62
"FEB 2009",356646032,0.72,3.93,-0.29,425150962,11.87,16.74,-42.54,150915950,-23.67,-17.88,-27.37
"MAR 2009",359506405,1.15,4.44,0.12,424793633,10.65,15.22,-41.62,147961348,-23.07,-18.94,-25.85
"ABR 2009",364729367,4.08,5.62,3.59,423078663,7.86,11.85,-38.35,151296298,-20.32,-15.05,-23.84
"MAY 2009",374604289,5.79,5.97,5.73,420287474,5.97,9.28,-33.02,150805308,-18.99,-13.88,-22.33
"JUN 2009",387933992,7.55,5.96,8.05,418758631,3.83,7.01,-32.44,147914966,-17.10,-13.41,-19.55
"JUL 2009",388214984,7.94,6.59,8.36,419904686,2.17,4.38,-25.88,148409353,-14.41,-10.26,-17.15
"AGO 2009",384645603,8.22,6.77,8.68,419411434,0.88,2.51,-21.10,149825927,-12.68,-8.87,-15.24
"SEP 2009",387325205,10.50,6.65,11.72,416193274,-0.38,0.50,-13.23,151131278,-9.30,-4.55,-12.48
"OCT 2009",390867529,12.52,2.33,15.99,410777614,-2.42,-2.04,-8.66,151216339,-4.37,-0.40,-7.06
"NOV 2009",389436403,10.42,2.80,12.96,410831454,-3.18,-3.49,2.70,151500711,-1.56,1.27,-3.50
"DIC 2009",401811073,12.34,3.43,15.33,413973670,-2.93,-3.46,8.38,150572518,-0.53,0.35,-1.13
"ENE 2010",398489505,12.26,3.55,15.13,415000804,-2.39,-3.31,18.32,149491065,-2.24,-3.75,-1.17
"FEB 2010",399514698,12.02,2.95,15.00,414256260,-2.56,-3.59,20.71,148443438,-1.64,-6.17,1.64
"MAR 2010",394260477,9.67,2.84,11.91,417007013,-1.83,-2.98,23.96,147904562,-0.04,-8.97,6.54
"ABR 2010",392229026,7.54,1.17,9.61,415958823,-1.68,-2.97,25.42,146993837,-2.84,-13.50,5.08
"MAY 2010",393989761,5.17,1.58,6.31,421364193,0.26,-0.86,21.60,142616230,-5.43,-16.38,2.52
"JUN 2010",406187947,4.71,1.77,5.60,425129170,1.52,0.40,21.72,138301310,-6.50,-25.62,7.13
"JUL 2010",403960839,4.06,1.48,4.85,430342146,2.49,1.76,15.41,128738851,-13.25,-30.14,-1.16
"AGO 2010",396297413,3.03,1.06,3.64,432850917,3.20,2.75,11.12,128153509,-14.47,-32.17,-1.70
"SEP 2010",392752910,1.40,0.78,1.59,435690635,4.68,4.69,4.60,136918921,-9.40,-30.44,5.98
"OCT 2010",391369717,0.13,-0.10,0.20,438898827,6.85,6.86,6.56,135865211,-10.15,-32.16,5.82
"NOV 2010",388825688,-0.16,-0.86,0.06,439822522,7.06,6.99,8.33,131645635,-13.11,-34.91,2.64
"DIC 2010",399119714,-0.67,-1.08,-0.55,441652094,6.69,6.48,10.70,131051943,-12.96,-35.86,3.01
"ENE 2011",390325471,-2.05,-3.26,-1.69,444481026,7.10,7.50,-0.24,131136280,-12.28,-37.51,5.16
"FEB 2011",387774233,-2.94,-3.11,-2.89,450388087,8.72,8.57,11.49,131866764,-11.17,-37.73,6.58
"MAR 2011",391664672,-0.66,-3.70,0.26,452227508,8.45,7.53,24.66,130286340,-11.91,-35.67,3.03
"ABR 2011",392430616,0.05,-2.96,0.96,454124024,9.18,8.46,20.80,129724804,-11.75,-34.73,2.32
"MAY 2011",390177877,-0.97,-3.97,-0.06,457284299,8.52,7.71,21.25,128499309,-9.90,-32.54,3.50
"JUN 2011",400473854,-1.41,-4.08,-0.62,459887222,8.18,7.43,19.32,127040219,-8.14,-22.19,-1.19
"JUL 2011",398592750,-1.33,-4.25,-0.46,462419823,7.45,5.96,30.92,124875604,-3.00,-20.16,5.68
"AGO 2011",390970095,-1.34,-4.17,-0.50,464429526,7.30,5.18,41.48,123559360,-3.58,-18.58,3.88
"SEP 2011",389754450,-0.76,-3.35,0.01,465520142,6.85,3.97,55.66,124212544,-9.28,-21.08,-3.61
"OCT 2011",386180836,-1.33,-3.00,-0.83,466342030,6.25,2.42,73.22,124304369,-8.51,-19.14,-3.56
"NOV 2011",387912729,-0.23,-2.46,0.43,463271066,5.33,0.60,89.57,121820615,-7.46,-17.72,-2.76
"DIC 2011",397178638,-0.49,-2.48,0.11,465110039,5.31,-0.29,107.75,121010355,-7.66,-14.32,-4.77
"ENE 2012",386692994,-0.93,-0.59,-1.03,467583283,5.20,-1.43,136.87,122258461,-6.77,-10.87,-5.08
"FEB 2012",384339358,-0.89,-0.99,-0.86,471909222,4.78,-1.80,121.08,123278870,-6.51,-6.85,-6.38
"MAR 2012",388211252,-0.88,-0.59,-0.97,473950163,4.80,-1.63,102.83,122817161,-5.73,-6.40,-5.47
"ABR 2012",384829782,-1.94,-1.07,-2.19,470920039,3.70,-2.63,96.13,121096313,-6.65,-6.19,-6.83
"MAY 2012",390331258,0.04,1.77,-0.46,465201774,1.73,-4.44,87.58,117971984,-8.19,-6.40,-8.89
"JUN 2012",407685772,1.80,4.03,1.17,460952989,0.23,-5.90,82.38,117328626,-7.64,-8.36,-7.37
"JUL 2012",400849208,0.57,3.97,-0.41,457204496,-1.13,-6.89,72.23,116440605,-6.75,-7.54,-6.46
"AGO 2012",398403045,1.90,4.48,1.16,455375031,-1.95,-7.16,60.73,117565282,-4.85,-7.58,-3.79
"SEP 2012",395968325,1.59,2.96,1.20,456929232,-1.85,-6.39,49.72,117708200,-5.24,-9.44,-3.59
"OCT 2012",390078916,1.01,1.56,0.85,462120073,-0.91,-4.01,31.23,117296841,-5.64,-10.66,-3.68
"NOV 2012",391969745,1.05,-1.58,1.81,466269780,0.65,-1.06,16.78,116072908,-4.72,-11.35,-2.15
"DIC 2012",394522178,-0.67,-2.84,-0.04,471608341,1.40,1.21,3.07,117775665,-2.67,-10.48,0.38
"ENE 2013",388058232,0.35,-3.40,1.45,473533147,1.27,2.54,-9.16,119625341,-2.15,-9.44,0.66
"FEB 2013",389301600,1.29,-3.68,2.75,471749973,-0.03,2.43,-19.34,121225947,-1.67,-9.68,1.45
"MAR 2013",397222599,2.32,-2.50,3.72,467111443,-1.44,2.39,-29.76,123430090,0.50,-5.52,2.84
"ABR 2013",395262731,2.71,-2.23,4.15,463943530,-1.48,2.97,-33.76,125850636,3.93,-2.33,6.39
"MAY 2013",398491890,2.09,-4.51,4.05,462725847,-0.53,4.75,-37.98,127108667,7.74,1.71,10.14
"JUN 2013",414928766,1.78,-6.72,4.26,457425946,-0.77,5.38,-43.24,127743385,8.88,8.04,9.20
"JUL 2013",409314800,2.11,-7.69,5.05,461096937,0.85,7.23,-43.05,131576008,13.00,13.86,12.67
"AGO 2013",408180299,2.45,-8.20,5.63,462638087,1.59,7.95,-42.57,132491275,12.70,15.82,11.53
"SEP 2013",406178328,2.58,-8.04,5.71,460262478,0.73,6.76,-42.08,135522629,15.13,19.67,13.46
"OCT 2013",403838262,3.53,-7.84,6.88,458663165,-0.75,4.58,-41.03,139355289,18.81,26.13,16.16
"NOV 2013",411333188,4.94,-5.39,7.85,457227100,-1.94,2.84,-40.20,142262170,22.56,34.38,18.41
"DIC 2013",417158875,5.74,-5.23,8.84,453493016,-3.84,0.15,-38.29,144547094,22.73,35.44,18.30
"ENE 2014",412636592,6.33,-4.91,9.46,451747211,-4.60,-0.96,-38.54,147829508,23.58,38.42,18.42
