"","IE_4_8.1","IE_4_8.2","IE_4_8.3","IE_4_8.4","IE_4_8.5","IE_4_8.6","IE_4_8.7","IE_4_8.8","IE_4_8.9","IE_4_8.10","IE_4_8.11","IE_4_8.12"
"SEP 2003",82.88,89.48,89.61,97.32,76.75,86.00,92.60,96.11,88.87,2167496.13,17418,138285
"DIC 2003",83.04,88.99,87.87,95.96,77.11,86.00,92.87,96.64,89.79,2184031.86,17546,138613
"MAR 2004",83.57,89.22,88.47,96.11,77.29,86.51,92.48,96.97,90.33,2194532.75,17726,138847
"JUN 2004",84.47,89.35,90.84,95.23,78.50,86.91,92.93,97.26,91.04,2206610.96,17778,139231
"SEP 2004",84.84,89.50,90.29,95.29,79.16,87.12,93.30,97.34,91.95,2213478.67,17884,139584
"DIC 2004",85.78,89.94,90.94,96.07,79.62,87.68,92.82,97.49,92.52,2221474.02,18089,139876
"MAR 2005",85.94,90.38,92.65,95.60,79.96,88.06,93.05,97.44,93.45,2224193.01,18226,140162
"JUN 2005",87.37,90.61,93.03,95.44,81.29,88.64,93.03,97.83,94.40,2239330.77,18415,140562
"SEP 2005",88.27,90.73,92.38,94.88,81.96,89.12,92.85,98.22,95.30,2255349.17,18627,141023
"DIC 2005",89.06,91.42,92.29,94.83,82.85,89.98,93.03,98.42,96.29,2268511.94,18785,141557
"MAR 2006",89.21,91.10,94.29,94.52,82.90,90.08,92.93,98.87,97.34,2289168.40,19009,142200
"JUN 2006",90.29,91.50,95.03,93.81,84.33,90.95,93.40,99.39,98.35,2313415.49,19109,142975
"SEP 2006",91.22,91.76,94.11,94.16,85.48,91.35,93.70,99.56,99.33,2327583.20,19238,143641
"DIC 2006",91.95,91.86,94.57,93.66,86.19,92.04,93.73,100.20,100.27,2352321.21,19414,144294
"MAR 2007",93.06,92.13,98.59,94.25,86.90,92.54,93.38,100.44,101.30,2379279.66,19686,145985
"JUN 2007",93.96,92.61,98.05,94.55,88.02,93.17,93.67,100.61,102.12,2393486.21,19783,146616
"SEP 2007",95.09,93.09,97.78,93.93,89.53,93.70,94.15,100.66,102.94,2404580.19,19842,147275
"DIC 2007",95.75,93.77,98.39,94.47,90.49,94.54,94.51,100.82,103.83,2415901.84,19939,147809
"MAR 2008",99.01,94.65,104.72,96.79,92.89,95.56,93.82,100.96,104.30,2436706.78,20175,148968
"JUN 2008",99.43,95.71,103.45,97.24,94.21,96.33,94.75,100.65,104.36,2428189.07,19989,148923
"SEP 2008",100.69,96.73,102.59,99.07,95.57,96.95,94.91,100.23,103.58,2414989.16,19804,148737
"DIC 2008",100.97,98.54,102.53,103.97,96.68,97.38,95.75,98.83,102.53,2371115.93,19432,148145
"MAR 2009",101.37,100.73,107.62,110.17,97.61,97.32,96.29,96.61,100.89,2318676.82,19015,149423
"JUN 2009",101.72,100.72,105.37,108.10,98.57,97.81,96.90,97.11,99.91,2314399.58,18712,148419
"SEP 2009",102.04,100.80,103.29,106.09,99.68,98.56,97.69,97.78,99.60,2321912.72,18503,147919
"DIC 2009",101.53,100.59,101.88,104.70,100.01,99.07,98.50,98.49,99.54,2333581.71,18338,147661
"MAR 2010",100.36,100.34,101.33,101.68,99.44,99.27,99.08,98.93,99.84,2343414.57,18286,147675
"JUN 2010",100.45,99.98,100.41,99.85,100.35,99.95,99.90,99.96,100.03,2366004.47,18171,147574
"SEP 2010",99.61,99.78,99.45,99.46,99.93,100.16,100.32,100.38,100.07,2376929.68,18101,147609
"DIC 2010",99.58,99.90,98.81,99.00,100.27,100.62,100.70,100.72,100.07,2389054.64,18034,147842
"MAR 2011",99.10,99.82,96.42,98.94,100.22,101.37,101.13,101.55,99.67,2413371.87,17885,148481
"JUN 2011",99.58,100.51,99.10,99.93,100.84,101.96,101.26,101.45,99.18,2413004.98,17775,148603
"SEP 2011",98.82,100.62,99.20,99.79,100.97,102.24,102.18,101.61,98.83,2412515.65,17553,148366
"DIC 2011",98.77,101.31,98.75,101.21,101.43,102.76,102.69,101.43,98.32,2404822.13,17375,148144
"MAR 2012",97.59,101.78,98.58,101.15,100.98,103.11,103.47,101.30,97.51,2400806.27,17101,148075
"JUN 2012",96.95,102.51,98.85,101.76,100.81,103.59,103.97,101.06,96.72,2392906.61,16882,147933
"SEP 2012",96.33,102.72,98.59,101.43,100.75,103.88,104.58,101.13,96.16,2389267.42,16686,147612
"DIC 2012",93.70,103.06,99.38,103.76,98.38,104.07,104.99,100.98,95.24,2378861.93,16462,147184
"MAR 2013",96.48,103.60,101.27,103.75,101.90,104.70,105.61,101.06,94.89,2372911.90,16304,146687
"JUN 2013",95.95,103.58,102.15,104.04,101.90,105.16,106.19,101.53,94.65,2382102.50,16174,146551
"SEP 2013",95.93,103.80,101.12,104.42,102.15,105.64,106.48,101.77,94.70,2387908.79,16140,146573
"DIC 2013",95.45,103.91,101.33,104.04,101.88,105.89,106.74,101.90,94.94,2392626.49,16141,146679
"MAR 2014",94.82,104.38,100.75,104.91,101.31,106.44,106.84,101.97,95.29,2403262.68,16185,147789
"JUN 2014",95.28,104.75,101.70,105.70,101.40,106.56,106.42,101.73,95.75,2404623.57,16328,148254
"SEP 2014",95.28,105.04,101.97,105.89,101.48,106.94,106.51,101.81,96.32,2411551.45,16411,148542
"DIC 2014",95.23,105.23,102.04,106.32,101.37,107.35,106.44,102.01,96.97,2420396.86,16533,148791
"MAR 2015",95.65,105.29,100.97,105.81,102.03,107.75,106.67,102.33,97.86,2441865.06,16649,150451
"JUN 2015",95.34,105.46,101.43,106.09,101.73,107.92,106.70,102.33,98.80,2451334.48,16805,151036
"SEP 2015",95.11,105.62,101.07,106.21,101.59,108.09,106.80,102.34,99.61,2458427.14,16926,151464
"DIC 2015",95.59,"_",100.26,"_",102.29,"_",107.01,"_",100.41,2464990.97,17028,"_"
