"","IE_4_8.1","IE_4_8.2","IE_4_8.3","IE_4_8.4","IE_4_8.5","IE_4_8.6","IE_4_8.7","IE_4_8.8","IE_4_8.9","IE_4_8.10","IE_4_8.11","IE_4_8.12"
"NÚMERO SECUENCIAL",2655361,2652447,2655362,2655365,2655363,2652445,2655364,2652446,2405490,2665112,2405484,2665116
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Costes laborales unitarios (medidos en puestos de trabajo equivalentes a tiempo completo). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Deflactor implícito. Costes laborales unitarios (medidos en puestos de trabajo equivalentes a tiempo completo). Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro Area (19). Zona del Euro. Datos corregidos de efectos estacionales y de calendario","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Costes laborales unitarios (medidos en puestos de trabajo equivalentes a tiempo completo). Rama de Actividad, Productos e Inversiones:Industria. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Deflactor implícito. Costes laborales unitarios (medidos en puestos de trabajo equivalentes a tiempo completo). Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro Area (19). Zona del Euro","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Remuneración por asalariado. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Índices de volumen encadenados. Remuneración por asalariado. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro Area (19). Zona del Euro. Datos corregidos de efectos estacionales y de calendario","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Productividad laboral (medida en puestos de trabajo equivalentes a tiempo completo). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Índices de volumen encadenados. Productividad laboral (medida en puestos de trabajo equivalentes a tiempo completo). Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro Area (19). Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales). Datos corregidos de efectos estacionales y de calendario","CNE.SEC2010.Base2010.Índices de volumen encadenados.PIB. Total economía.Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Producto interior bruto. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Zona del Euro. Datos corregidos de efectos estacionales y de calendario","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Empleo. Operaciones y otros Flujos:Ocupados (puestos de trabajo equivalentes a tiempo completo). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Empleo. Ocupados. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Zona del Euro. Datos corregidos de efectos estacionales y de calendario"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Millones de Euros","Miles de Puestos de trabajo equivalentes a tiempo completo","Miles de Personas"
"MAR 1995",66.31,"_",78.87,"_",59.18,"_",89.25,"_",65.12,1767450.26,13241,"_"
"JUN 1995",66.91,"_",80.70,"_",59.90,"_",89.52,"_",65.57,1777390.34,13292,"_"
"SEP 1995",67.70,"_",82.42,"_",60.94,"_",90.01,"_",65.88,1784678.40,13283,"_"
"DIC 1995",67.45,"_",81.87,"_",60.95,"_",90.36,"_",66.34,1790883.18,13324,"_"
"MAR 1996",67.64,"_",80.81,"_",61.60,"_",91.07,"_",66.77,1791828.75,13305,"_"
"JUN 1996",68.44,"_",83.25,"_",62.44,"_",91.23,"_",67.20,1805090.01,13366,"_"
"SEP 1996",69.35,"_",84.64,"_",63.26,"_",91.23,"_",67.85,1815741.95,13497,"_"
"DIC 1996",69.78,"_",84.36,"_",63.28,"_",90.68,"_",68.12,1821759.56,13633,"_"
"MAR 1997",69.50,"_",83.96,"_",63.13,"_",90.84,"_",68.88,1827880.58,13760,"_"
"JUN 1997",70.08,"_",84.68,"_",63.79,"_",91.02,"_",69.55,1849780.49,13866,"_"
"SEP 1997",70.84,"_",86.09,"_",64.71,"_",91.34,"_",70.23,1863204.17,13953,"_"
"DIC 1997",70.61,"_",86.00,"_",64.60,"_",91.49,"_",71.25,1883291.49,14132,"_"
"MAR 1998",70.36,"_",82.84,"_",64.24,"_",91.30,"_",71.93,1894476.82,14298,"_"
"JUN 1998",71.49,"_",85.13,"_",65.17,"_",91.17,"_",72.52,1903964.31,14435,"_"
"SEP 1998",72.18,"_",85.70,"_",65.84,"_",91.22,"_",73.37,1913846.10,14596,"_"
"DIC 1998",72.30,"_",85.84,"_",65.99,"_",91.28,"_",74.14,1918810.77,14740,"_"
"MAR 1999",72.54,"_",83.93,"_",65.86,"_",90.78,"_",74.74,1935803.06,14941,"_"
"JUN 1999",72.82,"_",84.62,"_",66.37,"_",91.13,"_",75.86,1949371.74,15107,"_"
"SEP 1999",73.48,"_",84.62,"_",67.06,"_",91.27,"_",76.77,1970645.36,15265,"_"
"DIC 1999",73.52,"_",83.52,"_",67.14,"_",91.33,"_",77.67,1994926.58,15434,"_"
"MAR 2000",74.14,82.92,83.13,94.02,67.79,78.29,91.43,94.41,78.91,2017949.65,15663,129597
"JUN 2000",74.72,83.04,84.78,94.94,68.30,78.68,91.40,94.74,79.88,2036649.72,15861,130419
"SEP 2000",75.45,83.75,85.41,95.51,69.14,79.37,91.64,94.78,80.74,2046568.21,15990,131083
"DIC 2000",75.30,83.94,84.78,95.62,68.95,79.84,91.57,95.12,81.64,2062136.32,16180,131608
"MAR 2001",76.36,83.85,85.64,94.87,69.91,80.31,91.55,95.78,82.45,2131193.12,16344,136301
"JUN 2001",77.02,84.56,86.56,96.06,70.76,80.90,91.87,95.67,83.11,2131756.78,16417,136558
"SEP 2001",77.94,85.27,85.85,96.01,71.91,81.47,92.25,95.55,83.94,2133141.94,16512,136888
"DIC 2001",77.91,85.90,85.33,96.70,71.77,82.06,92.11,95.53,84.53,2135702.81,16653,137071
"MAR 2002",78.49,86.52,85.19,96.84,72.31,82.59,92.12,95.46,85.01,2140481.46,16748,137474
"JUN 2002",79.35,86.64,86.84,96.64,73.15,82.99,92.18,95.79,85.65,2151046.93,16863,137667
"SEP 2002",80.44,87.13,88.51,96.59,74.36,83.65,92.45,96.01,86.17,2159174.09,16915,137862
"DIC 2002",80.65,87.58,87.76,96.29,74.53,84.12,92.41,96.05,86.82,2160324.42,17048,137880
"MAR 2003",81.02,88.29,87.76,96.60,74.86,84.56,92.39,95.77,87.67,2155179.35,17221,137983
"JUN 2003",82.04,88.71,90.88,97.50,75.82,84.92,92.42,95.73,88.27,2156906.18,17332,138154
