"","IE_2_4.1","IE_2_4.2","IE_2_4.3","IE_2_4.4","IE_2_4.5","IE_2_4.6","IE_2_4.7","IE_2_4.8","IE_2_4.9","IE_2_4.10","IE_2_4.11","IE_2_4.12"
"DIC 1973","_","_",280.0040,"_","_","_","_","_","_","_","_","_"
"ENE 1974","_","_",297.2190,"_","_","_","_","_","_","_","_","_"
"FEB 1974","_","_",290.7940,"_","_","_","_","_","_","_","_","_"
"MAR 1974","_","_",281.6230,"_","_","_","_","_","_","_","_","_"
"ABR 1974","_","_",277.3140,"_","_","_","_","_","_","_","_","_"
"MAY 1974","_","_",278.6790,"_","_","_","_","_","_","_","_","_"
"JUN 1974","_","_",282.6390,"_","_","_","_","_","_","_","_","_"
"JUL 1974","_","_",290.2700,"_","_","_","_","_","_","_","_","_"
"AGO 1974","_","_",301.9610,"_","_","_","_","_","_","_","_","_"
"SEP 1974","_","_",299.0460,"_","_","_","_","_","_","_","_","_"
"OCT 1974","_","_",299.2240,"_","_","_","_","_","_","_","_","_"
"NOV 1974","_","_",299.8600,"_","_","_","_","_","_","_","_","_"
"DIC 1974","_","_",300.0830,"_","_","_","_","_","_","_","_","_"
"ENE 1975","_","_",299.5170,"_","_","_","_","_","_","_","_","_"
"FEB 1975","_","_",291.6210,"_","_","_","_","_","_","_","_","_"
"MAR 1975","_","_",286.7740,"_","_","_","_","_","_","_","_","_"
"ABR 1975","_","_",292.0040,"_","_","_","_","_","_","_","_","_"
"MAY 1975","_","_",291.1680,"_","_","_","_","_","_","_","_","_"
"JUN 1975","_","_",293.2710,"_","_","_","_","_","_","_","_","_"
"JUL 1975","_","_",296.0730,"_","_","_","_","_","_","_","_","_"
"AGO 1975","_","_",297.8260,"_","_","_","_","_","_","_","_","_"
"SEP 1975","_","_",299.6060,"_","_","_","_","_","_","_","_","_"
"OCT 1975","_","_",302.1770,"_","_","_","_","_","_","_","_","_"
"NOV 1975","_","_",302.3200,"_","_","_","_","_","_","_","_","_"
"DIC 1975","_","_",305.4990,"_","_","_","_","_","_","_","_","_"
"ENE 1976","_","_",304.4760,"_","_","_","_","_","_","_","_","_"
"FEB 1976","_","_",301.5180,"_","_","_","_","_","_","_","_","_"
"MAR 1976","_","_",300.4500,"_","_","_","_","_","_","_","_","_"
"ABR 1976","_","_",298.9690,"_","_","_","_","_","_","_","_","_"
"MAY 1976","_","_",298.8250,"_","_","_","_","_","_","_","_","_"
"JUN 1976","_","_",299.1300,"_","_","_","_","_","_","_","_","_"
"JUL 1976","_","_",294.6030,"_","_","_","_","_","_","_","_","_"
"AGO 1976","_","_",290.6080,"_","_","_","_","_","_","_","_","_"
"SEP 1976","_","_",287.2430,"_","_","_","_","_","_","_","_","_"
"OCT 1976","_","_",290.9440,"_","_","_","_","_","_","_","_","_"
"NOV 1976","_","_",294.9960,"_","_","_","_","_","_","_","_","_"
"DIC 1976","_","_",294.6000,"_","_","_","_","_","_","_","_","_"
"ENE 1977","_","_",290.7960,"_","_","_","_","_","_","_","_","_"
"FEB 1977","_","_",284.7240,"_","_","_","_","_","_","_","_","_"
"MAR 1977","_","_",280.3560,"_","_","_","_","_","_","_","_","_"
"ABR 1977","_","_",275.4110,"_","_","_","_","_","_","_","_","_"
"MAY 1977","_","_",277.3930,"_","_","_","_","_","_","_","_","_"
"JUN 1977","_","_",272.8280,"_","_","_","_","_","_","_","_","_"
"JUL 1977","_","_",264.8230,"_","_","_","_","_","_","_","_","_"
"AGO 1977","_","_",266.4890,"_","_","_","_","_","_","_","_","_"
"SEP 1977","_","_",266.8040,"_","_","_","_","_","_","_","_","_"
"OCT 1977","_","_",254.6790,"_","_","_","_","_","_","_","_","_"
"NOV 1977","_","_",244.4490,"_","_","_","_","_","_","_","_","_"
"DIC 1977","_","_",240.8940,"_","_","_","_","_","_","_","_","_"
"ENE 1978","_","_",240.8360,"_","_","_","_","_","_","_","_","_"
"FEB 1978","_","_",240.0130,"_","_","_","_","_","_","_","_","_"
"MAR 1978","_","_",232.0520,"_","_","_","_","_","_","_","_","_"
"ABR 1978","_","_",221.5550,"_","_","_","_","_","_","_","_","_"
"MAY 1978","_","_",226.0720,"_","_","_","_","_","_","_","_","_"
"JUN 1978","_","_",214.2810,"_","_","_","_","_","_","_","_","_"
"JUL 1978","_","_",199.8460,"_","_","_","_","_","_","_","_","_"
"AGO 1978","_","_",188.6820,"_","_","_","_","_","_","_","_","_"
"SEP 1978","_","_",189.9370,"_","_","_","_","_","_","_","_","_"
"OCT 1978","_","_",183.7280,"_","_","_","_","_","_","_","_","_"
"NOV 1978","_","_",192.2770,"_","_","_","_","_","_","_","_","_"
"DIC 1978","_","_",195.9160,"_","_","_","_","_","_","_","_","_"
"ENE 1979",1.35830,"_",197.4760,"_","_","_","_","_","_","_","_","_"
"FEB 1979",1.35170,"_",200.3520,"_","_","_","_","_","_","_","_","_"
"MAR 1979",1.35200,"_",206.3150,"_","_","_","_","_","_","_","_","_"
"ABR 1979",1.33700,"_",216.1810,"_","_","_","_","_","_","_","_","_"
"MAY 1979",1.32230,"_",218.2410,"_","_","_","_","_","_","_","_","_"
"JUN 1979",1.33780,"_",218.6730,"_","_","_","_","_","_","_","_","_"
"JUL 1979",1.38740,"_",216.3890,"_","_","_","_","_","_","_","_","_"
"AGO 1979",1.38310,"_",217.8370,"_","_","_","_","_","_","_","_","_"
"SEP 1979",1.39810,"_",222.1410,"_","_","_","_","_","_","_","_","_"
"OCT 1979",1.39200,"_",230.2330,"_","_","_","_","_","_","_","_","_"
"NOV 1979",1.39750,"_",244.7380,"_","_","_","_","_","_","_","_","_"
"DIC 1979",1.42940,"_",240.2230,"_","_","_","_","_","_","_","_","_"
"ENE 1980",1.44360,"_",237.5730,"_","_","_","_","_","_","_","_","_"
"FEB 1980",1.43040,"_",244.0270,"_","_","_","_","_","_","_","_","_"
"MAR 1980",1.35790,"_",248.4510,"_","_","_","_","_","_","_","_","_"
"ABR 1980",1.34690,"_",249.2570,"_","_","_","_","_","_","_","_","_"
"MAY 1980",1.40230,"_",228.1900,"_","_","_","_","_","_","_","_","_"
"JUN 1980",1.42300,"_",217.7100,"_","_","_","_","_","_","_","_","_"
"JUL 1980",1.44070,"_",220.6220,"_","_","_","_","_","_","_","_","_"
"AGO 1980",1.41300,"_",223.9610,"_","_","_","_","_","_","_","_","_"
"SEP 1980",1.41470,"_",214.3960,"_","_","_","_","_","_","_","_","_"
"OCT 1980",1.38510,"_",209.1040,"_","_","_","_","_","_","_","_","_"
"NOV 1980",1.33530,"_",212.9870,"_","_","_","_","_","_","_","_","_"
"DIC 1980",1.29920,"_",210.1360,"_","_","_","_","_","_","_","_","_"
"ENE 1981",1.28630,259.344,202.1320,"_","_","_","_","_","_","_","_","_"
"FEB 1981",1.20670,247.909,205.3290,"_","_","_","_","_","_","_","_","_"
"MAR 1981",1.20580,251.540,208.7150,"_","_","_","_","_","_","_","_","_"
"ABR 1981",1.17460,252.139,214.5420,"_","_","_","_","_","_","_","_","_"
"MAY 1981",1.10680,243.846,220.5300,"_","_","_","_","_","_","_","_","_"
"JUN 1981",1.06590,238.710,224.0170,"_","_","_","_","_","_","_","_","_"
"JUL 1981",1.03350,239.860,232.0950,"_","_","_","_","_","_","_","_","_"
"AGO 1981",1.00690,235.172,233.5940,"_","_","_","_","_","_","_","_","_"
"SEP 1981",1.05710,242.435,229.3830,"_","_","_","_","_","_","_","_","_"
"OCT 1981",1.08580,250.991,231.4850,"_","_","_","_","_","_","_","_","_"
"NOV 1981",1.09860,245.065,223.1530,"_","_","_","_","_","_","_","_","_"
"DIC 1981",1.08350,236.774,218.5970,"_","_","_","_","_","_","_","_","_"
"ENE 1982",1.06690,239.477,224.6690,"_","_","_","_","_","_","_","_","_"
"FEB 1982",1.03260,243.087,235.4240,"_","_","_","_","_","_","_","_","_"
"MAR 1982",1.01280,243.814,240.7000,"_","_","_","_","_","_","_","_","_"
"ABR 1982",0.99830,243.357,243.8040,"_","_","_","_","_","_","_","_","_"
"MAY 1982",1.03320,244.134,236.4120,"_","_","_","_","_","_","_","_","_"
"JUN 1982",0.97800,245.518,251.0630,"_","_","_","_","_","_","_","_","_"
"JUL 1982",0.95810,244.068,254.6980,"_","_","_","_","_","_","_","_","_"
"AGO 1982",0.95210,246.309,258.7500,"_","_","_","_","_","_","_","_","_"
"SEP 1982",0.94130,247.214,262.6630,"_","_","_","_","_","_","_","_","_"
"OCT 1982",0.93040,252.259,271.3540,"_","_","_","_","_","_","_","_","_"
"NOV 1982",0.91570,241.294,263.5260,"_","_","_","_","_","_","_","_","_"
"DIC 1982",0.95430,231.003,242.1320,"_","_","_","_","_","_","_","_","_"
"ENE 1983",0.96180,223.685,232.8440,"_","_","_","_","_","_","_","_","_"
"FEB 1983",0.94390,222.768,236.0230,"_","_","_","_","_","_","_","_","_"
"MAR 1983",0.93840,223.196,237.6880,"_","_","_","_","_","_","_","_","_"
"ABR 1983",0.92520,219.643,237.4080,"_","_","_","_","_","_","_","_","_"
"MAY 1983",0.91870,215.941,234.9180,"_","_","_","_","_","_","_","_","_"
"JUN 1983",0.89240,214.133,240.0240,"_","_","_","_","_","_","_","_","_"
"JUL 1983",0.87920,211.383,240.3340,"_","_","_","_","_","_","_","_","_"
"AGO 1983",0.85240,208.275,244.2350,"_","_","_","_","_","_","_","_","_"
"SEP 1983",0.85180,206.486,242.4350,"_","_","_","_","_","_","_","_","_"
"OCT 1983",0.86600,201.552,232.7230,"_","_","_","_","_","_","_","_","_"
"NOV 1983",0.84360,198.004,234.8930,"_","_","_","_","_","_","_","_","_"
"DIC 1983",0.82210,192.533,234.2770,"_","_","_","_","_","_","_","_","_"
"ENE 1984",0.80440,187.832,233.8470,"_","_","_","_","_","_","_","_","_"
"FEB 1984",0.83050,193.988,233.5920,"_","_","_","_","_","_","_","_","_"
"MAR 1984",0.86000,193.922,225.3220,"_","_","_","_","_","_","_","_","_"
"ABR 1984",0.84550,190.320,225.0950,"_","_","_","_","_","_","_","_","_"
"MAY 1984",0.81470,187.892,230.6680,"_","_","_","_","_","_","_","_","_"
"JUN 1984",0.81590,190.525,233.3150,"_","_","_","_","_","_","_","_","_"
"JUL 1984",0.78560,190.639,242.6330,"_","_","_","_","_","_","_","_","_"
"AGO 1984",0.77590,187.963,242.3080,"_","_","_","_","_","_","_","_","_"
"SEP 1984",0.74160,181.847,245.2300,"_","_","_","_","_","_","_","_","_"
"OCT 1984",0.72830,179.754,246.6870,"_","_","_","_","_","_","_","_","_"
"NOV 1984",0.74650,181.451,243.1940,"_","_","_","_","_","_","_","_","_"
"DIC 1984",0.71960,178.329,247.5980,"_","_","_","_","_","_","_","_","_"
"ENE 1985",0.70200,178.270,253.9530,"_","_","_","_","_","_","_","_","_"
"FEB 1985",0.67560,175.868,260.3430,"_","_","_","_","_","_","_","_","_"
"MAR 1985",0.67460,174.045,258.2130,"_","_","_","_","_","_","_","_","_"
"ABR 1985",0.72490,182.331,251.2490,"_","_","_","_","_","_","_","_","_"
"MAY 1985",0.72020,181.315,251.6650,"_","_","_","_","_","_","_","_","_"
"JUN 1985",0.73290,182.416,248.9150,"_","_","_","_","_","_","_","_","_"
"JUL 1985",0.77170,186.329,241.5310,"_","_","_","_","_","_","_","_","_"
"AGO 1985",0.79800,189.194,237.1890,"_","_","_","_","_","_","_","_","_"
"SEP 1985",0.78500,185.524,236.5800,"_","_","_","_","_","_","_","_","_"
"OCT 1985",0.83670,179.593,214.8080,"_","_","_","_","_","_","_","_","_"
"NOV 1985",0.85170,173.574,203.6090,"_","_","_","_","_","_","_","_","_"
"DIC 1985",0.87290,177.023,202.8340,"_","_","_","_","_","_","_","_","_"
"ENE 1986",0.89140,178.382,200.0790,"_","_","_","_","_","_","_","_","_"
"FEB 1986",0.92760,171.091,184.5510,"_","_","_","_","_","_","_","_","_"
"MAR 1986",0.95450,170.413,178.4570,"_","_","_","_","_","_","_","_","_"
"ABR 1986",0.95080,166.136,174.8630,"_","_","_","_","_","_","_","_","_"
"MAY 1986",0.96450,160.958,166.7900,"_","_","_","_","_","_","_","_","_"
"JUN 1986",0.96160,161.255,167.7020,"_","_","_","_","_","_","_","_","_"
"JUL 1986",0.99020,157.063,158.5930,"_","_","_","_","_","_","_","_","_"
"AGO 1986",1.02140,157.382,154.0750,"_","_","_","_","_","_","_","_","_"
"SEP 1986",1.02810,158.997,154.5550,"_","_","_","_","_","_","_","_","_"
"OCT 1986",1.04030,162.464,156.1940,"_","_","_","_","_","_","_","_","_"
"NOV 1986",1.02940,167.701,162.8890,"_","_","_","_","_","_","_","_","_"
"DIC 1986",1.04450,169.533,162.4340,"_","_","_","_","_","_","_","_","_"
"ENE 1987",1.11200,171.862,154.3520,"_","_","_","_","_","_","_","_","_"
"FEB 1987",1.12990,173.416,153.4660,"_","_","_","_","_","_","_","_","_"
"MAR 1987",1.13170,171.332,151.4040,"_","_","_","_","_","_","_","_","_"
"ABR 1987",1.14710,163.882,142.8660,"_","_","_","_","_","_","_","_","_"
"MAY 1987",1.16240,163.140,140.5320,"_","_","_","_","_","_","_","_","_"
"JUN 1987",1.14040,164.875,144.5720,"_","_","_","_","_","_","_","_","_"
"JUL 1987",1.12380,168.901,150.2470,"_","_","_","_","_","_","_","_","_"
"AGO 1987",1.11640,164.711,147.6030,"_","_","_","_","_","_","_","_","_"
"SEP 1987",1.14470,163.887,143.1810,"_","_","_","_","_","_","_","_","_"
"OCT 1987",1.15180,164.991,143.3030,"_","_","_","_","_","_","_","_","_"
"NOV 1987",1.22690,165.968,135.2840,"_","_","_","_","_","_","_","_","_"
"DIC 1987",1.26370,162.035,128.4760,"_","_","_","_","_","_","_","_","_"
"ENE 1988",1.25030,159.428,127.3740,"_","_","_","_","_","_","_","_","_"
"FEB 1988",1.21670,157.247,129.1880,"_","_","_","_","_","_","_","_","_"
"MAR 1988",1.23320,156.932,127.2790,"_","_","_","_","_","_","_","_","_"
"ABR 1988",1.24020,155.145,125.0780,"_","_","_","_","_","_","_","_","_"
"MAY 1988",1.22810,153.210,124.7080,"_","_","_","_","_","_","_","_","_"
"JUN 1988",1.18420,150.680,127.2680,"_","_","_","_","_","_","_","_","_"
"JUL 1988",1.12670,150.046,133.1520,"_","_","_","_","_","_","_","_","_"
"AGO 1988",1.10290,147.524,133.7390,"_","_","_","_","_","_","_","_","_"
"SEP 1988",1.11570,149.291,134.3980,"_","_","_","_","_","_","_","_","_"
"OCT 1988",1.12220,146.843,128.9850,"_","_","_","_","_","_","_","_","_"
"NOV 1988",1.16870,145.968,122.9610,"_","_","_","_","_","_","_","_","_"
"DIC 1988",1.18860,146.261,123.5990,"_","_","_","_","_","_","_","_","_"
"ENE 1989",1.15280,144.661,127.0480,"_","_","_","_","_","_","_","_","_"
"FEB 1989",1.12520,143.681,127.6310,"_","_","_","_","_","_","_","_","_"
"MAR 1989",1.12050,145.364,130.2250,"_","_","_","_","_","_","_","_","_"
"ABR 1989",1.11210,146.906,132.0520,"_","_","_","_","_","_","_","_","_"
"MAY 1989",1.09430,147.472,138.0830,"_","_","_","_","_","_","_","_","_"
"JUN 1989",1.04680,150.683,143.8780,"_","_","_","_","_","_","_","_","_"
"JUL 1989",1.09454,153.780,140.5630,"_","_","_","_","_","_","_","_","_"
"AGO 1989",1.07857,152.250,141.2060,"_","_","_","_","_","_","_","_","_"
"SEP 1989",1.06312,154.214,145.2000,"_","_","_","_","_","_","_","_","_"
"OCT 1989",1.10298,156.601,142.0090,"_","_","_","_","_","_","_","_","_"
"NOV 1989",1.11901,160.665,143.5580,"_","_","_","_","_","_","_","_","_"
"DIC 1989",1.16695,167.718,143.6170,"_","_","_","_","_","_","_","_","_"
"ENE 1990",1.20217,174.304,144.9070,"_","_","_","_","_","_","_","_","_"
"FEB 1990",1.21833,177.362,145.5560,"_","_","_","_","_","_","_","_","_"
"MAR 1990",1.19727,183.418,153.1790,"_","_","_","_","_","_","_","_","_"
"ABR 1990",1.21163,191.917,158.3650,"_","_","_","_","_","_","_","_","_"
"MAY 1990",1.23220,189.226,153.4170,"_","_","_","_","_","_","_","_","_"
"JUN 1990",1.22289,188.161,153.9090,"_","_","_","_","_","_","_","_","_"
"JUL 1990",1.26158,188.166,149.2140,"_","_","_","_","_","_","_","_","_"
"AGO 1990",1.31616,193.986,147.4040,"_","_","_","_","_","_","_","_","_"
"SEP 1990",1.31327,182.169,138.6880,"_","_","_","_","_","_","_","_","_"
"OCT 1990",1.35225,175.477,129.8790,"_","_","_","_","_","_","_","_","_"
"NOV 1990",1.38094,178.123,128.7840,"_","_","_","_","_","_","_","_","_"
"DIC 1990",1.36721,182.690,133.2720,"_","_","_","_","_","_","_","_","_"
"ENE 1991",1.35752,181.372,133.7459,"_","_","_","_","_","_","_","_","_"
"FEB 1991",1.38411,180.419,130.3525,"_","_","_","_","_","_","_","_","_"
"MAR 1991",1.28059,175.573,136.9355,"_","_","_","_","_","_","_","_","_"
"ABR 1991",1.21057,165.931,137.0638,"_","_","_","_","_","_","_","_","_"
"MAY 1991",1.19918,165.625,138.1211,"_","_","_","_","_","_","_","_","_"
"JUN 1991",1.15134,161.029,139.8555,"_","_","_","_","_","_","_","_","_"
"JUL 1991",1.14886,158.423,137.9039,"_","_","_","_","_","_","_","_","_"
"AGO 1991",1.17636,160.949,136.8381,"_","_","_","_","_","_","_","_","_"
"SEP 1991",1.20782,162.497,134.5543,"_","_","_","_","_","_","_","_","_"
"OCT 1991",1.21140,158.344,130.7109,"_","_","_","_","_","_","_","_","_"
"NOV 1991",1.25792,163.058,129.5960,"_","_","_","_","_","_","_","_","_"
"DIC 1991",1.30043,166.643,128.4113,"_","_","_","_","_","_","_","_","_"
"ENE 1992",1.29456,162.009,125.1871,"_","_","_","_","_","_","_","_","_"
"FEB 1992",1.26287,161.069,127.5675,"_","_","_","_","_","_","_","_","_"
"MAR 1992",1.23044,163.490,132.8624,"_","_","_","_","_","_","_","_","_"
"ABR 1992",1.24240,165.792,133.4474,"_","_","_","_","_","_","_","_","_"
"MAY 1992",1.26806,165.727,130.6910,"_","_","_","_","_","_","_","_","_"
"JUN 1992",1.30324,165.375,126.9057,"_","_","_","_","_","_","_","_","_"
"JUL 1992",1.37062,172.276,125.6922,"_","_","_","_","_","_","_","_","_"
"AGO 1992",1.40185,177.026,126.3133,"_","_","_","_","_","_","_","_","_"
"SEP 1992",1.38675,170.119,122.6709,"_","_","_","_","_","_","_","_","_"
"OCT 1992",1.32523,160.536,121.1752,"_","_","_","_","_","_","_","_","_"
"NOV 1992",1.23887,153.467,123.8935,"_","_","_","_","_","_","_","_","_"
"DIC 1992",1.23896,153.628,123.9589,"_","_","_","_","_","_","_","_","_"
"ENE 1993",1.21216,151.590,125.0732,"_","_","_","_","_","_","_","_","_"
"FEB 1993",1.18229,142.945,120.8935,"_","_","_","_","_","_","_","_","_"
"MAR 1993",1.17874,137.881,117.0164,"_","_","_","_","_","_","_","_","_"
"ABR 1993",1.22106,137.028,112.1900,"_","_","_","_","_","_","_","_","_"
"MAY 1993",1.21723,134.423,110.4455,"_","_","_","_","_","_","_","_","_"
"JUN 1993",1.18489,127.169,107.3000,"_","_","_","_","_","_","_","_","_"
"JUL 1993",1.13847,122.498,107.5932,"_","_","_","_","_","_","_","_","_"
"AGO 1993",1.13327,117.641,103.9300,"_","_","_","_","_","_","_","_","_"
"SEP 1993",1.17906,124.263,105.3918,"_","_","_","_","_","_","_","_","_"
"OCT 1993",1.16391,124.471,107.0085,"_","_","_","_","_","_","_","_","_"
"NOV 1993",1.12884,121.748,107.7935,"_","_","_","_","_","_","_","_","_"
"DIC 1993",1.12886,124.129,109.9658,"_","_","_","_","_","_","_","_","_"
"ENE 1994",1.11415,124.100,111.3270,"_","_","_","_","_","_","_","_","_"
"FEB 1994",1.11759,118.803,106.3105,"_","_","_","_","_","_","_","_","_"
"MAR 1994",1.14190,120.004,105.1955,"_","_","_","_","_","_","_","_","_"
"ABR 1994",1.13924,117.764,103.3774,"_","_","_","_","_","_","_","_","_"
"MAY 1994",1.16441,120.752,103.8345,"_","_","_","_","_","_","_","_","_"
"JUN 1994",1.18348,121.444,102.6468,"_","_","_","_","_","_","_","_","_"
"JUL 1994",1.22192,120.452,98.5740,"_","_","_","_","_","_","_","_","_"
"AGO 1994",1.22317,122.169,99.8677,"_","_","_","_","_","_","_","_","_"
"SEP 1994",1.23535,122.091,98.7962,"_","_","_","_","_","_","_","_","_"
"OCT 1994",1.26091,124.138,98.4020,"_","_","_","_","_","_","_","_","_"
"NOV 1994",1.24371,121.875,98.0820,"_","_","_","_","_","_","_","_","_"
"DIC 1994",1.21584,121.759,100.1316,"_","_","_","_","_","_","_","_","_"
"ENE 1995",1.24082,123.743,99.6714,"_","_","_","_","_","_","_","_","_"
"FEB 1995",1.25869,123.637,98.2395,"_","_","_","_","_","_","_","_","_"
"MAR 1995",1.31706,119.299,90.6505,"_","_","_","_","_","_","_","_","_"
"ABR 1995",1.34143,112.500,83.8841,"_","_","_","_","_","_","_","_","_"
"MAY 1995",1.32164,112.249,84.9935,"_","_","_","_","_","_","_","_","_"
"JUN 1995",1.33144,112.592,84.5657,"_","_","_","_","_","_","_","_","_"
"JUL 1995",1.34481,117.308,87.2310,"_","_","_","_","_","_","_","_","_"
"AGO 1995",1.30441,123.325,94.5909,"_","_","_","_","_","_","_","_","_"
"SEP 1995",1.28880,129.421,100.4329,"_","_","_","_","_","_","_","_","_"
"OCT 1995",1.32217,133.184,100.7652,"_","_","_","_","_","_","_","_","_"
"NOV 1995",1.32380,134.826,101.7935,"_","_","_","_","_","_","_","_","_"
"DIC 1995",1.30430,132.767,101.8259,"_","_","_","_","_","_","_","_","_"
"ENE 1996",1.29184,136.444,105.6305,"_","_","_","_","_","_","_","_","_"
"FEB 1996",1.28860,136.091,105.6167,"_","_","_","_","_","_","_","_","_"
"MAR 1996",1.28134,135.674,105.8605,"_","_","_","_","_","_","_","_","_"
"ABR 1996",1.26390,135.515,107.2242,"_","_","_","_","_","_","_","_","_"
"MAY 1996",1.24668,132.567,106.4105,"_","_","_","_","_","_","_","_","_"
"JUN 1996",1.25292,136.393,108.8610,"_","_","_","_","_","_","_","_","_"
"JUL 1996",1.27064,138.793,109.2439,"_","_","_","_","_","_","_","_","_"
"AGO 1996",1.28325,138.418,107.8657,"_","_","_","_","_","_","_","_","_"
"SEP 1996",1.26907,139.428,109.8710,"_","_","_","_","_","_","_","_","_"
"OCT 1996",1.25841,141.397,112.3578,"_","_","_","_","_","_","_","_","_"
"NOV 1996",1.27690,143.347,112.1930,"_","_","_","_","_","_","_","_","_"
"DIC 1996",1.25025,142.369,113.8006,"_","_","_","_","_","_","_","_","_"
"ENE 1997",1.21621,143.256,117.9186,"_","_","_","_","_","_","_","_","_"
"FEB 1997",1.16576,143.305,122.9290,"_","_","_","_","_","_","_","_","_"
"MAR 1997",1.14976,140.932,122.5156,"_","_","_","_","_","_","_","_","_"
"ABR 1997",1.14501,143.749,125.5555,"_","_","_","_","_","_","_","_","_"
"MAY 1997",1.14934,136.296,118.6172,"_","_","_","_","_","_","_","_","_"
"JUN 1997",1.13663,129.899,114.2867,"_","_","_","_","_","_","_","_","_"
"JUL 1997",1.10491,127.200,115.0977,"_","_","_","_","_","_","_","_","_"
"AGO 1997",1.07273,126.456,117.8790,"_","_","_","_","_","_","_","_","_"
"SEP 1997",1.09992,132.788,120.8167,"_","_","_","_","_","_","_","_","_"
"OCT 1997",1.12032,135.511,120.9609,"_","_","_","_","_","_","_","_","_"
"NOV 1997",1.13937,142.621,125.1820,"_","_","_","_","_","_","_","_","_"
"DIC 1997",1.11158,143.935,129.3761,"_","_","_","_","_","_","_","_","_"
"ENE 1998",1.08772,140.848,129.2985,"_",102.23,90.88,"_",101.13,92.40,"_",100.88,92.82
"FEB 1998",1.08845,136.805,125.6900,"_",101.32,93.35,"_",100.39,94.59,"_",100.01,95.31
"MAR 1998",1.08433,139.874,128.9643,"_",101.68,91.08,"_",100.76,92.45,"_",100.67,92.80
"ABR 1998",1.09106,144.150,132.0737,"_",102.40,88.85,"_",101.33,90.15,"_",101.32,90.10
"MAY 1998",1.10905,149.674,135.0095,"_",102.77,86.55,"_",101.53,87.81,"_",101.81,87.42
"JUN 1998",1.10141,154.352,140.1524,"_",104.55,83.80,"_",103.44,84.66,"_",103.39,84.70
"JUL 1998",1.09750,154.346,140.6291,"_",105.23,83.64,"_",104.42,84.00,"_",104.04,84.40
"AGO 1998",1.10157,159.374,144.6795,"_",107.00,81.43,"_",106.20,81.63,"_",105.47,82.23
"SEP 1998",1.15413,155.301,134.5718,"_",102.93,85.88,"_",102.15,86.65,"_",101.72,86.68
"OCT 1998",1.19376,144.172,120.8990,"_",99.24,94.48,"_",98.54,95.83,"_",98.51,94.98
"NOV 1998",1.16442,140.115,120.6258,"_",100.22,95.40,"_",99.59,96.67,"_",99.55,95.90
