"","IE_2_4.1","IE_2_4.2","IE_2_4.3","IE_2_4.4","IE_2_4.5","IE_2_4.6","IE_2_4.7","IE_2_4.8","IE_2_4.9","IE_2_4.10","IE_2_4.11","IE_2_4.12"
"NÚMERO SECUENCIAL",636059,636060,252016,2547786,1869739,1869741,2547792,1869729,1869731,2547798,1869737,1869738
"DESCRIPCIÓN DE LA SERIE","TIPOS DE CAMBIO. DOLARES ESTADOUNIDENSES POR ECU/EURO.","TIPOS DE CAMBIO. YENES JAPONESES POR ECU/EURO.","Tipos de cambio. Yenes japoneses por dólar estadounidense ","Tipos de cambio de monedas. Indice de tipo de cambio efectivo nominal base en el primer trimestre de 1999. Grupo reducido de monedas conocido como EER-19 (ECB-EER core group of currencies) frente a la composición del área del EURO de 19 países. Moneda base: Euro. ","Indice de posición efectiva nominal de Estados Unidos. FRENTE A PAISES DESARROLLADOS (UEM19)","Indice de posición efectiva nominal de Japón. FRENTE A PAISES DESARROLLADOS (UEM19)","Tipos de cambio de monedas. Indice de tipo de cambio efectivo real con precios de consumo base en el primer trimestre de 1999. Grupo reducido de monedas conocido como EER-19 (ECB-EER core group of currencies) frente a la composición del área del EURO de 19 países. Moneda base: Euro. ","Competitividad de Estados Unidos. IPC. FRENTE A PAISES DESARROLLADOS (UEM19)","Competitividad de Japón. IPC. FRENTE A PAISES DESARROLLADOS (UEM19)","Tipos de cambio de monedas. Indice de tipo de cambio efectivo real con precios industriales en el primer trimestre de 1999. Grupo reducido de monedas conocido como EER-19 (ECB-EER core group of currencies) frente a la composición del área del EURO de 19 países. Moneda base: Euro. ","Competitividad de Estados Unidos. IPP . FRENTE A PAISES DESARROLLADOS (UM17)","Competitividad de Japón. IPP  . FRENTE A PAISES DESARROLLADOS (UM17)"
"DESCRIPCIÓN DE LAS UNIDADES","Dólares de Estados Unidos por Euro","Yenes japoneses por Euro","Yenes japoneses por Dólar de Estados Unidos","Millones de Grupo de monedas EER-19 ponderadas con UEM-19 por Euro","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Millones de Grupo de monedas EER-19 ponderadas con UEM-19 por Euro","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Millones de Grupo de monedas EER-19 ponderadas con UEM-19 por Euro","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100"
"MAY 1973","_","_",264.3720,"_","_","_","_","_","_","_","_","_"
"JUN 1973","_","_",264.0080,"_","_","_","_","_","_","_","_","_"
"JUL 1973","_","_",263.6820,"_","_","_","_","_","_","_","_","_"
"AGO 1973","_","_",264.9060,"_","_","_","_","_","_","_","_","_"
"SEP 1973","_","_",265.3540,"_","_","_","_","_","_","_","_","_"
"OCT 1973","_","_",266.1980,"_","_","_","_","_","_","_","_","_"
"NOV 1973","_","_",278.2850,"_","_","_","_","_","_","_","_","_"
