"","IE_1_1.1","IE_1_1.2","IE_1_1.3","IE_1_1.4","IE_1_1.5","IE_1_1.6","IE_1_1.7","IE_1_1.8","IE_1_1.9","IE_1_1.10","IE_1_1.11","IE_1_1.12","IE_1_1.13","IE_1_1.14","IE_1_1.15","IE_1_1.16"
"DIC 1996",68.12,1822333.18,70.40,1032939.25,55.30,381957.15,64.25,385057.91,65.89,1803191.96,55.65,465867.03,49.57,439588.13,124311,1466738
"MAR 1997",68.88,1827161.75,70.93,1035926.58,55.52,382584.02,66.29,380922.94,66.62,1806972.89,56.28,476132.76,50.14,449061.50,126469,1463602
"JUN 1997",69.55,1849756.34,70.96,1044899.03,56.34,385166.53,67.34,389019.71,67.12,1824173.28,60.68,494546.14,53.61,462801.67,128232,1480572
"SEP 1997",70.23,1863219.98,71.29,1046945.43,56.48,385456.06,67.70,390660.09,67.34,1832486.47,64.29,512412.23,55.45,476299.58,130260,1489533
"DIC 1997",71.25,1883575.36,73.61,1059455.23,56.62,383803.25,69.40,397628.37,69.15,1856354.48,64.11,519425.81,57.91,486407.91,133088,1512414
"MAR 1998",71.93,1894319.30,73.43,1066009.62,57.09,387624.66,72.24,405091.85,69.79,1874595.93,65.24,531213.29,58.81,504968.40,134570,1518826
"JUN 1998",72.52,1903742.12,74.55,1073494.54,57.77,389758.48,73.02,405772.73,70.72,1883923.16,66.38,538470.78,60.95,512180.51,137435,1537653
"SEP 1998",73.37,1913692.34,74.96,1082708.60,58.46,390879.83,76.16,413584.53,71.95,1899661.81,66.75,539979.43,62.59,518804.76,139766,1551616
"DIC 1998",74.14,1918484.91,76.60,1093115.19,59.25,392369.64,78.40,417514.84,73.59,1916987.24,66.72,535608.14,65.37,525532.61,142271,1569803
"MAR 1999",74.74,1936255.46,76.74,1100118.64,59.87,395683.53,79.37,424822.22,74.04,1939911.31,69.42,540863.53,67.49,535791.01,144646,1585925
"JUN 1999",75.86,1948732.46,78.04,1107400.01,60.36,396094.75,82.19,431416.27,75.41,1946198.80,70.36,557502.45,69.25,547100.86,147165,1600207
"SEP 1999",76.77,1969962.81,79.27,1118765.54,60.35,397544.72,83.14,439850.46,76.46,1966557.88,72.16,573557.40,71.44,562604.40,149830,1621973
"DIC 1999",77.67,1994775.61,80.13,1128339.15,60.99,399892.31,85.10,443470.15,77.49,1988640.54,74.36,589525.92,73.96,576248.99,152675,1646203
"MAR 2000",78.91,2017972.81,81.36,1137718.37,61.92,403741.32,86.79,452363.24,78.64,2006327.56,76.72,613156.18,75.96,595154.11,156687,1671955
"JUN 2000",79.88,2036156.57,81.76,1147485.72,62.55,404918.37,87.79,454865.94,79.29,2025295.62,78.34,630853.68,76.42,613951.39,159662,1692980
"SEP 2000",80.74,2045983.97,82.76,1151932.97,63.69,407519.87,89.27,459600.04,80.39,2035000.17,79.40,647936.87,78.29,631378.64,163320,1710997
"DIC 2000",81.64,2062914.84,82.62,1154014.87,63.99,409982.21,90.41,460473.94,80.58,2049599.13,81.86,672678.12,78.25,654556.07,166581,1730314
"MAR 2001",82.45,2130714.53,83.79,1197655.41,64.42,422062.12,91.35,475126.76,81.50,2112129.64,83.77,681926.83,80.41,658871.43,169924,1797599
"JUN 2001",83.11,2131291.22,84.89,1202203.82,65.12,423132.13,92.66,473572.36,82.64,2117174.73,81.60,675432.82,80.11,656355.68,173227,1810054
"SEP 2001",83.94,2133305.21,86.06,1205983.23,65.62,424844.65,93.55,470390.28,83.54,2113334.81,81.44,673339.65,80.26,648972.14,176614,1822324
"DIC 2001",84.53,2135801.52,85.99,1205073.10,66.59,430236.65,94.00,469215.30,83.78,2110223.74,81.13,672696.57,78.96,643267.86,179763,1836735
"MAR 2002",85.01,2140268.36,86.99,1206402.34,66.86,429624.26,95.37,467898.68,84.64,2110279.40,81.05,677931.39,80.12,644402.93,182451,1854192
"JUN 2002",85.65,2150814.97,87.34,1208824.31,67.36,433261.64,96.70,463979.51,85.32,2117679.84,83.29,689111.24,82.34,652748.69,185911,1869338
"SEP 2002",86.17,2158955.51,88.07,1215229.70,68.40,434811.50,97.76,466032.86,86.08,2122801.53,82.62,694028.94,82.59,654906.76,188834,1889676
"DIC 2002",86.82,2160217.53,88.56,1221338.06,69.32,437319.77,98.90,466609.85,87.01,2129261.72,85.46,698638.22,86.13,664297.01,192092,1900158
"MAR 2003",87.67,2155139.22,88.36,1220072.80,70.08,437786.67,101.94,467738.28,87.63,2142107.56,85.23,688254.02,85.24,670919.99,195924,1906431
"JUN 2003",88.27,2156622.78,89.29,1222690.36,71.08,439764.30,103.22,468828.34,88.49,2143459.00,86.12,684542.93,87.03,666979.02,198983,1916599
"SEP 2003",88.87,2167361.47,90.22,1228185.67,71.70,443357.78,104.58,473673.13,89.56,2146157.44,85.26,696432.38,87.89,671401.15,202523,1942567
"DIC 2003",89.79,2183955.14,91.45,1231074.93,72.48,444486.64,106.09,478069.71,90.72,2163021.30,87.18,713246.71,90.58,688711.81,206042,1959426
"MAR 2004",90.33,2194282.47,92.00,1238344.19,74.02,444022.01,106.88,479482.51,91.55,2166784.17,88.89,729756.47,93.35,699054.03,209415,1979253
"JUN 2004",91.04,2206390.12,93.10,1241745.60,75.20,446271.98,108.39,480950.98,92.84,2174859.39,89.50,750492.68,96.10,716295.13,213211,2001513
"SEP 2004",91.95,2213493.50,93.91,1243925.95,76.62,448810.72,110.24,483375.71,93.93,2190745.47,89.54,752210.40,96.84,726660.49,217455,2016293
"DIC 2004",92.52,2220874.45,94.79,1254221.48,77.58,449259.40,111.64,485232.31,95.07,2200303.97,90.48,761524.51,99.81,738323.47,221339,2033458
"MAR 2005",93.45,2223926.01,95.68,1257459.56,78.81,451112.21,114.04,484922.75,96.18,2197786.56,89.16,765127.89,99.36,736432.16,225739,2045382
"JUN 2005",94.40,2239029.87,96.88,1263696.85,79.80,453926.78,117.10,494170.46,97.83,2219902.23,92.48,778853.92,105.10,757343.43,230497,2068017
"SEP 2005",95.30,2255192.96,97.49,1271189.83,80.41,455189.90,118.73,499599.53,98.67,2230416.11,91.44,796286.13,103.94,769422.42,234589,2089908
"DIC 2005",96.29,2268556.29,98.71,1276417.97,81.49,456174.23,119.98,504732.11,99.82,2249381.03,91.67,808854.71,104.83,787758.58,239741,2116879
"MAR 2006",97.34,2288810.30,99.56,1283517.11,82.32,460624.78,122.75,510102.15,101.36,2268524.48,94.09,831250.19,109.00,809001.87,244843,2142559
"JUN 2006",98.35,2313219.47,100.54,1290037.61,83.38,462643.99,125.62,521617.93,102.58,2287050.98,95.59,849237.14,111.25,821278.67,249484,2177016
"SEP 2006",99.33,2327469.95,101.11,1293345.68,84.65,463820.53,126.97,525695.86,103.58,2298394.32,94.67,857360.20,110.51,826558.89,254757,2200868
"DIC 2006",100.27,2352580.39,102.31,1305314.97,86.09,467270.27,129.09,539153.02,105.09,2322366.69,98.41,884417.81,116.21,852686.61,258890,2234388
"MAR 2007",101.30,2378699.42,102.93,1309320.59,87.20,471498.60,129.88,545967.30,105.90,2350125.09,102.48,902328.13,119.30,871977.34,264021,2278833
"JUN 2007",102.12,2393070.58,103.87,1317960.77,88.54,474111.79,132.20,549346.48,107.05,2355820.28,102.86,917766.58,120.93,878943.62,268238,2302171
"SEP 2007",102.94,2404208.34,104.31,1322599.50,90.16,475755.44,131.61,552379.72,107.67,2371012.91,104.49,931400.81,121.75,896508.74,271917,2324324
"DIC 2007",103.83,2416472.12,105.57,1327986.08,91.33,479617.77,132.78,555774.12,108.95,2380152.16,104.52,936447.85,123.27,898499.40,276631,2351699
"MAR 2008",104.30,2436590.91,105.86,1332721.36,92.85,483301.54,131.07,562468.54,108.97,2394517.59,104.53,953237.96,121.63,909634.37,279465,2380736
"JUN 2008",104.36,2427792.46,104.33,1330228.43,94.16,488223.69,130.27,553244.05,108.22,2384092.27,105.64,953612.37,119.63,908422.76,280470,2383846
"SEP 2008",103.58,2414487.57,102.23,1323980.73,95.05,487789.39,125.04,545607.10,105.96,2377298.51,105.15,941079.50,113.53,902295.15,279626,2376728
"DIC 2008",102.53,2371366.95,101.54,1319931.61,96.34,491855.25,119.42,530296.21,104.60,2351097.94,95.52,884731.57,103.19,862559.36,276646,2345938
"MAR 2009",100.89,2318824.66,100.79,1323132.43,97.21,499488.44,111.35,502549.43,100.77,2312846.01,89.06,814881.73,89.21,807749.35,271870,2300501
"JUN 2009",99.91,2313991.72,99.08,1324464.47,98.11,502359.00,104.00,489563.01,100.02,2293381.50,90.26,811556.86,91.09,790240.03,269882,2295457
"SEP 2009",99.60,2321231.09,99.50,1321897.69,99.08,505420.75,103.11,487734.44,100.54,2302883.26,93.27,832281.32,96.91,812908.23,268670,2305871
"DIC 2009",99.54,2333664.01,99.64,1328309.71,99.64,504276.05,102.00,486659.53,100.55,2309049.77,92.95,852929.71,96.90,827241.34,268612,2323306
"MAR 2010",99.84,2343232.70,99.91,1329102.48,99.85,506719.74,101.42,482191.49,100.33,2320806.98,95.96,873212.64,98.02,850364.88,269644,2332775
"JUN 2010",100.03,2365610.65,100.43,1333254.56,100.02,506205.65,100.97,492060.18,100.53,2338310.02,98.60,916509.82,100.63,889312.94,270089,2362027
"SEP 2010",100.07,2376428.86,99.84,1335031.95,100.11,507271.70,99.37,491482.44,99.75,2341243.57,100.83,933170.51,99.56,898050.70,270520,2381140
"DIC 2010",100.07,2388746.13,99.83,1340232.20,100.02,507034.14,98.25,492426.97,99.38,2349779.45,104.62,953968.50,101.79,915254.61,270660,2398076
"MAR 2011",99.67,2413030.95,98.59,1340489.63,100.29,506551.26,95.86,500946.66,98.30,2370538.72,107.97,972706.55,102.41,930214.32,269375,2426564
"JUN 2011",99.18,2412651.84,98.12,1334714.60,100.00,507320.33,93.90,499484.06,97.44,2363646.94,106.25,980486.79,99.33,931481.88,268365,2433240
"SEP 2011",98.83,2412290.78,97.65,1336530.48,99.57,506922.21,92.20,496915.91,96.66,2357320.59,107.47,989153.72,98.84,934183.53,266863,2440611
"DIC 2011",98.32,2404528.79,96.23,1329285.11,98.98,507539.70,90.28,494832.96,95.33,2335745.43,107.93,990477.80,96.20,921694.44,265810,2442190
"MAR 2012",97.51,2400627.63,95.88,1326004.69,97.26,506461.63,88.72,488903.74,94.32,2323238.29,107.39,1000767.16,95.14,923782.97,263530,2443293
"JUN 2012",96.72,2392581.74,95.04,1319994.50,95.81,505888.90,87.28,486448.81,93.11,2305247.91,106.66,1008420.43,92.89,921625.66,261005,2443499
"SEP 2012",96.16,2389194.81,93.93,1317028.67,94.49,505466.92,85.62,479121.82,91.81,2293644.17,109.96,1016327.85,93.27,921418.57,260630,2446555
"DIC 2012",95.24,2378291.63,92.01,1309248.56,93.26,505448.46,84.36,473710.37,90.17,2280152.03,110.25,1013705.14,90.91,916271.79,257707,2445320
"MAR 2013",94.89,2372266.39,91.37,1305762.15,92.71,505749.31,84.04,464782.07,89.44,2273068.70,110.88,1016452.00,90.25,917907.83,258101,2449978
"JUN 2013",94.65,2381842.55,91.09,1308088.87,92.30,506166.61,83.45,468354.25,89.10,2280182.41,114.08,1029381.92,92.75,928226.43,257678,2467517
"SEP 2013",94.70,2388307.05,91.23,1311779.68,92.39,507061.34,84.95,472635.14,89.51,2294265.27,113.95,1034282.91,93.84,940313.96,257207,2475577
"DIC 2013",94.94,2392815.86,91.64,1314228.78,92.75,507972.50,84.92,473967.95,89.80,2291948.17,114.09,1045862.18,94.19,945110.49,258286,2486095
"MAR 2014",95.29,2403380.38,91.65,1317709.18,92.71,509818.11,85.25,477247.02,90.13,2306646.35,115.93,1056969.91,95.86,960215.53,257843,2504239
"JUN 2014",95.75,2404649.86,92.10,1319891.23,92.51,510880.75,87.03,475076.66,90.71,2308272.64,117.30,1067455.01,97.53,970860.17,259284,2508563
"SEP 2014",96.32,2412005.22,92.54,1325401.67,92.54,512443.75,87.83,477558.22,91.15,2312991.63,121.22,1084611.07,100.73,985177.91,260996,2522217
"DIC 2014",96.97,2420665.99,93.26,1332533.62,92.31,513239.11,89.05,479803.03,91.68,2319467.51,121.45,1098240.72,100.57,996484.88,263037,2541491
"MAR 2015",97.86,2442835.47,93.98,1343976.36,94.10,517001.98,90.44,488392.48,92.98,2347305.98,122.67,1120399.62,103.15,1024284.94,266220,2573823
"JUN 2015",98.80,2452260.37,94.72,1348051.13,94.79,518452.74,92.52,488900.45,93.90,2348083.40,124.40,1139096.84,104.74,1034230.70,268988,2591655
"SEP 2015",99.61,2459663.28,95.79,1354879.10,95.30,520095.73,93.70,491022.01,95.03,2364870.46,126.70,1141750.91,108.00,1046234.83,271762,2606899
"DIC 2015",100.41,2467364.43,96.51,1357778.79,95.71,522971.93,94.77,497559.32,95.58,2379762.53,127.88,1144365.27,108.31,1056017.67,274220,2624039
