"","IE_1_1.1","IE_1_1.2","IE_1_1.3","IE_1_1.4","IE_1_1.5","IE_1_1.6","IE_1_1.7","IE_1_1.8","IE_1_1.9","IE_1_1.10","IE_1_1.11","IE_1_1.12","IE_1_1.13","IE_1_1.14","IE_1_1.15","IE_1_1.16"
"NÚMERO SECUENCIAL",2405490,2665112,2405513,2665105,2405510,2665106,2405523,2665107,2405498,2665108,2405533,2665109,2405543,2665110,2404004,2665149
"DESCRIPCIÓN DE LA SERIE","CNE.SEC2010.Base2010.Índices de volumen encadenados.PIB. Total economía.Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Producto interior bruto. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Zona del Euro. Datos corregidos de efectos estacionales y de calendario","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Gasto en consumo final nacional. Sector de Origen:Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario","Contabilidad Nacional. METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Gasto en consumo individual. Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares. Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales). Datos corregidos de efectos estacionales y de calendario","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Gasto en consumo final nacional , AAPP","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Gasto en consumo final nacional. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales). Datos corregidos de efectos estacionales y de calendario","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Formación bruta de capital fijo. Total de la economía","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Formación bruta de capital fijo. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales). Datos corregidos de efectos estacionales y de calendario","CNE.SEC2010.Base 2010.DEMANDA NACIONAL.INDICES DE VOLUMEN ENCADENADOS.DATOS CORREGIDOS DE EFECTOS ESTACIONALES Y DE CALENDARIO","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Demanda Nacional. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales). Datos corregidos de efectos estacionales y de calendario","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Exportaciones de bb y ss.","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Exportaciones de bienes y servicios. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Resto del mundo. Datos corregidos de efectos estacionales y de calendario","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Importaciones de bb y ss","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Importaciones de bienes y servicios. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Resto del mundo. Datos corregidos de efectos estacionales y de calendario","CNTR.SEC2010.Base 2010.PIBpm.Precios corrientes.Datos corregidos de efectos estacionales y calendario","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Precios corrientes. Producto interior bruto. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Zona del Euro. Datos corregidos de efectos estacionales y de calendario"
"DESCRIPCIÓN DE LAS UNIDADES","Base_2010 = 100","Millones de Euros","Base_2010 = 100","Millones de Euros","Base_2010 = 100","Millones de Euros","Base_2010 = 100","Millones de Euros","Base_2010 = 100","Millones de Euros","Base_2010 = 100","Millones de Euros","Base_2010 = 100","Millones de Euros","Millones de Euros","Millones de Euros"
"MAR 1995",65.12,1767218.16,66.92,1002975.79,54.10,367810.27,62.36,370912.44,63.30,1754288.61,48.41,425620.63,44.15,403494.94,112208,1368686
"JUN 1995",65.57,1777213.72,68.04,1014293.52,54.04,371208.04,62.79,374812.89,63.86,1773060.37,48.62,432652.78,44.72,411946.99,114013,1386976
"SEP 1995",65.88,1784546.44,68.30,1013328.92,54.05,373661.66,62.92,373485.95,64.18,1773038.82,47.91,426017.58,44.15,411309.28,115546,1408762
"DIC 1995",66.34,1790777.60,68.87,1014983.75,54.26,376009.28,62.87,377188.96,64.69,1780877.09,49.82,434851.43,46.02,419571.39,117570,1423722
"MAR 1996",66.77,1791611.91,68.48,1022375.94,54.30,375841.63,64.32,368673.38,64.66,1778237.90,51.73,441969.46,46.34,420592.98,119405,1434346
"JUN 1996",67.20,1804425.18,69.82,1026044.74,54.52,378433.43,64.18,382096.96,65.37,1789930.75,52.30,444636.94,47.79,422195.01,121099,1451360
"SEP 1996",67.85,1815441.04,70.12,1031869.02,54.96,381236.06,64.39,384288.09,65.66,1797921.64,54.42,451147.19,48.59,426061.86,123177,1465607
