"","IE_6_3.1","IE_6_3.2","IE_6_3.3","IE_6_3.4","IE_6_3.5","IE_6_3.6","IE_6_3.7","IE_6_3.8","IE_6_3.9","IE_6_3.10","IE_6_3.11","IE_6_3.12","IE_6_3.13","IE_6_3.14","IE_6_3.15","IE_6_3.16"
"JUN 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-996947,5454040,6450988
"JUL 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",2299082,8737352,6438270
"AGO 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-1582453,4106950,5689402
"SEP 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-574339,5413340,5987679
"OCT 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-350035,6296058,6646094
"NOV 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-6749,6327251,6334000
"DIC 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-2757762,5326458,8084220
"ENE 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-644213,5749468,6393681
"FEB 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-294117,7017117,7311234
"MAR 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-2784579,3252365,6036944
"ABR 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-214165,7587189,7801354
"MAY 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-2573954,3105664,5679618
"JUN 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-779194,6300993,7080187
"JUL 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",938156,9391860,8453704
"AGO 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-1927980,4199356,6127336
"SEP 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-684090,4993852,5677942
"OCT 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",829084,8191512,7362428
"NOV 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",2087015,8918917,6831903
"DIC 1992","_","_","_","_","_","_","_","_","_","_","_","_","_",-5212578,5134922,10347500
"ENE 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-412799,5653060,6065859
"FEB 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-468699,8524167,8992866
"MAR 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-3833297,2991664,6824961
"ABR 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",238698,8346213,8107515
"MAY 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-3732694,3510884,7243578
"JUN 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-2584845,6028915,8613760
"JUL 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",80788,8949888,8869100
"AGO 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-3700456,3273869,6974325
"SEP 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-1368895,5298126,6667022
"OCT 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-422511,7701850,8124361
"NOV 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-1565594,7894606,9460201
"DIC 1993","_","_","_","_","_","_","_","_","_","_","_","_","_",-4960832,8057342,13018170
"ENE 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-1759830,7168206,8928035
"FEB 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",1544301,9106247,7561946
"MAR 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-3471632,3723420,7195052
"ABR 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",89329,8646533,8557204
"MAY 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-3758934,3312430,7071364
"JUN 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-2429044,6500505,8929549
"JUL 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",1501376,9859291,8357915
"AGO 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-5480882,3704686,9185568
"SEP 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-2264830,4522898,6787728
"OCT 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",1113495,8737712,7624218
"NOV 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-2202932,5880843,8083775
"DIC 1994","_","_","_","_","_","_","_","_","_","_","_","_","_",-3782524,6730536,10513060
"ENE 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-2189228,6617198,8806426
"FEB 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",1162946,8049145,6886198
"MAR 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-3619343,3829390,7448734
"ABR 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",553316,9340515,8787200
"MAY 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-4295932,4171583,8467515
"JUN 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-1751457,7191819,8943276
"JUL 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",1384756,10756476,9371720
"AGO 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-4368348,4965922,9334271
"SEP 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-1981284,5455676,7436960
"OCT 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",1454293,9500607,8046314
"NOV 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-997374,7047930,8045304
"DIC 1995","_","_","_","_","_","_","_","_","_","_","_","_","_",-4369695,7679414,12049109
"ENE 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-912739,6911008,7823748
"FEB 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",1297916,10015518,8717602
"MAR 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-4160050,3883698,8043748
"ABR 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",1677509,10933552,9256043
"MAY 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-4426803,4093145,8519948
"JUN 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-2287308,7233307,9520615
"JUL 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",1695762,11128214,9432452
"AGO 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-4828856,4691578,9520434
"SEP 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-1162310,5681818,6844128
"OCT 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-331771,9205618,9537389
"NOV 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-2105706,6876804,8982511
"DIC 1996","_","_","_","_","_","_","_","_","_","_","_","_","_",-6646774,7272036,13918809
"ENE 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-2262883,7492974,9755857
"FEB 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",1059139,12393669,11334529
"MAR 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-3972372,4018499,7990870
"ABR 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",2449100,12070385,9621284
"MAY 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-3084502,5030153,8114654
"JUN 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-1619451,7757312,9376763
"JUL 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",1044217,10496262,9452045
"AGO 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-1667496,6601632,8269128
"SEP 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-1132860,6834728,7967588
"OCT 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",2180874,11869737,9688862
"NOV 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-1692390,7372586,9064975
"DIC 1997","_","_","_","_","_","_","_","_","_","_","_","_","_",-3665609,8050376,11715986
"ENE 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-2133064,6487770,8620833
"FEB 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",1689295,12779669,11090374
"MAR 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-3732123,5180952,8913075
"ABR 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",2918034,12868817,9950783
"MAY 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-2831103,5376108,8207210
"JUN 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-1369881,7618502,8988383
"JUL 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",2509141,12123021,9613880
"AGO 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-1918911,7355805,9274716
"SEP 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-207992,6863090,7071082
"OCT 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",4952688,13634597,8681909
"NOV 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-774050,9232537,10006587
"DIC 1998","_","_","_","_","_","_","_","_","_","_","_","_","_",-5933798,5770384,11704182
"ENE 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-379046,8699861,9078907
"FEB 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",2866407,16116182,13249775
"MAR 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-6531494,5240801,11772295
"ABR 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",3796671,13661643,9864971
"MAY 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-3475257,4871581,8346838
"JUN 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-2324697,6451492,8776189
"JUL 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",1733637,10587639,8854002
"AGO 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-1835197,7053250,8888446
"SEP 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-942946,6979740,7922686
"OCT 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",6538560,15379112,8840552
"NOV 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-1327522,8419807,9747329
"DIC 1999","_","_","_","_","_","_","_","_","_","_","_","_","_",-4472774,6908964,11381738
"ENE 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-4343708,9243939,13587646
"FEB 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",3214297,15077880,11863583
"MAR 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-4881461,4921580,9803041
"ABR 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",6264980,15557655,9292674
"MAY 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-3231209,5926479,9157688
"JUN 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-2964902,6734556,9699458
"JUL 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",541608,11131093,10589485
"AGO 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-2395545,7017543,9413088
"SEP 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-318584,7612341,7930925
"OCT 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",7844944,17189602,9344657
"NOV 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",1000961,9404919,8403958
"DIC 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",-3162183,8875633,12037816
"ENE 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-6050798,9885958,15936756
"FEB 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",4805500,16438371,11632871
"MAR 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-4328094,4680478,9008571
"ABR 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",5555148,15329396,9774248
"MAY 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-3488586,5508691,8997277
"JUN 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-4509772,5437699,9947471
"JUL 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-1081851,12059729,13141580
"AGO 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-1506321,7671800,9178121
"SEP 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",691638,9069086,8377448
"OCT 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",8659588,18143408,9483820
"NOV 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",1646087,11623531,9977444
"DIC 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",-3276682,9345071,12621753
"ENE 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-4716466,9425677,14142143
"FEB 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",5690431,15275270,9584839
"MAR 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-3820115,3246993,7067108
"ABR 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",5632715,14605860,8973145
"MAY 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-3809625,3628540,7438165
"JUN 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-7461645,1520717,8982362
"JUL 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",2271793,14122177,11850384
"AGO 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-874278,6485911,7360189
"SEP 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",480516,7046475,6565959
"OCT 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",6692678,16466992,9774314
"NOV 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-417692,7760601,8178293
"DIC 2002","_","_","_","_","_","_","_","_","_","_","_","_","_",-2294805,8870339,11165144
"ENE 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-5960966,8638034,14599000
"FEB 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",7864361,14957086,7092725
"MAR 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-4710018,3489466,8199484
"ABR 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",8334123,16063939,7729816
"MAY 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-5296772,2850646,8147418
"JUN 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-7123076,2032175,9155251
"JUL 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",1651570,14184637,12533067
"AGO 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-764845,6628401,7393246
"SEP 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-418074,7687369,8105443
"OCT 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",7273776,18204676,10930901
"NOV 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-1752174,6378546,8130720
"DIC 2003","_","_","_","_","_","_","_","_","_","_","_","_","_",-3230173,8540120,11770293
"ENE 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",-2470744,6948767,9419511
"FEB 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",5631358,16317082,10685724
"MAR 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",-5457312,3993285,9450597
"ABR 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",9875626,17305944,7430317
"MAY 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",-5208476,2323690,7532166
"JUN 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",-9107255,781539,9888794
"JUL 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",2707862,15824386,13116524
"AGO 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",91854,7289850,7197996
"SEP 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",1424337,8807853,7383516
"OCT 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",5622235,18605028,12982793
"NOV 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",113468,7787261,7673793
"DIC 2004","_","_","_","_","_","_","_","_","_","_","_","_","_",-3163491,8808536,11972027
"ENE 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-6811667,9956464,16768131
"FEB 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",6783598,15623371,8839773
"MAR 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-2982634,5439181,8421815
"ABR 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",10149832,18509868,8360037
"MAY 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-3650566,3840105,7490671
"JUN 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-6991633,2405657,9397290
"JUL 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",10068132,18175258,8107126
"AGO 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-4156679,9095676,13252355
"SEP 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",1190712,9047578,7856866
"OCT 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",10622367,21549682,10927315
"NOV 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-3012303,6127399,9139702
"DIC 2005","_","_","_","_","_","_","_","_","_","_","_","_","_",-5187413,9006385,14193798
"ENE 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-4556658,10255440,14812098
"FEB 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",8720141,18115392,9395252
"MAR 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-3919980,4889478,8809458
"ABR 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",13248054,22203810,8955756
"MAY 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-5889566,2642765,8532331
"JUN 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-6448565,3208501,9657066
"JUL 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",4171014,19183656,15012643
"AGO 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-746362,8380383,9126745
"SEP 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",2334538,10804027,8469489
"OCT 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",11674464,24166244,12491779
"NOV 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-1517349,8512186,10029535
"DIC 2006","_","_","_","_","_","_","_","_","_","_","_","_","_",-5598249,9484578,15082827
"ENE 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-3742304,12189481,15931785
"FEB 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",9973032,19855046,9882014
"MAR 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-3915111,5737671,9652782
"ABR 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",14189626,24316908,10127283
"MAY 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-5285586,3423450,8709036
"JUN 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-7051310,3603746,10655056
"JUL 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-851768,16647750,17499518
