"","IE_6_3.1","IE_6_3.2","IE_6_3.3","IE_6_3.4","IE_6_3.5","IE_6_3.6","IE_6_3.7","IE_6_3.8","IE_6_3.9","IE_6_3.10","IE_6_3.11","IE_6_3.12","IE_6_3.13","IE_6_3.14","IE_6_3.15","IE_6_3.16"
"NÚMERO SECUENCIAL",2332439,2332438,2332398,2332399,2332400,2332402,2332406,2332407,2332397,2332401,2332403,2332404,2332405,442570,442571,442572
"DESCRIPCIÓN DE LA SERIE","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.CAPACIDAD O NECESIDAD DE FINANCIACION","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.RECURSOS.TOTAL","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.IMPUESTOS DEL TIPO VALOR AÑADIDO IVA","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.RECURSOS.FLUJOS.IMPUESTOS SOBRE LOS PRODUCTOS Y LAS IMPORTACIONES","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.RECURSOS.FLUJOS.RENTAS DE LA PROPIEDAD","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.RECURSOS.FLUJOS.IMPUESTOS CORRIENTES SOBRE LA RENTA Y EL PATRIMONIO","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.RECURSOS.FLUJOS.RESTO","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.RECURSOS.TOTAL DE EMPLEOS","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.EMPLEOS.FLUJOS.REMUNERACION DE ASALARIADOS","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.EMPLEOS.FLUJOS.INTERESES","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.EMPLEOS.FLUJOS.TRANSFERENCIAS CORRIENTES MAS TRANSFERENCIAS DE CAPITAL ENTRE AAPP.","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.EMPLEOS.FLUJOS.AYUDAS A LA INVERSION Y OTRAS TRANSFERENCIAS DE CAPITAL","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.EMPLEOS.FLUJOS.RESTO","Estado. Deficit de caja","Estado. Ingresos liquidos","Estado. Pagos liquidos"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"ENE 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-1228246,647308,1875554
"FEB 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",453662,3918286,3464624
"MAR 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-2122480,800284,2922764
"ABR 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",674792,3602412,2927620
"MAY 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-1647254,1124974,2772228
"JUN 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-1655800,2143684,3799484
"JUL 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",995835,4442110,3446276
"AGO 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-1673296,1024978,2698274
"SEP 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-1004159,1447417,2451576
"OCT 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",448944,4140234,3691290
"NOV 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-999669,1441486,2441155
"DIC 1985","_","_","_","_","_","_","_","_","_","_","_","_","_",-1170020,1952965,3122985
"ENE 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",933324,3954870,3021546
"FEB 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-2978484,1476380,4454864
"MAR 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-1424861,868264,2293126
"ABR 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",517736,4780072,4262336
"MAY 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-824336,1750400,2574736
"JUN 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-1379070,1986802,3365872
"JUL 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",1688141,6201658,4513517
"AGO 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-1606385,1895045,3501430
"SEP 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-2328766,1932837,4261602
"OCT 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",509803,4167484,3657682
"NOV 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-412120,2800860,3212981
"DIC 1986","_","_","_","_","_","_","_","_","_","_","_","_","_",-1349933,2760942,4110875
"ENE 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-20188,3965941,3986129
"FEB 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-2109763,3523626,5633388
"MAR 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-1297116,2091732,3388849
"ABR 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",139068,3417704,3278635
"MAY 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-1089515,2352458,3441972
"JUN 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-1156564,2881420,4037984
"JUL 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",1177924,6348358,5170435
"AGO 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-511035,3090933,3601968
"SEP 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-1512056,2946696,4458752
"OCT 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-155692,4204963,4360656
"NOV 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-502110,3481892,3984001
"DIC 1987","_","_","_","_","_","_","_","_","_","_","_","_","_",-1015771,3942014,4957785
"ENE 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-3822,3958800,3962623
"FEB 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-1128761,4641526,5770288
"MAR 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-1699446,2120130,3819576
"ABR 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-442585,4061436,4504020
"MAY 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-238860,2737886,2976747
"JUN 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-6743,4854062,4860806
"JUL 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",117948,5557174,5439226
"AGO 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-515668,3840516,4356184
"SEP 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-1689295,3002542,4691837
"OCT 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-242509,4431544,4674053
"NOV 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",355859,4692871,4337012
"DIC 1988","_","_","_","_","_","_","_","_","_","_","_","_","_",-1574363,3632253,5206616
"ENE 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",113189,4602298,4489110
"FEB 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-999141,4928696,5927836
"MAR 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-2362314,2575668,4937982
"ABR 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",822942,4800302,3977360
"MAY 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-1331957,2797333,4129290
"JUN 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-1560540,3744456,5304996
"JUL 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-159106,6406626,6565732
"AGO 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",716214,5671595,4955380
"SEP 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-1123935,4036415,5160350
"OCT 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",1658565,7013192,5354627
"NOV 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",-1258567,3779080,5037648
"DIC 1989","_","_","_","_","_","_","_","_","_","_","_","_","_",836531,7000619,6164088
"ENE 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",69045,4990072,4921027
"FEB 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-325244,5235849,5561093
"MAR 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-2103801,2835666,4939466
"ABR 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",1026216,5881612,4855396
"MAY 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-2267402,3122841,5390243
"JUN 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-940716,4976194,5916910
"JUL 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",1404758,7545154,6140396
"AGO 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-1789177,5079142,6868318
"SEP 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-4152735,1015578,5168314
"OCT 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",4629872,10483820,5853942
"NOV 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-1102911,4850847,5953758
"DIC 1990","_","_","_","_","_","_","_","_","_","_","_","_","_",-1491580,5304779,6796359
"ENE 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-882394,5379082,6261476
"FEB 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",314630,6899835,6585206
"MAR 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-1997638,3055329,5052967
"ABR 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",6767,6802195,6795428
"MAY 1991","_","_","_","_","_","_","_","_","_","_","_","_","_",-1699218,3772198,5471416
