"","IE_4_7.1","IE_4_7.2","IE_4_7.3","IE_4_7.4","IE_4_7.5","IE_4_7.6","IE_4_7.7","IE_4_7.8","IE_4_7.9","IE_4_7.10","IE_4_7.11","IE_4_7.12","IE_4_7.13"
"NÚMERO SECUENCIAL",1746588,1746589,1746590,1746591,1746592,1746593,1746594,1746595,1746596,1746597,1746598,2716515,2662355
"DESCRIPCIÓN DE LA SERIE","ETCL. Coste laboral total por trabajador y mes","ETCL. Coste laboral total por trabajador y mes. Industria sin construcción. CNAE 2009","ETCL. Coste laboral total por trabajador y mes. Construcción. CNAE 2009","ETCL. Coste laboral total por trabajador y mes. Servicios. CNAE 2009","ETCL. Coste laboral total por hora efectiva","ETCL. Coste salarial total por trabajador y mes","ETCL. Coste salarial total por trabajador y mes. Industria sin construcción. CNAE 2009","ETCL. Coste salarial total por trabajador y mes. Construcción. CNAE 2009","ETCL. Coste salarial total por trabajador y mes. Servicios. CNAE 2009","ETCL. Coste salarial total por hora efectiva","ETCL. Otros costes no salariales por trabajador y mes","Descripción Familia:Encuesta trimestral de costes laborales. Magnitud principal:Índice de Coste Laboral Armonizado (ICLA). Coste laboral armonizado. Magnitud de Referencia:Por hora efectiva. Tipo de Dato:Índice base 2012=100. Tipo de transformación:Datos corregidos de efecto calendario","Índice coste laboral armonizado"
"DESCRIPCIÓN DE LAS UNIDADES","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Base 2012 = 100","Base 2008 = 100"
"DIC 2008",2583.82,2892.03,2629.84,2503.36,19.00,1940.29,2160.83,1859.61,1902.00,14.27,643.53,99.80,3.9
"MAR 2009",2440.54,2697.50,2440.06,2382.33,17.66,1768.87,1918.60,1647.86,1753.42,12.80,671.67,90.10,2.7
"JUN 2009",2548.69,2796.45,2632.31,2481.01,18.90,1893.28,2038.81,1848.86,1867.27,14.04,655.41,96.60,4.0
"SEP 2009",2428.91,2680.32,2493.77,2364.32,19.55,1776.61,1948.19,1710.39,1748.39,14.30,652.30,101.70,2.7
"DIC 2009",2649.13,2969.63,2737.43,2567.13,19.96,1993.15,2215.34,1957.63,1949.74,15.02,655.98,103.70,1.5
"MAR 2010",2466.11,2755.07,2457.27,2405.52,18.03,1802.00,1971.46,1679.29,1780.89,13.17,664.11,91.50,2.2
"JUN 2010",2578.11,2866.95,2642.69,2509.32,19.05,1926.75,2100.67,1874.34,1896.50,14.24,651.36,97.70,1.8
"SEP 2010",2421.49,2735.53,2471.62,2349.41,19.28,1779.27,2005.01,1695.45,1741.73,14.17,642.22,100.70,1.2
"DIC 2010",2642.17,3038.10,2743.32,2547.25,20.18,1992.90,2277.28,1969.86,1935.81,15.22,649.27,103.40,2.0
"MAR 2011",2486.60,2790.77,2526.25,2419.70,18.03,1819.62,2031.26,1718.29,1787.05,13.19,666.98,92.40,2.4
"JUN 2011",2599.79,2911.71,2721.41,2523.16,19.34,1938.78,2165.68,1933.53,1893.14,14.42,661.01,98.80,3.1
"SEP 2011",2456.91,2796.76,2517.27,2381.58,20.20,1800.84,2061.57,1728.50,1755.11,14.81,656.07,103.80,2.6
"DIC 2011",2683.86,3092.36,2834.83,2585.97,20.68,2020.13,2330.65,2017.80,1957.24,15.56,663.73,105.90,2.9
"MAR 2012",2515.04,2863.67,2584.73,2439.34,18.29,1841.89,2069.19,1740.94,1805.38,13.39,673.15,94.10,2.1
"JUN 2012",2591.80,2986.66,2791.10,2496.81,19.47,1939.73,2211.73,1975.15,1882.97,14.57,652.07,99.30,2.8
"SEP 2012",2455.49,2847.04,2543.53,2370.98,20.20,1805.63,2082.45,1748.95,1755.73,14.85,649.86,104.40,2.7
"DIC 2012",2598.69,3115.18,2836.06,2477.32,20.22,1946.91,2325.22,2026.13,1865.84,15.14,651.78,102.20,2.6
