"Nombre de la serie","Número secuencial","Nombre del archivo con los valores de la serie","Descripción de la serie","Tipo de variable","Código de unidades","Exponente","Número de decimales","Descripción de unidades y exponente","Frecuencia de la serie","Fecha de la primera observación","Fecha de la última observación","Número de observaciones","Título de la serie","Fuente","Notas"
"IE_1_1.1",2405490,"IE0101","CNE.SEC2010.Base2010.Índices de volumen encadenados.PIB. Total economía.Datos corregidos de efectos estacionales y de calendario","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Producto interior bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.2",2665112,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Producto interior bruto/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Zona del Euro/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.3",2405513,"IE0101","","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Gasto en consumo final nacional/Sector de Origen:  Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.4",2665105,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Gasto en consumo individual/Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.5",2405510,"IE0101","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Gasto en consumo final nacional , AAPP","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Gasto en consumo final nacional/Sector de Origen:  Empleos. Administraciones públicas/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.6",2665106,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Gasto en consumo final nacional/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.7",2405523,"IE0101","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Formación bruta de capital fijo. Total de la economía","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.8",2665107,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Formación bruta de capital fijo/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.9",2405498,"IE0101","CNE.SEC2010.Base 2010.DEMANDA NACIONAL.INDICES DE VOLUMEN ENCADENADOS.DATOS CORREGIDOS DE EFECTOS ESTACIONALES Y DE CALENDARIO","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Demanda Nacional/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.10",2665108,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Demanda Nacional/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.11",2405533,"IE0101","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Exportaciones de bb y ss.","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Exportaciones de bienes y servicios/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.12",2665109,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Exportaciones de bienes y servicios/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Resto del mundo/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.13",2405543,"IE0101","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Importaciones de bb y ss","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Importaciones de bienes y servicios/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.14",2665110,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Importaciones de bienes y servicios/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Resto del mundo/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.15",2404004,"IE0101","CNTR.SEC2010.Base 2010.PIBpm.Precios corrientes.Datos corregidos de efectos estacionales y calendario","SUMA","EUR",6,0,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Producto interior bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.16",2665149,"IE0101","","SUMA","EUR",6,0,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Precios corrientes/Producto interior bruto/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Zona del Euro/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_2.1",2405709,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.2",2515588,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Activos materiales/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.3",2491515,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Activos materiales. Construcción/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.4",2515589,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Activos materiales. Bienes de equipo y activos cultivados/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.5",2515590,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Activos inmateriales./Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.6",2405531,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Variación de existencias y adquisiciones menos cesiones de objetos valiosos./Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, contribución al crecimiento del PIB","Instituto Nacional de Estadistica",""
"IE_1_2.7",2405710,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Exportaciones de bienes y servicios/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.8",2405711,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Exportaciones de bienes/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.9",2405712,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Exportaciones de servicios/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.10",2405714,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Consumo final de no residentes en el Territorio Económico/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.11",2405715,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Importaciones de bienes y servicios/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.12",2405716,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Importaciones de bienes/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.13",2405717,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Importaciones de servicios/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.14",2405719,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Consumo final de residentes en el Resto del Mundo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_2.15",2405499,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Demanda Nacional/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, contribución al crecimiento del PIB","Instituto Nacional de Estadistica",""
"IE_1_2.16",2405698,"IE0102","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Producto interior bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.1",2405698,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Producto interior bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.2",2491517,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Agricultura, ganadería, silvicultura y pesca/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.3",2491518,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Industria/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.4",2491516,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Industria manufacturera/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.5",2491420,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Construcción/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.6",2491421,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Servicios/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.7",2515622,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Comercio, transporte y hostelería/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.8",2515623,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Información y Comunicaciones/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.9",2515624,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Actividades financieras y de seguros/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.10",2515625,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Actividades inmobiliarias/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.11",2515626,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Actividades profesionales/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.12",2515627,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Administración pública, sanidad y educación/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.13",2515628,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Valor añadido bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Rama de Actividad, Productos e Inversiones:  Actividades artísticas, recreativas y otros servicios/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_3.14",2405703,"IE0103","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Impuestos sobre los productos, netos de subvenciones/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_4.1",2405636,"IE0104","","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Deflactor implícito/Operaciones y otros Flujos:  Gasto en consumo final nacional/Sector de Origen:  Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
"IE_1_4.2",2405632,"IE0104","CNE.SEC2010.BASE 2010. Tasas de variación interanual.Deflactor del gasto en consumo final.AAPP.Datos corregidos de efectos estacionales y calendario","SUMA","Porcentaje",-2,2,"Porcentaje","TRIMESTRAL","Mar-96","Dic-15",80,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Deflactor implícito/Operaciones y otros Flujos:  Gasto en consumo final nacional/Sector de Origen:  Empleos. Administraciones públicas/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Instituto Nacional de Estadistica",""
