"","IE_5_4.1","IE_5_4.2","IE_5_4.3","IE_5_4.4","IE_5_4.5","IE_5_4.6","IE_5_4.7","IE_5_4.8","IE_5_4.9","IE_5_4.10","IE_5_4.11","IE_5_4.12"
"NOV 1972",0.048,"_",3.275,"_",23.888,"_",2.252,"_",1.397,"_",-3.554,"_"
"DIC 1972",5.409,"_",-3.478,"_",15.529,"_",-0.161,"_",-2.139,"_",-1.149,"_"
"ENE 1973",3.155,"_",-7.427,"_",16.230,"_",2.987,"_",3.900,"_",-4.459,"_"
"FEB 1973",8.329,"_",7.811,"_",46.615,"_",5.081,"_",-1.604,"_",1.540,"_"
"MAR 1973",6.869,"_",2.579,"_",34.783,"_",2.743,"_",0.705,"_",-12.355,"_"
"ABR 1973",6.321,"_",3.767,"_",22.172,"_",6.280,"_",3.709,"_",-5.915,"_"
"MAY 1973",7.662,"_",0.966,"_",21.705,"_",5.230,"_",-0.575,"_",-4.300,"_"
"JUN 1973",22.508,"_",12.128,"_",84.908,"_",11.572,"_",9.949,"_",-1.230,"_"
"JUL 1973",17.341,"_",12.310,"_",67.359,"_",9.823,"_",-5.934,"_",3.835,"_"
"AGO 1973",18.023,"_",21.775,"_",101.032,"_",22.832,"_",17.516,"_",4.008,"_"
"SEP 1973",15.207,"_",-4.222,"_",98.888,"_",28.022,"_",16.996,"_",17.173,"_"
"OCT 1973",16.234,"_",5.866,"_",108.676,"_",31.144,"_",12.815,"_",12.403,"_"
"NOV 1973",20.402,"_",16.420,"_",63.611,"_",22.916,"_",-1.315,"_",33.566,"_"
"DIC 1973",20.336,"_",11.765,"_",207.530,"_",27.224,"_",6.225,"_",55.329,"_"
"ENE 1974",20.565,"_",6.127,"_",174.550,"_",23.977,"_",5.696,"_",68.190,"_"
"FEB 1974",25.035,"_",3.964,"_",128.100,"_",34.311,"_",4.954,"_",105.308,"_"
"MAR 1974",25.198,"_",11.243,"_",152.034,"_",47.690,"_",6.425,"_",214.913,"_"
"ABR 1974",27.961,"_",8.977,"_",231.080,"_",52.532,"_",8.344,"_",235.828,"_"
"MAY 1974",28.332,"_",7.656,"_",262.459,"_",54.282,"_",16.774,"_",237.381,"_"
"JUN 1974",21.071,"_",14.762,"_",134.703,"_",46.168,"_",14.006,"_",224.713,"_"
"JUL 1974",17.675,"_",1.032,"_",127.482,"_",44.859,"_",15.428,"_",223.361,"_"
"AGO 1974",14.509,"_",-3.360,"_",52.824,"_",40.246,"_",3.170,"_",228.384,"_"
"SEP 1974",19.534,"_",14.934,"_",84.698,"_",41.123,"_",19.409,"_",221.090,"_"
"OCT 1974",20.788,"_",10.422,"_",72.341,"_",35.100,"_",15.480,"_",200.862,"_"
"NOV 1974",29.196,"_",2.785,"_",121.433,"_",42.108,"_",23.731,"_",171.514,"_"
"DIC 1974",27.381,"_",17.961,"_",-5.055,"_",44.364,"_",39.713,"_",118.590,"_"
"ENE 1975",12.920,"_",19.313,"_",4.621,"_",39.390,"_",28.720,"_",96.602,"_"
"FEB 1975",14.136,"_",20.776,"_",2.371,"_",28.073,"_",36.149,"_",63.527,"_"
"MAR 1975",14.063,"_",16.635,"_",-4.814,"_",17.796,"_",38.972,"_",15.310,"_"
"ABR 1975",6.679,"_",13.446,"_",-22.215,"_",7.552,"_",23.799,"_",4.279,"_"
"MAY 1975",6.040,"_",23.429,"_",-20.602,"_",5.933,"_",17.501,"_",-0.680,"_"
"JUN 1975",8.277,"_",12.211,"_",-4.661,"_",1.036,"_",11.982,"_",1.268,"_"
"JUL 1975",9.953,"_",28.143,"_",3.507,"_",3.596,"_",28.571,"_",0.057,"_"
"AGO 1975",12.181,"_",24.219,"_",9.854,"_",1.657,"_",25.499,"_",1.860,"_"
"SEP 1975",-4.410,"_",-2.576,"_",4.101,"_",-0.833,"_",17.516,"_",-3.396,"_"
"OCT 1975",2.151,"_",30.466,"_",-3.936,"_",-0.278,"_",14.577,"_",2.034,"_"
"NOV 1975",-7.882,"_",23.675,"_",-8.296,"_",-0.781,"_",25.590,"_",-0.687,"_"
"DIC 1975",-8.385,"_",17.401,"_",-12.701,"_",-3.375,"_",5.042,"_",9.874,"_"
"ENE 1976",2.281,3.092,20.392,-1.981,6.168,"_",-1.588,3.949,11.941,-6.442,13.796,"_"
"FEB 1976",-2.661,3.962,18.508,-15.920,21.667,"_",0.897,9.751,13.412,-4.064,11.265,"_"
"MAR 1976",0.881,7.176,19.483,-11.340,12.043,"_",7.347,10.138,17.032,4.140,18.959,"_"
"ABR 1976",2.654,5.893,14.469,-2.958,8.759,"_",11.289,15.062,26.941,6.322,23.767,"_"
"MAY 1976",5.696,6.467,16.204,5.057,20.091,"_",10.057,1.739,29.696,6.551,25.078,"_"
"JUN 1976",2.516,6.648,26.043,-7.399,6.476,"_",15.631,14.331,22.122,13.674,28.430,"_"
"JUL 1976",5.102,6.465,18.327,2.719,-11.822,"_",7.619,-11.154,15.783,10.687,25.228,"_"
"AGO 1976",5.179,7.474,10.626,6.569,43.289,"_",9.010,7.619,18.814,8.761,26.047,"_"
"SEP 1976",17.167,18.510,46.240,13.090,-36.277,"_",17.320,14.728,21.692,18.418,27.197,"_"
"OCT 1976",2.336,-2.750,3.892,19.156,2.696,"_",18.154,5.493,29.181,19.627,25.414,"_"
"NOV 1976",11.364,9.118,10.952,26.333,34.452,"_",15.794,11.028,16.701,18.455,22.124,"_"
"DIC 1976",16.598,16.276,21.948,23.891,51.016,"_",15.796,16.109,24.681,14.645,15.377,"_"
"ENE 1977",10.781,13.071,15.167,14.318,7.262,"_",12.698,22.640,-7.565,19.301,10.149,"_"
"FEB 1977",16.369,13.885,12.494,31.110,2.043,"_",14.434,13.419,19.469,16.836,11.444,"_"
"MAR 1977",11.704,12.095,15.180,17.902,4.331,"_",5.910,7.433,4.520,9.242,9.719,"_"
"ABR 1977",10.872,15.459,14.599,11.582,-13.143,"_",8.648,8.704,8.659,11.941,7.184,"_"
"MAY 1977",9.801,16.153,6.773,10.732,9.472,"_",10.014,12.464,9.029,13.259,9.101,"_"
"JUN 1977",12.141,20.495,8.801,11.165,-6.572,"_",6.181,2.493,7.135,9.700,7.848,"_"
"JUL 1977",12.465,20.771,5.640,14.076,23.513,"_",22.609,40.466,11.196,25.597,23.109,"_"
"AGO 1977",20.113,33.103,26.715,10.747,-0.166,"_",35.853,37.876,22.596,41.371,29.157,"_"
"SEP 1977",26.343,28.952,18.682,31.472,132.863,"_",28.836,29.481,31.592,31.107,33.409,"_"
"OCT 1977",34.212,51.122,31.600,19.812,33.745,"_",25.800,31.279,25.689,27.787,30.408,"_"
"NOV 1977",23.169,29.347,37.897,13.417,2.074,"_",26.104,31.212,37.474,24.825,31.137,"_"
"DIC 1977",22.173,33.729,20.374,11.295,23.517,"_",24.685,25.034,28.450,26.187,31.337,"_"
"ENE 1978",26.236,31.710,37.806,17.679,1.859,"_",33.072,24.497,78.023,25.835,35.708,"_"
"FEB 1978",18.532,27.500,25.357,7.788,30.102,"_",24.838,25.403,29.091,23.520,30.100,"_"
"MAR 1978",17.656,29.441,23.465,4.839,43.486,"_",25.720,29.389,40.084,21.424,23.966,"_"
"ABR 1978",22.631,29.151,23.728,17.581,59.680,"_",20.375,23.060,25.398,18.898,25.972,"_"
"MAY 1978",19.805,28.988,29.561,7.540,22.256,"_",21.587,29.639,32.892,18.116,17.709,"_"
"JUN 1978",14.180,20.553,24.461,5.010,9.953,"_",21.033,35.642,31.884,16.612,21.703,"_"
"JUL 1978",17.015,21.706,27.570,8.571,10.002,"_",10.501,23.434,24.910,5.506,3.554,"_"
"AGO 1978",4.100,7.394,11.235,-1.071,7.506,"_",-1.163,4.929,18.549,-6.311,-7.663,"_"
"SEP 1978",2.295,5.318,7.211,-1.918,-14.665,"_",-3.065,6.601,9.844,-7.723,-6.910,"_"
"OCT 1978",4.217,7.544,8.205,0.040,-5.312,"_",-5.836,9.120,2.603,-10.581,-11.075,"_"
"NOV 1978",5.653,10.012,-3.704,5.696,8.603,"_",-8.496,-0.334,-4.276,-10.634,-13.797,"_"
"DIC 1978",3.045,9.580,-1.650,-1.650,4.070,"_",-5.218,3.270,4.854,-8.533,-10.610,"_"
"ENE 1979",3.383,7.604,-2.924,2.222,23.366,"_",-7.777,2.899,3.125,-11.683,-12.022,"_"
"FEB 1979",9.445,15.264,6.221,4.993,-3.270,"_",-5.519,2.699,2.426,-8.453,-9.661,"_"
"MAR 1979",10.258,12.801,4.530,10.370,-22.220,"_",-4.459,-0.250,-3.263,-4.926,-7.076,"_"
"ABR 1979",8.898,11.878,6.118,7.012,-8.001,"_",-4.367,-0.252,3.867,-6.886,-9.601,"_"
"MAY 1979",6.876,10.282,3.040,4.929,-14.366,"_",-6.279,-4.983,-3.091,-7.290,-4.778,"_"
"JUN 1979",12.245,12.522,0.340,17.562,29.333,"_",-1.443,-1.594,2.747,-2.177,4.044,"_"
"JUL 1979",8.615,9.459,4.154,9.630,15.232,"_",-0.611,-2.115,-0.759,-0.171,7.937,"_"
"AGO 1979",11.246,11.494,1.460,15.605,77.132,"_",5.756,-0.881,-2.587,9.738,31.084,"_"
"SEP 1979",10.534,11.529,6.599,12.151,82.335,"_",8.468,2.482,-5.324,13.656,34.361,"_"
"OCT 1979",7.816,8.644,4.859,9.230,58.171,"_",14.874,3.264,3.017,20.794,45.028,"_"
"NOV 1979",11.232,14.027,10.827,8.930,76.465,"_",17.912,8.471,5.530,23.382,48.237,"_"
"DIC 1979",13.285,13.141,12.702,15.709,18.933,"_",18.890,10.044,1.594,25.389,47.843,"_"
"ENE 1980",19.074,19.050,12.143,24.239,65.826,"_",23.184,8.302,1.377,32.529,61.085,"_"
"FEB 1980",14.576,12.274,12.726,20.626,68.595,"_",34.365,9.712,6.239,47.707,99.361,"_"
"MAR 1980",14.926,12.246,13.394,21.368,108.649,"_",34.659,11.473,11.002,45.942,95.734,"_"
"ABR 1980",17.663,14.588,17.638,23.979,119.511,"_",41.705,15.297,12.601,55.135,111.055,"_"
"MAY 1980",19.525,17.501,22.050,23.958,108.861,"_",41.532,20.309,15.252,52.538,98.153,"_"
"JUN 1980",20.399,17.059,22.949,26.328,91.475,"_",39.911,18.476,14.744,50.403,80.850,"_"
"JUL 1980",21.845,21.239,21.079,26.023,112.364,"_",42.251,22.115,19.620,51.663,91.918,"_"
"AGO 1980",17.765,15.820,22.159,20.606,37.620,"_",31.843,24.118,20.352,36.163,57.964,"_"
"SEP 1980",20.256,19.467,22.808,21.968,19.125,"_",35.375,22.480,20.248,41.298,62.101,"_"
"OCT 1980",22.367,20.539,25.030,24.503,46.929,"_",33.931,22.390,23.043,38.526,57.143,"_"
"NOV 1980",19.075,16.744,26.947,20.043,18.994,"_",36.585,24.163,18.418,43.130,68.041,"_"
"DIC 1980",20.086,14.930,28.730,24.144,64.887,"_",38.294,24.222,22.834,44.510,70.843,"_"
"ENE 1981",9.944,9.075,22.071,18.927,64.886,"_",44.874,24.017,30.311,44.230,67.431,"_"
"FEB 1981",10.793,7.726,22.579,14.421,81.920,"_",40.581,24.077,28.476,34.071,46.682,"_"
"MAR 1981",13.416,11.572,23.704,21.787,80.799,"_",38.401,23.299,24.848,34.976,48.021,"_"
"ABR 1981",15.372,11.844,22.661,21.601,72.155,"_",33.695,23.372,26.543,26.351,36.870,"_"
"MAY 1981",16.659,11.583,21.654,22.404,78.925,"_",36.970,21.856,24.883,31.924,47.077,"_"
"JUN 1981",13.390,10.993,20.070,17.443,52.098,"_",39.388,21.787,19.219,34.073,51.125,"_"
"JUL 1981",10.632,8.379,19.143,18.551,41.524,"_",31.704,20.311,19.687,27.785,32.128,"_"
"AGO 1981",12.407,12.859,22.631,17.664,54.264,"_",41.946,16.284,18.905,41.048,61.916,"_"
"SEP 1981",9.952,5.936,21.394,18.119,49.894,"_",32.112,15.081,18.554,31.207,42.690,"_"
"OCT 1981",8.455,7.630,21.506,11.149,10.670,"_",34.200,16.562,21.108,26.935,37.448,"_"
"NOV 1981",4.325,5.636,16.931,11.628,12.263,"_",25.086,14.787,25.340,23.679,32.569,"_"
"DIC 1981",4.231,5.616,16.988,10.162,14.077,"_",20.067,16.846,19.238,18.155,24.818,"_"
"ENE 1982",11.821,11.095,16.357,6.851,-13.307,10.520,17.142,14.584,12.436,16.793,24.297,13.204
"FEB 1982",13.250,14.150,15.224,15.249,-19.748,19.078,10.216,15.182,13.004,11.948,13.203,13.532
"MAR 1982",13.546,14.326,17.110,7.818,-18.449,12.810,11.753,15.241,11.590,12.021,13.122,4.042
"ABR 1982",9.361,15.263,20.602,5.393,-29.128,12.122,11.145,12.277,16.115,13.108,13.120,-11.647
"MAY 1982",6.532,12.662,17.235,3.640,-30.357,10.860,7.187,9.714,14.850,9.715,5.735,-13.826
"JUN 1982",8.823,12.614,16.005,6.686,-22.887,13.002,7.982,16.340,23.399,8.221,5.834,2.071
"JUL 1982",11.147,10.281,19.996,4.587,-10.920,8.577,13.174,14.466,27.316,13.103,16.158,12.750
"AGO 1982",9.947,9.246,18.735,5.565,-10.993,9.981,9.967,14.241,22.074,6.529,1.918,33.507
"SEP 1982",10.838,12.472,20.107,3.031,-18.837,7.769,9.508,15.969,25.963,5.472,1.620,10.021
"OCT 1982",9.228,10.160,18.554,9.658,17.852,6.219,7.794,12.943,21.117,11.775,11.995,-30.352
"NOV 1982",19.122,14.802,24.676,12.640,24.688,14.789,18.141,16.827,21.321,14.405,16.184,36.534
"DIC 1982",15.094,14.149,23.245,11.465,6.634,13.341,21.475,19.977,28.154,18.758,21.100,32.810
"ENE 1983",13.467,11.452,25.600,11.787,31.523,9.750,17.820,20.076,29.675,15.926,15.506,18.953
"FEB 1983",10.448,11.162,23.960,9.460,21.676,9.050,19.631,20.409,29.569,17.071,17.223,14.209
"MAR 1983",13.187,12.327,22.081,9.216,27.291,8.127,20.133,20.198,33.356,18.579,18.689,17.053
"ABR 1983",13.099,11.907,19.629,11.253,39.925,7.633,22.541,21.632,25.822,19.494,19.588,40.390
"MAY 1983",14.624,13.505,21.213,13.373,39.355,8.133,23.127,22.350,24.226,19.306,20.400,36.464
"JUN 1983",16.653,15.474,24.568,13.290,45.403,8.452,19.360,18.986,20.938,18.472,17.312,22.189
"JUL 1983",15.354,19.525,21.254,13.788,20.652,12.287,20.632,24.310,22.251,17.950,13.489,23.450
"AGO 1983",19.345,18.960,20.415,14.576,23.744,14.463,23.374,23.836,25.713,23.281,20.502,29.935
"SEP 1983",21.682,20.525,19.620,22.137,62.932,16.567,24.822,23.338,25.639,25.386,19.999,16.560
"OCT 1983",23.783,22.652,18.060,21.388,39.536,21.552,29.749,24.348,25.348,26.473,18.818,59.667
"NOV 1983",18.257,21.008,14.781,20.313,30.288,17.353,24.725,18.253,20.680,25.892,13.685,28.955
"DIC 1983",21.403,20.827,14.960,22.176,41.158,20.310,22.681,12.034,16.238,24.501,13.496,32.015
"ENE 1984",22.227,21.784,13.629,21.827,21.056,24.622,21.793,12.316,14.068,23.218,12.828,38.781
"FEB 1984",20.405,18.931,11.591,19.797,22.958,20.226,19.750,10.102,11.570,20.446,10.758,33.322
"MAR 1984",14.947,13.440,8.613,19.257,18.928,18.179,14.389,10.364,10.808,13.643,3.472,27.780
"ABR 1984",13.548,11.555,7.787,16.133,16.776,15.453,9.369,7.232,11.331,11.981,3.056,2.739
"MAY 1984",12.723,10.943,7.595,14.442,16.972,14.788,13.699,9.804,11.072,15.993,9.643,5.257
"JUN 1984",10.482,9.221,9.254,15.546,8.299,16.056,14.548,5.918,13.222,15.065,6.348,11.698
"JUL 1984",10.871,8.480,8.043,17.036,15.524,16.999,16.775,2.931,8.959,15.476,8.477,52.938
"AGO 1984",11.663,10.100,8.428,17.558,9.570,18.710,9.655,4.269,5.837,12.036,4.072,4.073
"SEP 1984",9.467,8.779,8.367,14.216,1.955,13.712,12.755,5.500,3.636,12.125,10.073,47.720
"OCT 1984",10.162,9.946,7.898,11.863,0.807,13.087,9.923,5.577,4.514,11.524,11.696,6.269
"NOV 1984",9.459,8.208,10.049,11.862,4.755,14.806,3.014,4.555,3.304,5.648,5.075,-1.642
"DIC 1984",8.301,6.269,9.045,9.479,1.545,14.232,1.312,6.738,1.290,3.522,3.279,-3.243
"ENE 1985",7.834,6.615,10.150,8.588,4.027,9.148,4.694,2.603,5.745,4.232,4.735,2.015
"FEB 1985",10.034,8.092,13.074,9.706,11.189,10.211,5.464,3.492,4.877,7.757,8.393,2.194
"MAR 1985",9.891,10.007,13.077,10.237,15.348,9.233,7.807,1.863,3.815,12.349,15.013,0.598
"ABR 1985",9.856,10.035,11.037,8.143,-0.319,10.005,9.298,4.782,2.157,9.383,10.624,14.969
"MAY 1985",11.359,12.259,13.707,8.121,0.223,9.495,6.951,3.236,2.932,8.184,10.941,14.691
"JUN 1985",9.684,10.684,11.223,5.857,7.638,5.423,4.584,4.001,2.633,5.992,9.403,6.763
"JUL 1985",9.633,8.987,11.226,4.351,4.853,4.858,-3.324,5.173,0.326,2.273,5.723,-31.984
"AGO 1985",5.875,7.543,9.761,1.693,4.406,-0.870,-3.543,4.740,5.537,-4.990,-7.249,-6.099
"SEP 1985",3.402,5.746,8.754,0.516,-2.169,5.634,-4.980,3.052,2.460,-3.409,-3.782,-14.648
"OCT 1985",3.146,3.364,10.472,0.402,-0.472,1.999,-6.081,2.548,3.300,-7.694,-9.990,-8.852
"NOV 1985",1.978,3.921,8.246,-1.147,-2.879,-3.006,-1.232,8.834,6.622,-4.705,-6.513,16.354
"DIC 1985",1.278,6.228,9.863,-2.640,-5.336,-3.874,-3.133,5.899,10.389,-7.254,-8.942,-7.597
"ENE 1986",1.101,5.992,9.054,-2.651,-11.975,0.036,-7.474,7.780,1.638,-8.409,-13.089,-27.060
"FEB 1986",-3.182,4.135,7.437,-7.742,-32.516,-3.153,-12.544,7.791,3.038,-14.759,-24.904,-27.137
"MAR 1986",-5.059,2.677,9.363,-11.764,-50.945,-2.187,-15.156,7.376,2.789,-19.318,-34.562,-18.658
"ABR 1986",-3.476,7.324,9.318,-11.797,-54.949,3.213,-16.940,7.554,4.772,-20.418,-41.904,-3.649
"MAY 1986",-3.226,7.658,8.494,-11.164,-54.930,-1.843,-21.935,8.070,3.637,-26.893,-52.029,-22.962
"JUN 1986",-3.078,8.324,9.876,-12.084,-55.716,-0.571,-20.186,7.293,2.201,-25.228,-48.332,-3.355
"JUL 1986",-6.002,7.507,8.916,-15.754,-62.681,-2.673,-21.450,3.770,2.826,-28.953,-58.709,10.098
"AGO 1986",-6.527,5.831,8.752,-15.564,-67.531,1.506,-23.942,2.903,0.947,-30.041,-61.710,33.573
"SEP 1986",-3.737,7.836,6.301,-13.626,-60.804,-2.304,-23.208,4.889,4.834,-31.209,-62.939,10.998
"OCT 1986",-5.590,6.437,5.310,-14.255,-56.088,-10.463,-23.812,4.858,1.878,-29.802,-61.219,-27.351
"NOV 1986",-3.867,5.132,6.419,-11.869,-56.080,-5.150,-22.749,2.048,3.305,-29.776,-59.802,-39.118
"DIC 1986",-3.174,3.726,4.763,-10.692,-53.829,0.122,-20.298,4.487,1.674,-27.969,-59.108,-22.222
"ENE 1987",-4.932,2.199,3.844,-10.710,-44.807,0.438,-20.214,4.003,4.221,-26.138,-55.275,5.500
"FEB 1987",-1.248,1.151,5.799,-4.866,-29.739,-2.780,-14.231,3.593,3.847,-20.191,-44.028,5.182
"MAR 1987",1.739,7.233,4.545,-2.121,-12.227,-4.919,-9.743,6.435,5.384,-14.874,-32.683,-10.686
"ABR 1987",3.933,4.208,6.430,1.048,17.606,-0.323,-7.542,1.295,3.254,-9.880,-18.200,-5.987
"MAY 1987",2.099,2.607,3.637,1.845,22.648,-1.420,-3.998,0.404,3.108,-6.541,-12.537,28.455
"JUN 1987",2.818,2.048,2.003,3.284,15.047,3.400,-5.362,-0.191,2.153,-6.128,-8.150,-25.868
"JUL 1987",5.941,3.589,0.415,8.759,47.379,2.132,1.523,2.106,3.306,2.778,18.665,-16.170
"AGO 1987",5.114,3.770,-0.736,8.575,68.318,2.899,5.035,2.324,0.320,9.318,45.468,-43.570
"SEP 1987",3.406,3.243,3.455,3.879,33.073,0.816,3.894,1.003,-0.750,7.470,37.837,-32.487
"OCT 1987",4.571,4.721,1.504,5.365,12.205,9.443,2.927,-0.180,0.760,5.707,26.399,0.596
"NOV 1987",3.821,4.690,0.032,3.877,10.597,11.394,1.512,-2.219,-0.907,4.525,20.412,7.309
"DIC 1987",3.261,3.742,-0.185,4.611,10.183,0.151,-0.757,-3.020,-3.935,2.439,9.252,-3.659
"ENE 1988",4.563,6.437,0.000,3.988,-18.022,-0.670,-1.486,-0.582,-2.900,-0.682,-2.088,-7.541
"FEB 1988",4.804,7.851,-0.184,2.817,-17.927,10.606,-2.553,-0.430,-3.643,-1.612,-6.302,-11.785
"MAR 1988",4.377,4.885,0.204,3.440,-15.063,3.337,-5.038,-2.063,-3.877,-5.581,-17.862,3.513
"ABR 1988",2.428,4.564,0.428,2.234,-25.885,-2.827,-4.934,2.590,-3.405,-6.167,-20.761,-34.142
"MAY 1988",3.737,5.177,1.894,2.324,-24.685,7.655,-2.911,1.712,-1.076,-3.367,-12.954,-31.313
"JUN 1988",4.688,7.679,0.828,2.884,-19.419,0.476,-2.212,2.735,-0.185,-3.459,-20.211,-3.813
"JUL 1988",4.639,7.832,2.293,3.076,-22.457,2.788,-2.601,1.994,-1.264,-3.802,-21.566,1.178
"AGO 1988",5.987,7.687,0.479,4.628,-25.060,1.567,-1.313,1.112,1.840,-1.503,-22.053,27.273
"SEP 1988",7.970,7.536,-1.558,9.756,-15.633,20.939,0.318,2.656,3.456,-0.254,-21.091,2.987
"OCT 1988",6.806,7.853,0.991,6.914,-18.664,3.724,-0.994,1.511,0.703,-1.110,-25.623,-0.868
"NOV 1988",7.438,8.579,0.888,7.151,-19.274,5.634,-1.056,1.430,3.321,-2.488,-27.422,1.024
"DIC 1988",7.019,7.138,1.955,7.457,-15.264,9.125,-0.199,-1.307,3.710,-0.575,-15.968,-0.901
"ENE 1989",6.889,6.639,2.190,8.288,10.828,13.339,0.566,-1.360,1.834,1.446,-6.200,-5.180
"FEB 1989",7.232,6.171,-1.085,10.231,18.416,2.534,0.382,-0.288,2.123,1.089,-4.984,8.257
"MAR 1989",5.840,4.721,-3.941,9.890,10.869,10.308,1.727,-0.064,0.315,3.146,4.814,-7.496
"ABR 1989",7.319,4.708,-3.610,12.049,22.900,7.999,2.803,-1.312,0.495,5.275,17.879,5.089
"MAY 1989",6.141,3.704,-4.862,12.270,29.396,5.719,3.009,0.914,-0.902,6.149,20.665,-6.015
"JUN 1989",6.108,2.837,-0.853,11.586,23.302,9.405,4.409,4.117,1.308,6.151,23.320,0.906
"JUL 1989",4.382,1.317,-1.275,9.451,13.434,4.939,1.236,2.891,1.982,1.312,12.848,-18.384
"AGO 1989",4.131,3.856,2.776,4.899,6.125,18.838,0.369,3.151,1.797,-2.220,4.517,-8.960
"SEP 1989",3.024,2.521,2.645,4.106,7.182,-4.035,0.351,1.538,0.260,-0.316,12.084,-3.474
"OCT 1989",3.020,2.401,0.993,5.675,20.163,11.709,2.684,4.769,3.685,1.562,31.126,-7.248
"NOV 1989",1.374,0.711,2.350,2.988,30.635,3.548,3.236,6.431,0.587,2.551,38.049,-8.017
"DIC 1989",0.760,0.178,2.518,2.074,22.071,3.484,3.555,9.459,1.673,1.395,30.308,-0.474
"ENE 1990",0.300,-0.195,0.761,0.933,7.789,3.272,0.632,5.218,2.367,-1.498,21.595,-12.454
"FEB 1990",-0.384,1.155,2.973,-2.706,-12.198,1.522,0.491,4.848,2.896,-1.380,17.057,-19.825
"MAR 1990",0.267,2.442,7.434,-3.627,-6.306,2.833,-1.456,2.331,5.204,-4.717,3.900,-7.652
"ABR 1990",-1.248,3.129,3.413,-5.076,-17.256,-2.232,-3.685,3.349,1.958,-7.934,-10.226,-10.144
"MAY 1990",-2.487,2.076,4.569,-8.015,-24.711,-3.429,-5.990,-0.210,2.196,-11.378,-21.619,-12.540
"JUN 1990",-5.093,1.196,-1.890,-10.092,-25.526,-3.963,-9.454,-6.174,0.508,-14.110,-27.703,-10.654
"JUL 1990",-3.843,1.905,0.151,-9.788,-22.121,-5.387,-7.649,-3.498,-0.951,-11.791,-25.949,-11.760
"AGO 1990",-5.112,0.759,-0.169,-9.260,-5.675,-14.815,-7.301,-5.129,-3.173,-9.489,-9.877,-17.170
"SEP 1990",-4.391,-1.163,-0.327,-7.519,10.722,-12.435,-4.729,-3.014,-2.324,-5.909,17.047,-22.712
"OCT 1990",-1.815,-0.799,1.335,-3.417,53.710,-8.580,-0.729,-4.314,-0.762,0.124,42.569,-9.541
