"","IE_7_3.1","IE_7_3.2","IE_7_3.3","IE_7_3.4","IE_7_3.5","IE_7_3.6","IE_7_3.7","IE_7_3.8","IE_7_3.9","IE_7_3.10","IE_7_3.11","IE_7_3.12","IE_7_3.13","IE_7_3.14","IE_7_3.15","IE_7_3.16"
"NÚMERO SECUENCIAL",2588759,2588760,2601077,2601078,2601079,2601080,2601081,2601082,2588799,2588790,2588780,2588797,2588782,2588795,2588786,2588784
"DESCRIPCIÓN DE LA SERIE","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Total. Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Total. Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Total. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes de Consumo. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes de capital. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes intermedios. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes intermedios. Productos energéticos intermedios.. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Productos intermedios no energéticos (grupo 3000 - grupo 3200). Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Unión Europea (28 países). Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Zona Euro - EU19 (composición fija). Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Organización para la Cooperación y el Desarrollo Económico (OCDE). Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Estados Unidos de América. Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Organización de Países Exportadores de Petróleo (OPEP). Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. Resto América (excepto México, Canadá y EEUU). Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. China. Total. ","Series Comercio Exterior de España (DXE). Exportaciones. Datos provisionales públicos. Importe. España. NIC asiáticos. Total. "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"ENE 1987",1758245.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1987",2038710.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1987",2041071.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1987",1993771.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1987",2364074.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1987",2079497.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1987",2425933.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
