"","IE_7_3.1","IE_7_3.2","IE_7_3.3","IE_7_3.4","IE_7_3.5","IE_7_3.6","IE_7_3.7","IE_7_3.8","IE_7_3.9","IE_7_3.10","IE_7_3.11","IE_7_3.12","IE_7_3.13","IE_7_3.14","IE_7_3.15","IE_7_3.16"
"AGO 1987",1437851.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1987",2090990.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1987",2077537.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1987",2392791.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1987",2515734.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1988",1772924.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1988",2442710.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1988",2519309.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1988",2253467.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1988",2490894.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1988",2386877.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1988",2411598.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1988",1559479.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1988",2630195.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1988",2250876.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1988",2744799.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1988",2702561.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1989",2536080.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1989",2421285.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1989",2697727.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1989",2608842.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1989",2632459.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1989",2882131.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1989",2628237.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1989",1618046.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1989",2381108.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1989",2842055.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1989",2945139.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1989",2666080.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1990",2568316.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1990",2546709.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1990",3043942.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1990",2643946.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1990",3082526.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1990",2850172.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1990",2887943.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1990",1847496.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1990",2648983.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1990",2987002.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1990",3613183.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1990",3193642.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1991",2937523.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1991",3141071.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1991",3072980.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1991",3445636.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1991",3144931.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1991",3116352.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1991",3118200.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1991",1937122.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1991",2823689.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1991",3682714.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1991",3666057.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1991",3330762.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1992",2829920.000,-3.64,-3.57,-0.31,-4.95,-5.80,-33.33,1.88,-2.38,-1.86,-2.49,-18.51,0.37,-10.81,-63.30,26.56
"FEB 1992",3538289.000,12.79,10.45,18.53,27.38,1.44,-28.53,13.07,11.87,13.04,12.76,15.33,33.34,-1.24,135.86,-6.87
"MAR 1992",3451774.000,12.33,10.38,16.95,16.24,4.32,-26.17,11.13,11.42,11.60,11.51,8.81,2.68,55.43,55.56,32.42
"ABR 1992",3269033.000,-5.10,-9.30,-6.03,-26.29,-7.09,-41.19,1.45,-4.24,-2.56,-2.96,11.01,6.79,-27.94,29.67,-21.62
"MAY 1992",3338254.000,11.01,10.99,12.81,12.02,9.63,32.88,9.19,14.68,14.99,14.59,8.17,20.17,12.47,-52.04,-9.02
"JUN 1992",3449617.000,18.83,20.91,16.04,46.35,19.39,23.96,20.77,14.69,13.32,18.41,22.57,36.80,64.29,12.55,7.77
"JUL 1992",3330731.000,12.33,10.15,5.57,46.69,7.00,-3.59,9.50,9.63,9.89,8.32,-3.58,18.29,174.43,-6.36,19.41
"AGO 1992",1884242.000,12.07,15.19,14.92,48.79,10.27,-26.10,23.65,15.95,17.92,14.62,-1.39,81.60,47.93,-17.77,-37.06
"SEP 1992",3203009.000,20.24,17.55,18.32,-12.54,24.00,-5.74,30.55,22.17,24.78,23.10,51.53,51.50,-11.83,-39.25,19.79
"OCT 1992",3933522.000,6.97,5.22,5.28,21.48,1.12,-18.05,5.70,11.36,10.13,8.95,-10.51,-7.48,79.10,-65.76,54.88
"NOV 1992",3677291.000,0.43,-1.40,2.51,-10.33,-2.61,-28.52,5.05,2.44,3.42,1.96,0.23,7.66,43.81,-46.96,47.68
"DIC 1992",3795180.000,14.02,14.12,12.32,31.95,11.54,46.94,4.30,11.02,10.44,11.91,20.48,18.28,61.92,5.57,-46.25
"ENE 1993",3187621.000,-3.19,-4.46,-8.27,19.62,-5.64,-17.45,-4.30,-6.67,-5.84,-5.94,-3.19,-5.57,137.82,29.61,9.99
"FEB 1993",3540622.000,-9.96,-12.89,-13.48,-11.70,-12.82,-11.31,-13.24,-17.48,-16.97,-14.81,-5.19,6.83,159.76,24.58,95.92
"MAR 1993",4091572.000,13.86,6.02,1.89,11.22,9.49,-4.04,10.06,2.82,0.47,5.25,30.49,21.38,115.49,119.33,69.75
"ABR 1993",3627718.000,17.55,16.48,11.64,33.48,16.59,13.69,15.10,13.94,14.91,13.82,4.73,18.70,76.65,145.35,77.98
"MAY 1993",4087986.000,16.71,11.36,0.96,18.47,18.70,-8.46,22.39,10.23,6.50,13.42,24.20,2.72,50.94,618.69,64.59
"JUN 1993",4173260.000,15.44,7.74,15.59,-14.15,7.38,-0.75,8.09,10.01,8.40,11.45,43.64,14.57,152.28,134.48,97.61
"JUL 1993",4080912.000,19.91,11.55,19.26,-5.27,9.77,32.58,11.10,17.20,9.15,21.46,34.29,1.88,-13.45,107.93,88.38
"AGO 1993",2529865.000,31.25,25.21,15.46,62.62,21.93,-19.83,31.95,14.83,5.11,23.06,64.09,29.99,36.11,452.76,164.28
"SEP 1993",3886990.000,14.51,5.85,4.91,22.81,3.39,15.34,2.05,11.29,5.58,12.96,9.50,-14.96,66.63,329.89,135.84
"OCT 1993",4206003.000,13.83,8.40,13.53,-9.75,10.16,0.06,11.52,7.17,6.02,12.77,20.39,4.21,20.38,676.92,25.46
"NOV 1993",4770518.000,17.83,14.51,4.26,41.70,18.40,-18.74,25.13,9.20,4.55,12.97,17.03,0.69,38.42,285.38,74.85
"DIC 1993",4423090.000,32.32,23.36,27.04,18.55,20.92,-15.44,33.85,33.08,28.09,32.59,-3.53,7.80,93.95,134.72,74.93
"ENE 1994",4127099.000,50.82,40.85,33.50,89.44,36.09,8.10,41.00,53.35,51.60,54.17,52.89,53.00,21.22,135.38,145.30
"FEB 1994",4705539.000,47.82,36.57,31.26,48.72,38.58,-50.00,55.30,49.06,45.64,53.05,63.48,20.38,30.62,250.63,66.48
"MAR 1994",5343891.000,36.20,34.80,32.67,41.19,34.01,76.43,30.44,39.09,38.75,43.74,50.74,34.28,36.35,74.23,106.72
"ABR 1994",4893408.000,27.45,18.40,27.91,3.17,14.68,21.63,14.94,30.61,29.71,30.14,29.67,13.14,39.79,52.71,39.07
"MAY 1994",4637812.000,19.17,11.31,26.76,15.20,-1.33,-32.68,2.07,22.80,24.08,22.12,20.76,3.16,30.13,-48.24,53.92
"JUN 1994",5605012.000,43.15,36.72,25.98,40.22,44.68,-22.92,52.53,42.02,42.25,42.40,28.86,30.57,1.77,30.09,135.37
"JUL 1994",4703255.000,17.75,15.88,13.83,21.54,15.89,-42.00,19.70,18.62,22.65,19.96,26.74,3.15,21.55,60.73,9.40
"AGO 1994",3301554.000,33.50,32.36,44.03,7.45,32.58,-1.40,37.04,47.82,57.93,40.74,34.39,-9.32,48.03,-15.53,21.80
"SEP 1994",4917623.000,34.07,31.66,25.21,39.99,34.34,-11.24,39.98,33.82,37.18,34.63,31.75,8.34,48.69,26.02,31.16
"OCT 1994",5374352.000,20.02,15.61,16.10,16.45,14.73,-36.67,22.19,22.59,23.72,20.65,19.72,-1.66,45.79,64.17,21.70
"NOV 1994",5116289.000,18.07,14.00,21.77,13.07,6.68,-26.32,10.58,21.01,20.67,21.36,9.60,-6.57,53.17,31.11,7.30
"DIC 1994",6151361.000,22.52,17.64,17.80,2.06,21.74,-27.67,27.86,32.08,35.34,26.07,11.30,-11.43,5.00,-24.38,0.98
"ENE 1995",5065288.000,36.54,28.09,37.45,-25.42,35.87,71.36,35.10,35.90,35.16,34.22,30.70,32.19,71.21,-7.12,-1.81
"FEB 1995",5625751.000,22.08,19.00,21.77,4.51,19.02,144.04,13.20,28.57,29.46,21.29,-4.68,-2.29,38.81,-7.50,-7.16
"MAR 1995",6555992.000,28.71,18.09,27.19,17.46,10.08,-18.64,16.56,35.31,36.26,29.78,-0.38,-3.80,102.66,14.75,-14.26
"ABR 1995",5628183.000,10.79,3.04,1.62,8.87,2.33,0.78,5.02,10.30,10.39,9.00,-6.95,3.29,50.12,-29.28,12.00
"MAY 1995",5783097.000,31.41,25.13,17.36,24.60,31.31,25.12,34.87,36.95,38.00,31.17,-7.39,3.30,76.07,94.99,2.65
"JUN 1995",5939326.000,11.69,7.13,10.03,24.83,-0.49,39.27,-1.49,17.20,17.48,14.69,-12.95,10.74,33.76,-11.66,-35.60
"JUL 1995",5187188.000,19.15,11.85,7.69,23.06,11.51,0.45,13.47,22.38,23.73,16.93,-2.53,9.35,25.92,-10.07,25.78
"AGO 1995",4146133.000,11.37,-0.65,0.34,-18.44,2.86,20.42,3.81,15.93,15.96,11.70,-12.63,-0.10,31.93,-17.43,10.63
"SEP 1995",5982606.000,16.21,8.23,7.59,17.19,6.16,-7.32,10.03,18.82,18.13,16.32,-0.80,2.36,11.09,-2.35,5.44
"OCT 1995",6313032.000,20.28,12.90,12.21,30.45,9.37,17.48,10.30,21.72,21.45,17.88,6.15,23.25,16.04,45.46,9.80
"NOV 1995",6639992.000,31.50,22.46,17.63,19.69,27.69,-45.97,33.81,37.54,40.24,32.08,6.03,55.37,16.86,21.39,18.15
"DIC 1995",5787540.000,-8.27,-11.39,-17.08,-5.63,-7.95,-1.88,-8.52,-13.18,-14.59,-11.29,7.88,3.64,19.62,-17.21,2.14
"ENE 1996",5768467.000,2.38,1.12,-1.82,25.10,-1.00,-8.83,-3.67,6.10,4.68,3.81,-9.70,-7.26,-27.48,13.78,-4.71
"FEB 1996",5978799.000,4.08,-0.49,-3.06,-4.06,2.47,-21.83,2.80,5.55,4.68,5.11,-2.48,-1.28,-3.73,-54.06,5.21
"MAR 1996",6347974.000,-7.69,-5.57,-12.07,14.38,-5.20,-9.57,-6.54,-4.62,-5.46,-5.82,-1.56,0.65,-46.53,-20.60,-5.11
"ABR 1996",6593735.000,21.66,24.00,25.38,24.32,22.10,-5.31,21.40,21.46,20.78,21.80,11.73,10.80,38.40,3.19,18.92
"MAY 1996",6996316.000,14.81,14.19,11.97,8.02,17.46,6.63,15.73,11.01,9.68,13.03,36.42,33.58,16.85,-59.51,36.87
"JUN 1996",6615429.000,3.90,-0.09,-0.22,-25.90,7.28,9.12,4.92,5.01,4.17,3.78,9.93,-18.47,27.17,-36.98,11.32
"JUL 1996",6524621.000,16.45,16.68,14.26,12.11,19.51,85.47,13.82,12.32,9.25,14.54,28.26,36.18,40.65,-50.28,31.25
"AGO 1996",4533084.000,23.29,20.79,14.22,35.22,22.85,30.87,17.80,25.59,24.35,24.06,17.31,-9.43,50.88,11.39,23.26
"SEP 1996",6254922.000,9.47,11.72,4.96,11.89,16.38,63.17,9.58,7.21,5.92,7.01,5.54,13.13,42.90,-29.95,12.71
"OCT 1996",7794754.000,20.60,19.37,14.08,40.56,18.01,22.96,15.77,18.55,16.82,18.96,17.85,12.52,130.54,-68.91,18.85
"NOV 1996",7289450.000,8.37,6.39,2.85,16.39,7.73,188.20,1.14,8.90,4.98,8.50,13.74,-32.05,33.27,-27.01,1.59
"DIC 1996",7019376.000,24.23,19.79,13.83,74.78,13.17,-7.96,14.80,20.85,17.25,21.71,38.15,19.09,24.35,-31.82,34.81
"ENE 1997",6487379.000,12.46,7.19,6.12,4.54,9.19,-20.64,14.14,6.28,4.65,9.68,40.40,16.26,64.00,-22.14,34.82
"FEB 1997",6486543.000,8.49,2.59,4.24,19.74,-1.68,10.37,-2.31,4.87,2.20,6.41,25.16,1.58,17.49,33.90,-0.23
"MAR 1997",7764233.000,22.31,16.38,11.10,-0.23,26.17,-4.77,29.74,16.31,15.20,16.57,13.64,11.09,58.42,-46.61,-1.73
"ABR 1997",8156289.000,23.96,18.15,11.91,32.35,21.03,44.84,19.79,23.14,21.74,24.09,36.91,14.68,23.02,-22.73,23.47
"MAY 1997",7804661.000,11.55,7.17,5.16,22.99,6.02,47.36,3.48,10.48,9.96,10.51,12.56,25.36,4.66,23.63,11.69
"JUN 1997",7713994.000,16.61,15.87,10.96,48.42,14.04,0.89,16.13,14.70,12.93,16.07,22.62,27.05,14.42,-13.48,12.98
"JUL 1997",7629072.000,16.93,15.57,17.06,13.62,15.25,-1.30,17.61,14.25,12.20,16.56,34.67,9.87,16.67,18.90,13.44
"AGO 1997",5345816.000,17.93,14.34,16.64,19.52,11.29,21.15,10.67,15.43,14.42,17.58,24.96,8.12,9.72,-5.84,32.91
"SEP 1997",8143082.000,30.19,23.56,26.11,64.51,13.84,-1.44,16.00,29.07,28.99,30.63,40.34,16.04,21.21,70.76,28.91
"OCT 1997",9562671.000,25.97,23.93,21.42,34.87,21.92,49.77,20.07,30.89,31.42,28.39,20.36,23.14,-11.19,-16.74,31.81
"NOV 1997",8476063.000,16.28,14.50,16.85,9.35,12.32,39.96,10.07,13.52,15.08,14.61,15.52,35.37,29.44,-11.57,29.61
"DIC 1997",7934300.000,13.20,12.31,19.00,-16.80,15.45,42.63,13.29,13.53,15.02,14.26,17.39,28.30,15.31,101.92,-11.62
"ENE 1998",7289408.000,12.36,9.97,5.52,6.24,14.56,28.07,13.03,14.36,14.41,13.07,7.27,5.38,18.22,25.06,-16.11
"FEB 1998",7981584.000,23.05,26.25,17.48,32.79,31.95,16.00,33.63,24.35,24.02,24.73,23.07,34.09,13.51,35.35,-17.72
"MAR 1998",8880855.000,14.38,12.30,17.82,15.42,7.42,24.26,5.88,19.35,17.95,19.82,21.53,10.44,3.83,28.68,2.93
"ABR 1998",8581828.000,4.99,4.26,-2.22,13.57,7.12,-10.45,8.81,3.28,1.69,4.42,8.53,31.50,10.05,38.36,-35.07
"MAY 1998",8818384.000,12.98,12.47,10.88,28.59,9.13,16.46,7.90,14.34,13.32,14.65,12.47,0.11,24.99,17.85,-42.56
"JUN 1998",8998610.000,16.64,15.56,14.72,32.38,12.58,35.31,10.29,20.01,21.04,17.30,18.91,8.34,25.91,45.50,-43.81
"JUL 1998",8585961.000,12.53,7.90,5.71,27.29,5.28,4.73,5.12,16.46,18.43,13.61,-3.64,17.36,29.50,33.14,-42.15
"AGO 1998",5786432.000,8.24,9.52,8.12,34.52,5.39,12.43,3.82,13.72,14.11,9.39,-5.87,22.72,28.91,23.57,-58.53
"SEP 1998",7889082.000,-3.12,-2.89,-3.21,-10.27,-0.59,-5.22,-0.03,1.13,0.08,-1.02,-17.55,0.41,8.49,-46.30,-48.70
"OCT 1998",8877643.000,-9.59,-9.30,-10.51,-25.81,-2.87,-20.97,-1.76,-9.21,-10.44,-7.87,-14.87,-2.68,-12.25,-18.04,-49.82
"NOV 1998",8203732.000,-3.22,0.39,-3.03,15.18,-1.28,-12.28,-0.38,0.13,-0.42,-0.77,-6.12,10.41,-24.50,-51.34,-44.89
"DIC 1998",8008905.000,0.94,2.23,1.68,16.67,-1.34,35.29,-5.69,6.51,7.01,3.94,-13.29,-9.39,-2.75,-29.27,-17.71
"ENE 1999",6823583.000,-6.42,-3.64,-7.69,21.00,-5.26,-1.01,-5.11,-3.79,-5.35,-4.41,-7.62,-7.70,-21.85,-10.12,-23.28
"FEB 1999",7784833.000,-2.49,2.76,-0.02,38.61,-4.93,-22.31,-2.53,0.56,1.10,-0.89,-4.17,-16.78,-0.96,-27.98,-12.01
"MAR 1999",9522041.000,7.19,8.03,6.08,12.01,8.44,-11.71,10.86,8.05,8.26,7.38,8.83,8.81,5.34,94.46,9.91
"ABR 1999",8124610.000,-5.34,-4.84,-3.43,-16.22,-3.48,-2.54,-3.05,-0.39,0.72,-2.44,-7.17,-30.72,-30.67,-26.55,-3.70
"MAY 1999",8896839.000,0.87,5.04,10.30,-2.38,2.57,-6.93,4.54,2.87,4.61,2.12,-5.47,-7.36,-14.79,17.89,29.92
"JUN 1999",9569830.000,6.33,8.82,4.57,28.15,5.74,-5.88,7.62,6.43,6.48,8.14,-2.37,-1.06,-18.69,-10.11,21.26
"JUL 1999",8776900.000,2.21,2.39,-1.63,12.13,1.79,2.70,2.39,3.27,2.89,4.19,3.70,-8.57,-14.10,-25.69,-1.80
"AGO 1999",5979290.000,3.31,7.78,2.56,24.63,4.17,-2.19,6.19,1.27,0.78,3.63,19.58,18.06,-5.97,-11.34,35.23
"SEP 1999",8669396.000,9.85,8.09,7.66,-4.75,11.17,29.55,9.89,9.99,8.34,10.76,31.93,-9.50,-6.85,-2.31,3.81
"OCT 1999",10108420.000,13.82,12.18,7.38,28.39,10.33,3.71,11.79,14.57,13.59,13.68,29.24,-4.24,29.84,37.04,-3.75
"NOV 1999",9877579.000,20.37,15.04,12.71,2.27,20.92,22.24,21.68,19.51,19.43,18.76,26.72,-9.66,60.64,38.20,39.82
"DIC 1999",9209845.000,14.96,13.28,6.15,15.96,18.01,-30.74,26.65,12.83,12.11,14.71,33.68,2.81,13.61,-24.02,12.89
"ENE 2000",8262815.000,21.11,17.02,10.28,9.93,20.71,1.00,23.12,19.29,18.88,21.54,51.41,1.10,8.24,67.52,37.99
"FEB 2000",9540219.000,22.55,15.76,14.11,8.28,19.69,13.31,20.39,21.78,20.94,23.21,46.68,21.46,9.74,-5.60,41.90
"MAR 2000",10946443.401,14.99,12.51,11.28,12.83,10.24,5.67,10.62,14.48,13.56,15.21,22.66,9.03,21.16,-28.45,15.50
"ABR 2000",9369171.319,15.34,12.34,12.46,43.38,4.20,6.54,4.13,11.69,10.93,15.08,32.90,7.14,32.53,2.26,18.79
"MAY 2000",10788914.532,21.30,12.69,-1.43,53.12,15.11,16.88,14.85,13.83,11.21,15.49,29.80,27.65,105.77,39.79,26.07
"JUN 2000",11398790.989,19.14,11.61,14.62,-6.97,13.62,17.25,13.41,18.00,16.00,18.61,54.08,19.86,9.89,13.47,33.05
"JUL 2000",10148286.976,15.66,11.69,12.63,-2.79,14.20,16.89,13.76,17.22,17.49,16.70,16.11,8.00,-5.42,14.81,32.21
"AGO 2000",7703899.427,28.87,15.46,20.60,-12.36,20.79,-6.19,24.94,30.61,29.69,30.99,33.24,2.76,16.07,13.30,40.18
"SEP 2000",10155198.452,17.19,11.04,8.16,17.39,9.86,-8.63,11.95,12.62,10.05,15.47,10.44,47.84,5.19,108.30,41.52
"OCT 2000",11957232.492,18.34,9.84,14.07,14.76,5.70,1.95,6.11,16.89,17.34,19.47,24.43,20.54,-15.03,52.10,48.89
"NOV 2000",12205639.045,23.61,14.81,14.82,14.48,13.01,4.07,13.96,20.49,18.52,24.60,52.66,41.74,-10.34,66.05,30.32
"DIC 2000",10622928.328,15.38,5.47,0.68,10.37,7.54,12.95,7.07,14.32,15.06,14.22,21.75,24.27,17.53,69.66,-1.82
"ENE 2001",9896478.282,19.79,14.40,18.32,44.59,6.42,-8.03,7.72,15.36,14.73,17.03,9.79,41.02,29.61,19.12,15.91
"FEB 2001",10960088.469,14.92,9.91,13.92,-8.57,10.44,-5.22,11.62,15.38,14.84,14.29,-7.08,24.16,12.82,39.41,8.57
"MAR 2001",11999288.840,9.62,6.79,4.90,17.10,6.46,-14.68,7.94,11.50,11.46,10.03,-3.21,8.17,-4.49,11.86,-4.50
"ABR 2001",10633132.707,13.49,11.60,8.49,-8.38,18.57,1.14,20.08,14.55,14.22,11.98,3.09,40.23,7.42,31.40,18.75
"MAY 2001",11799941.685,9.37,6.62,10.50,-20.70,10.48,-25.83,14.06,14.82,13.14,12.96,8.86,3.06,-30.96,-7.68,-4.74
"JUN 2001",11472853.490,0.65,-0.52,-4.11,-5.32,3.36,-31.16,6.41,1.66,0.71,-0.63,-17.94,2.80,28.09,8.46,-0.59
"JUL 2001",10432107.036,2.80,-0.11,-1.92,7.54,-0.14,-29.26,2.79,-0.36,-2.76,0.32,13.18,20.62,11.56,34.67,-5.98
"AGO 2001",8296562.523,7.69,5.97,8.43,-7.69,6.50,-18.21,9.32,10.05,7.31,7.95,-4.15,8.38,-13.79,42.89,-6.90
"SEP 2001",10202751.653,0.47,4.72,0.03,17.83,5.95,-22.49,8.51,3.16,4.43,1.06,-7.08,-2.17,-13.85,4.73,-7.48
"OCT 2001",11827688.511,-1.08,3.89,-0.69,-7.64,10.20,-16.03,12.29,-0.08,-2.19,-1.50,-5.26,23.66,-25.92,-11.31,-1.93
"NOV 2001",11496311.076,-5.81,-1.87,-5.86,-8.50,2.84,-43.39,7.21,-1.30,-1.32,-4.75,-22.29,-5.20,-19.98,28.82,-31.14
"DIC 2001",9654751.875,-9.11,-7.40,-7.63,-0.28,-8.77,-40.95,-5.84,-8.12,-8.59,-9.14,-21.03,-3.12,-23.51,11.92,-2.79
"ENE 2002",10139249.189,2.45,2.71,2.79,-4.96,4.00,-26.91,6.39,7.13,4.13,3.38,-16.47,7.08,-14.84,7.59,-13.46
"FEB 2002",10802236.006,-1.44,-2.14,-5.17,-5.43,0.81,-37.49,3.27,-2.11,-3.62,-1.06,12.36,6.52,-24.91,21.21,-8.02
"MAR 2002",11061086.260,-7.82,-9.92,-12.49,-16.83,-6.47,-20.54,-5.69,-8.30,-9.71,-8.07,-0.48,-3.00,-31.26,9.80,38.33
"ABR 2002",11409607.190,7.30,8.18,9.38,12.01,6.42,-19.70,8.32,6.56,3.85,7.82,9.73,13.78,-20.26,56.64,-4.92
