"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA SEGUN PDE ","PDE2010.AAPP.DEUDA SEGUN PDE.T 1,12 DE LA DEUDA SEGUN PDE","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE. CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. T1/12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. CONTRIBUCION A T1,12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"ENE 1999",345034723,-1382243,2.5,22575944,19556,-45.9,-5.7,263096628,366710,12.3,8.6,59362134,-1768507,-2.3,-0.4
"FEB 1999",347792456,2757733,1.9,22453510,-122434,-44.6,-5.3,266143463,3046835,11.0,7.7,59195464,-166670,-2.9,-0.5
"MAR 1999",350850713,3058256,2.1,24140364,1686854,-34.5,-3.7,266078141,-65322,8.4,6.0,60632189,1436725,-1.4,-0.3
"ABR 1999",347208806,-3641907,1.5,24523552,383188,-21.3,-1.9,263235470,-2842671,4.9,3.6,59449764,-1182425,-1.0,-0.2
"MAY 1999",351299014,4090208,2.4,24780278,256726,-12.8,-1.1,266962097,3726627,4.9,3.6,59556624,106860,-1.0,-0.2
"JUN 1999",353859633,2560618,1.3,24315636,-464642,-6.3,-0.5,268163199,1201102,2.5,1.8,61380784,1824160,-0.5,-0.1
"JUL 1999",347213557,-6646076,-0.8,23045002,-1270634,11.2,0.7,264966077,-3197122,-1.6,-1.2,59202459,-2178325,-1.4,-0.2
"AGO 1999",349133947,1920390,0.4,24652590,1607588,18.6,1.1,266024574,1058497,-0.7,-0.6,58456766,-745693,-1.2,-0.2
"SEP 1999",352143642,3009696,-0.4,24661544,8954,19.1,1.1,268647702,2623128,-1.5,-1.1,58834377,377611,-2.6,-0.4
"OCT 1999",350652579,-1491064,-2.0,23624646,-1036898,11.0,0.7,269095682,447980,-3.0,-2.3,57932233,-902144,-1.9,-0.3
"NOV 1999",355647239,4994660,0.2,22586080,-1038566,3.9,0.2,275239233,6143551,3.2,2.4,57821910,-110322,-13.0,-2.4
"DIC 1999",362223478,6576239,4.6,22267858,-318222,-1.3,-0.1,280394076,5154842,6.7,5.1,59561527,1739617,-2.6,-0.5
"ENE 2000",361469082,-754396,4.8,20636244,-1631614,-8.6,-0.6,281810266,1416190,7.1,5.4,59022554,-538973,-0.6,-0.1
"FEB 2000",363673954,2204872,4.6,19574462,-1061782,-12.8,-0.8,284549902,2739636,6.9,5.3,59549574,527020,0.6,0.1
"MAR 2000",362693782,-980173,3.4,19199984,-374478,-20.5,-1.4,284025163,-524739,6.7,5.1,59468616,-80958,-1.9,-0.3
"ABR 2000",360996150,-1697631,4.0,19074994,-124990,-22.2,-1.6,280477003,-3548161,6.5,5.0,61444137,1975521,3.4,0.6
"MAY 2000",362887262,1891111,3.3,19643320,568326,-20.7,-1.5,281900500,1423498,5.6,4.3,61343424,-100714,3.0,0.5
"JUN 2000",365742706,2855444,3.4,20325850,682530,-16.4,-1.1,284128684,2228184,6.0,4.5,61288157,-55266,-0.2,-0.0
"JUL 2000",369435716,3693010,6.4,19217508,-1108342,-16.6,-1.1,288880914,4752230,9.0,6.9,61337278,49121,3.6,0.6
"AGO 2000",367762770,-1672946,5.3,17203018,-2014490,-30.2,-2.1,290020854,1139940,9.0,6.9,60538883,-798396,3.6,0.6
"SEP 2000",369100442,1337672,4.8,15367808,-1835210,-37.7,-2.6,293353445,3332591,9.2,7.0,60379172,-159710,2.6,0.4
"OCT 2000",371976991,2876550,6.1,15133138,-234670,-35.9,-2.4,296216447,2863002,10.1,7.7,60627389,248217,4.7,0.8
"NOV 2000",373649191,1672200,5.1,14416491,-716647,-36.2,-2.3,299043612,2827164,8.6,6.7,60189072,-438318,4.1,0.7
"DIC 2000",374557244,908052,3.4,13617294,-799197,-38.8,-2.4,300989549,1945937,7.3,5.7,59950384,-238688,0.7,0.1
"ENE 2001",369688821,-4868422,2.3,13892600,275306,-32.7,-1.9,295983568,-5005980,5.0,3.9,59812637,-137747,1.3,0.2
"FEB 2001",369285754,-403067,1.5,13628819,-263781,-30.4,-1.6,295638919,-344649,3.9,3.0,60017999,205362,0.8,0.1
"MAR 2001",372829628,3543874,2.8,13274777,-354042,-30.9,-1.6,299592890,3953971,5.5,4.3,59961944,-56055,0.8,0.1
"ABR 2001",372356426,-473202,3.1,13348372,73595,-30.0,-1.6,298041864,-1551025,6.3,4.9,60966173,1004229,-0.8,-0.1
"MAY 2001",374286522,1930096,3.1,13467091,118719,-31.4,-1.7,300329886,2288022,6.5,5.1,60489527,-476646,-1.4,-0.2
"JUN 2001",377138244,2851722,3.1,12788387,-678704,-37.1,-2.1,303401756,3071870,6.8,5.3,60948085,458558,-0.6,-0.1
"JUL 2001",379193627,2055384,2.6,13022064,233677,-32.2,-1.7,304270565,868809,5.3,4.2,61900982,952897,0.9,0.2
"AGO 2001",377142278,-2051349,2.6,13020501,-1563,-24.3,-1.1,303882122,-388443,4.8,3.8,60239637,-1661345,-0.5,-0.1
"SEP 2001",378281096,1138819,2.5,13093478,72977,-14.8,-0.6,305189454,1307333,4.0,3.2,59998149,-241488,-0.6,-0.1
"OCT 2001",378222747,-58350,1.7,13003877,-89601,-14.1,-0.6,304606962,-582493,2.8,2.3,60611892,613743,-0.0,-0.0
"NOV 2001",377538642,-684105,1.0,13080175,76298,-9.3,-0.4,304398225,-208737,1.8,1.4,60060224,-551668,-0.2,-0.0
"DIC 2001",378883421,1344779,1.2,13477861,397686,-1.0,-0.0,305054234,656009,1.4,1.1,60351310,291086,0.7,0.1
"ENE 2002",379017856,134435,2.5,13769291,291430,-0.9,-0.0,304639391,-414843,2.9,2.3,60609156,257846,1.3,0.2
"FEB 2002",375772554,-3245303,1.8,14114411,345120,3.6,0.1,299779933,-4859458,1.4,1.1,61878193,1269037,3.1,0.5
"MAR 2002",379001644,3229090,1.7,14708767,594356,10.8,0.4,304435149,4655216,1.6,1.3,59857712,-2020482,-0.2,-0.0
"ABR 2002",382309611,3307967,2.7,14561825,-146942,9.1,0.3,307511331,3076182,3.2,2.5,60236438,378726,-1.2,-0.2
"MAY 2002",385278484,2968874,2.9,14484307,-77518,7.6,0.3,310725933,3214602,3.5,2.8,60068227,-168211,-0.7,-0.1
"JUN 2002",383191149,-2087336,1.6,14414199,-70108,12.7,0.4,307878607,-2847326,1.5,1.2,60898325,830098,-0.1,-0.0
"JUL 2002",378385923,-4805226,-0.2,16854742,2440543,29.4,1.0,300434816,-7443790,-1.3,-1.0,61096348,198023,-1.3,-0.2
"AGO 2002",375565947,-2819976,-0.4,15233525,-1621217,17.0,0.6,301297353,862537,-0.9,-0.7,59035051,-2061297,-2.0,-0.3
"SEP 2002",381131109,5565162,0.8,15970080,736555,22.0,0.8,306436555,5139202,0.4,0.3,58724459,-310592,-2.1,-0.3
"OCT 2002",382507532,1376423,1.1,16490354,520274,26.8,0.9,307981597,1545042,1.1,0.9,58035564,-688894,-4.3,-0.7
"NOV 2002",382559803,52270,1.3,16950606,460252,29.6,1.0,306367579,-1614018,0.6,0.5,59241600,1206036,-1.4,-0.2
"DIC 2002",384145347,1585544,1.4,16007259,-943347,18.8,0.7,307771350,1403772,0.9,0.7,60366722,1125122,0.0,0.0
"ENE 2003",379076928,-5068420,0.0,18674308,2667049,35.6,1.3,300022437,-7748914,-1.5,-1.2,60380166,13445,-0.4,-0.1
"FEB 2003",381225095,2148168,1.5,17540410,-1133898,24.3,0.9,303781082,3758645,1.3,1.1,59903586,-476580,-3.2,-0.5
"MAR 2003",381976079,750984,0.8,17907790,367380,21.7,0.8,303843206,62124,-0.2,-0.2,60225068,321482,0.6,0.1
"ABR 2003",388748564,6772485,1.7,18027154,119364,23.8,0.9,309794862,5951656,0.7,0.6,60926532,701464,1.1,0.2
"MAY 2003",385293609,-3454956,0.0,17726488,-300666,22.4,0.8,308040778,-1754084,-0.9,-0.7,59526325,-1400207,-0.9,-0.1
"JUN 2003",389134310,3840702,1.6,16960128,-766360,17.7,0.7,311312797,3272020,1.1,0.9,60861369,1335044,-0.1,-0.0
"JUL 2003",386587974,-2546336,2.2,18116546,1156418,7.5,0.3,306944672,-4368125,2.2,1.7,61526740,665372,0.7,0.1
"AGO 2003",379466312,-7121662,1.0,17108346,-1008200,12.3,0.5,303241902,-3702770,0.6,0.5,59116046,-2410694,0.1,0.0
"SEP 2003",382788231,3321918,0.4,17046782,-61564,6.7,0.3,305227166,1985264,-0.4,-0.3,60514266,1398220,3.0,0.5
"OCT 2003",381214627,-1573604,-0.3,16773089,-273693,1.7,0.1,303710438,-1516728,-1.4,-1.1,60731082,216816,4.6,0.7
"NOV 2003",381202624,-12002,-0.4,17777992,1004903,4.9,0.2,305291282,1580844,-0.4,-0.3,58133334,-2597748,-1.9,-0.3
"DIC 2003",382775040,1572416,-0.4,17005800,-772192,6.2,0.3,304435474,-855808,-1.1,-0.9,61333750,3200416,1.6,0.3
"ENE 2004",386087487,3312446,1.8,16749814,-255986,-10.3,-0.5,308125863,3690389,2.7,2.1,61211792,-121959,1.4,0.2
"FEB 2004",385066604,-1020883,1.0,14446442,-2303372,-17.6,-0.8,309765733,1639870,2.0,1.6,60854412,-357380,1.6,0.2
"MAR 2004",388781465,3714862,1.8,15441575,995133,-13.8,-0.6,310924139,1158406,2.3,1.9,62415733,1561321,3.6,0.6
"ABR 2004",389000049,218584,0.1,13719996,-1721579,-23.9,-1.1,311690551,766412,0.6,0.5,63589483,1173750,4.4,0.7
"MAY 2004",389477070,477021,1.1,15463618,1743622,-12.8,-0.6,310701795,-988756,0.9,0.7,63311640,-277844,6.4,1.0
"JUN 2004",390339832,862763,0.3,13676717,-1786901,-19.4,-0.8,313049102,2347307,0.6,0.4,63613998,302358,4.5,0.7
"JUL 2004",384468812,-5871020,-0.5,15666945,1990228,-13.5,-0.6,305479668,-7569434,-0.5,-0.4,63322182,-291816,2.9,0.5
"AGO 2004",380286433,-4182379,0.2,13858883,-1808062,-19.0,-0.9,302633740,-2845929,-0.2,-0.2,63793794,471613,7.9,1.2
"SEP 2004",386681671,6395238,1.0,15636983,1778100,-8.3,-0.4,307577030,4943290,0.8,0.6,63467642,-326153,4.9,0.8
"OCT 2004",378019961,-8661710,-0.8,14912986,-723997,-11.1,-0.5,301174316,-6402714,-0.8,-0.7,61932641,-1535001,2.0,0.3
"NOV 2004",387555916,9535955,1.7,15989859,1076873,-10.1,-0.5,305460653,4286338,0.1,0.0,66105384,4172743,13.7,2.1
"DIC 2004",389887939,2332023,1.9,15577508,-412351,-8.4,-0.4,304882035,-578619,0.1,0.1,69428377,3322993,13.2,2.1
"ENE 2005",396025603,6137664,2.6,17144560,1567052,2.4,0.1,308283013,3400979,0.1,0.0,70598014,1169637,15.3,2.4
"FEB 2005",391777831,-4247772,1.7,14924016,-2220544,3.3,0.1,305405330,-2877684,-1.4,-1.1,71448468,850455,17.4,2.8
"MAR 2005",394722061,2944230,1.5,15304661,380645,-0.9,-0.0,305731233,325903,-1.7,-1.3,73686149,2237681,18.1,2.9
"ABR 2005",388022379,-6699682,-0.3,12544228,-2760433,-8.6,-0.3,306768707,1037474,-1.6,-1.3,68709427,-4976722,8.1,1.3
"MAY 2005",382681818,-5340560,-1.7,13505879,961651,-12.7,-0.5,310588873,3820166,-0.0,-0.0,58587048,-10122379,-7.5,-1.2
"JUN 2005",393036831,10355013,0.7,12104427,-1401452,-11.5,-0.4,312260837,1671964,-0.3,-0.2,68671550,10084501,8.0,1.3
"JUL 2005",376933059,-16103771,-2.0,12709289,604862,-18.9,-0.8,304692265,-7568572,-0.3,-0.2,59531490,-9140060,-6.0,-1.0
"AGO 2005",373285916,-3647143,-1.8,11347576,-1361713,-18.1,-0.7,303634355,-1057910,0.3,0.3,58303968,-1227522,-8.6,-1.4
"SEP 2005",390458633,17172718,1.0,12138320,790744,-22.4,-0.9,309704993,6070638,0.7,0.6,68615305,10311337,8.1,1.3
"OCT 2005",377688947,-12769687,-0.1,11472637,-665683,-23.1,-0.9,307750451,-1954541,2.2,1.7,58465842,-10149463,-5.6,-0.9
"NOV 2005",382665155,4976208,-1.3,12402658,930021,-22.4,-0.9,312827701,5077250,2.4,1.9,57434780,-1031062,-13.1,-2.2
"DIC 2005",393479087,10813932,0.9,11353669,-1048989,-27.1,-1.1,312430244,-397458,2.5,1.9,69695158,12260379,0.4,0.1
"ENE 2006",377945473,-15533614,-4.6,12084552,730883,-29.5,-1.3,307234443,-5195800,-0.3,-0.3,58626477,-11068681,-17.0,-3.0
"FEB 2006",377948251,2778,-3.5,11210492,-874060,-24.9,-0.9,309414546,2180103,1.3,1.0,57323212,-1303265,-19.8,-3.6
"MAR 2006",393984385,16036134,-0.2,12313691,1103199,-19.5,-0.8,312783913,3369366,2.3,1.8,68886780,11563568,-6.5,-1.2
"ABR 2006",379218907,-14765478,-2.3,11073394,-1240297,-11.7,-0.4,309132778,-3651134,0.8,0.6,59012736,-9874044,-14.1,-2.5
"MAY 2006",379726434,507528,-0.8,12172891,1099497,-9.9,-0.3,309701208,568430,-0.3,-0.2,57852333,-1160403,-1.3,-0.2
"JUN 2006",390269627,10543192,-0.7,11198291,-974600,-7.5,-0.2,310013580,312372,-0.7,-0.6,69057757,11205424,0.6,0.1
"JUL 2006",383933860,-6335766,1.9,12038411,840120,-5.3,-0.2,312222186,2208606,2.5,2.0,59673263,-9384494,0.2,0.0
"AGO 2006",379765655,-4168206,1.7,11486480,-551931,1.2,0.0,310810524,-1411662,2.4,1.9,57468650,-2204613,-1.4,-0.2
"SEP 2006",394625940,14860285,1.1,12514636,1028156,3.1,0.1,313200629,2390104,1.1,0.9,68910676,11442027,0.4,0.1
"OCT 2006",377505698,-17120242,-0.0,11891840,-622796,3.7,0.1,307661991,-5538638,-0.0,-0.0,57951868,-10958809,-0.9,-0.1
"NOV 2006",381094807,3589109,-0.4,12544539,652699,1.1,0.0,310414203,2752212,-0.8,-0.6,58136064,184197,1.2,0.2
"DIC 2006",392168267,11073460,-0.3,11686415,-858124,2.9,0.1,310110388,-303815,-0.7,-0.6,70371464,12235400,1.0,0.2
"ENE 2007",386652365,-5515902,2.3,12457931,771516,3.1,0.1,315128185,5017796,2.6,2.1,59066250,-11305214,0.8,0.1
"FEB 2007",387285276,632911,2.5,12026486,-431445,7.3,0.2,315160212,32027,1.9,1.5,60098578,1032328,4.8,0.7
"MAR 2007",398733533,11448256,1.2,14413379,2386893,17.1,0.5,313549462,-1610750,0.2,0.2,70770693,10672115,2.7,0.5
"ABR 2007",386028660,-12704872,1.8,14095566,-317813,27.3,0.8,311053222,-2496240,0.6,0.5,60879873,-9890820,3.2,0.5
"MAY 2007",387150336,1121676,2.0,16362313,2266747,34.4,1.1,311090323,37101,0.4,0.4,59697701,-1182173,3.2,0.5
"JUN 2007",400011764,12861428,2.5,16174818,-187495,44.4,1.3,314310461,3220139,1.4,1.1,69526485,9828785,0.7,0.1
"JUL 2007",380482987,-19528776,-0.9,18066904,1892086,50.1,1.6,303852579,-10457882,-2.7,-2.2,58563505,-10962981,-1.9,-0.3
"AGO 2007",375911063,-4571924,-1.0,18818746,751842,63.8,1.9,299249790,-4602789,-3.7,-3.0,57842526,-720978,0.7,0.1
"SEP 2007",391299885,15388822,-0.8,21408220,2589474,71.1,2.3,302041207,2791417,-3.6,-2.8,67850458,10007932,-1.5,-0.3
"OCT 2007",371055541,-20244344,-1.7,22541340,1133120,89.6,2.8,289642589,-12398618,-5.9,-4.8,58871611,-8978847,1.6,0.2
"NOV 2007",374174685,3119144,-1.8,25409488,2868148,102.6,3.4,290483900,841311,-6.4,-5.2,58281297,-590314,0.2,0.0
"DIC 2007",383798451,9623766,-2.1,26306552,897064,125.1,3.7,287311919,-3171982,-7.4,-5.8,70179980,11898683,-0.3,-0.0
"ENE 2008",364340108,-19458342,-5.8,29812600,3506048,139.3,4.5,278217489,-9094430,-11.7,-9.5,56310018,-13869962,-4.7,-0.7
"FEB 2008",369022299,4682190,-4.7,31333176,1520576,160.5,5.0,280328705,2111216,-11.1,-9.0,57360417,1050399,-4.6,-0.7
"MAR 2008",379406380,10384082,-4.8,30624452,-708724,112.5,4.1,276706854,-3621852,-11.8,-9.2,72075076,14714659,1.8,0.3
"ABR 2008",367517737,-11888644,-4.8,31753814,1129362,125.3,4.6,278422530,1715677,-10.5,-8.5,57341392,-14733684,-5.8,-0.9
"MAY 2008",372848308,5330571,-3.7,31444558,-309256,92.2,3.9,283218286,4795756,-9.0,-7.2,58185465,844073,-2.5,-0.4
"JUN 2008",389774659,16926352,-2.6,33166072,1721514,105.0,4.2,282579937,-638350,-10.1,-7.9,74028651,15843186,6.5,1.1
"JUL 2008",376670851,-13103808,-1.0,32913492,-252580,82.2,3.9,285716810,3136873,-6.0,-4.8,58040549,-15988102,-0.9,-0.1
"AGO 2008",377204859,534008,0.3,34786268,1872776,84.8,4.2,284818369,-898441,-4.8,-3.8,57600223,-440327,-0.4,-0.1
"SEP 2008",402858383,25653524,3.0,37316472,2530204,74.3,4.1,291662643,6844274,-3.4,-2.7,73879267,16279045,8.9,1.5
"OCT 2008",386518728,-16339655,4.2,41846792,4530320,85.6,5.2,285749388,-5913255,-1.3,-1.0,58922548,-14956720,0.1,0.0
"NOV 2008",405740569,19221840,8.4,48697764,6850972,91.7,6.2,297566773,11817385,2.4,1.9,59476032,553484,2.0,0.3
"DIC 2008",439771318,34030748,14.6,53033408,4335644,101.6,7.0,303348033,5781260,5.6,4.2,83389875,23913843,18.8,3.4
"ENE 2009",439648638,-122680,20.7,58638188,5604780,96.7,7.9,298475981,-4872053,7.3,5.6,82534468,-855407,46.6,7.2
"FEB 2009",456455589,16806950,23.7,60589180,1950992,93.4,7.9,312320429,13844449,11.4,8.7,83545980,1011512,45.7,7.1
"MAR 2009",472860525,16404936,24.6,64673896,4084716,111.2,9.0,322606839,10286409,16.6,12.1,85579792,2033812,18.7,3.6
"ABR 2009",485738845,12878320,32.2,70161440,5487544,121.0,10.5,331142543,8535704,18.9,14.3,84434864,-1144928,47.2,7.4
"MAY 2009",491752454,6013610,31.9,70884768,723328,125.4,10.6,334911123,3768580,18.3,13.9,85956565,1521701,47.7,7.4
"JUN 2009",510323740,18571286,30.9,72502296,1617528,118.6,10.1,346446832,11535710,22.6,16.4,91374614,5418049,23.4,4.5
"JUL 2009",509953024,-370715,35.4,74700208,2197912,127.0,11.1,344461931,-1984902,20.6,15.6,90790884,-583730,56.4,8.7
"AGO 2009",513071306,3118282,36.0,77021496,2321288,121.4,11.2,345174774,712843,21.2,16.0,90875033,84148,57.8,8.8
"SEP 2009",532828529,19757224,32.3,78920520,1899024,111.5,10.3,359557399,14382625,23.3,16.9,94350613,3475581,27.7,5.1
"OCT 2009",543643650,10815121,40.7,81590928,2670408,95.0,10.3,368470208,8912809,28.9,21.4,93582511,-768103,58.8,9.0
"NOV 2009",559415524,15771874,37.9,85780600,4189672,76.1,9.1,380618268,12148060,27.9,20.5,93016653,-565857,56.4,8.3
"DIC 2009",568700259,9284735,29.3,86394632,614032,62.9,7.6,386283162,5664894,27.3,18.9,96022469,3005816,15.1,2.9
"ENE 2010",560913795,-7786464,27.6,86078480,-316152,46.8,6.2,378478753,-7804408,26.8,18.2,96356565,334096,16.7,3.1
"FEB 2010",568259692,7345898,24.5,81069696,-5008784,33.8,4.5,389101241,10622487,24.6,16.8,98088753,1732188,17.4,3.2
"MAR 2010",586015629,17755938,23.9,79982600,-1087096,23.7,3.2,405653224,16551983,25.7,17.6,100379797,2291045,17.3,3.1
"ABR 2010",585240299,-775331,20.5,74747984,-5234616,6.5,0.9,410548654,4895430,24.0,16.3,99943663,-436135,18.4,3.2
"MAY 2010",594090602,8850303,20.8,72910256,-1837728,2.9,0.4,419210380,8661726,25.2,17.1,101969969,2026307,18.6,3.3
"JUN 2010",608196883,14106281,19.2,71658520,-1251736,-1.2,-0.2,429061732,9851352,23.8,16.2,107476624,5506655,17.6,3.2
"JUL 2010",607331308,-865575,19.1,71434640,-223880,-4.4,-0.6,428175416,-886317,24.3,16.4,107721245,244621,18.6,3.3
"AGO 2010",607208064,-123244,18.3,71500056,65416,-7.2,-1.1,429716692,1541276,24.5,16.5,105991313,-1729932,16.6,2.9
"SEP 2010",619705961,12497896,16.3,70921912,-578144,-10.1,-1.5,438570609,8853917,22.0,14.8,110213441,4222128,16.8,3.0
"OCT 2010",633634374,13928413,16.6,73563624,2641712,-9.8,-1.5,449768627,11198018,22.1,15.0,110302118,88677,17.9,3.1
"NOV 2010",639778280,6143906,14.4,71474608,-2089016,-16.7,-2.6,458800701,9032074,20.5,14.0,109502972,-799146,17.7,2.9
"DIC 2010",649258895,9480615,14.2,68928608,-2546000,-20.2,-3.1,465297357,6496656,20.5,13.9,115032934,5529962,19.8,3.3
"ENE 2011",662175409,12916514,18.1,67527152,-1401456,-21.6,-3.3,477204924,11907567,26.1,17.6,117443329,2410396,21.9,3.8
"FEB 2011",678430014,16254605,19.4,67607304,80152,-16.6,-2.4,490824866,13619942,26.1,17.9,119997844,2554515,22.3,3.9
"MAR 2011",691192740,12762726,17.9,62650004,-4957300,-21.7,-3.0,505069359,14244493,24.5,17.0,123473374,3475530,23.0,3.9
"ABR 2011",684777789,-6414952,17.0,61614300,-1035704,-17.6,-2.2,501514948,-3554412,22.2,15.5,121648538,-1824836,21.7,3.7
"MAY 2011",692504640,7726851,16.6,63932384,2318084,-12.3,-1.5,508637452,7122504,21.3,15.1,119934805,-1713733,17.6,3.0
"JUN 2011",711020987,18516348,16.9,65045660,1113276,-9.2,-1.1,519013391,10375939,21.0,14.8,126961942,7027137,18.1,3.2
"JUL 2011",704380873,-6640114,16.0,65344496,298836,-8.5,-1.0,511986363,-7027028,19.6,13.8,127050011,88069,17.9,3.2
"AGO 2011",704107290,-273584,16.0,65494256,149760,-8.4,-1.0,512810388,824025,19.3,13.7,125802645,-1247366,18.7,3.3
"SEP 2011",714076068,9968778,15.2,65564700,70444,-7.6,-0.9,520115815,7305427,18.6,13.2,128395557,2592912,16.5,2.9
"OCT 2011",712084883,-1991186,12.4,67417728,1853028,-8.4,-1.0,518002727,-2113088,15.2,10.8,126664425,-1731133,14.8,2.6
"NOV 2011",723683813,11598930,13.1,70120600,2702872,-1.9,-0.2,526565071,8562343,14.8,10.6,126998140,333716,16.0,2.7
"DIC 2011",743530224,19846410,14.5,74185224,4064624,7.6,0.8,536514136,9949066,15.3,11.0,132830862,5832722,15.5,2.7
"ENE 2012",758237159,14706935,14.5,69708520,-4476704,3.2,0.3,554572149,18058012,16.2,11.7,133956492,1125630,14.1,2.5
"FEB 2012",770792158,12554999,13.6,66214084,-3494436,-2.1,-0.2,568709301,14137152,15.9,11.5,135868773,1912281,13.2,2.3
"MAR 2012",782058209,11266050,13.1,60801912,-5412172,-2.9,-0.3,579235907,10526606,14.7,10.7,142020390,6151617,15.0,2.7
