"","IE_6_4.1","IE_6_4.2","IE_6_4.3","IE_6_4.4","IE_6_4.5","IE_6_4.6","IE_6_4.7","IE_6_4.8","IE_6_4.9","IE_6_4.10","IE_6_4.11","IE_6_4.12","IE_6_4.13","IE_6_4.14","IE_6_4.15"
"FEB 2014",-6712000,-902661,-132,5809339,1640,-971396,11984090,0,202334,-5405689.0,-126034,-932316.8,806283,5935373,11215028
"MAR 2014",3396001,13507851,-1124,10111850,1823,-2663810,13428516,0,325926,-978781.4,8104800,3468229.8,4636570,2007051,11090632
"ABR 2014",-4980000,-12689930,1537,-7709930,-15274,-1585141,-8153432,-946110,966282,2008471.0,-2457663,-71593.1,-2386070,-5252266,-9718401
"MAY 2014",-11501000,9412670,-267,20913670,1857,865309,17946608,0,33893,2067859.4,10563039,2912033.2,7651006,10350631,18845810
"JUN 2014",-403000,12674557,-89423,13077557,1725,-143005,12331111,0,6487,882964.6,-7760219,-183686.0,-7576533,20837776,12194592
"JUL 2014",-5708998,-16097341,420,-10388343,1892,-52799,-10612270,0,-2545336,2822062.8,5927896,-10120446.0,16048342,-16316239,-13210405
"AGO 2014",-2804002,4247338,-1502,7051340,1895,318369,6086343,0,336342,310286.4,486867,17756556.0,-17269688,6564473,6741054
"SEP 2014",2504999,12337378,248,9832379,1892,2296185,11509160,0,-19713,-3953253.0,13347442,9531633.0,3815809,-3515063,13785632
"OCT 2014",2242000,-12040791,196,-14282791,-2633,-170153,-13400429,0,38212,-750420.8,-14439908,-5078540.0,-9361368,157117,-13532370
"NOV 2014",-5122000,7308204,239,12430204,241030,400144,8633442,0,304767,3091851.0,-5483522,-4908165.0,-575357,17913726,9338353
"DIC 2014",-4820000,12874779,-768,17694778,1871,584856,9861327,0,497870,6750725.5,699017,464801.7,234215,16995762,10944053
"ENE 2015",-6508000,15261237,5990231,21769238,2115,1405181,-4837728,0,10642,25191142.0,-2191059,-4097391.8,1906333,23960296,-3421905
"FEB 2015",-6439000,-26148522,-5989300,-19709522,1803,-877478,12562016,0,-1381449,-30012610.0,-18792234,-4363183.0,-14429051,-917287,10303089
"MAR 2015",2386000,13668218,-258,11282218,2050,-1076075,12778596,0,-1516682,1096379.0,8431158,789932.2,7641226,2851060,10185839
"ABR 2015",-2661000,-15127728,-602,-12466728,-17207,78320,-11917934,-970170,8437,334618.6,-25004528,-1814804.5,-23189724,12537800,-12801347
"MAY 2015",-9949000,1273848,63,11222848,1875,1374076,9901326,0,24627,-77181.0,7547948,575246.9,6972702,3674900,11300029
"JUN 2015",490000,15294666,1652,14804666,1999,-643504,17343594,0,-3639,-1891786.5,6032366,884682.8,5147683,8772300,16696452
"JUL 2015",-3183000,-15840873,-796,-12657873,2043,1843137,-11755882,0,-2526457,-218670.8,-13380073,-10811118.0,-2568954,722200,-12439202
"AGO 2015",-1717000,11749152,11989059,13466152,2005,1514570,12202212,0,20638,-271267.4,4585652,7194896.0,-2609244,8880500,13737420
"SEP 2015",2058000,18680184,5502731,16622184,1836,846530,15321001,0,5636,449016.9,22075884,20812790.0,1263094,-5453700,16173167
"OCT 2015",1513000,13181593,9997490,11668593,-2655,614927,-10362052,0,-3588,21419306.0,1784493,2078000.4,-293507,9884100,-9750713
"NOV 2015",-3513000,-19084272,-19499830,-15571271,2047,191988,7666476,0,14917,-23444652.0,"_",4363680.0,"_","_",7873380
