"","IE_6_4.1","IE_6_4.2","IE_6_4.3","IE_6_4.4","IE_6_4.5","IE_6_4.6","IE_6_4.7","IE_6_4.8","IE_6_4.9","IE_6_4.10","IE_6_4.11","IE_6_4.12","IE_6_4.13","IE_6_4.14","IE_6_4.15"
"NÚMERO SECUENCIAL",2332439,2332396,2332410,2332430,2332431,2332419,2332420,2332426,2332427,2332429,2332437,2332433,2332435,2332436,2332432
"DESCRIPCIÓN DE LA SERIE","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.CAPACIDAD O NECESIDAD DE FINANCIACION","SEC2010.AAPP.ESTADO.OP FINANCIERAS.ACTIVOS.FLUJOS.TOTAL","SEC2010.AAPP.ESTADO.OP FINANCIERAS.ACTIVOS.FLUJOS.DEPOSITOS EN EL BANCO DE ESAPAÑA","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.TOTAL","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.TOTAL PASIVOS EN MONEDA EXTRANJERA","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.PRESTAMOS DEL BANCO DE ESPAÑA","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.OTROS PASIVOS MATERIALIZADOS EN INSTRUMENTOS DE MERCADO","SEC2010.AAPP.STADO.OP FINANCIERAS.PASIVOS.FLUJOS.OTRAS CUENTAS PENDIENTES DE COBRO Y PAGO","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.CONTRACCION NETA DE PASIVOS(EXCEPTO OTROS)EN PODER DE SECTORES RESIDENTES","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.TOTAL PASIVOS EN PODER DE INSTITUCIONES FINANCIERAS","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.TOTAL PASIVOS EN PODER DE OTROS SECTORES RESIDENTES","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.CONTRACCION NETA DE PASIVOS(EXCEPTO OTROS)EN PODER DEL RESTO DEL MUNDO","SEC2010.AAPP.ESTADO.OP FINANCIERAS.PASIVOS.FLUJOS.TOTAL DE PASIVOS EXCEPTO OTROS"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"ENE 2012",-6770000,3556052,-209683,10326052,11601,-2746024,14754406,0,810041,-2492371.0,20189672,22833888.0,-2644216,-9863620,12818423
"FEB 2012",-9367000,1599932,19483308,10966932,10826,-3810704,13474381,0,-149715,1452970.5,12788622,13540781.0,-752159,-1821690,9513962
"MAR 2012",1177000,10625013,-1998336,9448013,-753078,-3477286,10374246,0,4667606,-2116554.2,21854412,19934108.0,1920304,-12406400,11564567
"ABR 2012",-4401000,-16052449,-3999258,-11651449,-8981,-3113902,-13327550,-541739,4372733,959008.9,2317511,3657320.5,-1339809,-13968960,-12610458
"MAY 2012",-10821000,-3581912,-13400641,7239088,10573,-2565276,8007282,0,1195683,601399.3,5648828,904252.3,4744576,1590260,6637688
"JUN 2012",-6668000,-2027294,-386,4640706,-47572,-1854654,5536724,0,112863,845772.9,4596716,176618.6,4420098,43990,3794934
"JUL 2012",-3492000,-16235690,381,-12743690,10538,-149459,-10623738,0,346623,-2317115.8,-12526570,-39957188.0,27430618,-217120,-10426574
"AGO 2012",-2633998,2641442,-291,5275440,10230,739794,3425775,0,24089,1085781.2,-623671,-23341072.0,22717402,5899110,4189658
"SEP 2012",4566998,18197188,-342,13630190,-1961684,6160426,14946788,0,-54866,-7422158.5,6036640,55113728.0,-49077088,7593550,21052348
"OCT 2012",2513003,-6450240,-224,-8963244,498,1301350,-7634748,0,-11414,-2618432.2,-10168724,765912.3,-10934636,1205480,-6344812
"NOV 2012",-3089003,15308096,4399823,18397098,6511,4386306,15313388,0,-9953,-1292642.5,8056178,-4234823.0,12291002,10340920,19689742
"DIC 2012",-5108000,59183492,-1998974,64291492,6568,33883,10931515,0,43840456,9485638.0,16297283,45767340.0,-29470058,47994208,54805856
"ENE 2013",-7017000,-7911712,-1909841,-894712,6324,953121,1490822,0,246517,-3585171.8,-3667712,6136902.5,-9804614,2773000,2690460
"FEB 2013",-7416000,7752702,-490388,15168702,1500843,4139094,11445160,0,2315459,-2731010.8,4339702,10299835.0,-5960133,10829000,17899712
"MAR 2013",3398000,15817586,99577,12419586,6695,-1627328,14588592,0,-31183,-510494.6,20122586,14837828.0,5284758,-7703000,12930081
"ABR 2013",-6423000,-10991516,-99406,-4568516,-10828,2715354,-8323742,-876442,2482,1913831.5,-5636516,-2086103.0,-3550414,1068000,-6482348
"MAY 2013",-8726000,12495729,-738,21221728,6540,1800220,18563430,0,1902661,-1044582.6,11827729,10784428.0,1043301,9394000,22266312
"JUN 2013",-6239000,2424232,-757,8663233,-1550257,2196379,5211475,0,869392,385985.8,17707232,8467230.0,9240003,-9044000,8277246
"JUL 2013",-4429000,-9142058,134763,-4713058,1833,3485243,-8084668,0,348269,-461902.8,-10909058,-4413417.0,-6495641,6196000,-4251156
"AGO 2013",-2359000,613270,-134201,2972270,1859,1228620,2016065,0,639918,-912332.7,931270,-2618459.8,3549730,2041000,3884603
"SEP 2013",3278000,10417238,2900672,7139238,1846,1525458,10429387,0,110680,-4926287.0,-2256762,1654790.4,-3911552,9396000,12065525
"OCT 2013",-73000,-7716978,-800152,-7643978,-2889,2664553,-9878328,0,-41729,-388473.5,-10779977,-7058179.5,-3721798,3136000,-7255504
"NOV 2013",-3100000,216293,300208,3316292,1802,-1839461,11350787,0,445902,-6640935.0,-13798707,-9164041.0,-4634666,17115000,9957228
"DIC 2013",-6274000,20889036,-2400034,27163036,1799,1052220,6885076,0,1206081,18019660.0,6173608,-15163062.0,21336670,20989428,9143378
"ENE 2014",-6284000,-3741376,45,2542624,1851,-684866,3624560,0,7872,-404942.1,5370336,10755727.0,-5385391,-2827712,2947566
