"","IE_2_6.1","IE_2_6.2","IE_2_6.3","IE_2_6.4","IE_2_6.5","IE_2_6.6","IE_2_6.7","IE_2_6.8","IE_2_6.9","IE_2_6.10","IE_2_6.11","IE_2_6.12"
"ABR 1961","_","_","_","_","_","_","_","_","_",3.78,"_","_"
"MAY 1961","_","_","_","_","_","_","_","_","_",3.71,"_","_"
"JUN 1961","_","_","_","_","_","_","_","_","_",3.88,"_","_"
"JUL 1961","_","_","_","_","_","_","_","_","_",3.92,"_","_"
"AGO 1961","_","_","_","_","_","_","_","_","_",4.04,"_","_"
"SEP 1961","_","_","_","_","_","_","_","_","_",3.98,"_","_"
"OCT 1961","_","_","_","_","_","_","_","_","_",3.92,"_","_"
"NOV 1961","_","_","_","_","_","_","_","_","_",3.94,"_","_"
"DIC 1961","_","_","_","_","_","_","_","_","_",4.06,"_","_"
"ENE 1962","_","_","_","_","_","_","_","_","_",4.08,"_","_"
"FEB 1962","_","_","_","_","_","_","_","_","_",4.04,"_","_"
"MAR 1962","_","_","_","_","_","_","_","_","_",3.93,"_","_"
"ABR 1962","_","_","_","_","_","_","_","_","_",3.84,"_","_"
"MAY 1962","_","_","_","_","_","_","_","_","_",3.87,"_","_"
"JUN 1962","_","_","_","_","_","_","_","_","_",3.91,"_","_"
"JUL 1962","_","_","_","_","_","_","_","_","_",4.01,"_","_"
"AGO 1962","_","_","_","_","_","_","_","_","_",3.98,"_","_"
"SEP 1962","_","_","_","_","_","_","_","_","_",3.98,"_","_"
"OCT 1962","_","_","_","_","_","_","_","_","_",3.93,"_","_"
"NOV 1962","_","_","_","_","_","_","_","_","_",3.92,"_","_"
"DIC 1962","_","_","_","_","_","_","_","_","_",3.86,"_","_"
"ENE 1963","_","_","_","_","_","_","_","_","_",3.83,"_","_"
"FEB 1963","_","_","_","_","_","_","_","_","_",3.92,"_","_"
"MAR 1963","_","_","_","_","_","_","_","_","_",3.93,"_","_"
"ABR 1963","_","_","_","_","_","_","_","_","_",3.97,"_","_"
"MAY 1963","_","_","_","_","_","_","_","_","_",3.93,"_","_"
"JUN 1963","_","_","_","_","_","_","_","_","_",3.99,"_","_"
"JUL 1963","_","_","_","_","_","_","_","_","_",4.02,"_","_"
"AGO 1963","_","_","_","_","_","_","_","_","_",4.00,"_","_"
"SEP 1963","_","_","_","_","_","_","_","_","_",4.08,"_","_"
"OCT 1963","_","_","_","_","_","_","_","_","_",4.11,"_","_"
"NOV 1963","_","_","_","_","_","_","_","_","_",4.12,"_","_"
"DIC 1963","_","_","_","_","_","_","_","_","_",4.13,"_","_"
"ENE 1964","_","_","_","_","_","_","_","_","_",4.17,"_","_"
"FEB 1964","_","_","_","_","_","_","_","_","_",4.15,"_","_"
"MAR 1964","_","_","_","_","_","_","_","_","_",4.22,"_","_"
"ABR 1964","_","_","_","_","_","_","_","_","_",4.23,"_","_"
"MAY 1964","_","_","_","_","_","_","_","_","_",4.20,"_","_"
"JUN 1964","_","_","_","_","_","_","_","_","_",4.17,"_","_"
"JUL 1964","_","_","_","_","_","_","_","_","_",4.19,"_","_"
"AGO 1964","_","_","_","_","_","_","_","_","_",4.19,"_","_"
"SEP 1964","_","_","_","_","_","_","_","_","_",4.20,"_","_"
"OCT 1964","_","_","_","_","_","_","_","_","_",4.19,"_","_"
"NOV 1964","_","_","_","_","_","_","_","_","_",4.15,"_","_"
"DIC 1964","_","_","_","_","_","_","_","_","_",4.18,"_","_"
"ENE 1965","_","_","_","_","_","_","_","_","_",4.19,"_","_"
"FEB 1965","_","_","_","_","_","_","_","_","_",4.21,"_","_"
"MAR 1965","_","_","_","_","_","_","_","_","_",4.21,"_","_"
"ABR 1965","_","_","_","_","_","_","_","_","_",4.20,"_","_"
"MAY 1965","_","_","_","_","_","_","_","_","_",4.21,"_","_"
"JUN 1965","_","_","_","_","_","_","_","_","_",4.21,"_","_"
"JUL 1965","_","_","_","_","_","_","_","_","_",4.20,"_","_"
"AGO 1965","_","_","_","_","_","_","_","_","_",4.25,"_","_"
"SEP 1965","_","_","_","_","_","_","_","_","_",4.29,"_","_"
"OCT 1965","_","_","_","_","_","_","_","_","_",4.35,"_","_"
"NOV 1965","_","_","_","_","_","_","_","_","_",4.45,"_","_"
"DIC 1965","_","_","_","_","_","_","_","_","_",4.62,"_","_"
"ENE 1966","_","_","_","_","_","_","_","_","_",4.61,"_","_"
"FEB 1966","_","_","_","_","_","_","_","_","_",4.83,"_","_"
"MAR 1966","_","_","_","_","_","_","_","_","_",4.87,"_","_"
"ABR 1966","_","_","_","_","_","_","_","_","_",4.75,"_","_"
"MAY 1966","_","_","_","_","_","_","_","_","_",4.78,"_","_"
"JUN 1966","_","_","_","_","_","_","_","_","_",4.81,"_","_"
"JUL 1966","_","_","_","_","_","_","_","_","_",5.02,"_","_"
"AGO 1966","_","_","_","_","_","_","_","_","_",5.22,"_","_"
"SEP 1966","_","_","_","_","_","_","_","_","_",5.18,"_","_"
"OCT 1966","_","_","_","_","_","_","_","_","_",5.01,"_","_"
"NOV 1966","_","_","_","_","_","_","_","_","_",5.16,"_","_"
"DIC 1966","_","_","_","_","_","_","_","_","_",4.84,"_","_"
"ENE 1967","_","_","_","_","_","_","_","_","_",4.58,"_","_"
"FEB 1967","_","_","_","_","_","_","_","_","_",4.63,"_","_"
"MAR 1967","_","_","_","_","_","_","_","_","_",4.54,"_","_"
"ABR 1967","_","_","_","_","_","_","_","_","_",4.59,"_","_"
"MAY 1967","_","_","_","_","_","_","_","_","_",4.85,"_","_"
"JUN 1967","_","_","_","_","_","_","_","_","_",5.02,"_","_"
"JUL 1967","_","_","_","_","_","_","_","_","_",5.16,"_","_"
"AGO 1967","_","_","_","_","_","_","_","_","_",5.28,"_","_"
"SEP 1967","_","_","_","_","_","_","_","_","_",5.30,"_","_"
"OCT 1967","_","_","_","_","_","_","_","_","_",5.48,"_","_"
"NOV 1967","_","_","_","_","_","_","_","_","_",5.75,"_","_"
"DIC 1967","_","_","_","_","_","_","_","_","_",5.70,"_","_"
"ENE 1968","_","_","_","_","_","_","_","_","_",5.53,"_","_"
"FEB 1968","_","_","_","_","_","_","_","_","_",5.56,"_","_"
"MAR 1968","_","_","_","_","_","_","_","_","_",5.74,"_","_"
"ABR 1968","_","_","_","_","_","_","_","_","_",5.64,"_","_"
"MAY 1968","_","_","_","_","_","_","_","_","_",5.87,"_","_"
"JUN 1968","_","_","_","_","_","_","_","_","_",5.72,"_","_"
"JUL 1968","_","_","_","_","_","_","_","_","_",5.50,"_","_"
"AGO 1968","_","_","_","_","_","_","_","_","_",5.42,"_","_"
"SEP 1968","_","_","_","_","_","_","_","_","_",5.46,"_","_"
"OCT 1968","_","_","_","_","_","_","_","_","_",5.58,"_","_"
"NOV 1968","_","_","_","_","_","_","_","_","_",5.70,"_","_"
"DIC 1968","_","_","_","_","_","_","_","_","_",6.03,"_","_"
"ENE 1969","_","_","_","_","_","_","_","_","_",6.04,"_","_"
"FEB 1969","_","_","_","_","_","_","_","_","_",6.19,"_","_"
"MAR 1969","_","_","_","_","_","_","_","_","_",6.30,"_","_"
"ABR 1969","_","_","_","_","_","_","_","_","_",6.17,"_","_"
"MAY 1969","_","_","_","_","_","_","_","_","_",6.32,"_","_"
"JUN 1969","_","_","_","_","_","_","_","_","_",6.57,"_","_"
"JUL 1969","_","_","_","_","_","_","_","_","_",6.72,"_","_"
"AGO 1969","_","_","_","_","_","_","_","_","_",6.69,"_","_"
"SEP 1969","_","_","_","_","_","_","_","_","_",7.16,"_","_"
"OCT 1969","_","_","_","_","_","_","_","_","_",7.10,"_","_"
"NOV 1969","_","_","_","_","_","_","_","_","_",7.14,"_","_"
"DIC 1969","_","_","_","_","_","_","_","_","_",7.65,"_","_"
"ENE 1970","_","_","_","_","_","_","_","_","_",7.79,"_","_"
"FEB 1970","_","_","_","_","_","_","_","_","_",7.24,"_","_"
"MAR 1970","_","_","_","_","_","_","_","_","_",7.07,"_","_"
"ABR 1970","_","_","_","_","_","_","_","_","_",7.39,"_","_"
"MAY 1970","_","_","_","_","_","_","_","_","_",7.91,"_","_"
"JUN 1970","_","_","_","_","_","_","_","_","_",7.84,"_","_"
"JUL 1970","_","_","_","_","_","_","_","_","_",7.46,"_","_"
"AGO 1970","_","_","_","_","_","_","_","_","_",7.53,"_","_"
"SEP 1970","_","_","_","_","_","_","_","_","_",7.39,"_","_"
"OCT 1970","_","_","_","_","_","_","_","_","_",7.33,"_","_"
"NOV 1970","_","_","_","_","_","_","_","_","_",6.84,"_","_"
"DIC 1970","_","_","_","_","_","_","_","_","_",6.39,"_","_"
"ENE 1971","_","_","_","_","_","_","_","_","_",6.24,"_","_"
"FEB 1971","_","_","_","_","_","_","_","_","_",6.11,"_","_"
"MAR 1971","_","_","_","_","_","_","_","_","_",5.70,"_","_"
"ABR 1971","_","_","_","_","_","_","_","_","_",5.83,"_","_"
"MAY 1971","_","_","_","_","_","_","_","_","_",6.39,"_","_"
"JUN 1971","_","_","_","_","_","_","_","_","_",6.52,"_","_"
"JUL 1971","_","_","_","_","_","_","_","_","_",6.73,"_","_"
"AGO 1971","_","_","_","_","_","_","_","_","_",6.58,"_","_"
"SEP 1971","_","_","_","_","_","_","_","_","_",6.14,"_","_"
"OCT 1971","_","_","_","_","_","_","_","_","_",5.93,"_","_"
"NOV 1971","_","_","_","_","_","_","_","_","_",5.81,"_","_"
"DIC 1971","_","_","_","_","_","_","_","_","_",5.93,"_","_"
"ENE 1972","_","_","_","_","_","_","_","_","_",5.95,"_","_"
"FEB 1972","_","_","_","_","_","_","_","_","_",6.08,"_","_"
"MAR 1972","_","_","_","_","_","_","_","_","_",6.07,"_","_"
"ABR 1972","_","_","_","_","_","_","_","_","_",6.19,"_","_"
"MAY 1972","_","_","_","_","_","_","_","_","_",6.13,"_","_"
"JUN 1972","_","_","_","_","_","_","_","_","_",6.11,"_","_"
"JUL 1972","_","_","_","_","_","_","_","_","_",6.11,"_","_"
"AGO 1972","_","_","_","_","_","_","_","_","_",6.21,"_","_"
"SEP 1972","_","_","_","_","_","_","_","_","_",6.55,"_","_"
"OCT 1972","_","_","_","_","_","_","_","_","_",6.48,"_","_"
"NOV 1972","_","_","_","_","_","_","_","_","_",6.28,"_","_"
"DIC 1972","_","_","_","_","_","_","_","_","_",6.36,"_","_"
"ENE 1973","_","_","_","_","_","_","_","_","_",6.46,"_","_"
"FEB 1973","_","_","_","_","_","_","_","_","_",6.64,"_","_"
"MAR 1973","_","_","_","_","_","_","_","_","_",6.71,"_","_"
"ABR 1973","_","_","_","_","_","_","_","_","_",6.67,"_","_"
"MAY 1973","_","_","_","_","_","_","_","_","_",6.85,"_","_"
"JUN 1973","_","_","_","_","_","_","_","_","_",6.90,"_","_"
"JUL 1973","_","_","_","_","_","_","_","_","_",7.13,"_","_"
"AGO 1973","_","_","_","_","_","_","_","_","_",7.40,"_","_"
"SEP 1973","_","_","_","_","_","_","_","_","_",7.09,"_","_"
"OCT 1973","_","_","_","_","_","_","_","_","_",6.79,"_","_"
"NOV 1973","_","_","_","_","_","_","_","_","_",6.73,"_","_"
"DIC 1973","_","_","_","_","_","_","_","_","_",6.74,"_","_"
"ENE 1974","_","_","_","_","_","_","_","_","_",6.99,"_","_"
"FEB 1974","_","_","_","_","_","_","_","_","_",6.96,"_","_"
"MAR 1974","_","_","_","_","_","_","_","_","_",7.21,"_","_"
"ABR 1974","_","_","_","_","_","_","_","_","_",7.51,"_","_"
"MAY 1974","_","_","_","_","_","_","_","_","_",7.58,"_","_"
"JUN 1974","_","_","_","_","_","_","_","_","_",7.54,"_","_"
"JUL 1974","_","_","_","_","_","_","_","_","_",7.81,"_","_"
"AGO 1974","_","_","_","_","_","_","_","_","_",8.04,"_","_"
"SEP 1974","_","_","_","_","_","_","_","_","_",8.04,"_","_"
"OCT 1974","_","_","_","_","_","_","_","_","_",7.90,"_","_"
"NOV 1974","_","_","_","_","_","_","_","_","_",7.68,"_","_"
"DIC 1974","_","_","_","_","_","_","_","_","_",7.43,"_","_"
"ENE 1975","_","_","_","_","_","_","_","_","_",7.50,"_","_"
"FEB 1975","_","_","_","_","_","_","_","_","_",7.39,"_","_"
"MAR 1975","_","_","_","_","_","_","_","_","_",7.73,"_","_"
"ABR 1975","_","_","_","_","_","_","_","_","_",8.23,"_","_"
"MAY 1975","_","_","_","_","_","_","_","_","_",8.06,"_","_"
"JUN 1975","_","_","_","_","_","_","_","_","_",7.86,"_","_"
"JUL 1975","_","_","_","_","_","_","_","_","_",8.06,"_","_"
"AGO 1975","_","_","_","_","_","_","_","_","_",8.40,"_","_"
"SEP 1975","_","_","_","_","_","_","_","_","_",8.43,"_","_"
"OCT 1975","_","_","_","_","_","_","_","_","_",8.14,"_","_"
"NOV 1975","_","_","_","_","_","_","_","_","_",8.05,"_","_"
"DIC 1975","_","_","_","_","_","_","_","_","_",8.00,"_","_"
"ENE 1976","_","_","_","_","_","_","_","_","_",7.74,"_","_"
"FEB 1976","_","_","_","_","_","_","_","_","_",7.79,"_","_"
"MAR 1976","_","_","_","_","_","_","_","_","_",7.73,"_","_"
"ABR 1976","_","_","_","_","_","_","_","_","_",7.56,"_","_"
"MAY 1976","_","_","_","_","_","_","_","_","_",7.90,"_","_"
"JUN 1976","_","_","_","_","_","_","_","_","_",7.86,"_","_"
"JUL 1976","_","_","_","_","_","_","_","_","_",7.83,"_","_"
"AGO 1976","_","_","_","_","_","_","_","_","_",7.77,"_","_"
"SEP 1976","_","_","_","_","_","_","_","_","_",7.59,"_","_"
"OCT 1976","_","_","_","_","_","_","_","_","_",7.41,"_","_"
"NOV 1976","_","_","_","_","_","_","_","_","_",7.29,"_","_"
"DIC 1976","_","_","_","_","_","_","_","_","_",6.87,"_","_"
"ENE 1977","_","_","_","_","_","_","_","_","_",7.21,"_","_"
"FEB 1977","_","_","_","_","_","_","_","_","_",7.39,"_","_"
"MAR 1977","_","_","_","_","_","_","_","_","_",7.46,"_","_"
"ABR 1977","_","_","_","_","_","_","_","_","_",7.37,"_","_"
"MAY 1977","_","_","_","_","_","_","_","_","_",7.46,"_","_"
"JUN 1977","_","_","_","_","_","_","_","_","_",7.28,"_","_"
"JUL 1977","_","_","_","_","_","_","_","_","_",7.33,"_","_"
"AGO 1977","_","_","_","_","_","_","_","_","_",7.40,"_","_"
"SEP 1977","_","_","_","_","_","_","_","_","_",7.34,"_","_"
"OCT 1977","_","_","_","_","_","_","_","_","_",7.52,"_","_"
"NOV 1977","_","_","_","_","_","_","_","_","_",7.58,"_","_"
"DIC 1977","_","_","_","_","_","_","_","_","_",7.69,"_","_"
"ENE 1978","_","_","_","_","_","_","_","_","_",7.96,6.150,"_"
"FEB 1978","_","_","_","_","_","_","_","_","_",8.03,6.210,"_"
"MAR 1978","_","_","_","_","_","_","_","_","_",8.04,6.050,"_"
"ABR 1978","_","_","_","_","_","_","_","_","_",8.15,5.990,"_"
"MAY 1978","_","_","_","_","_","_","_","_","_",8.35,6.020,"_"
"JUN 1978","_","_","_","_","_","_","_","_","_",8.46,6.080,"_"
"JUL 1978","_","_","_","_","_","_","_","_","_",8.64,6.080,"_"
"AGO 1978","_","_","_","_","_","_","_","_","_",8.41,6.230,"_"
"SEP 1978","_","_","_","_","_","_","_","_","_",8.42,6.160,"_"
"OCT 1978","_","_","_","_","_","_","_","_","_",8.64,6.070,"_"
"NOV 1978","_","_","_","_","_","_","_","_","_",8.81,6.120,"_"
"DIC 1978","_","_","_","_","_","_","_","_","_",9.01,6.120,"_"
"ENE 1979","_","_","_","_","_","_","_","_","_",9.10,6.260,"_"
"FEB 1979","_","_","_","_","_","_","_","_","_",9.10,6.390,"_"
"MAR 1979","_","_","_","_","_","_","_","_","_",9.12,6.980,"_"
"ABR 1979","_","_","_","_","_","_","_","_","_",9.18,7.690,"_"
"MAY 1979","_","_","_","_","_","_","_","_","_",9.25,7.810,"_"
"JUN 1979","_","_","_","_","_","_","_","_","_",8.91,8.050,"_"
"JUL 1979","_","_","_","_","_","_","_","_","_",8.95,7.790,"_"
"AGO 1979","_","_","_","_","_","_","_","_","_",9.03,8.040,"_"
"SEP 1979","_","_","_","_","_","_","_","_","_",9.33,7.970,"_"
"OCT 1979","_","_","_","_","_","_","_","_","_",10.30,8.470,"_"
"NOV 1979","_","_","_","_","_","_","_","_","_",10.65,8.790,"_"
"DIC 1979","_","_","_","_","_","_","_","_","_",10.39,8.630,"_"
"ENE 1980","_","_","_","_",8.00,"_","_","_","_",10.80,8.540,"_"
"FEB 1980","_","_","_","_",8.40,"_","_","_","_",12.41,9.370,"_"
"MAR 1980","_","_","_","_",9.40,"_","_","_","_",12.75,10.040,"_"
"ABR 1980","_","_","_","_",9.40,"_","_","_","_",11.47,10.330,"_"
"MAY 1980","_","_","_","_",8.60,"_","_","_","_",10.18,8.780,"_"
"JUN 1980","_","_","_","_",8.10,"_","_","_","_",9.78,8.660,"_"
"JUL 1980","_","_","_","_",7.90,"_","_","_","_",10.25,8.890,"_"
"AGO 1980","_","_","_","_",7.80,"_","_","_","_",11.10,9.080,"_"
"SEP 1980","_","_","_","_",8.10,"_","_","_","_",11.51,9.200,"_"
"OCT 1980","_","_","_","_",8.30,"_","_","_","_",11.75,9.020,"_"
"NOV 1980","_","_","_","_",8.60,"_","_","_","_",12.68,9.560,"_"
"DIC 1980","_","_","_","_",8.80,"_","_","_","_",12.84,10.000,"_"
"ENE 1981","_","_","_","_",9.00,14.58,10.43,"_",13.97,12.57,9.240,"_"
"FEB 1981","_","_","_","_",9.80,15.05,10.96,"_",13.84,13.19,8.960,"_"
"MAR 1981","_","_","_","_",10.10,14.98,11.38,"_",13.66,13.12,8.230,"_"
"ABR 1981","_","_","_","_",10.00,14.97,11.29,"_",13.66,13.68,8.020,"_"
"MAY 1981","_","_","_","_",10.50,17.25,11.90,"_",14.40,14.10,7.810,"_"
"JUN 1981","_","_","_","_",10.50,17.32,11.43,"_",14.69,13.47,7.960,"_"
"JUL 1981","_","_","_","_",10.50,17.11,11.57,"_",15.28,14.28,7.750,"_"
"AGO 1981","_","_","_","_",10.70,17.03,12.12,"_",15.23,14.94,7.780,"_"
"SEP 1981","_","_","_","_",10.60,17.08,12.30,"_",15.81,15.32,8.370,"_"
"OCT 1981","_","_","_","_",10.20,16.94,12.10,"_",16.34,15.15,8.370,"_"
"NOV 1981","_","_","_","_",9.90,16.75,11.87,"_",15.72,13.39,8.370,"_"
"DIC 1981","_","_","_","_",9.70,16.44,11.28,"_",16.00,13.72,8.370,"_"
"ENE 1982","_","_","_","_",9.80,16.42,11.23,"_",15.94,14.59,8.020,"_"
