"","IE_3_1.1","IE_3_1.2","IE_3_1.3","IE_3_1.4","IE_3_1.5","IE_3_1.6","IE_3_1.7","IE_3_1.8","IE_3_1.9","IE_3_1.10","IE_3_1.11","IE_3_1.12","IE_3_1.13","IE_3_1.14","IE_3_1.15","IE_3_1.16","IE_3_1.17"
"MAY 1965","_","_","_","_","_","_",40.01,"_","_","_","_","_","_","_","_","_","_"
"JUN 1965","_","_","_","_","_","_",25.04,"_","_","_","_","_","_","_","_","_","_"
"JUL 1965","_","_","_","_","_","_",37.98,"_","_","_","_","_","_","_","_","_","_"
"AGO 1965","_","_","_","_","_","_",11.03,"_","_","_","_","_","_","_","_","_","_"
"SEP 1965","_","_","_","_","_","_",28.70,"_","_","_","_","_","_","_","_","_","_"
"OCT 1965","_","_","_","_","_","_",11.90,"_","_","_","_","_","_","_","_","_","_"
"NOV 1965","_","_","_","_","_","_",16.60,"_","_","_","_","_","_","_","_","_","_"
"DIC 1965","_","_","_","_","_","_",28.20,"_","_","_","_","_","_","_","_","_","_"
"ENE 1966","_","_","_","_","_","_",31.87,"_","_","_","_","_","_","_","_","_","_"
"FEB 1966","_","_","_","_","_","_",30.74,"_","_","_","_","_","_","_","_","_","_"
"MAR 1966","_","_","_","_","_","_",42.20,"_","_","_","_","_","_","_","_","_","_"
"ABR 1966","_","_","_","_","_","_",39.65,"_","_","_","_","_","_","_","_","_","_"
"MAY 1966","_","_","_","_","_","_",68.06,"_","_","_","_","_","_","_","_","_","_"
"JUN 1966","_","_","_","_","_","_",62.62,"_","_","_","_","_","_","_","_","_","_"
"JUL 1966","_","_","_","_","_","_",49.09,"_","_","_","_","_","_","_","_","_","_"
"AGO 1966","_","_","_","_","_","_",111.70,"_","_","_","_","_","_","_","_","_","_"
"SEP 1966","_","_","_","_","_","_",62.69,"_","_","_","_","_","_","_","_","_","_"
"OCT 1966","_","_","_","_","_","_",67.40,"_","_","_","_","_","_","_","_","_","_"
"NOV 1966","_","_","_","_","_","_",71.14,"_","_","_","_","_","_","_","_","_","_"
"DIC 1966","_","_","_","_","_","_",60.53,"_","_","_","_","_","_","_","_","_","_"
"ENE 1967","_","_","_","_","_","_",65.31,"_","_","_","_","_","_","_","_","_","_"
"FEB 1967","_","_","_","_","_","_",55.06,"_","_","_","_","_","_","_","_","_","_"
"MAR 1967","_","_","_","_","_","_",38.21,"_","_","_","_","_","_","_","_","_","_"
"ABR 1967","_","_","_","_","_","_",47.98,"_","_","_","_","_","_","_","_","_","_"
"MAY 1967","_","_","_","_","_","_",13.38,"_","_","_","_","_","_","_","_","_","_"
"JUN 1967","_","_","_","_","_","_",15.68,"_","_","_","_","_","_","_","_","_","_"
"JUL 1967","_","_","_","_","_","_",5.45,"_","_","_","_","_","_","_","_","_","_"
"AGO 1967","_","_","_","_","_","_",-16.63,"_","_","_","_","_","_","_","_","_","_"
"SEP 1967","_","_","_","_","_","_",17.70,"_","_","_","_","_","_","_","_","_","_"
"OCT 1967","_","_","_","_","_","_",-1.41,"_","_","_","_","_","_","_","_","_","_"
"NOV 1967","_","_","_","_","_","_",-5.31,"_","_","_","_","_","_","_","_","_","_"
"DIC 1967","_","_","_","_","_","_",-4.21,"_","_","_","_","_","_","_","_","_","_"
"ENE 1968","_","_","_","_","_","_",-9.97,"_","_","_","_","_","_","_","_","_","_"
"FEB 1968","_","_","_","_","_","_",-7.69,"_","_","_","_","_","_","_","_","_","_"
"MAR 1968","_","_","_","_","_","_",0.53,"_","_","_","_","_","_","_","_","_","_"
"ABR 1968","_","_","_","_","_","_",1.60,"_","_","_","_","_","_","_","_","_","_"
"MAY 1968","_","_","_","_","_","_",12.60,"_","_","_","_","_","_","_","_","_","_"
"JUN 1968","_","_","_","_","_","_",2.63,"_","_","_","_","_","_","_","_","_","_"
"JUL 1968","_","_","_","_","_","_",25.86,"_","_","_","_","_","_","_","_","_","_"
"AGO 1968","_","_","_","_","_","_",29.45,"_","_","_","_","_","_","_","_","_","_"
"SEP 1968","_","_","_","_","_","_",0.54,"_","_","_","_","_","_","_","_","_","_"
"OCT 1968","_","_","_","_","_","_",21.60,"_","_","_","_","_","_","_","_","_","_"
"NOV 1968","_","_","_","_","_","_",8.47,"_","_","_","_","_","_","_","_","_","_"
"DIC 1968","_","_","_","_","_","_",4.09,"_","_","_","_","_","_","_","_","_","_"
"ENE 1969","_","_","_","_","_","_",34.92,"_","_","_","_","_","_","_","_","_","_"
"FEB 1969","_","_","_","_","_","_",21.28,"_","_","_","_","_","_","_","_","_","_"
"MAR 1969","_","_","_","_","_","_",29.70,"_","_","_","_","_","_","_","_","_","_"
"ABR 1969","_","_","_","_","_","_",17.60,"_","_","_","_","_","_","_","_","_","_"
"MAY 1969","_","_","_","_","_","_",28.58,"_","_","_","_","_","_","_","_","_","_"
"JUN 1969","_","_","_","_","_","_",36.51,"_","_","_","_","_","_","_","_","_","_"
"JUL 1969","_","_","_","_","_","_",19.38,"_","_","_","_","_","_","_","_","_","_"
"AGO 1969","_","_","_","_","_","_",28.74,"_","_","_","_","_","_","_","_","_","_"
"SEP 1969","_","_","_","_","_","_",8.41,"_","_","_","_","_","_","_","_","_","_"
"OCT 1969","_","_","_","_","_","_",21.52,"_","_","_","_","_","_","_","_","_","_"
"NOV 1969","_","_","_","_","_","_",8.26,"_","_","_","_","_","_","_","_","_","_"
"DIC 1969","_","_","_","_","_","_",9.28,"_","_","_","_","_","_","_","_","_","_"
"ENE 1970","_","_","_","_","_","_",10.77,"_","_","_","_","_","_","_","_","_","_"
"FEB 1970","_","_","_","_","_","_",35.34,"_","_","_","_","_","_","_","_","_","_"
"MAR 1970","_","_","_","_","_","_",11.02,"_","_","_","_","_","_","_","_","_","_"
"ABR 1970","_","_","_","_","_","_",28.80,"_","_","_","_","_","_","_","_","_","_"
"MAY 1970","_","_","_","_","_","_",-1.05,"_","_","_","_","_","_","_","_","_","_"
"JUN 1970","_","_","_","_","_","_",1.00,"_","_","_","_","_","_","_","_","_","_"
"JUL 1970","_","_","_","_","_","_",6.41,"_","_","_","_","_","_","_","_","_","_"
"AGO 1970","_","_","_","_","_","_",11.49,"_","_","_","_","_","_","_","_","_","_"
"SEP 1970","_","_","_","_","_","_",10.70,"_","_","_","_","_","_","_","_","_","_"
"OCT 1970","_","_","_","_","_","_",-16.14,"_","_","_","_","_","_","_","_","_","_"
"NOV 1970","_","_","_","_","_","_",-11.94,"_","_","_","_","_","_","_","_","_","_"
"DIC 1970","_","_","_","_","_","_",-12.00,"_","_","_","_","_","_","_","_","_","_"
"ENE 1971","_","_","_","_","_","_",-3.83,"_","_","_","_","_","_","_","_","_","_"
"FEB 1971","_","_","_","_","_","_",-8.76,"_","_","_","_","_","_","_","_","_","_"
"MAR 1971","_","_","_","_","_","_",8.78,"_","_","_","_","_","_","_","_","_","_"
"ABR 1971","_","_","_","_","_","_",-2.17,"_","_","_","_","_","_","_","_","_","_"
"MAY 1971","_","_","_","_","_","_",12.27,"_","_","_","_","_","_","_","_","_","_"
"JUN 1971","_","_","_","_","_","_",17.22,"_","_","_","_","_","_","_","_","_","_"
"JUL 1971","_","_","_","_","_","_",12.66,"_","_","_","_","_","_","_","_","_","_"
"AGO 1971","_","_","_","_","_","_",4.75,"_","_","_","_","_","_","_","_","_","_"
"SEP 1971","_","_","_","_","_","_",10.53,"_","_","_","_","_","_","_","_","_","_"
"OCT 1971","_","_","_","_","_","_",10.68,"_","_","_","_","_","_","_","_","_","_"
"NOV 1971","_","_","_","_","_","_",28.20,"_","_","_","_","_","_","_","_","_","_"
"DIC 1971","_","_","_","_","_","_",20.30,"_","_","_","_","_","_","_","_","_","_"
"ENE 1972","_","_","_","_","_","_",10.86,"_","_","_","_","_","_","_","_","_","_"
"FEB 1972","_","_","_","_","_","_",13.21,"_","_","_","_","_","_","_","_","_","_"
"MAR 1972","_","_","_","_","_","_",16.50,"_","_","_","_","_","_","_","_","_","_"
"ABR 1972","_","_","_","_","_","_",1.20,"_","_","_","_","_","_","_","_","_","_"
"MAY 1972","_","_","_","_","_","_",8.26,"_","_","_","_","_","_","_","_","_","_"
"JUN 1972","_","_","_","_","_","_",10.36,"_","_","_","_","_","_","_","_","_","_"
"JUL 1972","_","_","_","_","_","_",8.83,"_","_","_","_","_","_","_","_","_","_"
"AGO 1972","_","_","_","_","_","_",13.54,"_","_","_","_","_","_","_","_","_","_"
"SEP 1972","_","_","_","_","_","_",26.50,"_","_","_","_","_","_","_","_","_","_"
"OCT 1972","_","_","_","_","_","_",30.13,"_","_","_","_","_","_","_","_","_","_"
"NOV 1972","_","_","_","_","_","_",30.52,"_","_","_","_","_","_","_","_","_","_"
"DIC 1972","_","_","_","_","_","_",49.23,"_","_","_","_","_","_","_","_","_","_"
"ENE 1973","_","_","_","_","_","_",59.28,"_","_","_","_","_","_","_","_","_","_"
"FEB 1973","_","_","_","_","_","_",16.98,"_","_","_","_","_","_","_","_","_","_"
"MAR 1973","_","_","_","_","_","_",14.49,"_","_","_","_","_","_","_","_","_","_"
"ABR 1973","_","_","_","_","_","_",22.85,"_","_","_","_","_","_","_","_","_","_"
"MAY 1973","_","_","_","_","_","_",12.20,"_","_","_","_","_","_","_","_","_","_"
"JUN 1973","_","_","_","_","_","_",7.54,"_","_","_","_","_","_","_","_","_","_"
"JUL 1973","_","_","_","_","_","_",4.59,"_","_","_","_","_","_","_","_","_","_"
"AGO 1973","_","_","_","_","_","_",-1.92,"_","_","_","_","_","_","_","_","_","_"
"SEP 1973","_","_","_","_","_","_",14.39,"_","_","_","_","_","_","_","_","_","_"
"OCT 1973","_","_","_","_","_","_",29.18,"_","_","_","_","_","_","_","_","_","_"
"NOV 1973","_","_","_","_","_","_",29.81,"_","_","_","_","_","_","_","_","_","_"
"DIC 1973","_","_","_","_","_","_",11.60,"_","_","_","_","_","_","_","_","_","_"
"ENE 1974","_","_","_","_","_","_",-6.20,"_","_","_","_","_","_","_","_","_","_"
"FEB 1974","_","_","_","_","_","_",6.06,"_","_","_","_","_","_","_","_","_","_"
"MAR 1974","_","_","_","_","_","_",3.59,"_","_","_","_","_","_","_","_","_","_"
"ABR 1974","_","_","_","_","_","_",-0.75,"_","_","_","_","_","_","_","_","_","_"
"MAY 1974","_","_","_","_","_","_",-1.34,"_","_","_","_","_","_","_","_","_","_"
"JUN 1974","_","_","_","_","_","_",2.54,"_","_","_","_","_","_","_","_","_","_"
"JUL 1974","_","_","_","_","_","_",17.36,"_","_","_","_","_","_","_","_","_","_"
"AGO 1974","_","_","_","_","_","_",12.01,"_","_","_","_","_","_","_","_","_","_"
"SEP 1974","_","_","_","_","_","_",-5.97,"_","_","_","_","_","_","_","_","_","_"
"OCT 1974","_","_","_","_","_","_",-19.15,"_","_","_","_","_","_","_","_","_","_"
"NOV 1974","_","_","_","_","_","_",-21.25,"_","_","_","_","_","_","_","_","_","_"
"DIC 1974","_","_","_","_","_","_",-19.70,"_","_","_","_","_","_","_","_","_","_"
"ENE 1975","_","_","_","_","_","_",-7.98,"_","_","_","_","_","_","_","_","_","_"
"FEB 1975","_","_","_","_","_","_",-0.92,"_","_","_","_","_","_","_","_","_","_"
"MAR 1975","_","_","_","_","_","_",-22.39,"_","_","_","_","_","_","_","_","_","_"
"ABR 1975","_","_","_","_","_","_",2.46,"_","_","_","_","_","_","_","_","_","_"
"MAY 1975","_","_","_","_","_","_",-11.46,"_","_","_","_","_","_","_","_","_","_"
"JUN 1975","_","_","_","_","_","_",-4.75,"_","_","_","_","_","_","_","_","_","_"
"JUL 1975","_","_","_","_","_","_",1.60,"_","_","_","_","_","_","_","_","_","_"
"AGO 1975","_","_","_","_","_","_",7.80,"_","_","_","_","_","_","_","_","_","_"
"SEP 1975","_","_","_","_","_","_",-10.90,"_","_","_","_","_","_","_","_","_","_"
"OCT 1975","_","_","_","_","_","_",14.42,"_","_","_","_","_","_","_","_","_","_"
"NOV 1975","_","_","_","_","_","_",12.91,"_","_","_","_","_","_","_","_","_","_"
"DIC 1975","_","_","_","_","_","_",24.21,"_","_","_","_","_","_","_","_","_","_"
"ENE 1976","_","_","_","_","_","_",13.23,"_","_","_","_","_","_","_","_","_","_"
"FEB 1976","_","_","_","_","_","_",-9.43,"_","_","_","_","_","_","_","_","_","_"
"MAR 1976","_","_","_","_","_","_",28.57,"_","_","_","_","_","_","_","_","_","_"
"ABR 1976","_","_","_","_","_","_",13.36,"_","_","_","_","_","_","_","_","_","_"
"MAY 1976","_","_","_","_","_","_",30.33,"_","_","_","_","_","_","_","_","_","_"
"JUN 1976","_","_","_","_","_","_",0.12,"_","_","_","_","_","_","_","_","_","_"
"JUL 1976","_","_","_","_","_","_",2.46,"_","_","_","_","_","_","_","_","_","_"
"AGO 1976","_","_","_","_","_","_",-25.45,"_","_","_","_","_","_","_","_","_","_"
"SEP 1976","_","_","_","_","_","_",19.81,"_","_","_","_","_","_","_","_","_","_"
"OCT 1976","_","_","_","_","_","_",5.44,"_","_","_","_","_","_","_","_","_","_"
"NOV 1976","_","_","_","_","_","_",9.92,"_","_","_","_","_","_","_","_","_","_"
"DIC 1976","_","_","_","_","_","_",13.71,"_","_","_","_","_","_","_","_","_","_"
"ENE 1977","_","_","_","_","_","_",0.43,"_","_","_","_","_","_","_","_","_","_"
"FEB 1977","_","_","_","_","_","_",38.49,"_","_","_","_","_","_","_","_","_","_"
"MAR 1977","_","_","_","_","_","_",15.77,"_","_","_","_","_","_","_","_","_","_"
"ABR 1977","_","_","_","_","_","_",2.04,"_","_","_","_","_","_","_","_","_","_"
"MAY 1977","_","_","_","_","_","_",14.11,"_","_","_","_","_","_","_","_","_","_"
"JUN 1977","_","_","_","_","_","_",21.82,"_","_","_","_","_","_","_","_","_","_"
"JUL 1977","_","_","_","_","_","_",2.95,"_","_","_","_","_","_","_","_","_","_"
"AGO 1977","_","_","_","_","_","_",23.83,"_","_","_","_","_","_","_","_","_","_"
"SEP 1977","_","_","_","_","_","_",8.37,"_","_","_","_","_","_","_","_","_","_"
"OCT 1977","_","_","_","_","_","_",-6.57,"_","_","_","_","_","_","_","_","_","_"
"NOV 1977","_","_","_","_","_","_",-6.13,"_","_","_","_","_","_","_","_","_","_"
"DIC 1977","_","_","_","_","_","_",-16.69,"_","_","_","_","_","_","_","_","_","_"
"ENE 1978","_","_","_","_","_","_",1.32,"_","_","_","_","_","_","_","_","_","_"
"FEB 1978","_","_","_","_","_","_",-13.95,"_","_","_","_","_","_","_","_","_","_"
"MAR 1978","_","_","_","_","_","_",0.58,"_","_","_","_","_","_","_","_","_","_"
"ABR 1978","_","_","_","_","_","_",22.25,"_","_","_","_","_","_","_","_","_","_"
"MAY 1978","_","_","_","_","_","_",-7.30,"_","_","_","_","_","_","_","_","_","_"
"JUN 1978","_","_","_","_","_","_",-7.53,"_","_","_","_","_","_","_","_","_","_"
"JUL 1978","_","_","_","_","_","_",-17.84,"_","_","_","_","_","_","_","_","_","_"
"AGO 1978","_","_","_","_","_","_",10.54,"_","_","_","_","_","_","_","_","_","_"
"SEP 1978","_","_","_","_","_","_",2.81,"_","_","_","_","_","_","_","_","_","_"
"OCT 1978","_","_","_","_","_","_",3.76,"_","_","_","_","_","_","_","_","_","_"
"NOV 1978","_","_","_","_","_","_",4.33,"_","_","_","_","_","_","_","_","_","_"
"DIC 1978","_","_","_","_","_","_",-6.38,"_","_","_","_","_","_","_","_","_","_"
"ENE 1979","_","_","_","_","_","_",17.26,"_","_","_","_","_","_","_","_","_","_"
"FEB 1979","_","_","_","_","_","_",-14.78,"_","_","_","_","_","_","_","_","_","_"
"MAR 1979","_","_","_","_","_","_",-19.23,"_","_","_","_","_","_","_","_","_","_"
"ABR 1979","_","_","_","_","_","_",-29.02,"_","_","_","_","_","_","_","_","_","_"
"MAY 1979","_","_","_","_","_","_",11.45,"_","_","_","_","_","_","_","_","_","_"
"JUN 1979","_","_","_","_","_","_",-4.83,"_","_","_","_","_","_","_","_","_","_"
"JUL 1979","_","_","_","_","_","_",1.87,"_","_","_","_","_","_","_","_","_","_"
"AGO 1979","_","_","_","_","_","_",5.84,"_","_","_","_","_","_","_","_","_","_"
"SEP 1979","_","_","_","_","_","_",-2.11,"_","_","_","_","_","_","_","_","_","_"
"OCT 1979","_","_","_","_","_","_",-13.24,"_","_","_","_","_","_","_","_","_","_"
"NOV 1979","_","_","_","_","_","_",14.79,"_","_","_","_","_","_","_","_","_","_"
"DIC 1979","_","_","_","_","_","_",-16.87,"_","_","_","_","_","_","_","_","_","_"
"ENE 1980","_","_","_","_","_","_",-36.16,"_","_","_","_","_","_","_","_","_","_"
"FEB 1980","_","_","_","_","_","_",4.07,"_","_","_","_","_","_","_","_","_","_"
"MAR 1980","_","_","_","_","_","_",-9.39,"_","_","_","_","_","_","_","_","_","_"
"ABR 1980","_","_","_","_","_","_",-8.05,"_","_","_","_","_","_","_","_","_","_"
"MAY 1980","_","_","_","_","_","_",-13.16,"_","_","_","_","_","_","_","_","_","_"
"JUN 1980","_","_","_","_","_","_",-20.72,"_","_","_","_","_","_","_","_","_","_"
"JUL 1980","_","_","_","_","_","_",-5.30,"_","_","_","_","_","_","_","_","_","_"
"AGO 1980","_","_","_","_","_","_",-19.06,"_","_","_","_","_","_","_","_","_","_"
"SEP 1980","_","_","_","_","_","_",-2.81,"_","_","_","_","_","_","_","_","_","_"
"OCT 1980","_","_","_","_","_","_",33.34,"_","_","_","_","_","_","_","_","_","_"
"NOV 1980","_","_","_","_","_","_",-16.00,"_","_","_","_","_","_","_","_","_","_"
"DIC 1980","_","_","_","_","_","_",27.97,"_","_","_","_","_","_","_","_","_","_"
"ENE 1981","_","_","_","_","_","_",4.21,"_","_","_","_","_","_","_","_","_","_"
"FEB 1981","_","_","_","_","_","_",-13.40,"_","_","_","_","_","_","_","_","_","_"
"MAR 1981","_","_","_","_","_","_",-19.79,"_","_","_","_","_","_","_","_","_","_"
"ABR 1981","_","_","_","_","_","_",0.13,"_","_","_","_","_","_","_","_","_","_"
"MAY 1981","_","_","_","_","_","_",-15.25,"_","_","_","_","_","_","_","_","_","_"
"JUN 1981","_","_","_","_","_","_",1.43,"_","_","_","_","_","_","_","_","_","_"
"JUL 1981","_","_","_","_","_","_",-6.05,"_","_","_","_","_","_","_","_","_","_"
"AGO 1981","_","_","_","_","_","_",-14.05,"_","_","_","_","_","_","_","_","_","_"
"SEP 1981","_","_","_","_","_","_",-24.16,"_","_","_","_","_","_","_","_","_","_"
"OCT 1981","_","_","_","_","_","_",-28.42,"_","_","_","_","_","_","_","_","_","_"
"NOV 1981","_","_","_","_","_","_",-20.70,"_","_","_","_","_","_","_","_","_","_"
"DIC 1981","_","_","_","_","_","_",1.89,"_","_","_","_","_","_","_","_","_","_"
"ENE 1982","_","_","_","_","_","_",6.00,"_","_","_","_","_","_","_","_","_","_"
"FEB 1982","_","_","_","_","_","_",10.10,"_","_","_","_","_","_","_","_","_","_"
"MAR 1982","_","_","_","_","_","_",31.77,"_","_","_","_","_","_","_","_","_","_"
"ABR 1982","_","_","_","_","_","_",-5.69,"_","_","_","_","_","_","_","_","_","_"
"MAY 1982","_","_","_","_","_","_",-7.49,"_","_","_","_","_","_","_","_","_","_"
"JUN 1982","_","_","_","_","_","_",4.30,"_","_","_","_","_","_","_","_","_","_"
"JUL 1982","_","_","_","_","_","_",9.34,"_","_","_","_","_","_","_","_","_","_"
"AGO 1982","_","_","_","_","_","_",0.66,"_","_","_","_","_","_","_","_","_","_"
"SEP 1982","_","_","_","_","_","_",-2.48,"_","_","_","_","_","_","_","_","_","_"
"OCT 1982","_","_","_","_","_","_",6.84,"_","_","_","_","_","_","_","_","_","_"
"NOV 1982","_","_","_","_","_","_",22.54,"_","_","_","_","_","_","_","_","_","_"
"DIC 1982","_","_","_","_","_","_",-1.28,"_","_","_","_","_","_","_","_","_","_"
"ENE 1983","_","_","_","_","_","_",16.07,"_","_","_","_","_","_","_","_","_","_"
"FEB 1983","_","_","_","_","_","_",-1.76,"_","_","_","_","_","_","_","_","_","_"
"MAR 1983","_","_","_","_","_","_",2.59,"_","_","_","_","_","_","_","_","_","_"
"ABR 1983","_","_","_","_","_","_",0.28,"_","_","_","_","_","_","_","_","_","_"
"MAY 1983","_","_","_","_","_","_",17.38,"_","_","_","_","_","_","_","_","_","_"
