"","IE_3_1.1","IE_3_1.2","IE_3_1.3","IE_3_1.4","IE_3_1.5","IE_3_1.6","IE_3_1.7","IE_3_1.8","IE_3_1.9","IE_3_1.10","IE_3_1.11","IE_3_1.12","IE_3_1.13","IE_3_1.14","IE_3_1.15","IE_3_1.16","IE_3_1.17"
"NÚMERO SECUENCIAL",805995,247703,247701,1832510,2644472,2644473,1625844,1625842,2650283,2231448,2231449,2231451,2231459,2231456,2231457,2231458,2650284
"DESCRIPCIÓN DE LA SERIE","Encuesta de opinión del consumidor. Índice de confianza.","Encuesta de opinión del consumidor. Situación económica general: tendencia prevista","Encuesta de opinión del consumidor. Situación económica de los hogares: tendencia prevista","Encuesta de opinión. Índice de confianza del comercio minorista","Encuestas de Opinión. Encuesta de consumo de Eurostat (DG ECFIN Business and Consumer Survey). Indicador de confianza del consumidor. Euro área (composición variable). Datos corregidos de efectos estacionales. ","Encuestas de Opinión. Encuesta de consumo de Eurostat (DG ECFIN Business and Consumer Survey). Indicador de confianza del comercio minorista. Euro área (composición variable). Datos corregidos de efectos estacionales. ","Matriculaciones ordinarias de turismos. Tasa de variación interanual","Ventas estimadas de automóviles. ANFAC. Tasa de variación interanual","Datos de matriculaciones de vehículos . Matriculación de vehículo nuevo. Turismo. Todas las clases de matrícula. Todos los origenes. Datos corregidos de efecto calendario. Euro Area (19). ","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos.","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos, excepto estaciones de servicio","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos, excepto estaciones de servicio.Comercio al por menor de productos alimenticios, bebidas y tabaco en establecimientos especializados.","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos, excepto estaciones de servicio. Grandes superficies.","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos, excepto estaciones de servicio. Grandes cadenas.","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos, excepto estaciones de servicio. Pequeñas cadenas.","Indices de Comercio al por Menor.Serie deflactada.Todos los establecimientos, excepto estaciones de servicio. Empresas unilocalizadas.","Indices de Comercio al por Menor. Índice de cifra de negocios. AÑO BASE 2010. Índice. Serie deflactada. Todos los establecimientos, excepto estaciones de servicio. Comercio al por menor, excepto vehículos de motor, motocicletas y combustible para la automoción en establecimientos especializados. Euro Area (19). Datos corregidos de efecto calendario. "
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje neto","Porcentaje neto","Porcentaje neto","Porcentaje neto","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Millones de Vehículos","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100","Base_2010 = 100"
"ENE 1961","_","_","_","_","_","_",50.65,"_","_","_","_","_","_","_","_","_","_"
"FEB 1961","_","_","_","_","_","_",20.96,"_","_","_","_","_","_","_","_","_","_"
"MAR 1961","_","_","_","_","_","_",45.15,"_","_","_","_","_","_","_","_","_","_"
"ABR 1961","_","_","_","_","_","_",-7.47,"_","_","_","_","_","_","_","_","_","_"
"MAY 1961","_","_","_","_","_","_",-24.82,"_","_","_","_","_","_","_","_","_","_"
"JUN 1961","_","_","_","_","_","_",10.76,"_","_","_","_","_","_","_","_","_","_"
"JUL 1961","_","_","_","_","_","_",46.83,"_","_","_","_","_","_","_","_","_","_"
"AGO 1961","_","_","_","_","_","_",65.63,"_","_","_","_","_","_","_","_","_","_"
"SEP 1961","_","_","_","_","_","_",91.59,"_","_","_","_","_","_","_","_","_","_"
"OCT 1961","_","_","_","_","_","_",91.40,"_","_","_","_","_","_","_","_","_","_"
"NOV 1961","_","_","_","_","_","_",84.87,"_","_","_","_","_","_","_","_","_","_"
"DIC 1961","_","_","_","_","_","_",52.06,"_","_","_","_","_","_","_","_","_","_"
"ENE 1962","_","_","_","_","_","_",45.10,"_","_","_","_","_","_","_","_","_","_"
"FEB 1962","_","_","_","_","_","_",26.89,"_","_","_","_","_","_","_","_","_","_"
"MAR 1962","_","_","_","_","_","_",23.92,"_","_","_","_","_","_","_","_","_","_"
"ABR 1962","_","_","_","_","_","_",31.86,"_","_","_","_","_","_","_","_","_","_"
"MAY 1962","_","_","_","_","_","_",58.00,"_","_","_","_","_","_","_","_","_","_"
"JUN 1962","_","_","_","_","_","_",53.47,"_","_","_","_","_","_","_","_","_","_"
"JUL 1962","_","_","_","_","_","_",8.48,"_","_","_","_","_","_","_","_","_","_"
"AGO 1962","_","_","_","_","_","_",-15.56,"_","_","_","_","_","_","_","_","_","_"
"SEP 1962","_","_","_","_","_","_",-5.56,"_","_","_","_","_","_","_","_","_","_"
"OCT 1962","_","_","_","_","_","_",16.67,"_","_","_","_","_","_","_","_","_","_"
"NOV 1962","_","_","_","_","_","_",20.58,"_","_","_","_","_","_","_","_","_","_"
"DIC 1962","_","_","_","_","_","_",4.49,"_","_","_","_","_","_","_","_","_","_"
"ENE 1963","_","_","_","_","_","_",9.27,"_","_","_","_","_","_","_","_","_","_"
"FEB 1963","_","_","_","_","_","_",14.03,"_","_","_","_","_","_","_","_","_","_"
"MAR 1963","_","_","_","_","_","_",8.50,"_","_","_","_","_","_","_","_","_","_"
"ABR 1963","_","_","_","_","_","_",28.90,"_","_","_","_","_","_","_","_","_","_"
"MAY 1963","_","_","_","_","_","_",5.10,"_","_","_","_","_","_","_","_","_","_"
"JUN 1963","_","_","_","_","_","_",3.55,"_","_","_","_","_","_","_","_","_","_"
"JUL 1963","_","_","_","_","_","_",14.31,"_","_","_","_","_","_","_","_","_","_"
"AGO 1963","_","_","_","_","_","_",-10.86,"_","_","_","_","_","_","_","_","_","_"
"SEP 1963","_","_","_","_","_","_",-4.76,"_","_","_","_","_","_","_","_","_","_"
"OCT 1963","_","_","_","_","_","_",10.40,"_","_","_","_","_","_","_","_","_","_"
"NOV 1963","_","_","_","_","_","_",6.17,"_","_","_","_","_","_","_","_","_","_"
"DIC 1963","_","_","_","_","_","_",27.55,"_","_","_","_","_","_","_","_","_","_"
"ENE 1964","_","_","_","_","_","_",5.33,"_","_","_","_","_","_","_","_","_","_"
"FEB 1964","_","_","_","_","_","_",24.34,"_","_","_","_","_","_","_","_","_","_"
"MAR 1964","_","_","_","_","_","_",30.68,"_","_","_","_","_","_","_","_","_","_"
"ABR 1964","_","_","_","_","_","_",25.01,"_","_","_","_","_","_","_","_","_","_"
"MAY 1964","_","_","_","_","_","_",21.74,"_","_","_","_","_","_","_","_","_","_"
"JUN 1964","_","_","_","_","_","_",62.77,"_","_","_","_","_","_","_","_","_","_"
"JUL 1964","_","_","_","_","_","_",46.85,"_","_","_","_","_","_","_","_","_","_"
"AGO 1964","_","_","_","_","_","_",63.47,"_","_","_","_","_","_","_","_","_","_"
"SEP 1964","_","_","_","_","_","_",80.45,"_","_","_","_","_","_","_","_","_","_"
"OCT 1964","_","_","_","_","_","_",39.88,"_","_","_","_","_","_","_","_","_","_"
"NOV 1964","_","_","_","_","_","_",48.34,"_","_","_","_","_","_","_","_","_","_"
"DIC 1964","_","_","_","_","_","_",48.16,"_","_","_","_","_","_","_","_","_","_"
"ENE 1965","_","_","_","_","_","_",20.93,"_","_","_","_","_","_","_","_","_","_"
"FEB 1965","_","_","_","_","_","_",26.88,"_","_","_","_","_","_","_","_","_","_"
"MAR 1965","_","_","_","_","_","_",35.20,"_","_","_","_","_","_","_","_","_","_"
"ABR 1965","_","_","_","_","_","_",23.77,"_","_","_","_","_","_","_","_","_","_"
