"","IE_4_6.1","IE_4_6.2","IE_4_6.3","IE_4_6.4","IE_4_6.5","IE_4_6.6","IE_4_6.7","IE_4_6.8","IE_4_6.9","IE_4_6.10","IE_4_6.11","IE_4_6.12","IE_4_6.13","IE_4_6.14","IE_4_6.15","IE_4_6.16","IE_4_6.17"
"NÚMERO SECUENCIAL",247814,438334,2339823,2339824,247937,1619322,1707902,1707903,1707904,1707905,2339829,2339830,247945,1707906,1707907,1707908,1707909
"DESCRIPCIÓN DE LA SERIE","Trabajadores afectados.Acumulados desde comienzo del año.Convenios según mes de inicio de efectos económicos","Incremento salarial.Acumulado desde comienzo del año.Convenios según mes de inicio de efectos económicos","Trabajadores afectados.Convenios según mes de registro y año de inicio de efectos economicos FIRMADOS antes del año de efectos económicos.DATOS ACUMULADOS.","Trabajadores.Convenios según mes de registro segun mes de registro y año de inicio de efectos economicos FIRMADOS en el año de efectos económicos.DATOS ACUMULADOS.","Trabajadores afectados por convenios.Acumulados desde comienzo del año.Convenios según mes de registro","Trabajadores afectados por convenios.Convenios según mes de registro.Variación interanual","Trabajadores afectados por convenios.Agricultura.CNAE-2009.Acumulados desde comienzo del año.Convenios según mes de registro.","Trabajadores afectados por convenios.Industria.CNAE-2009.Acumulados desde comienzo del año.Convenios según mes de registro.","Trabajadores afectados por convenios.Construcción. Acumulados desde comienzo del año.Convenios según mes de registro.","Trabajadores afectados por convenios.Servicios.CNAE-2009.Acumulados desde comienzo del año.Convenios según mes de registro.","Incremento salarial medio pactado.Convenios según mes de registro y año de inicio de efectos economicos FIRMADOS antes del año de efectos económicos.DATOS ACUMULADOS.","Incremento salarial medio pactado.Convenios según mes de registro y año de inicio de efectos economicos FIRMADOS en el año de efectos económicos.DATOS ACUMULADOS.","Incremento salarial medio pactado.Convenios según mes de registro.","Agricultura.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro.","Industria.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro.","Construcción.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro.","Servicios.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro."
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Personas","Porcentaje","Personas","Personas","Personas","Personas","Personas","Personas","Personas","Personas","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"JUL 2011",10517.026,1.99,"_","_",5003681,1232351,351023,1305743,918245,2428670,"_","_",2.65,2.53,3.04,1.52,2.89
"AGO 2011",10518.428,1.99,"_","_",5023588,967923,351023,1309337,918705,2444523,"_","_",2.65,2.53,3.04,1.52,2.88
"SEP 2011",10612.964,1.99,"_","_",5122099,-7495,352413,1373971,919400,2476315,"_","_",2.63,2.54,2.99,1.52,2.87
"OCT 2011",10657.848,1.99,"_","_",5507862,-694457,372413,1403878,931743,2799828,"_","_",2.60,2.51,2.99,1.52,2.78
"NOV 2011",10658.932,1.99,"_","_",6064056,-899984,412466,1693459,964033,2994098,"_","_",2.51,2.49,2.76,1.52,2.69
"DIC 2011",10662.783,1.98,"_","_",6267425,-825667,415086,1751937,1025653,3074749,"_","_",2.48,2.49,2.71,1.52,2.67
"ENE 2012",9438.719,1.01,"_","_",1240000,-132709,162141,586516,1702,489641,"_","_",2.44,2.45,2.54,2.50,2.32
"FEB 2012",9472.396,1.01,"_","_",1670733,-559144,164084,648448,1722,856479,"_","_",2.31,2.47,2.49,2.50,2.14
"MAR 2012",9504.996,1.01,"_","_",2104526,-675943,164084,677830,2152,1260460,"_","_",2.16,2.47,2.46,2.59,1.95
"ABR 2012",9822.694,1.00,"_","_",2230727,-794253,164159,699464,2198,1364906,"_","_",2.14,2.47,2.44,2.59,1.94
"MAY 2012",9830.012,1.01,"_","_",2705436,-1301148,241866,724314,2254,1737002,"_","_",1.78,2.15,1.99,2.54,1.63
"JUN 2012",9873.678,1.00,"_","_",2911062,-1808368,243435,746820,20860,1899947,"_","_",1.73,2.15,1.96,1.20,1.58
"JUL 2012",9917.638,1.00,"_","_",3256890,-1746791,243435,783745,82999,2146711,"_","_",1.56,2.15,1.73,1.05,1.44
"AGO 2012",9921.510,1.00,"_","_",3615142,-1408446,244035,881486,234099,2255522,"_","_",1.47,2.15,1.57,1.02,1.40
"SEP 2012",10029.562,1.00,"_","_",4443062,-679037,273465,1061864,270229,2837504,"_","_",1.30,2.09,1.44,1.04,1.19
"OCT 2012",10074.490,1.00,"_","_",4833549,-674313,294832,1099612,343461,3095644,"_","_",1.24,1.94,1.42,1.03,1.13
"NOV 2012",10075.451,1.00,"_","_",5793459,-270597,384102,1231551,380873,3796933,"_","_",1.29,1.62,1.42,1.04,1.24
"DIC 2012",10099.019,1.00,"_","_",6078424,-189001,391572,1323056,417086,3946710,"_","_",1.31,1.81,1.41,1.07,1.25
"ENE 2013",9440.635,0.52,"_","_",488609,-751391,45,35262,0,453302,"_","_",0.37,0.00,0.71,"_",0.34
"FEB 2013",9444.959,0.52,"_","_",800482,-870251,45,154027,3200,643210,"_","_",0.60,0.00,0.73,1.50,0.56
"MAR 2013",9451.400,0.52,"_","_",1152086,-952440,12434,410387,5539,723726,"_","_",0.55,2.83,0.31,1.37,0.64
"ABR 2013",9750.521,0.52,"_","_",1424445,-806282,29504,471017,8491,915433,"_","_",0.58,2.22,0.38,1.10,0.62
"MAY 2013",9758.312,0.52,"_","_",1705188,-1000248,45504,589165,65492,1005027,"_","_",0.63,1.44,0.48,0.67,0.68
"JUN 2013",9789.990,0.52,"_","_",2076131,-834931,53679,628461,108740,1285251,"_","_",0.65,1.30,0.51,0.64,0.70
"JUL 2013",10038.962,0.52,"_","_",2435211,-821679,89079,813503,149023,1383606,"_","_",0.65,0.98,0.54,0.60,0.69
"AGO 2013",10045.655,0.52,"_","_",3391648,-223494,147612,1112147,319944,1811945,"_","_",0.58,0.97,0.46,0.59,0.62
"SEP 2013",10138.967,0.52,"_","_",3719130,-723932,147612,1202529,333875,2035114,"_","_",0.56,0.97,0.47,0.59,0.58
"OCT 2013",10186.351,0.52,"_","_",4208757,-624792,189312,1286591,337728,2395126,"_","_",0.55,0.94,0.49,0.59,0.55
"NOV 2013",10193.921,0.52,"_","_",4579746,-1213713,229382,1319693,349161,2681510,"_","_",0.60,0.95,0.49,0.59,0.62
"DIC 2013",10265.401,0.52,"_","_",5040545,-1037879,229382,1411392,351187,3048584,"_","_",0.57,0.95,0.49,0.58,0.58
"ENE 2014",9388.442,0.48,953167,13061,966228,477619,36345,223495,83,706305,0.61,0.02,0.60,1.00,0.79,0.00,0.52
"FEB 2014",9395.398,0.48,1669071,29758,1698829,898347,175709,380151,3283,1139686,0.60,0.42,0.60,0.66,0.90,1.46,0.49
"MAR 2014",9404.090,0.48,2535829,172977,2708806,1556720,247657,908255,3545,1549349,0.55,0.53,0.55,0.72,0.61,1.43,0.49
"ABR 2014",9699.404,0.49,2748603,317960,3066563,1642118,264657,1015503,3565,1782838,0.56,0.61,0.56,0.74,0.62,1.42,0.51
"MAY 2014",9705.216,0.49,2951510,548810,3500320,1795132,306056,1192905,3614,1997745,0.55,0.49,0.54,0.70,0.58,1.41,0.49
"JUN 2014",9735.697,0.49,2980940,621822,3602762,1526631,308137,1231981,4033,2058611,0.55,0.52,0.54,0.70,0.59,1.31,0.49
"JUL 2014",9943.852,0.49,3009009,759122,3768131,1332920,310253,1237625,4091,2216162,0.54,0.59,0.55,0.70,0.59,1.29,0.51
"AGO 2014",9957.271,0.49,3037707,836121,3873828,482180,312351,1289500,4499,2267478,0.54,0.57,0.55,0.70,0.58,1.21,0.51
"SEP 2014",10094.242,0.50,3059989,1137277,4197266,478136,312651,1336332,4567,2543716,0.54,0.62,0.56,0.70,0.58,1.22,0.54
"OCT 2014",10179.938,0.50,3100215,1226857,4327072,118315,312651,1349687,7117,2657617,0.54,0.64,0.57,0.70,0.58,0.79,0.55
"NOV 2014",10189.751,0.50,3129606,1288525,4418131,-161615,312651,1369055,7139,2729286,0.54,0.64,0.57,0.70,0.59,0.79,0.55
"DIC 2014",10191.438,0.50,3171445,1584527,4755972,-284573,392807,1420517,15769,2926879,0.54,0.62,0.57,0.68,0.58,0.63,0.54
"ENE 2015",6699.161,0.80,1030519,4030,1034549,68321,40431,371113,25515,597490,0.63,0.51,0.63,0.99,0.59,0.50,0.64
"FEB 2015",6702.250,0.80,1611033,21294,1632327,-66502,241473,526694,25558,838602,0.67,0.61,0.67,0.80,0.68,0.50,0.64
"MAR 2015",6704.521,0.80,1976849,50456,2027305,-681501,241473,634025,25664,1126143,0.69,0.39,0.69,0.80,0.73,0.50,0.64
"ABR 2015",6813.085,0.80,2232420,180540,2412960,-653603,269503,642988,26045,1474424,0.70,0.82,0.71,0.81,0.73,0.50,0.69
"MAY 2015",6816.672,0.80,2487944,219615,2707559,-792761,276303,675343,175747,1580166,0.73,0.75,0.73,0.81,0.72,1.31,0.66
"JUN 2015",6855.461,0.80,2636909,292857,2929766,-672996,276333,709999,250363,1693071,0.73,0.77,0.73,0.81,0.73,1.10,0.67
"JUL 2015",6950.684,0.81,3150171,1052955,4203126,434995,336754,895881,321611,2648880,0.73,0.75,0.74,0.79,0.68,0.99,0.72
"AGO 2015",6952.052,0.81,3270558,1488753,4759311,885483,351025,1241032,459891,2707363,0.73,0.77,0.74,0.80,0.74,0.87,0.71
"SEP 2015",6996.681,0.81,3520973,1643322,5164295,967029,361039,1300539,491813,3010904,0.74,0.77,0.75,0.80,0.74,0.85,0.73
"OCT 2015",7043.458,0.81,3689134,1894511,5583645,1256573,440645,1462808,510983,3169209,0.74,0.79,0.75,0.83,0.75,0.84,0.73
"NOV 2015",7044.053,0.81,3816551,2036236,5852787,1434656,483295,1511125,571731,3286636,0.73,0.80,0.75,0.80,0.76,0.82,0.73
"DIC 2015",7044.125,0.81,3997630,2487199,6484829,1728857,492331,1830196,665793,3496509,0.71,0.79,0.74,0.80,0.76,0.79,0.71
"ENE 2016",3377.548,1.13,3107371,22778,3130149,2095600,154113,1172192,3090,1800754,1.08,1.49,1.08,0.91,1.14,0.59,1.06
"FEB 2016",3377.798,1.13,3525128,52268,3577396,1945069,166363,1281977,2144,2126912,1.13,1.16,1.13,0.91,1.11,0.85,1.16
