"","IE_4_2.1","IE_4_2.2","IE_4_2.3","IE_4_2.4","IE_4_2.5","IE_4_2.6","IE_4_2.7","IE_4_2.8","IE_4_2.9","IE_4_2.10","IE_4_2.11","IE_4_2.12","IE_4_2.13","IE_4_2.14","IE_4_2.15"
"NÚMERO SECUENCIAL",2355838,2355838,2355838,2358326,2358326,2358326,2356895,2356895,2356895,2357559,2357559,2357559,2357793,2665116,2746815
"DESCRIPCIÓN DE LA SERIE","EPA.Ocupados","EPA.Ocupados","EPA.Ocupados","EPA.Asalariados","EPA.Asalariados","EPA.Asalariados","EPA.No asalariados","EPA.No asalariados","EPA.No asalariados","EPA.Parados","EPA.Parados","EPA.Parados","EPA.Tasa de paro","Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Empleo. Ocupados. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición variable). Zona del Euro. Datos corregidos de efectos estacionales y de calendario","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Parados. Área Geográfica por Países:Euro área (composición variable). Tipo de Transformación:Tasa de paro. Datos corregidos de efectos estacionales. "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Porcentaje","Miles de Personas","Porcentaje"
"MAR 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.63
"JUN 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.09
"SEP 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.44
"DIC 1993","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.76
"MAR 1994","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.94
"JUN 1994","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.99
"SEP 1994","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.86
"DIC 1994","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.89
"MAR 1995","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.84
"JUN 1995","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.75
"SEP 1995","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.89
"DIC 1995","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.97
"MAR 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.95
"JUN 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_",11.02
"SEP 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_",11.00
"DIC 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.98
"MAR 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_",11.01
"JUN 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_",11.01
"SEP 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.85
"DIC 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.76
"MAR 1998","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.60
"JUN 1998","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.52
"SEP 1998","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.30
"DIC 1998","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.12
"MAR 1999","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.84
"JUN 1999","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.64
"SEP 1999","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.39
"DIC 1999","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.14
"MAR 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",129597,8.92
"JUN 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",130419,8.64
"SEP 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",131083,8.45
"DIC 2000","_","_","_","_","_","_","_","_","_","_","_","_","_",131608,8.22
"MAR 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",136301,8.08
"JUN 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",136558,8.04
"SEP 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",136888,8.03
"DIC 2001","_","_","_","_","_","_","_","_","_","_","_","_","_",137071,8.10
"MAR 2002",16482.3,16482.3,16482.3,13303.4,13303.4,13303.4,3178.8,3178.8,3178.8,2152.80,2152.80,2152.80,11.55,137474,8.18
"JUN 2002",16766.9,16766.9,16766.9,13585.1,13585.1,13585.1,3181.8,3181.8,3181.8,2103.30,2103.30,2103.30,11.15,137667,8.32
"SEP 2002",16919.3,16919.3,16919.3,13777.5,13777.5,13777.5,3141.8,3141.8,3141.8,2196.00,2196.00,2196.00,11.49,137862,8.48
"DIC 2002",16991.9,16991.9,16991.9,13869.6,13869.6,13869.6,3122.3,3122.3,3122.3,2232.40,2232.40,2232.40,11.61,137880,8.63
"MAR 2003",17092.7,17092.7,17092.7,13938.2,13938.2,13938.2,3154.5,3154.5,3154.5,2328.50,2328.50,2328.50,11.99,137983,8.80
"JUN 2003",17423.2,17423.2,17423.2,14252.0,14252.0,14252.0,3171.3,3171.3,3171.3,2216.00,2216.00,2216.00,11.28,138154,8.86
"SEP 2003",17646.0,17646.0,17646.0,14468.6,14468.6,14468.6,3177.4,3177.4,3177.4,2247.50,2247.50,2247.50,11.30,138285,8.85
"DIC 2003",17740.5,17740.5,17740.5,14546.4,14546.4,14546.4,3194.0,3194.0,3194.0,2276.70,2276.70,2276.70,11.37,138613,8.92
"MAR 2004",17770.2,17770.2,17770.2,14535.6,14535.6,14535.6,3234.6,3234.6,3234.6,2309.80,2309.80,2309.80,11.50,138847,9.07
"JUN 2004",18018.9,18018.9,18018.9,14751.9,14751.9,14751.9,3267.0,3267.0,3267.0,2247.60,2247.60,2247.60,11.09,139231,9.06
"SEP 2004",18289.1,18289.1,18289.1,15020.3,15020.3,15020.3,3268.8,3268.8,3268.8,2199.80,2199.80,2199.80,10.74,139584,9.06
"DIC 2004",18490.8,18490.8,18490.8,15211.6,15211.6,15211.6,3279.3,3279.3,3279.3,2176.90,2176.90,2176.90,10.53,139876,9.09
"MAR 2005",18736.1,18736.1,18736.1,15211.3,15211.3,15211.3,3524.7,3524.7,3524.7,2121.30,2121.30,2121.30,10.17,140162,9.03
"JUN 2005",19160.6,19160.6,19160.6,15689.7,15689.7,15689.7,3470.8,3470.8,3470.8,1969.10,1969.10,1969.10,9.32,140562,9.07
"SEP 2005",19422.1,19422.1,19422.1,15969.3,15969.3,15969.3,3452.8,3452.8,3452.8,1783.50,1783.50,1783.50,8.41,141023,8.99
"DIC 2005",19509.2,19509.2,19509.2,16025.2,16025.2,16025.2,3484.0,3484.0,3484.0,1860.30,1860.30,1860.30,8.71,141557,8.89
"MAR 2006",19578.4,19578.4,19578.4,16068.5,16068.5,16068.5,3509.9,3509.9,3509.9,1942.80,1942.80,1942.80,9.03,142200,8.70
"JUN 2006",19891.6,19891.6,19891.6,16300.2,16300.2,16300.2,3591.4,3591.4,3591.4,1834.40,1834.40,1834.40,8.44,142975,8.44
"SEP 2006",20091.0,20091.0,20091.0,16548.7,16548.7,16548.7,3542.2,3542.2,3542.2,1766.90,1766.90,1766.90,8.08,143641,8.24
"DIC 2006",20195.4,20195.4,20195.4,16644.9,16644.9,16644.9,3550.5,3550.5,3550.5,1819.40,1819.40,1819.40,8.26,144294,8.02
"MAR 2007",20267.5,20267.5,20267.5,16701.3,16701.3,16701.3,3566.3,3566.3,3566.3,1863.20,1863.20,1863.20,8.42,145985,7.74
"JUN 2007",20580.9,20580.9,20580.9,16981.4,16981.4,16981.4,3599.5,3599.5,3599.5,1773.20,1773.20,1773.20,7.93,146616,7.52
"SEP 2007",20753.4,20753.4,20753.4,17094.6,17094.6,17094.6,3658.8,3658.8,3658.8,1806.20,1806.20,1806.20,8.01,147275,7.49
"DIC 2007",20717.9,20717.9,20717.9,17095.0,17095.0,17095.0,3622.9,3622.9,3622.9,1942.00,1942.00,1942.00,8.57,147809,7.35
"MAR 2008",20620.0,20620.0,20620.0,17010.1,17010.1,17010.1,3609.9,3609.9,3609.9,2190.50,2190.50,2190.50,9.60,148968,7.24
"JUN 2008",20646.9,20646.9,20646.9,17037.5,17037.5,17037.5,3609.4,3609.4,3609.4,2385.70,2385.70,2385.70,10.36,148923,7.44
"SEP 2008",20556.4,20556.4,20556.4,16920.1,16920.1,16920.1,3636.3,3636.3,3636.3,2600.70,2600.70,2600.70,11.23,148737,7.62
"DIC 2008",20055.3,20055.3,20055.3,16477.2,16477.2,16477.2,3578.0,3578.0,3578.0,3206.80,3206.80,3206.80,13.79,148145,8.02
"MAR 2009",19284.4,19284.4,19284.4,16013.0,16013.0,16013.0,3271.4,3271.4,3271.4,4018.20,4018.20,4018.20,17.24,149423,8.93
"JUN 2009",19154.2,19154.2,19154.2,15923.1,15923.1,15923.1,3231.1,3231.1,3231.1,4139.60,4139.60,4139.60,17.77,148419,9.46
"SEP 2009",19098.4,19098.4,19098.4,15863.8,15863.8,15863.8,3234.7,3234.7,3234.7,4121.40,4121.40,4121.40,17.75,147919,9.77
"DIC 2009",18890.4,18890.4,18890.4,15724.6,15724.6,15724.6,3165.8,3165.8,3165.8,4335.00,4335.00,4335.00,18.66,147661,9.94
"MAR 2010",18652.9,18652.9,18652.9,15489.6,15489.6,15489.6,3163.3,3163.3,3163.3,4617.70,4617.70,4617.70,19.84,147675,10.01
"JUN 2010",18751.1,18751.1,18751.1,15619.9,15619.9,15619.9,3131.2,3131.2,3131.2,4655.30,4655.30,4655.30,19.89,147574,10.07
"SEP 2010",18819.0,18819.0,18819.0,15705.1,15705.1,15705.1,3113.9,3113.9,3113.9,4585.40,4585.40,4585.40,19.59,147609,10.04
"DIC 2010",18674.9,18674.9,18674.9,15554.7,15554.7,15554.7,3120.2,3120.2,3120.2,4702.20,4702.20,4702.20,20.11,147842,10.01
"MAR 2011",18426.2,18426.2,18426.2,15367.4,15367.4,15367.4,3058.8,3058.8,3058.8,4921.20,4921.20,4921.20,21.08,148481,9.90
"JUN 2011",18622.0,18622.0,18622.0,15579.5,15579.5,15579.5,3042.4,3042.4,3042.4,4844.20,4844.20,4844.20,20.64,148603,9.86
"SEP 2011",18484.5,18484.5,18484.5,15479.3,15479.3,15479.3,3005.1,3005.1,3005.1,4998.00,4998.00,4998.00,21.28,148366,10.17
"DIC 2011",18153.0,18153.0,18153.0,15150.5,15150.5,15150.5,3002.5,3002.5,3002.5,5287.30,5287.30,5287.30,22.56,148144,10.53
"MAR 2012",17765.1,17765.1,17765.1,14723.7,14723.7,14723.7,3041.4,3041.4,3041.4,5667.90,5667.90,5667.90,24.19,148075,10.84
"JUN 2012",17758.5,17758.5,17758.5,14720.3,14720.3,14720.3,3038.1,3038.1,3038.1,5731.00,5731.00,5731.00,24.40,147933,11.25
"SEP 2012",17667.7,17667.7,17667.7,14560.9,14560.9,14560.9,3106.8,3106.8,3106.8,5824.20,5824.20,5824.20,24.79,147612,11.47
"DIC 2012",17339.4,17339.4,17339.4,14288.7,14288.7,14288.7,3050.7,3050.7,3050.7,6021.00,6021.00,6021.00,25.77,147184,11.77
"MAR 2013",17030.2,17030.2,17030.2,13987.0,13987.0,13987.0,3043.2,3043.2,3043.2,6278.20,6278.20,6278.20,26.94,146687,12.03
"JUN 2013",17160.6,17160.6,17160.6,14072.2,14072.2,14072.2,3088.4,3088.4,3088.4,6047.30,6047.30,6047.30,26.06,146551,12.06
"SEP 2013",17230.0,17230.0,17230.0,14123.9,14123.9,14123.9,3106.2,3106.2,3106.2,5943.40,5943.40,5943.40,25.65,146573,12.03
"DIC 2013",17135.2,17135.2,17135.2,14093.4,14093.4,14093.4,3041.8,3041.8,3041.8,5935.60,5935.60,5935.60,25.73,146679,11.91
"MAR 2014",16950.6,16950.6,16950.6,13929.5,13929.5,13929.5,3021.1,3021.1,3021.1,5933.30,5933.30,5933.30,25.93,147789,11.82
"JUN 2014",17353.0,17353.0,17353.0,14317.5,14317.5,14317.5,3035.6,3035.6,3035.6,5622.90,5622.90,5622.90,24.47,148254,11.61
"SEP 2014",17504.0,17504.0,17504.0,14413.1,14413.1,14413.1,3090.9,3090.9,3090.9,5427.70,5427.70,5427.70,23.67,148542,11.59
"DIC 2014",17569.1,17569.1,17569.1,14483.1,14483.1,14483.1,3086.0,3086.0,3086.0,5457.70,5457.70,5457.70,23.70,148791,11.49
"MAR 2015",17454.8,17454.8,17454.8,14393.9,14393.9,14393.9,3060.9,3060.9,3060.9,5444.60,5444.60,5444.60,23.78,150451,11.20
"JUN 2015",17866.5,17866.5,17866.5,14762.3,14762.3,14762.3,3104.3,3104.3,3104.3,5149.00,5149.00,5149.00,22.37,151036,11.03
"SEP 2015",18048.7,18048.7,18048.7,14948.9,14948.9,14948.9,3099.8,3099.8,3099.8,4850.80,4850.80,4850.80,21.18,151464,10.74
"DIC 2015",18094.2,18094.2,18094.2,14988.8,14988.8,14988.8,3105.4,3105.4,3105.4,4779.50,4779.50,4779.50,20.90,"_",10.49
