"","IE_9_5.1","IE_9_5.2","IE_9_5.3","IE_9_5.4","IE_9_5.5","IE_9_5.6","IE_9_5.7","IE_9_5.8","IE_9_5.9","IE_9_5.10","IE_9_5.11","IE_9_5.12","IE_9_5.13","IE_9_5.14"
"NÚMERO SECUENCIAL",1869306,1869335,1869760,1869279,1869344,1869297,1869326,1869759,1869271,1869307,1869336,1869345,1869298,1869327
"DESCRIPCIÓN DE LA SERIE","Competitividad de España. IPP. Frente a paises desarrollados (UEM19)","Competitividad de España. IPC. Frente a paises desarrollados (UEM19)","Competitividad de España. Costes manufacturas. Frente a paises desarrollados (UEM19). Mensual","Competitividad de España. IPX. Frente a paises desarrollados (UEM19)","Índice de posición efectiva nominal de España. Frente a países desarrollados (UEM19)","Competitividad de España.IPP relativo. Frente a paises desarrollados (UEM19)","Competitividad de España.IPC relativo. Frente a paises desarrollados (UEM19)","Competitividad de España. Costes laborales relativos de manufacturas. Paises Desarrollados (UEM19). Mensual","Competitividad de España.IPX relativo. Frente a paises desarrollados (UEM19)","Competitividad de España. IPP. Frente a Países Industrializados (UEM19)","Competitividad de España. IPC. Frente a Países Industrializados (UEM19)","Índice de posición efectiva nominal de España. Frente a Países Industrializados (UEM19)","Competitividad de España. IPP relativo. Frente a Países Industrializados (UEM19)","Competitividad de España. IPC relativo. Frente a Países Industrializados (UEM19)"
"DESCRIPCIÓN DE LAS UNIDADES","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100"
"MAR 1996","_","_",104.02,"_","_","_","_",97.44,"_","_","_","_","_","_"
"ABR 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1996","_","_",106.83,"_","_","_","_",101.22,"_","_","_","_","_","_"
"JUL 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1996","_","_",108.14,"_","_","_","_",103.16,"_","_","_","_","_","_"
