"","IE_7_5.1","IE_7_5.2","IE_7_5.3","IE_7_5.4","IE_7_5.5","IE_7_5.6","IE_7_5.7","IE_7_5.8","IE_7_5.9","IE_7_5.10","IE_7_5.11","IE_7_5.12","IE_7_5.13","IE_7_5.14","IE_7_5.15"
"NÚMERO SECUENCIAL",2588743,2588758,2588753,2588750,2588751,2588754,2594040,2588752,2588746,2588757,2588755,2588747,2588756,2588749,2588748
"DESCRIPCIÓN DE LA SERIE","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Total. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Unión Europea (28 países). Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Zona Euro - EU19 (composición fija). Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Alemania (series antiguas: República Federal Alemana). Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Francia. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Italia. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. UE28, excluyendo UEM19. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Reino Unido. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Organización para la Cooperación y el Desarrollo Económico (OCDE). Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Estados Unidos de América. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Japón. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Organización de Países Exportadores de Petróleo (OPEP). Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. Resto América (excepto México, Canadá y EEUU). Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. China. Total. ","Series Comercio Exterior de España (DXE). Saldos (exportaciones - importaciones). Datos provisionales públicos. Importe. España. NIC asiáticos. Total. "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"ENE 1987",-456664.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1987",-941342.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1987",-965998.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1987",-1035003.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1987",-725120.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1987",-830193.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1987",-1117466.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
