"","IE_7_5.1","IE_7_5.2","IE_7_5.3","IE_7_5.4","IE_7_5.5","IE_7_5.6","IE_7_5.7","IE_7_5.8","IE_7_5.9","IE_7_5.10","IE_7_5.11","IE_7_5.12","IE_7_5.13","IE_7_5.14","IE_7_5.15"
"AGO 1987",-793217.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1987",-994584.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1987",-1540315.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1987",-843959.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1987",-779991.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1988",-802749.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1988",-918055.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1988",-1140661.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1988",-1213642.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1988",-1070258.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1988",-1265335.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1988",-990114.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1988",-1338948.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1988",-1238836.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1988",-1504547.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1988",-1190810.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1988",-1468702.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1989",-1082978.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1989",-1451039.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1989",-1943690.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1989",-1620035.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1989",-1785247.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1989",-1785361.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1989",-1563537.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1989",-1645002.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1989",-1782153.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1989",-1775389.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1989",-1700433.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1989",-1469156.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1990",-1591777.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1990",-1821273.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1990",-1776300.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1990",-1828517.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1990",-1630990.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1990",-1983170.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1990",-1553383.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1990",-1301346.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1990",-1482769.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1990",-2014894.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1990",-1556384.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1990",-1124012.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1991",-1944143.000,-665152.030,-484859.375,-196184.106,-88897.016,-135514.850,-180292.654,-107125.423,-1270824.648,-238441.437,-177741.364,-452448.420,-50682.905,-26164.302,-93624.905
"FEB 1991",-1218817.000,-465144.644,-343021.951,-221155.263,-53621.701,-46405.454,-122122.692,-80351.226,-926752.883,-164993.950,-137510.433,-191430.777,-31714.467,-31498.815,-65328.207
"MAR 1991",-1390338.000,-633238.767,-456862.811,-321197.818,-71519.052,-30067.323,-176375.956,-114573.188,-1101372.185,-239411.635,-161988.810,-181570.164,-47142.808,-35973.104,-69276.314
"ABR 1991",-2084508.000,-951210.593,-779144.650,-314902.980,-185545.098,-201364.671,-172065.944,-110197.879,-1678475.102,-342783.628,-238966.152,-244647.606,-40766.742,-40412.544,-87164.480
"MAY 1991",-1702335.000,-743675.527,-545347.973,-276423.491,-72452.528,-150967.168,-198327.554,-118347.781,-1320169.685,-232841.751,-199461.656,-144616.125,-60899.145,-44782.774,-84876.457
"JUN 1991",-1737975.000,-668240.113,-503705.001,-245624.162,-104388.599,-88035.756,-164535.112,-73094.366,-1303586.302,-308435.183,-197290.888,-183837.940,-85030.454,-36974.115,-78184.332
"JUL 1991",-2072153.000,-1042755.563,-856408.992,-408535.511,-123402.589,-180560.075,-186346.572,-116993.447,-1623699.817,-277526.323,-181234.771,-227828.393,-56837.378,-39255.443,-91701.448
"AGO 1991",-1530633.000,-637817.229,-507924.967,-198165.197,-133346.434,-106752.127,-129892.263,-93597.027,-993478.160,-130584.707,-134542.303,-196377.235,-75705.594,-52799.368,-53107.538
"SEP 1991",-1809995.000,-675180.597,-493988.161,-344469.303,-52959.094,-63659.961,-181192.436,-148729.612,-1257284.849,-261578.506,-185176.131,-226413.915,-39920.002,-55728.468,-93468.294
"OCT 1991",-1924773.000,-978882.377,-743514.714,-335281.720,-152224.864,-156724.886,-235367.663,-182327.025,-1502530.745,-122828.789,-244558.266,-262698.073,-67079.567,-63966.343,-92427.305
"NOV 1991",-1743716.000,-874016.176,-631505.640,-288072.848,-122264.475,-224625.208,-242510.536,-171828.996,-1435006.133,-229318.284,-229095.999,-153000.674,-14330.033,-43281.766,-97317.225
"DIC 1991",-1554368.000,-734095.139,-488279.631,-221390.456,-62203.322,-164792.208,-245815.508,-173252.815,-1203219.916,-224464.546,-222711.992,-173572.486,-15984.253,-35270.622,-11281.788
"ENE 1992",-1914383.000,-772531.260,-628883.879,-260620.714,-214103.525,-107443.972,-143647.381,-63840.694,-1405781.229,-302649.809,-182700.761,-233568.632,-50691.131,-58826.399,-81415.171
"FEB 1992",-1433036.000,-663313.810,-542201.574,-296473.009,-54104.257,-205978.837,-121112.235,-52973.686,-1134172.084,-184626.609,-200468.081,-113009.515,-44554.113,-56875.876,-92312.396
"MAR 1992",-2220409.000,-1159475.905,-907892.196,-414125.106,-183818.811,-233474.683,-251583.709,-162170.215,-1859564.785,-319036.125,-241476.585,-160064.742,-59312.109,-62678.595,-101596.931
"ABR 1992",-2059456.000,-930327.432,-767098.192,-329943.714,-170566.319,-200501.900,-163229.240,-90607.108,-1685818.706,-340582.956,-259174.388,-145333.143,-42369.342,-63961.762,-92266.799
"MAY 1992",-2003885.000,-903315.399,-702287.082,-371897.299,-162134.349,-103829.661,-201028.316,-158472.463,-1516878.711,-231970.568,-236855.665,-179866.491,-63660.239,-74345.737,-103498.749
"JUN 1992",-1891527.000,-938792.281,-731449.701,-314375.313,-185721.617,-142105.114,-207342.579,-116081.238,-1469740.089,-245859.356,-216430.435,-154372.516,-60420.229,-57328.099,-91009.382
"JUL 1992",-2211642.000,-1337598.264,-1052190.553,-435753.832,-240629.314,-226742.669,-285407.711,-191368.044,-1907804.395,-181406.021,-232461.480,-133496.985,44437.777,-65460.297,-86256.791
"AGO 1992",-1709241.000,-835759.868,-680813.398,-291789.563,-184218.360,-150536.902,-154946.469,-99165.749,-1249477.646,-136761.628,-130891.270,-122279.866,-56113.560,-65452.265,-81694.500
"SEP 1992",-1707994.000,-779859.925,-552442.939,-391625.429,-58652.439,-36475.213,-227416.986,-151181.428,-1237017.312,-119241.734,-203611.255,-83255.056,-77574.000,-94380.046,-99909.601
"OCT 1992",-1624105.000,-653104.673,-513666.115,-293720.166,-116604.618,-115230.474,-139438.558,-82966.574,-1215593.145,-197566.697,-206512.176,-187338.878,6727.218,-90432.721,-71315.598
"NOV 1992",-1344841.000,-378311.550,-220382.000,-145240.907,-25807.573,-83717.149,-157929.551,-122053.198,-962513.619,-220872.357,-195675.772,-115467.031,2628.504,-84857.890,-79052.276
"DIC 1992",-1511987.000,-577852.006,-380484.365,-283622.753,-111847.992,-98673.232,-197367.641,-147358.417,-983496.667,-161904.633,-182002.349,-236611.391,-2548.517,-53933.501,-71591.616
"ENE 1993",-997475.000,-180580.066,-108604.055,-62907.894,-110869.314,28060.592,-71976.011,-50189.030,-612170.026,-150506.022,-177724.338,-153987.490,26896.487,-65727.910,-73651.617
"FEB 1993",-900544.000,-187043.865,-94454.890,-21163.288,-124449.669,-20395.916,-92588.976,-73847.272,-523564.538,-148640.668,-143341.150,-156165.516,68314.829,-57687.288,-30217.936
"MAR 1993",-1320849.000,-514986.461,-411013.631,-238391.401,-108195.674,-32175.527,-103972.830,-76758.058,-1064166.465,-257482.358,-188795.477,-160150.256,12432.488,-50829.871,-51774.354
"ABR 1993",-1414723.000,-468707.203,-361132.486,-252814.373,-134168.081,-52205.262,-107574.718,-75836.627,-950755.706,-245222.229,-165662.072,-128462.909,-6090.543,-42562.648,-45775.190
"MAY 1993",-1048977.000,-566205.113,-496421.957,-232742.005,-65395.703,-66836.128,-69783.156,-21700.842,-926969.428,-129578.132,-198495.329,-117609.563,-53763.547,-31783.040,-58449.200
"JUN 1993",-1354550.000,-488901.818,-374658.381,-255232.467,-98199.210,-23089.098,-114243.437,-74868.252,-966974.082,-183024.783,-188997.684,-151787.975,33454.243,-35437.732,-36423.201
"JUL 1993",-1025067.000,-504540.256,-535250.276,-256230.119,-129861.028,-99414.415,30710.020,9158.102,-812554.466,-168884.749,-149287.604,-152385.241,12766.084,-39475.432,-8858.629
"AGO 1993",-1114395.000,-441416.558,-452387.707,-146943.516,-159306.253,-100993.418,10971.148,47810.233,-665289.302,-153750.189,-87736.336,-88589.648,-67245.512,-41261.804,-10769.783
"SEP 1993",-1473936.000,-666776.966,-553914.713,-226975.494,-174686.298,-97237.921,-112862.253,-77628.049,-1125749.913,-160369.137,-196501.361,-96642.934,-48757.761,-75632.332,-45913.671
"OCT 1993",-1220248.000,-815916.291,-675073.275,-333416.159,-150809.731,-203502.209,-140843.016,-96163.840,-1015635.839,-77297.557,-176836.309,-277788.763,6782.696,-41576.983,-23185.982
"NOV 1993",-891693.000,-669421.026,-553116.758,-269213.800,-161164.717,-134597.023,-116304.268,-102310.624,-1008836.349,-147277.558,-199560.555,-81699.339,6316.427,-41833.975,-25782.233
"DIC 1993",-1520044.000,-372639.261,-247247.546,-176515.402,-57015.728,-160783.660,-125391.715,-144765.056,-1004032.855,-241214.687,-156649.621,-207007.764,41067.154,-8488.248,-8070.942
"ENE 1994",-539047.000,212708.140,260848.379,-31781.425,-47631.123,-18612.606,-48140.239,-10340.382,-131212.628,-233409.579,-125190.908,-159054.890,9912.062,-68851.086,-18606.378
"FEB 1994",-818083.000,-187796.389,-111573.839,-144690.500,-81014.129,-4463.986,-76222.550,-35094.444,-387382.004,-142992.821,-152901.309,-237648.910,22235.320,-37377.854,-2486.900
"MAR 1994",-981304.000,-410311.475,-284082.106,-170205.392,-142359.826,-67956.180,-126229.369,-93152.219,-748568.137,-247134.363,-146849.765,-230291.829,70867.337,-61427.598,19655.144
"ABR 1994",-1643116.000,-649948.309,-499892.844,-255694.737,-97677.818,-178044.764,-150055.465,-116161.570,-1207230.181,-273488.751,-193516.385,-254108.038,-13539.560,-41651.207,-27407.359
"MAY 1994",-1404469.000,-332007.227,-215883.285,-186081.992,9116.156,-21130.408,-116123.943,-59767.806,-802805.595,-218347.647,-193248.464,-220064.396,-51968.229,-101301.033,-40530.885
"JUN 1994",-1389640.000,-706005.760,-614013.537,-293871.098,-127563.173,-132218.112,-91992.224,-44620.299,-1049654.588,-237646.026,-116641.879,-132208.427,-11040.972,-36626.817,84761.746
"JUL 1994",-1171910.000,-644369.668,-581176.896,-264695.770,-84081.353,-189277.342,-63192.772,-32944.443,-815789.940,-67910.728,-133301.077,-146361.100,13028.807,-45310.288,-14481.414
"AGO 1994",-1310183.000,-562236.174,-469956.698,-171917.588,-123427.886,-137750.716,-92279.476,-39357.671,-800146.343,-58309.706,-125973.346,-177444.741,-42489.398,-94336.121,-16457.006
"SEP 1994",-1894746.000,-844530.852,-595424.644,-340469.915,-147197.580,-106516.124,-249106.208,-171840.709,-1364502.907,-314678.118,-174688.983,-140803.434,-9124.872,-114167.340,-27774.416
"OCT 1994",-1350507.000,-627755.663,-388933.202,-201949.332,-140110.332,-68773.164,-238822.462,-158337.852,-907489.542,-136357.310,-142214.123,-209890.691,12201.839,-51470.428,-5722.684
"NOV 1994",-1410710.000,-513927.028,-328348.326,-216169.141,-35843.390,-150699.213,-185578.702,-139014.470,-1006647.688,-278479.944,-179900.918,-199926.589,40982.843,-70374.447,-29973.621
"DIC 1994",-1426481.000,-476889.685,-326219.072,-203084.641,-89597.735,-135619.821,-150670.613,-85023.740,-1002567.828,-308010.289,-161702.081,-193674.882,9587.384,-60041.929,-24370.556
"ENE 1995",-927755.000,-147420.040,-76299.635,-117542.820,-28155.767,-64766.523,-71120.405,-45501.755,-579229.579,-202700.080,-139243.621,-244890.789,67182.391,-113565.406,-53609.837
"FEB 1995",-1070607.000,-391506.544,-243578.986,-237622.081,-38695.086,-96552.086,-147927.559,-113813.606,-840680.638,-215441.538,-119562.706,-182102.248,38724.934,-77562.897,-29528.321
"MAR 1995",-1508563.000,-684414.291,-452367.157,-252575.288,-111500.632,-171762.609,-232047.135,-204823.059,-1192391.510,-261359.462,-203010.039,-223067.579,228529.660,-70616.193,-42572.171
"ABR 1995",-1474295.000,-497990.178,-351854.113,-245293.357,-55783.202,-113142.550,-146136.065,-105386.808,-1089074.762,-316831.011,-165661.922,-199262.791,57253.117,-76104.593,-16171.626
"MAY 1995",-2066095.000,-596952.357,-403246.351,-223765.967,-46434.212,-153922.673,-193706.005,-114971.870,-1254123.886,-296877.094,-207819.461,-229527.175,24179.560,-93926.888,-43726.793
"JUN 1995",-1492328.000,-744188.445,-593802.990,-349478.548,-52089.817,-139287.246,-150385.455,-89525.569,-1121911.849,-263023.159,-136553.536,-167075.810,33153.940,-80601.938,-2795.377
"JUL 1995",-1425853.000,-586637.733,-496117.891,-234509.735,-33076.930,-205322.014,-90519.843,-31673.644,-996492.089,-130080.555,-184006.459,-198316.336,-2785.538,-65353.686,7431.594
"AGO 1995",-1736801.000,-790281.446,-625667.089,-257487.566,-145163.218,-134107.365,-164614.357,-106523.914,-1166408.073,-148964.397,-114339.164,-114058.818,-57461.408,-125937.604,-20194.206
"SEP 1995",-1726161.000,-728915.287,-472908.099,-269980.525,-55201.921,-98389.291,-256007.188,-178787.690,-1163032.694,-213343.903,-156241.012,-273802.718,-32545.034,-134957.303,-23696.456
"OCT 1995",-1636539.000,-735324.973,-513388.212,-236412.942,-103329.549,-178298.663,-221936.761,-159803.010,-1283699.135,-246137.041,-168105.192,-227469.430,27093.845,-52865.324,-22893.720
"NOV 1995",-1298673.000,-303201.122,-130003.491,-81509.521,72840.752,-174641.790,-173197.632,-122243.368,-671125.933,-172809.878,-186623.368,-232583.812,55723.168,-87976.006,-25863.872
"DIC 1995",-1036685.000,-612505.524,-471086.070,-184156.098,-66852.202,-230441.549,-141419.455,-99503.017,-992611.063,-193980.372,-111769.231,-236407.450,101181.255,-97501.829,-42306.152
"ENE 1996",-1041417.000,99812.055,94515.810,-18559.771,-22366.655,-49750.498,5296.245,23089.048,-511180.352,-313391.950,-157524.262,-223825.279,-2359.734,-114460.137,-42062.764
"FEB 1996",-1428849.000,-246248.338,-171371.508,-154620.581,-11300.309,-129415.648,-74876.830,-60785.126,-825132.031,-356877.253,-105832.338,-294589.941,58193.280,-134951.898,-18055.749
"MAR 1996",-1162092.000,-257267.084,-173017.989,-159861.422,-92338.514,-152110.835,-84249.095,-63344.420,-745427.184,-267097.910,-164962.131,-211640.399,11468.573,-94326.886,-7405.219
"ABR 1996",-1474125.000,-702874.573,-436038.099,-102021.268,-189942.440,-238154.949,-266836.474,-208451.525,-1115659.896,-231040.085,-135507.330,-229530.094,128249.630,-84523.380,-25174.336
"MAY 1996",-1618647.000,-524926.401,-392897.692,-262923.162,-73630.388,-202158.045,-132028.709,-91922.596,-1086021.421,-321360.394,-145443.051,-325507.847,46839.213,-130036.735,-21136.462
"JUN 1996",-1292068.000,-501631.224,-377600.572,-265649.891,19059.246,-176094.375,-124030.652,-68152.592,-868878.445,-206973.264,-123073.879,-240510.523,23139.938,-97129.945,12668.363
"JUL 1996",-1335353.000,-655727.894,-624566.655,-410989.937,64040.308,-257278.047,-31161.239,-31689.054,-1078799.075,-200783.978,-155888.846,-193089.185,107007.418,-119207.645,25982.634
"AGO 1996",-1081364.000,-364978.118,-306453.187,-163149.213,-84304.009,-161251.401,-58524.931,-40936.149,-655181.297,-124030.156,-100310.112,-318136.520,64004.010,-118526.530,13814.061
"SEP 1996",-1809295.000,-915334.103,-615547.987,-321226.664,-167900.537,-196966.967,-299786.117,-205513.992,-1320942.572,-170397.984,-166816.648,-210678.200,-1091.918,-157306.207,-17757.445
"OCT 1996",-997845.000,-504689.811,-321365.687,-157363.007,-189043.445,-111532.935,-183324.123,-139967.505,-779487.870,-139983.204,-136349.129,-406741.562,314799.278,-146372.695,-1937.619
"NOV 1996",-842080.000,-237584.804,-107238.232,-134944.300,-49868.658,-157845.784,-130346.572,-163976.448,-504865.275,-136014.012,-158504.965,-318119.005,145001.713,-103018.752,-18735.174
"DIC 1996",-970362.000,-617015.637,-517927.998,-286524.094,-126682.469,-222439.615,-99087.639,-24409.314,-890876.792,-138641.311,-139527.057,-289220.414,159515.853,-116561.955,-8287.428
"ENE 1997",-655413.000,276124.654,226331.873,-53323.436,-55753.902,45308.345,49792.781,26060.648,-101990.605,-200640.795,-122295.690,-368569.699,92205.716,-161353.840,-57184.297
"FEB 1997",-1464322.000,-541363.400,-489696.045,-355295.278,-220067.698,-100161.911,-51667.355,-30663.639,-1056333.085,-309023.950,-105902.091,-348971.928,107668.071,-142346.487,-34526.453
"MAR 1997",-713252.000,-199803.149,-103900.673,-117515.542,-163358.531,-84411.524,-95902.475,-120536.219,-688268.870,-334723.927,-129847.599,-275806.050,158549.017,-124299.793,-34181.265
"ABR 1997",-1674848.000,-519568.095,-357474.670,-420456.264,-110996.134,-64908.608,-162093.424,-161214.234,-1121677.285,-379827.726,-188839.387,-337184.584,83141.242,-178770.220,-50224.101
"MAY 1997",-1235458.000,-288546.532,-174137.608,-263188.827,-125383.345,-2101.159,-114408.924,-128660.797,-731534.489,-130571.668,-192515.503,-175876.559,-36418.242,-169740.693,-22732.160
"JUN 1997",-1458319.000,-500999.067,-451633.352,-347844.174,-136716.254,-90969.260,-49365.714,-34933.532,-905316.621,-240396.735,-149306.271,-390117.031,69543.445,-150727.465,-2647.467
"JUL 1997",-1263833.000,-495004.083,-593602.317,-408476.660,-108378.858,-225181.863,98598.234,76863.546,-752101.445,-139952.726,-181208.009,-298656.046,-12806.020,-176899.259,27146.035
"AGO 1997",-1415558.000,-503404.291,-428536.464,-363328.966,-55770.065,-148123.105,-74867.827,-91402.910,-755611.719,-79687.497,-123077.997,-387131.404,26235.217,-193475.209,21713.015
"SEP 1997",-1874578.000,-689261.725,-415394.275,-245598.729,-275108.527,-68999.375,-273867.450,-300090.114,-1002603.963,-138831.837,-202832.600,-432975.074,7887.269,-281568.259,-20086.889
"OCT 1997",-1391509.000,-721211.723,-538676.293,-349481.928,-384820.492,-122774.580,-182535.430,-223410.346,-1293893.232,-293550.856,-207673.698,-419885.783,256307.644,-232082.695,9309.240
"NOV 1997",-1135508.000,-345176.262,-277989.535,-331630.749,-216918.181,-77024.089,-67186.727,-128245.832,-784927.719,-245760.883,-234547.362,-334368.931,224415.180,-157770.295,-9235.678
"DIC 1997",-1619521.000,-800228.627,-623880.366,-412289.003,-175297.515,-265549.069,-176348.260,-216403.920,-1311359.704,-251750.724,-179450.734,-324108.845,160506.281,-150859.995,-54672.158
"ENE 1998",-1210080.000,5583.884,-45228.058,-153499.432,-147401.718,-13072.583,50811.942,-7653.446,-618472.512,-304853.633,-204128.079,-296731.157,117771.943,-221841.861,-100125.555
"FEB 1998",-1327557.000,-227803.346,-299293.751,-269924.116,-184049.688,-111385.604,71490.405,-11764.240,-698589.268,-296151.417,-164259.910,-336447.293,127821.665,-180777.826,-210369.827
"MAR 1998",-1911105.000,-655571.805,-604501.254,-340340.456,-178909.234,-199900.517,-51070.551,-79183.788,-1384695.599,-494295.326,-221833.681,-252469.716,145037.291,-186761.617,-141590.872
"ABR 1998",-958658.000,-303967.404,-353151.009,-355110.008,-136186.595,-85099.310,49183.604,-17292.069,-726735.830,-237309.674,-241677.364,-89470.882,146867.293,-173147.426,-97700.391
"MAY 1998",-1615306.000,-444462.864,-523908.017,-385962.896,-136784.409,-130802.789,79445.153,27305.544,-937457.341,-189076.465,-262046.682,-236944.452,69074.162,-193372.051,-125480.818
"JUN 1998",-1752990.000,-740909.180,-720239.171,-517729.310,-112987.575,-213839.755,-20670.009,-674.195,-1281465.478,-184342.792,-246767.242,-193233.007,118061.067,-165455.924,-130348.192
"JUL 1998",-1340947.000,-652163.645,-715309.855,-433814.966,-149856.972,-265895.704,63146.209,31579.546,-1033996.495,-113570.065,-236440.240,-165751.318,140008.490,-203013.636,-152439.806
"AGO 1998",-2120410.000,-1036797.967,-936366.163,-544653.465,-168649.720,-211990.615,-100431.803,-72961.037,-1509174.676,-118426.072,-194633.251,-221051.250,65881.039,-229015.017,-153124.129
"SEP 1998",-2745178.000,-1405453.287,-1216970.898,-575779.790,-322360.059,-347333.598,-188482.389,-153327.528,-2012723.535,-285391.825,-220030.822,-183577.625,38315.909,-272387.537,-149295.806
"OCT 1998",-1666137.000,-876586.927,-757386.674,-408879.592,-263172.225,-239128.220,-119200.253,-136248.138,-1263254.041,-161456.543,-231219.379,-182610.028,176837.668,-252058.222,-125032.348
"NOV 1998",-2451438.000,-1325694.952,-1177458.513,-488884.758,-370811.952,-317754.529,-148236.439,-95306.686,-1956237.950,-283485.939,-278232.573,-175151.480,107465.135,-219660.415,-159912.479
"DIC 1998",-2226585.000,-1252729.042,-1077960.508,-561387.810,-392704.038,-352740.041,-174768.534,-130599.920,-1817175.904,-193494.906,-244661.060,-168522.774,137704.268,-191676.971,-152088.209
"ENE 1999",-1785001.000,-417587.230,-436263.015,-398557.711,-196545.703,-116370.561,18675.784,46507.061,-1193980.905,-269106.830,-255553.031,-149188.774,27856.159,-233151.421,-172069.909
"FEB 1999",-1714948.000,-649047.106,-588934.102,-420560.826,-214992.702,-185350.673,-60113.004,-1744.562,-1196818.030,-216010.128,-233392.067,-164730.446,81548.057,-215558.381,-145157.915
"MAR 1999",-2357159.000,-1092164.619,-964783.054,-485360.506,-460665.697,-195117.321,-127381.565,-95338.640,-1837276.997,-324118.218,-268903.954,-142584.593,79218.839,-204792.110,-139829.575
"ABR 1999",-2469200.000,-1145443.334,-989405.651,-570735.921,-341094.047,-259557.938,-156037.682,-167302.460,-1699934.860,-172049.744,-288232.474,-266798.665,-13600.870,-199692.809,-149823.201
"MAY 1999",-2955051.000,-1460129.919,-1136873.078,-660655.840,-402103.555,-186869.510,-323256.841,-208952.669,-2274120.609,-404353.880,-264827.677,-156648.389,-1168.599,-231788.668,-156369.407
"JUN 1999",-2430820.000,-1337221.605,-1061906.294,-773105.289,-142229.976,-231175.865,-275315.311,-113948.082,-1774483.033,-177172.428,-292248.722,-211340.694,-13450.955,-255230.442,-156695.574
"JUL 1999",-2639360.000,-1512662.660,-1438685.654,-782875.077,-422562.026,-353254.306,-73977.006,-49408.245,-2027597.827,-157411.672,-289727.413,-184211.116,75213.665,-287347.427,-184436.456
"AGO 1999",-2805783.000,-1445958.406,-1256176.750,-584444.415,-305697.032,-256141.536,-189781.656,-188758.984,-1901209.530,-101331.908,-229173.463,-281801.371,49940.335,-310388.385,-140255.050
