"","IE_9_3.1","IE_9_3.2","IE_9_3.3","IE_9_3.4","IE_9_3.5","IE_9_3.6","IE_9_3.7","IE_9_3.8","IE_9_3.9","IE_9_3.10","IE_9_3.11","IE_9_3.12","IE_9_3.13","IE_9_3.14","IE_9_3.15","IE_9_3.16"
"SEP 2003",4.189,4.531,3.460,6.757,3.818,4.352,3.378,1.124,1.101,0.412,1.868,2.044,1.197,0.680,1.981,2.019
"OCT 2003",4.167,4.449,3.485,6.462,3.861,4.406,3.393,1.111,1.083,0.399,1.840,2.034,1.206,0.682,1.977,2.003
"NOV 2003",4.130,4.429,3.458,6.413,3.804,4.374,3.329,1.116,1.087,0.392,1.880,1.965,1.209,0.687,2.033,1.973
"DIC 2003",4.094,4.409,3.455,6.397,3.754,4.253,3.401,1.133,1.110,0.388,1.934,2.051,1.203,0.662,2.014,1.977
"ENE 2004",4.139,4.506,3.534,6.548,3.743,4.321,3.289,1.149,1.140,0.390,1.989,1.931,1.181,0.682,1.979,1.946
"FEB 2004",4.077,4.397,3.511,6.265,3.730,4.219,3.267,1.148,1.138,0.391,1.988,1.959,1.178,0.662,2.017,1.987
"MAR 2004",3.952,4.286,3.387,6.203,3.589,4.174,3.128,1.121,1.113,0.393,1.933,1.999,1.146,0.655,1.910,1.994
"ABR 2004",3.983,4.299,3.311,6.403,3.638,4.141,3.136,1.131,1.119,0.391,1.948,2.012,1.171,0.648,1.990,1.957
"MAY 2004",3.901,4.164,3.250,6.128,3.614,4.179,3.126,1.111,1.095,0.378,1.924,1.941,1.163,0.660,1.963,1.961
"JUN 2004",3.855,4.179,3.288,6.040,3.503,4.154,3.094,1.117,1.109,0.366,2.003,2.056,1.141,0.642,2.005,1.985
"JUL 2004",3.876,4.244,3.383,6.071,3.483,4.142,3.032,1.131,1.124,0.369,2.036,2.066,1.155,0.659,1.978,1.991
"AGO 2004",3.970,4.438,3.464,6.542,3.463,4.206,2.880,1.150,1.139,0.378,2.035,1.996,1.185,0.675,1.968,1.995
"SEP 2004",3.984,4.423,3.454,6.543,3.508,4.132,2.992,1.135,1.125,0.385,2.009,1.985,1.167,0.671,1.995,2.004
"OCT 2004",3.949,4.344,3.446,6.343,3.526,4.155,2.953,1.191,1.164,0.387,2.084,2.006,1.279,0.705,2.282,2.030
"NOV 2004",3.951,4.356,3.479,6.294,3.510,4.130,2.943,1.185,1.160,0.385,2.079,2.025,1.263,0.691,2.233,2.041
"DIC 2004",3.868,4.268,3.392,6.269,3.438,4.115,3.009,1.170,1.149,0.386,2.059,2.106,1.235,0.683,2.056,2.028
"ENE 2005",3.941,4.361,3.427,6.532,3.488,4.206,2.895,1.161,1.139,0.391,2.021,2.038,1.235,0.728,2.054,2.093
"FEB 2005",3.825,4.158,3.440,5.846,3.468,4.088,2.907,1.161,1.150,0.397,2.040,2.091,1.196,0.698,2.034,2.049
"MAR 2005",3.885,4.262,3.421,6.258,3.483,4.039,2.976,1.146,1.131,0.389,2.025,2.056,1.195,0.701,2.032,1.999
"ABR 2005",3.889,4.231,3.405,6.185,3.526,4.034,3.015,1.147,1.129,0.386,2.021,2.079,1.206,0.721,2.023,2.027
"MAY 2005",3.894,4.256,3.418,6.248,3.508,4.062,2.991,1.138,1.120,0.382,2.016,2.084,1.194,0.728,1.972,2.013
"JUN 2005",3.779,4.123,3.352,5.991,3.402,4.001,2.994,1.131,1.126,0.404,2.042,2.083,1.147,0.667,2.008,2.014
"JUL 2005",3.744,4.060,3.289,5.987,3.402,3.952,2.990,1.120,1.107,0.399,2.003,2.071,1.161,0.710,2.023,2.011
"AGO 2005",3.838,4.163,3.287,6.378,3.479,4.009,2.919,1.163,1.143,0.401,2.053,2.090,1.229,0.727,2.113,2.017
"SEP 2005",3.791,4.137,3.283,6.322,3.412,3.880,2.967,1.151,1.132,0.402,2.042,2.107,1.208,0.725,2.052,2.041
"OCT 2005",3.800,4.138,3.313,6.271,3.431,3.913,2.976,1.153,1.140,0.393,2.068,2.008,1.196,0.726,2.032,2.007
"NOV 2005",3.844,4.116,3.352,6.068,3.545,3.926,3.161,1.197,1.177,0.396,2.156,1.981,1.256,0.761,2.158,2.007
"DIC 2005",3.927,4.239,3.461,6.297,3.588,4.041,3.258,1.256,1.232,0.407,2.267,2.250,1.327,0.815,2.218,2.223
"ENE 2006",4.105,4.459,3.665,6.592,3.720,4.266,3.275,1.310,1.285,0.424,2.341,2.215,1.385,0.877,2.250,2.265
"FEB 2006",4.139,4.467,3.781,6.327,3.786,4.276,3.374,1.314,1.291,0.440,2.319,2.243,1.385,0.873,2.326,2.274
"MAR 2006",4.231,4.523,3.843,6.383,3.917,4.352,3.559,1.391,1.375,0.447,2.488,2.485,1.439,0.889,2.457,2.465
"ABR 2006",4.335,4.681,3.931,6.726,3.968,4.456,3.563,1.412,1.389,0.449,2.514,2.506,1.484,0.914,2.517,2.519
"MAY 2006",4.420,4.813,4.099,6.769,4.002,4.535,3.578,1.435,1.419,0.440,2.577,2.452,1.483,0.919,2.508,2.479
"JUN 2006",4.522,4.904,4.194,6.809,4.115,4.595,3.779,1.467,1.428,0.433,2.632,2.607,1.583,0.948,2.808,2.648
"JUL 2006",4.607,4.986,4.287,6.901,4.212,4.717,3.865,1.568,1.540,0.455,2.827,2.695,1.651,1.027,2.812,2.778
"AGO 2006",4.816,5.215,4.408,7.445,4.396,4.861,3.993,1.644,1.605,0.474,2.896,2.849,1.758,1.098,2.877,2.888
"SEP 2006",4.843,5.294,4.516,7.441,4.378,4.908,4.032,1.651,1.623,0.489,2.931,2.869,1.732,1.070,2.905,2.978
"OCT 2006",4.975,5.364,4.629,7.398,4.579,5.075,4.220,1.759,1.706,0.509,3.037,3.071,1.917,1.190,3.180,3.188
"NOV 2006",5.008,5.414,4.709,7.342,4.596,5.149,4.283,1.798,1.748,0.509,3.097,3.155,1.945,1.220,3.216,3.266
"DIC 2006",5.099,5.430,4.736,7.355,4.767,5.198,4.557,1.852,1.793,0.518,3.199,3.277,2.018,1.273,3.367,3.477
"ENE 2007",5.220,5.562,4.846,7.566,4.880,5.376,4.581,1.959,1.891,0.566,3.251,3.392,2.160,1.408,3.462,3.542
"FEB 2007",5.291,5.611,4.919,7.559,4.974,5.399,4.687,2.003,1.947,0.583,3.322,3.409,2.167,1.430,3.428,3.532
"MAR 2007",5.376,5.651,4.981,7.540,5.104,5.471,4.870,2.104,2.054,0.596,3.514,3.595,2.251,1.472,3.561,3.704
"ABR 2007",5.425,5.751,5.046,7.749,5.106,5.531,4.806,2.175,2.125,0.599,3.604,3.616,2.324,1.513,3.660,3.782
"MAY 2007",5.480,5.802,5.108,7.779,5.165,5.600,4.893,2.187,2.122,0.606,3.587,3.681,2.377,1.557,3.727,3.777
"JUN 2007",5.594,5.911,5.201,7.914,5.286,5.695,5.052,2.227,2.149,0.600,3.698,3.813,2.448,1.482,3.985,3.965
"JUL 2007",5.629,5.977,5.317,7.883,5.296,5.759,5.035,2.321,2.256,0.627,3.824,3.798,2.517,1.558,4.015,4.036
"AGO 2007",5.851,6.183,5.430,8.361,5.533,5.919,5.217,2.420,2.355,0.670,3.908,3.761,2.616,1.646,4.076,3.985
"SEP 2007",5.999,6.262,5.492,8.504,5.751,6.137,5.466,2.545,2.495,0.689,4.153,3.832,2.691,1.673,4.328,4.019
"OCT 2007",5.966,6.263,5.570,8.271,5.683,6.214,5.271,2.679,2.638,0.708,4.313,3.808,2.804,1.820,4.244,3.968
"NOV 2007",6.034,6.338,5.592,8.449,5.744,6.219,5.335,2.693,2.649,0.707,4.290,3.811,2.824,1.866,4.223,4.017
"DIC 2007",6.027,6.267,5.530,8.382,5.803,6.324,5.504,2.774,2.723,0.701,4.411,3.717,2.923,1.941,4.418,3.925
"ENE 2008",5.992,6.368,5.565,8.685,5.639,6.235,5.228,2.874,2.839,0.722,4.518,3.768,2.981,1.960,4.429,3.945
"FEB 2008",5.981,6.345,5.591,8.532,5.640,6.130,5.235,2.893,2.872,0.740,4.512,3.805,2.958,1.968,4.266,4.024
"MAR 2008",5.944,6.239,5.431,8.590,5.670,6.173,5.279,2.827,2.775,0.761,4.309,3.840,2.986,1.917,4.358,4.045
"ABR 2008",6.004,6.198,5.378,8.580,5.823,6.351,5.423,2.957,2.901,0.765,4.466,3.820,3.132,1.968,4.554,4.016
"MAY 2008",6.130,6.387,5.549,8.816,5.889,6.453,5.498,2.968,2.922,0.776,4.497,3.841,3.113,1.971,4.514,4.056
"JUN 2008",6.170,6.532,5.717,8.820,5.831,6.495,5.504,3.038,2.986,0.753,4.637,3.883,3.200,2.042,4.588,4.070
"JUL 2008",6.364,6.696,5.940,8.855,6.056,6.637,5.714,3.156,3.114,0.778,4.788,4.044,3.292,2.086,4.710,4.235
"AGO 2008",6.546,7.066,6.178,9.623,6.063,6.675,5.737,3.186,3.139,0.793,4.775,4.084,3.336,2.202,4.646,4.340
"SEP 2008",6.565,7.059,6.209,9.521,6.107,6.697,5.697,3.224,3.206,0.802,4.838,4.072,3.279,2.129,4.705,4.214
"OCT 2008",6.562,7.025,6.206,9.390,6.135,6.968,5.664,3.349,3.352,0.773,5.041,3.343,3.340,2.247,4.665,3.422
"NOV 2008",6.309,7.005,6.179,9.351,5.664,6.558,5.113,3.013,3.061,0.733,4.595,2.719,2.858,1.997,3.981,2.878
"DIC 2008",5.703,6.605,5.834,8.834,4.873,5.907,4.417,2.722,2.791,0.688,4.182,2.205,2.504,1.773,3.471,2.290
"ENE 2009",5.017,5.939,4.971,8.766,4.171,5.403,3.596,2.250,2.333,0.614,3.470,1.563,1.973,1.394,2.748,1.585
"FEB 2009",4.504,5.270,4.355,7.970,3.805,5.055,3.153,2.011,2.108,0.596,3.116,1.136,1.691,1.267,2.296,1.179
"MAR 2009",4.190,4.852,3.913,7.632,3.590,4.839,2.973,1.774,1.875,0.554,2.763,0.888,1.444,1.009,2.028,0.941
"ABR 2009",3.872,4.633,3.554,7.818,3.182,4.693,2.559,1.580,1.659,0.493,2.461,0.735,1.315,0.868,1.897,0.756
"MAY 2009",3.837,4.507,3.356,7.900,3.229,4.625,2.575,1.492,1.579,0.463,2.382,0.645,1.209,0.794,1.767,0.698
"JUN 2009",3.745,4.316,3.165,7.623,3.216,4.689,2.666,1.412,1.517,0.422,2.345,0.665,1.065,0.647,1.604,0.696
"JUL 2009",3.646,4.255,3.071,7.716,3.083,4.557,2.479,1.403,1.524,0.405,2.367,0.354,0.998,0.623,1.505,0.326
"AGO 2009",3.558,4.299,2.989,8.156,2.867,4.443,2.260,1.365,1.503,0.421,2.313,0.351,0.914,0.636,1.308,0.276
"SEP 2009",3.551,4.135,2.819,8.006,3.007,4.602,2.266,1.252,1.369,0.365,2.135,0.368,0.876,0.540,1.335,0.319
"OCT 2009",3.437,3.994,2.775,7.589,2.915,4.496,2.212,1.265,1.386,0.350,2.194,0.343,0.865,0.543,1.301,0.275
"NOV 2009",3.393,3.906,2.698,7.397,2.908,4.386,2.259,1.310,1.424,0.399,2.218,0.325,0.938,0.583,1.424,0.347
"DIC 2009",3.320,3.714,2.620,6.963,2.949,4.244,2.465,1.283,1.394,0.360,2.213,0.327,0.923,0.546,1.437,0.412
"ENE 2010",3.317,3.873,2.601,7.676,2.791,4.361,2.079,1.242,1.355,0.311,2.176,0.294,0.872,0.531,1.343,0.274
"FEB 2010",3.289,3.842,2.670,7.367,2.765,4.293,2.064,1.183,1.275,0.309,2.039,0.299,0.876,0.544,1.329,0.308
"MAR 2010",3.267,3.700,2.598,7.040,2.857,4.209,2.266,1.295,1.370,0.307,2.191,0.334,1.049,0.574,1.676,0.249
"ABR 2010",3.220,3.659,2.551,7.000,2.802,4.223,2.115,1.360,1.446,0.290,2.342,0.325,1.076,0.591,1.701,0.339
"MAY 2010",3.163,3.613,2.498,6.979,2.734,4.334,2.074,1.297,1.366,0.270,2.209,0.386,1.075,0.565,1.739,0.402
"JUN 2010",3.149,3.305,2.391,5.990,2.999,4.079,2.507,1.373,1.479,0.281,2.427,0.567,1.037,0.526,1.709,0.484
"JUL 2010",3.216,3.455,2.529,6.247,2.988,4.192,2.479,1.506,1.578,0.288,2.574,0.616,1.275,0.577,2.119,0.540
"AGO 2010",3.324,3.632,2.603,6.731,3.027,4.229,2.464,1.464,1.553,0.297,2.498,0.430,1.182,0.551,1.973,0.432
"SEP 2010",3.306,3.652,2.661,6.688,2.977,4.219,2.352,1.610,1.696,0.299,2.727,0.424,1.333,0.537,2.266,0.453
"OCT 2010",3.488,3.690,2.704,6.697,3.294,4.373,2.663,1.625,1.713,0.286,2.753,0.680,1.339,0.559,2.192,0.691
"NOV 2010",3.383,3.663,2.721,6.466,3.114,4.409,2.472,1.653,1.757,0.287,2.817,0.652,1.314,0.579,2.138,0.616
"DIC 2010",3.399,3.564,2.663,6.347,3.240,4.397,2.726,1.598,1.695,0.274,2.741,1.208,1.286,0.683,1.976,0.789
"ENE 2011",3.639,3.925,2.921,7.043,3.364,4.582,2.791,1.594,1.672,0.288,2.663,1.179,1.331,0.579,2.140,0.773
"FEB 2011",3.867,4.049,3.074,7.085,3.690,4.808,3.097,1.569,1.651,0.289,2.611,1.294,1.295,0.572,2.097,0.708
"MAR 2011",3.893,4.090,3.151,7.043,3.701,4.896,3.057,1.600,1.688,0.303,2.683,0.807,1.318,0.594,2.122,0.742
"ABR 2011",4.086,4.225,3.315,7.130,3.952,5.007,3.368,1.640,1.717,0.302,2.734,1.245,1.381,0.625,2.225,1.029
"MAY 2011",4.066,4.336,3.459,7.127,3.803,5.083,3.124,1.707,1.785,0.311,2.834,1.161,1.447,0.652,2.323,1.008
"JUN 2011",3.965,4.283,3.527,6.641,3.650,5.092,3.082,1.723,1.807,0.296,2.912,1.232,1.447,0.644,2.338,1.181
"JUL 2011",4.186,4.420,3.581,7.097,3.957,5.233,3.294,1.651,1.720,0.300,2.749,1.226,1.411,0.637,2.273,1.130
"AGO 2011",4.257,4.555,3.678,7.379,3.961,5.177,3.361,1.568,1.642,0.330,2.572,1.116,1.315,0.653,2.045,0.978
"SEP 2011",4.232,4.538,3.668,7.343,3.929,5.193,3.270,1.652,1.730,0.300,2.743,1.144,1.381,0.633,2.198,1.099
"OCT 2011",4.335,4.624,3.747,7.469,4.049,5.339,3.306,1.640,1.719,0.299,2.719,1.218,1.358,0.663,2.099,1.199
"NOV 2011",4.233,4.562,3.719,7.224,3.907,5.355,3.155,1.647,1.735,0.294,2.771,1.158,1.332,0.631,2.127,1.188
"DIC 2011",4.268,4.511,3.661,7.286,4.025,5.386,3.512,1.633,1.721,0.278,2.787,0.864,1.319,0.614,2.132,1.004
"ENE 2012",4.203,4.752,3.802,7.865,3.653,5.517,2.958,1.615,1.726,0.270,2.775,0.514,1.204,0.599,1.906,0.490
"FEB 2012",4.303,4.721,3.817,7.701,3.884,5.416,3.139,1.570,1.663,0.264,2.661,0.485,1.230,0.601,1.942,0.500
"MAR 2012",4.172,4.589,3.738,7.409,3.754,5.487,2.960,1.493,1.582,0.278,2.526,0.392,1.165,0.565,1.883,0.515
"ABR 2012",4.248,4.435,3.531,7.481,4.060,5.824,3.209,1.403,1.489,0.271,2.370,0.580,1.071,0.536,1.684,0.596
"MAY 2012",4.273,4.392,3.471,7.465,4.154,5.561,3.601,1.328,1.409,0.260,2.260,0.644,1.023,0.512,1.688,0.480
"JUN 2012",4.083,4.257,3.397,7.040,3.907,5.580,3.355,1.336,1.410,0.262,2.312,0.772,1.056,0.520,1.794,0.640
"JUL 2012",4.032,4.261,3.344,7.320,3.798,5.701,2.981,1.396,1.482,0.244,2.442,0.723,1.044,0.489,1.767,0.576
"AGO 2012",4.014,4.334,3.311,7.756,3.685,5.809,2.736,1.408,1.501,0.245,2.473,0.752,1.042,0.463,1.814,0.479
"SEP 2012",3.868,4.169,3.180,7.499,3.560,5.506,2.569,1.593,1.721,0.257,2.843,1.138,1.087,0.440,1.934,0.951
"OCT 2012",3.894,4.136,3.182,7.341,3.643,5.606,2.710,1.606,1.698,0.248,2.771,1.115,1.230,0.429,2.258,0.718
"NOV 2012",3.834,3.986,3.061,6.998,3.674,5.585,2.735,1.639,1.763,0.218,2.906,1.292,1.142,0.399,2.107,0.511
"DIC 2012",3.762,3.855,2.926,6.982,3.657,5.350,2.982,1.602,1.725,0.206,2.832,1.390,1.131,0.368,2.075,1.317
"ENE 2013",3.997,4.145,3.160,7.478,3.829,5.666,2.935,1.391,1.468,0.198,2.373,0.634,1.093,0.378,1.951,0.894
"FEB 2013",4.079,4.223,3.264,7.494,3.909,5.648,3.100,1.164,1.223,0.213,1.945,0.377,0.939,0.387,1.631,0.379
"MAR 2013",4.007,4.171,3.224,7.422,3.813,5.569,2.938,1.128,1.186,0.213,1.898,0.358,0.913,0.341,1.629,0.621
"ABR 2013",4.158,4.186,3.203,7.551,4.124,5.865,3.105,1.161,1.207,0.201,1.940,0.317,0.988,0.385,1.754,0.377
"MAY 2013",4.219,4.228,3.177,7.815,4.208,5.779,3.277,1.165,1.222,0.207,1.968,0.246,0.954,0.409,1.673,0.221
"JUN 2013",3.911,4.155,3.165,7.468,3.615,5.489,2.848,1.023,1.065,0.184,1.749,0.268,0.864,0.415,1.459,0.434
"JUL 2013",4.145,4.220,3.186,7.778,4.053,5.618,3.143,1.053,1.088,0.175,1.780,0.275,0.916,0.380,1.577,0.366
"AGO 2013",4.136,4.326,3.267,7.981,3.903,5.400,2.874,1.012,1.060,0.177,1.727,0.198,0.831,0.395,1.384,0.323
"SEP 2013",3.883,4.221,3.196,7.774,3.470,5.389,2.499,1.024,1.068,0.186,1.737,0.189,0.859,0.449,1.368,0.317
"OCT 2013",4.137,4.147,3.123,7.702,4.126,5.392,3.331,1.029,1.066,0.177,1.738,0.118,0.892,0.405,1.512,0.168
"NOV 2013",4.200,4.146,3.187,7.427,4.266,5.237,3.712,0.942,0.988,0.169,1.623,0.124,0.772,0.367,1.298,0.332
"DIC 2013",3.842,4.058,3.160,7.224,3.570,5.183,2.907,0.897,0.932,0.217,1.498,0.485,0.766,0.349,1.305,0.754
"ENE 2014",4.074,4.217,3.322,7.403,3.894,5.420,2.956,0.873,0.909,0.213,1.455,0.236,0.744,0.467,1.111,0.508
"FEB 2014",4.076,4.188,3.278,7.456,3.934,5.207,3.023,0.823,0.861,0.206,1.371,0.410,0.678,0.424,1.005,0.388
"MAR 2014",4.062,4.185,3.311,7.281,3.906,5.428,2.950,0.755,0.779,0.204,1.230,1.110,0.668,0.451,0.974,0.441
"ABR 2014",4.068,4.097,3.192,7.336,4.030,5.321,3.067,0.705,0.720,0.204,1.132,0.558,0.652,0.435,0.963,0.189
"MAY 2014",4.001,4.082,3.175,7.327,3.897,5.135,2.883,0.667,0.678,0.199,1.072,0.350,0.630,0.444,0.925,0.215
"JUN 2014",3.941,4.175,3.311,7.137,3.634,4.909,2.997,0.609,0.619,0.195,0.982,0.210,0.575,0.430,0.821,0.101
"JUL 2014",3.886,3.931,3.050,7.062,3.826,4.928,2.904,0.580,0.582,0.197,0.915,0.576,0.573,0.394,0.860,0.157
"AGO 2014",3.929,4.027,3.068,7.455,3.801,4.804,2.997,0.544,0.550,0.193,0.863,0.371,0.524,0.399,0.732,0.093
"SEP 2014",3.885,4.043,3.104,7.365,3.675,4.537,2.910,0.503,0.513,0.175,0.811,0.602,0.469,0.378,0.623,0.123
"OCT 2014",3.812,3.943,3.022,7.209,3.636,4.525,2.735,0.468,0.471,0.174,0.738,0.514,0.456,0.353,0.627,0.151
"NOV 2014",3.590,3.812,2.877,7.011,3.290,4.324,2.433,0.421,0.426,0.171,0.663,0.475,0.403,0.352,0.496,0.296
"DIC 2014",2.815,3.469,2.638,6.417,2.727,4.129,2.089,0.413,0.421,0.166,0.664,0.421,0.385,0.313,0.505,0.464
"ENE 2015",3.373,3.609,2.654,6.990,3.332,4.506,2.361,0.396,0.399,0.159,0.634,0.408,0.381,0.328,0.485,0.170
"FEB 2015",3.195,3.623,2.671,7.026,3.111,4.201,2.231,0.349,0.361,0.163,0.558,0.331,0.304,0.269,0.376,0.107
"MAR 2015",2.918,3.392,2.521,6.494,2.840,3.900,2.224,0.327,0.333,0.156,0.514,0.336,0.305,0.259,0.409,0.103
"ABR 2015",3.086,3.345,2.474,6.411,3.032,3.956,2.344,0.301,0.308,0.152,0.472,0.310,0.273,0.218,0.390,0.171
"MAY 2015",2.948,3.427,2.553,6.498,2.861,3.737,2.225,0.293,0.297,0.160,0.448,0.353,0.280,0.240,0.372,0.187
"JUN 2015",2.891,3.377,2.499,6.339,2.811,3.525,2.420,0.280,0.278,0.154,0.423,0.375,0.288,0.247,0.384,0.250
"JUL 2015",2.802,3.313,2.431,6.388,2.707,3.710,2.079,0.269,0.273,0.155,0.415,0.406,0.254,0.211,0.355,0.166
"AGO 2015",2.755,3.448,2.498,6.764,2.602,3.699,1.779,0.254,0.260,0.144,0.400,0.452,0.235,0.196,0.329,0.061
"SEP 2015",2.857,3.332,2.418,6.500,2.762,3.572,2.115,0.249,0.256,0.132,0.411,0.443,0.223,0.179,0.333,0.183
"OCT 2015",2.885,3.385,2.493,6.460,2.775,3.683,1.849,0.255,0.263,0.139,0.420,0.408,0.224,0.191,0.307,0.190
"NOV 2015",2.855,3.313,2.480,6.060,2.748,3.440,2.093,0.241,0.247,0.128,0.403,0.421,0.220,0.181,0.319,0.157
"DIC 2015",2.661,3.103,2.311,5.804,2.578,3.275,2.119,0.239,0.234,0.120,0.389,0.421,0.257,0.239,0.308,0.121
"ENE 2016",2.923,3.326,2.360,6.627,2.842,3.700,1.979,0.218,0.205,0.102,0.348,0.303,0.266,0.259,0.286,0.191
"FEB 2016",2.652,3.244,2.339,6.359,2.529,3.349,1.874,0.207,0.197,0.103,0.327,0.306,0.246,0.236,0.273,0.123
