"","IE_8_1.1","IE_8_1.2","IE_8_1.3","IE_8_1.4","IE_8_1.5","IE_8_1.6","IE_8_1.7","IE_8_1.8","IE_8_1.9","IE_8_1.10","IE_8_1.11","IE_8_1.12","IE_8_1.13","IE_8_1.14","IE_8_1.15","IE_8_1.16","IE_8_1.17","IE_8_1.18","IE_8_1.19","IE_8_1.20","IE_8_1.21","IE_8_1.22","IE_8_1.23","IE_8_1.24","IE_8_1.25","IE_8_1.26","IE_8_1.27","IE_8_1.28"
"NÚMERO SECUENCIAL",662210,662293,662294,662295,662211,662212,662213,662214,662296,662215,662216,662217,662298,662031,662032,662033,662034,662035,662036,662037,662044,662045,662038,662039,662040,662041,662042,662046
"DESCRIPCIÓN DE LA SERIE","Balance del Eurosistema. Prestamo neto. Total","Balance del Eurosistema. Prestamo neto. OMA. Operaciones Principales de Financiación","Balance del Eurosistema. Prestamo neto. OMA. Operaciones de Financiación a largo plazo","Balance del Eurosistema. Prestamo neto. OMA. Operaciones de Ajuste","Balance del Eurosistema. Prestamo neto. OMA. Operaciones estructurales","Balance del Eurosistema. Prestamo neto. Facilidades Marginal de Crédito","Balance del Eurosistema. Prestamo neto. Facilidades Marginal de Deposito","Balance del Eurosistema. Contrapartidas. Total","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Billetes","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Depósitos AAPP","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Oro y Activos Netos en Moneda Extranjera","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Resto activos","Balance del Eurosistema. Contrapartidas. Reservas Mantenidas por Entidades de Crédito","Balance del Banco de España. Prestamo neto. Total","Balance del Banco de España. Prestamo neto. OMA. Operaciones Principales de Financiación","Balance del Banco de España. Prestamo neto. OMA. Operaciones de Financiación a largo plazo","Balance del Banco de España. Prestamo neto. OMA. Operaciones de Ajuste","Balance del Banco de España. Prestamo neto. OMA. Operaciones estructurales","Balance del Banco de España. Prestamo neto. Facilidades Marginal de Crédito","Balance del Banco de España. Prestamo neto. Facilidades Marginal de Deposito","Balance del Banco de España. Contrapartidas. Otros Pasivos Netos en Euros.Frente a residentes en la UEM. Target","Balance del Banco de España. Contrapartidas. Otros Pasivos Netos en Euros. Resto","Balance del Banco de España. Contrapartidas. Total","Balance del Banco de España. Contrapartidas. Factores Autonomos.Billetes","Balance del Banco de España. Contrapartidas. Factores Autonomos.Depósitos AAPP","Balance del Banco de España. Contrapartidas. Factores Autonomos.Oro y Activos Netos en Moneda Extranjera","Balance del Banco de España. Contrapartidas. Factores Autonomos.Resto activos","Balance del Banco de España. Contrapartidas. Reservas Mantenidas por Entidades de Crédito"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"MAY 2013",745148672,105551696,733955648,0,0,684739,95043424,440588096,903179392,83892872,656982592,-110498424,304560576,254978960,25360236,233958015,0,0,0,4339292,289650125,-5862146,-41969852,61192376,8635024,39466496,72330760,13160834
"JUN 2013",730513344,106263336,713146432,0,0,1522200,90418648,439758144,906096640,85420104,655213184,-103454584,290755200,250051718,24168772,228973071,0,0,0,3090125,283649701,-5862146,-39883928,60879568,8441221,37977612,71227104,12148090
"JUL 2013",718505536,105488184,700705856,0,0,324348,88012832,447528128,915567488,99389008,532182400,35245968,270977408,248293404,22744346,229140710,0,0,0,3591652,280676922,-5860844,-40602112,61232736,7060887,34204132,74691600,14079439
"AGO 2013",714451584,100070224,693681728,0,0,139864,79440232,437171488,920671744,72838776,531904512,24434520,277280096,246199926,21943702,227366742,0,0,0,3110518,278232529,-5860596,-39977388,59816588,7678917,34203752,73269144,13805381
"SEP 2013",712189120,96550480,681759744,0,0,476333,66597424,441659136,917835840,77764480,532928896,21012288,270529984,241088706,18527590,225715950,0,0,0,3154833,278163465,-5860595,-44265784,57670492,6005840,34248676,73693440,13051622
"OCT 2013",699323776,92348720,659268032,0,0,72913,52365912,445951616,919207296,79932128,550975104,2212704,253372144,234811768,15611105,221779340,-51698,0,0,2526978,269026620,-5860596,-42264196,56008064,8919688,34165952,73025992,13909940
"NOV 2013",675260160,89539608,635371904,0,0,97524,49748852,447791744,922409792,70480480,550710848,-5612320,227468400,220511911,14096278,209769061,0,0,0,3353428,253580296,-5860595,-39315748,54812576,10176237,34295640,70008920,12107956
"DIC 2013",665848576,114636440,603234240,0,0,267500,52289588,426415520,943270784,66754008,549143104,34466168,239433056,201864601,19833182,186926737,0,0,0,4895318,238791171,-5860596,-44944576,56223368,3386036,34327220,70226760,13878601
"ENE 2014",649565632,122069376,579585856,0,0,251783,52341388,417009312,938118144,75739224,509422848,87425208,232556320,188796343,15413879,178005695,0,0,0,4623230,228664147,-6264722,-46236940,54791468,3187377,32532782,71683000,12633857
"FEB 2014",634781120,95992880,573273280,0,0,333150,34818200,426501056,930579136,81875304,510096096,75857288,208280064,188792033,14493863,176093670,0,0,0,1795500,229276846,-6316080,-45634872,52867644,4452890,32506982,70448424,11466137
"MAR 2014",619809280,97899152,550815680,0,0,666095,29571668,420295808,936399168,74847048,512207584,78742824,199513456,183453609,19332424,165571090,0,0,74619,1524524,228004902,-6435914,-49759760,52423564,2444649,32464450,72163528,11644383
"ABR 2014",609275904,115460944,521294144,0,0,256727,27735912,420511552,945539328,76475360,535965728,65537408,188764352,182372583,23302746,161029532,0,0,9,1959704,226925294,-6435914,-50032500,52525868,1820863,33132740,71246496,11915705
"MAY 2014",628408512,145647024,510951584,0,0,126909,28316998,439930656,948316160,112572544,536656352,84301696,188477856,185514195,26898346,160973408,0,0,9,2357568,228296843,-6435914,-47898912,51123524,2002434,33145570,67879304,11552178
"JUN 2014",581427392,129913760,477856672,0,0,199429,26542478,371611392,955928256,108495232,537157632,155654464,209816016,173087752,24701478,149751565,0,0,0,1365290,215101141,-6435914,-47722540,50676500,2644673,33247540,67796176,12145067
"JUL 2014",507639168,101169104,429621312,0,0,268522,23419784,297258816,964376448,103583088,547497216,223203504,210380336,160694303,26520286,134178908,0,0,0,4891,202468712,-6435914,-48093532,50836196,333623,33693740,65569612,12755039
"AGO 2014",483060928,114946832,393226656,0,0,119143,25231716,267251968,971780800,67202760,547654976,224076608,215808960,162545680,37585420,124993308,0,0,0,33048,206054797,-6435914,-48405892,49686052,1111313,33711568,65491688,11332690
"SEP 2014",470098592,106954944,387138336,0,0,195864,24190546,276727424,970592640,75831920,548833984,220863152,193371184,154797696,31400504,123448465,0,0,0,51273,199974143,-6435914,-51141368,47537308,185070,33755120,65108624,12400836
"OCT 2014",480000288,91220504,417153952,0,0,256522,28630694,288777280,972658944,79857920,561915328,201824256,191223024,154787969,27337918,127454810,0,0,262,5022,200925690,-6435914,-51132232,45925176,531652,35571444,62017616,11430426
"NOV 2014",474620480,103760048,399875072,0,0,144350,29159000,290858496,976004608,72850704,562897088,195099728,183761984,150994309,27417404,123582880,0,0,0,5975,191980623,-6435915,-45784900,44835168,5786189,36552936,59853320,11234499
"DIC 2014",506285376,110831264,429556320,0,0,138391,34240608,279468032,999397696,64556924,566005568,218481024,226817344,141338109,21114656,120507830,0,0,384,284761,190902579,-6435914,-56469428,46566852,732842,39499560,64269560,13340873
"ENE 2015",527989408,128639520,456508672,0,0,740091,57898860,297251264,1005171904,69947952,585434368,192434224,230738160,141490168,26984154,114941523,0,0,0,435509,195486230,-6435914,-57888824,45666872,2092621,40693560,64954756,10328676
"FEB 2015",481684384,135789920,387228480,0,0,445550,41779552,251320576,1004298048,61435196,588806656,225606016,230363808,132009515,48279952,83792438,0,0,0,62875,187936264,-6435915,-62924640,43929780,125964,41648568,65331816,13433804
"MAR 2015",436119136,140623168,344585504,0,0,208546,49298092,198667424,1010180608,64598772,594510464,281601504,237451712,123819159,53919644,69985280,0,0,11500,97266,187900205,-6435915,-69351368,43900072,690275,44985176,68956536,11706233
"ABR 2015",431993856,101712256,417157504,0,0,81364,86957272,153440960,1020337728,75475784,656840960,285531584,278552896,135763181,30902506,104977467,0,0,341,117132,203296497,-6435915,-72745048,44139568,3813746,50576628,70121728,11647644
"MAY 2015",399967392,95096744,407473632,0,0,81810,102684808,96963328,1027386432,72347896,655367936,347403072,303004064,132594703,28835644,104017773,0,0,0,258714,209409099,-6435915,-83252024,43269192,243601,50643660,76121152,12873545
"JUN 2015",411245344,91101280,411762688,0,0,281136,91899776,60182752,1035133952,97519552,656529152,415941600,351062592,132122919,27164200,105231445,0,0,0,272727,215831727,-6435915,-90908824,42906140,1744748,50729756,84829960,13635934
"JUL 2015",422876384,75988208,466785536,0,0,330348,120227704,22947008,1050490496,92337968,627570240,492311232,399929376,139635921,16994930,122771425,0,0,0,130435,225396590,-6435915,-91482392,43620364,7092126,48545636,93649248,12157639
"AGO 2015",382081568,71023160,462482368,0,0,763476,152187424,-53754560,1056204352,50364132,627374272,532948768,435836128,137918739,15804291,122223971,0,0,0,109524,233939653,-6435915,-102406800,42529452,2669480,48595036,99010696,12821804
"SEP 2015",379685408,70958456,456933792,0,0,189546,148396400,-79562464,1052592192,76947264,628140928,580961024,459247872,135734594,14394004,121440589,0,0,0,100000,229346666,-6435915,-99080264,40879072,14797550,48636556,106120340,11904110
"OCT 2015",373949280,69339864,466018240,0,0,147955,161556784,-95568544,1052407424,103300720,611533824,639742848,469517824,138923916,14198779,124861500,0,0,0,136364,240596960,-6435915,-109871840,39590204,12335584,48204324,113593300,14634714
"NOV 2015",350966880,64506320,461099488,0,0,54143,174693072,-138867680,1054588288,93745000,612088640,675112320,489834560,135669513,11842805,124026707,0,0,0,200000,252267477,-6435915,-125118300,38439044,5781996,48280476,121058870,14956259
"DIC 2015",354833248,71898488,460857760,0,0,290957,178213968,-195773536,1073342016,77904824,613603136,733417216,550606784,132933575,10514721,122705810,0,0,0,286957,256562963,-6435915,-135190670,40172784,3767834,48613852,130517440,17997200
"ENE 2016",330015520,70556232,469108480,0,0,82714,209731904,-224479456,1067817984,94010000,609544256,776763200,554494976,132395476,9291271,123670872,0,0,0,566667,263484120,-6435915,-141218050,39344476,3269185,49139696,134692020,16565318
"FEB 2016",303417952,62717764,463750592,0,0,83143,223133536,-249511456,1062566080,119240760,607777536,823540736,552929408,130433229,7172866,123593696,0,0,0,333333,270653426,-6435915,-150600860,37685196,1438010,49556204,140167870,16816580
