"","IE_4_5.1","IE_4_5.2","IE_4_5.3","IE_4_5.4","IE_4_5.5","IE_4_5.6","IE_4_5.7","IE_4_5.8","IE_4_5.9","IE_4_5.10","IE_4_5.11","IE_4_5.12","IE_4_5.13","IE_4_5.14","IE_4_5.15","IE_4_5.16","IE_4_5.17"
"NÚMERO SECUENCIAL",247386,1626471,1626472,1728449,1728450,1728446,1728451,1728445,1728447,1728448,875278,1626480,903164,903166,903165,247404,1626481
"DESCRIPCIÓN DE LA SERIE","MLR. Paro registrado","MLR. Paro registrado. Variación interanual","MLR. Paro registrado. Tasa de variación interanual","MLR. Parados sin empleo anterior. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","MLR. Parados con empleo anterior. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","MLR. Parados sector agrícola. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","MLR. Parados sector no agrícola. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","MLR. Parados sector industria. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","MLR. Parados sector construcción. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","MLR. Parados sector servicios. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009","Contratos registrados. Total","Contratos registrados. Total. Tasa de variación interanual","Contratos indefinidos en porcentaje sobre el total","Contratos a jornada parcial en porcentaje sobre el total","Contratos temporales en porcentaje sobre el total","MLR. Colocaciones. Total","MLR. Colocaciones. Total. Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Personas","Miles de Personas","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Personas","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Personas","Porcentaje"
"JUL 1933",544837,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1933",588174,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1933",619701,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1933",586105,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1933",603995,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1933",618947,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1934",666668,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1934","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1934",667898,48951,7.91,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1935",711184,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1935",689635,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1935",704482,37814,5.67,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1935",732034,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1935",671230,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1935",605332,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1935",578833,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1935",691105,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1935",719413,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1935",780242,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1935",806221,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1935",674161,6263,0.94,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1936",748810,37626,5.29,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1936",843872,154237,22.37,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1936","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1937","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
