"","IE_4_5.1","IE_4_5.2","IE_4_5.3","IE_4_5.4","IE_4_5.5","IE_4_5.6","IE_4_5.7","IE_4_5.8","IE_4_5.9","IE_4_5.10","IE_4_5.11","IE_4_5.12","IE_4_5.13","IE_4_5.14","IE_4_5.15","IE_4_5.16","IE_4_5.17"
"ABR 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1938","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",34298,"_"
"MAY 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",63392,"_"
"JUN 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",106944,"_"
"JUL 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",127476,"_"
"AGO 1939","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",123446,"_"
"SEP 1939",632510,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",142072,"_"
"OCT 1939",608040,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",173999,"_"
"NOV 1939",464140,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",221815,"_"
"DIC 1939",441388,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",197625,"_"
"ENE 1940",479338,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",225944,"_"
"FEB 1940",486834,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",161301,"_"
"MAR 1940",474129,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",124788,"_"
"ABR 1940",462540,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",119913,249.62
"MAY 1940",447090,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",145276,129.17
"JUN 1940",458323,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",122498,14.54
"JUL 1940",439752,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",78487,-38.43
"AGO 1940",462260,"_","_","_","_","_","_","_","_","_","_","_","_","_","_",70780,-42.66
"SEP 1940",474758,-157752,-24.94,"_","_","_","_","_","_","_","_","_","_","_","_",64605,-54.53
"OCT 1940",493737,-114303,-18.80,"_","_","_","_","_","_","_","_","_","_","_","_",68514,-60.62
"NOV 1940",511031,46891,10.10,"_","_","_","_","_","_","_","_","_","_","_","_",87435,-60.58
"DIC 1940",507903,66515,15.07,"_","_","_","_","_","_","_","_","_","_","_","_",99841,-49.48
"ENE 1941",524211,44873,9.36,"_","_","_","_","_","_","_","_","_","_","_","_",62085,-72.52
"FEB 1941",510085,23251,4.78,"_","_","_","_","_","_","_","_","_","_","_","_",62792,-61.07
"MAR 1941",505637,31508,6.65,"_","_","_","_","_","_","_","_","_","_","_","_",88859,-28.79
"ABR 1941",501852,39312,8.50,"_","_","_","_","_","_","_","_","_","_","_","_",63325,-47.19
"MAY 1941",471426,24336,5.44,"_","_","_","_","_","_","_","_","_","_","_","_",84921,-41.55
"JUN 1941",437128,-21195,-4.62,"_","_","_","_","_","_","_","_","_","_","_","_",99630,-18.67
"JUL 1941",418415,-21337,-4.85,"_","_","_","_","_","_","_","_","_","_","_","_",79388,1.15
"AGO 1941",422864,-39396,-8.52,"_","_","_","_","_","_","_","_","_","_","_","_",66123,-6.58
"SEP 1941",410641,-64117,-13.51,"_","_","_","_","_","_","_","_","_","_","_","_",54606,-15.48
"OCT 1941",404586,-89151,-18.06,"_","_","_","_","_","_","_","_","_","_","_","_",54904,-19.86
"NOV 1941",405226,-105805,-20.70,"_","_","_","_","_","_","_","_","_","_","_","_",65561,-25.02
"DIC 1941",388042,-119861,-23.60,"_","_","_","_","_","_","_","_","_","_","_","_",64904,-34.99
"ENE 1942",364593,-159618,-30.45,"_","_","_","_","_","_","_","_","_","_","_","_",70248,13.15
"FEB 1942",345985,-164100,-32.17,"_","_","_","_","_","_","_","_","_","_","_","_",51373,-18.19
"MAR 1942",339712,-165925,-32.82,"_","_","_","_","_","_","_","_","_","_","_","_",46068,-48.16
"ABR 1942",323029,-178823,-35.63,"_","_","_","_","_","_","_","_","_","_","_","_",48292,-23.74
"MAY 1942",307176,-164250,-34.84,"_","_","_","_","_","_","_","_","_","_","_","_",64063,-24.56
"JUN 1942",278795,-158333,-36.22,"_","_","_","_","_","_","_","_","_","_","_","_",67019,-32.73
"JUL 1942",272065,-146350,-34.98,"_","_","_","_","_","_","_","_","_","_","_","_",50706,-36.13
"AGO 1942",273264,-149600,-35.38,"_","_","_","_","_","_","_","_","_","_","_","_",43343,-34.45
"SEP 1942",267248,-143393,-34.92,"_","_","_","_","_","_","_","_","_","_","_","_",35642,-34.73
"OCT 1942",261261,-143325,-35.43,"_","_","_","_","_","_","_","_","_","_","_","_",47738,-13.05
"NOV 1942",258667,-146559,-36.17,"_","_","_","_","_","_","_","_","_","_","_","_",41225,-37.12
"DIC 1942",242560,-145482,-37.49,"_","_","_","_","_","_","_","_","_","_","_","_",45184,-30.38
"ENE 1943",240865,-123728,-33.94,"_","_","_","_","_","_","_","_","_","_","_","_",48743,-30.61
"FEB 1943",241169,-104816,-30.29,"_","_","_","_","_","_","_","_","_","_","_","_",45977,-10.50
"MAR 1943",241603,-98109,-28.88,"_","_","_","_","_","_","_","_","_","_","_","_",45014,-2.29
"ABR 1943",232844,-90185,-27.92,"_","_","_","_","_","_","_","_","_","_","_","_",48117,-0.36
"MAY 1943",224198,-82978,-27.01,"_","_","_","_","_","_","_","_","_","_","_","_",76372,19.21
"JUN 1943",213300,-65495,-23.49,"_","_","_","_","_","_","_","_","_","_","_","_",65267,-2.61
"JUL 1943",212423,-59642,-21.92,"_","_","_","_","_","_","_","_","_","_","_","_",63049,24.34
"AGO 1943",217978,-55286,-20.23,"_","_","_","_","_","_","_","_","_","_","_","_",42729,-1.42
"SEP 1943",220848,-46400,-17.36,"_","_","_","_","_","_","_","_","_","_","_","_",41078,15.25
"OCT 1943",220308,-40953,-15.68,"_","_","_","_","_","_","_","_","_","_","_","_",46544,-2.50
"NOV 1943",224182,-34485,-13.33,"_","_","_","_","_","_","_","_","_","_","_","_",40553,-1.63
"DIC 1943",216201,-26359,-10.87,"_","_","_","_","_","_","_","_","_","_","_","_",41047,-9.16
"ENE 1944",204139,-36726,-15.25,"_","_","_","_","_","_","_","_","_","_","_","_",56088,15.07
"FEB 1944",211140,-30029,-12.45,"_","_","_","_","_","_","_","_","_","_","_","_",37265,-18.95
"MAR 1944",194194,-47409,-19.62,"_","_","_","_","_","_","_","_","_","_","_","_",45109,0.21
"ABR 1944",179720,-53124,-22.82,"_","_","_","_","_","_","_","_","_","_","_","_",49152,2.15
"MAY 1944",165749,-58449,-26.07,"_","_","_","_","_","_","_","_","_","_","_","_",49604,-35.05
"JUN 1944",151766,-61534,-28.85,"_","_","_","_","_","_","_","_","_","_","_","_",63495,-2.72
"JUL 1944",151985,-60438,-28.45,"_","_","_","_","_","_","_","_","_","_","_","_",40173,-36.28
"AGO 1944",157393,-60585,-27.79,"_","_","_","_","_","_","_","_","_","_","_","_",33113,-22.50
"SEP 1944",154837,-66011,-29.89,"_","_","_","_","_","_","_","_","_","_","_","_",43211,5.19
"OCT 1944",154734,-65574,-29.76,"_","_","_","_","_","_","_","_","_","_","_","_",31819,-31.64
"NOV 1944",155119,-69063,-30.81,"_","_","_","_","_","_","_","_","_","_","_","_",33938,-16.31
"DIC 1944",153522,-62679,-28.99,"_","_","_","_","_","_","_","_","_","_","_","_",26930,-34.39
"ENE 1945",150396,-53743,-26.33,"_","_","_","_","_","_","_","_","_","_","_","_",49948,-10.95
"FEB 1945",150488,-60652,-28.73,"_","_","_","_","_","_","_","_","_","_","_","_",35377,-5.07
"MAR 1945",146713,-47481,-24.45,"_","_","_","_","_","_","_","_","_","_","_","_",41000,-9.11
"ABR 1945",131558,-48162,-26.80,"_","_","_","_","_","_","_","_","_","_","_","_",41651,-15.26
"MAY 1945",123241,-42508,-25.65,"_","_","_","_","_","_","_","_","_","_","_","_",40463,-18.43
"JUN 1945",127937,-23829,-15.70,"_","_","_","_","_","_","_","_","_","_","_","_",50536,-20.41
"JUL 1945",143571,-8414,-5.54,"_","_","_","_","_","_","_","_","_","_","_","_",33156,-17.47
"AGO 1945",148599,-8794,-5.59,"_","_","_","_","_","_","_","_","_","_","_","_",53380,61.21
"SEP 1945",152710,-2127,-1.37,"_","_","_","_","_","_","_","_","_","_","_","_",47266,9.38
"OCT 1945",164088,9354,6.05,"_","_","_","_","_","_","_","_","_","_","_","_",43734,37.45
"NOV 1945",172298,17179,11.07,"_","_","_","_","_","_","_","_","_","_","_","_",50376,48.44
"DIC 1945",163759,10237,6.67,"_","_","_","_","_","_","_","_","_","_","_","_",27138,0.77
"ENE 1946",173155,22759,15.13,"_","_","_","_","_","_","_","_","_","_","_","_",58269,16.66
"FEB 1946",175407,24919,16.56,"_","_","_","_","_","_","_","_","_","_","_","_",54933,55.28
"MAR 1946",177406,30693,20.92,"_","_","_","_","_","_","_","_","_","_","_","_",75831,84.95
"ABR 1946",185701,54143,41.16,"_","_","_","_","_","_","_","_","_","_","_","_",41213,-1.05
"MAY 1946",194683,71442,57.97,"_","_","_","_","_","_","_","_","_","_","_","_",56309,39.16
"JUN 1946",172061,44124,34.49,"_","_","_","_","_","_","_","_","_","_","_","_",70252,39.01
"JUL 1946",163929,20358,14.18,"_","_","_","_","_","_","_","_","_","_","_","_",53683,61.91
"AGO 1946",172420,23821,16.03,"_","_","_","_","_","_","_","_","_","_","_","_",39194,-26.58
"SEP 1946",176393,23683,15.51,"_","_","_","_","_","_","_","_","_","_","_","_",32641,-30.94
"OCT 1946",180534,16446,10.02,"_","_","_","_","_","_","_","_","_","_","_","_",33300,-23.86
"NOV 1946",185595,13297,7.72,"_","_","_","_","_","_","_","_","_","_","_","_",39977,-20.64
"DIC 1946",180699,16940,10.34,"_","_","_","_","_","_","_","_","_","_","_","_",16435,-39.44
"ENE 1947",168350,-4805,-2.77,"_","_","_","_","_","_","_","_","_","_","_","_",61721,5.92
"FEB 1947",168235,-7172,-4.09,"_","_","_","_","_","_","_","_","_","_","_","_",31556,-42.56
"MAR 1947",161409,-15997,-9.02,"_","_","_","_","_","_","_","_","_","_","_","_",43335,-42.85
"ABR 1947",150782,-34919,-18.80,"_","_","_","_","_","_","_","_","_","_","_","_",35210,-14.57
"MAY 1947",139292,-55391,-28.45,"_","_","_","_","_","_","_","_","_","_","_","_",46709,-17.05
"JUN 1947",130949,-41112,-23.89,"_","_","_","_","_","_","_","_","_","_","_","_",39979,-43.09
"JUL 1947",123674,-40255,-24.56,"_","_","_","_","_","_","_","_","_","_","_","_",34341,-36.03
"AGO 1947",125969,-46451,-26.94,"_","_","_","_","_","_","_","_","_","_","_","_",32772,-16.39
"SEP 1947",126554,-49839,-28.25,"_","_","_","_","_","_","_","_","_","_","_","_",30559,-6.38
"OCT 1947",123845,-56689,-31.40,"_","_","_","_","_","_","_","_","_","_","_","_",40045,20.26
"NOV 1947",123516,-62079,-33.45,"_","_","_","_","_","_","_","_","_","_","_","_",35995,-9.96
"DIC 1947",122673,-58026,-32.11,"_","_","_","_","_","_","_","_","_","_","_","_",22099,34.46
"ENE 1948",119769,-48581,-28.86,"_","_","_","_","_","_","_","_","_","_","_","_",47332,-23.31
"FEB 1948",116755,-51480,-30.60,"_","_","_","_","_","_","_","_","_","_","_","_",38124,20.81
"MAR 1948",114921,-46488,-28.80,"_","_","_","_","_","_","_","_","_","_","_","_",35925,-17.10
"ABR 1948",111685,-39097,-25.93,"_","_","_","_","_","_","_","_","_","_","_","_",45331,28.74
"MAY 1948",112254,-27038,-19.41,"_","_","_","_","_","_","_","_","_","_","_","_",36993,-20.80
"JUN 1948",105870,-25079,-19.15,"_","_","_","_","_","_","_","_","_","_","_","_",46668,16.73
"JUL 1948",104115,-19559,-15.81,"_","_","_","_","_","_","_","_","_","_","_","_",41959,22.18
"AGO 1948",110215,-15754,-12.51,"_","_","_","_","_","_","_","_","_","_","_","_",30298,-7.55
"SEP 1948",115173,-11381,-8.99,"_","_","_","_","_","_","_","_","_","_","_","_",31847,4.21
"OCT 1948",124508,663,0.54,"_","_","_","_","_","_","_","_","_","_","_","_",40989,2.36
"NOV 1948",129544,6028,4.88,"_","_","_","_","_","_","_","_","_","_","_","_",33259,-7.60
"DIC 1948",139425,16752,13.66,"_","_","_","_","_","_","_","_","_","_","_","_",38720,75.21
"ENE 1949",147532,27763,23.18,"_","_","_","_","_","_","_","_","_","_","_","_",36671,-22.52
"FEB 1949",155060,38305,32.81,"_","_","_","_","_","_","_","_","_","_","_","_",41402,8.60
"MAR 1949",157014,42093,36.63,"_","_","_","_","_","_","_","_","_","_","_","_",46642,29.83
"ABR 1949",169884,58199,52.11,"_","_","_","_","_","_","_","_","_","_","_","_",52255,15.27
"MAY 1949",163239,50985,45.42,"_","_","_","_","_","_","_","_","_","_","_","_",53794,45.42
"JUN 1949",151689,45819,43.28,"_","_","_","_","_","_","_","_","_","_","_","_",51729,10.84
"JUL 1949",154925,50810,48.80,"_","_","_","_","_","_","_","_","_","_","_","_",47200,12.49
"AGO 1949",160289,50074,45.43,"_","_","_","_","_","_","_","_","_","_","_","_",38095,25.73
"SEP 1949",164222,49049,42.59,"_","_","_","_","_","_","_","_","_","_","_","_",44951,41.15
"OCT 1949",166517,42009,33.74,"_","_","_","_","_","_","_","_","_","_","_","_",43904,7.11
"NOV 1949",169300,39756,30.69,"_","_","_","_","_","_","_","_","_","_","_","_",42207,26.90
"DIC 1949",161006,21581,15.48,"_","_","_","_","_","_","_","_","_","_","_","_",53175,37.33
"ENE 1950",160756,13224,8.96,"_","_","_","_","_","_","_","_","_","_","_","_",41174,12.28
"FEB 1950",162654,7594,4.90,"_","_","_","_","_","_","_","_","_","_","_","_",43769,5.72
"MAR 1950",161479,4465,2.84,"_","_","_","_","_","_","_","_","_","_","_","_",56573,21.29
"ABR 1950",170729,845,0.50,"_","_","_","_","_","_","_","_","_","_","_","_",42106,-19.42
"MAY 1950",169161,5922,3.63,"_","_","_","_","_","_","_","_","_","_","_","_",46750,-13.09
"JUN 1950",154578,2889,1.90,"_","_","_","_","_","_","_","_","_","_","_","_",58555,13.20
"JUL 1950",154232,-693,-0.45,"_","_","_","_","_","_","_","_","_","_","_","_",38157,-19.16
"AGO 1950",162767,2478,1.55,"_","_","_","_","_","_","_","_","_","_","_","_",36808,-3.38
"SEP 1950",167597,3375,2.06,"_","_","_","_","_","_","_","_","_","_","_","_",48040,6.87
"OCT 1950",174683,8166,4.90,"_","_","_","_","_","_","_","_","_","_","_","_",40502,-7.75
"NOV 1950",179732,10432,6.16,"_","_","_","_","_","_","_","_","_","_","_","_",39888,-5.49
"DIC 1950",175827,14821,9.21,"_","_","_","_","_","_","_","_","_","_","_","_",49329,-7.23
"ENE 1951",178828,18072,11.24,"_","_","_","_","_","_","_","_","_","_","_","_",36938,-10.29
"FEB 1951",184568,21914,13.47,"_","_","_","_","_","_","_","_","_","_","_","_",40003,-8.60
"MAR 1951",167871,6392,3.96,"_","_","_","_","_","_","_","_","_","_","_","_",59251,4.73
"ABR 1951",160272,-10457,-6.12,"_","_","_","_","_","_","_","_","_","_","_","_",53686,27.50
"MAY 1951",154220,-14941,-8.83,"_","_","_","_","_","_","_","_","_","_","_","_",43266,-7.45
"JUN 1951",134935,-19643,-12.71,"_","_","_","_","_","_","_","_","_","_","_","_",66171,13.01
"JUL 1951",126797,-27435,-17.79,"_","_","_","_","_","_","_","_","_","_","_","_",43944,15.17
"AGO 1951",128949,-33818,-20.78,"_","_","_","_","_","_","_","_","_","_","_","_",43474,18.11
"SEP 1951",126306,-41291,-24.64,"_","_","_","_","_","_","_","_","_","_","_","_",38924,-18.98
"OCT 1951",125109,-49574,-28.38,"_","_","_","_","_","_","_","_","_","_","_","_",45423,12.15
"NOV 1951",126058,-53674,-29.86,"_","_","_","_","_","_","_","_","_","_","_","_",53292,33.60
"DIC 1951",116943,-58884,-33.49,"_","_","_","_","_","_","_","_","_","_","_","_",47103,-4.51
"ENE 1952",116467,-62361,-34.87,"_","_","_","_","_","_","_","_","_","_","_","_",39712,7.51
"FEB 1952",120551,-64017,-34.68,"_","_","_","_","_","_","_","_","_","_","_","_",50933,27.32
"MAR 1952",117557,-50314,-29.97,"_","_","_","_","_","_","_","_","_","_","_","_",48244,-18.58
"ABR 1952",112556,-47716,-29.77,"_","_","_","_","_","_","_","_","_","_","_","_",40652,-24.28
"MAY 1952",106108,-48112,-31.20,"_","_","_","_","_","_","_","_","_","_","_","_",55971,29.36
"JUN 1952",96390,-38545,-28.57,"_","_","_","_","_","_","_","_","_","_","_","_",50507,-23.67
"JUL 1952",92077,-34720,-27.38,"_","_","_","_","_","_","_","_","_","_","_","_",42389,-3.54
"AGO 1952",97167,-31782,-24.65,"_","_","_","_","_","_","_","_","_","_","_","_",49169,13.10
"SEP 1952",100229,-26077,-20.65,"_","_","_","_","_","_","_","_","_","_","_","_",45062,15.77
"OCT 1952",107391,-17718,-14.16,"_","_","_","_","_","_","_","_","_","_","_","_",51877,14.21
"NOV 1952",106128,-19930,-15.81,"_","_","_","_","_","_","_","_","_","_","_","_",47058,-11.70
"DIC 1952",105907,-11036,-9.44,"_","_","_","_","_","_","_","_","_","_","_","_",46120,-2.09
"ENE 1953",109228,-7239,-6.22,"_","_","_","_","_","_","_","_","_","_","_","_",46505,17.11
"FEB 1953",109717,-10834,-8.99,"_","_","_","_","_","_","_","_","_","_","_","_",45348,-10.97
"MAR 1953",110389,-7168,-6.10,"_","_","_","_","_","_","_","_","_","_","_","_",49567,2.74
"ABR 1953",107491,-5065,-4.50,"_","_","_","_","_","_","_","_","_","_","_","_",47481,16.80
"MAY 1953",96905,-9203,-8.67,"_","_","_","_","_","_","_","_","_","_","_","_",67528,20.65
"JUN 1953",91463,-4927,-5.11,"_","_","_","_","_","_","_","_","_","_","_","_",50270,-0.47
"JUL 1953",93961,1884,2.05,"_","_","_","_","_","_","_","_","_","_","_","_",45184,6.59
"AGO 1953",104370,7203,7.41,"_","_","_","_","_","_","_","_","_","_","_","_",42250,-14.07
"SEP 1953",108634,8405,8.39,"_","_","_","_","_","_","_","_","_","_","_","_",42820,-4.98
"OCT 1953",116040,8649,8.05,"_","_","_","_","_","_","_","_","_","_","_","_",53167,2.49
"NOV 1953",118885,12757,12.02,"_","_","_","_","_","_","_","_","_","_","_","_",49013,4.15
"DIC 1953",119052,13145,12.41,"_","_","_","_","_","_","_","_","_","_","_","_",44359,-3.82
"ENE 1954",123909,14681,13.44,"_","_","_","_","_","_","_","_","_","_","_","_",53183,14.36
"FEB 1954",131280,21563,19.65,"_","_","_","_","_","_","_","_","_","_","_","_",48188,6.26
"MAR 1954",130187,19798,17.93,"_","_","_","_","_","_","_","_","_","_","_","_",52907,6.74
"ABR 1954",123719,16228,15.10,"_","_","_","_","_","_","_","_","_","_","_","_",52106,9.74
"MAY 1954",114076,17171,17.72,"_","_","_","_","_","_","_","_","_","_","_","_",52134,-22.80
"JUN 1954",104558,13095,14.32,"_","_","_","_","_","_","_","_","_","_","_","_",47987,-4.54
"JUL 1954",108841,14880,15.84,"_","_","_","_","_","_","_","_","_","_","_","_",46644,3.23
"AGO 1954",116209,11839,11.34,"_","_","_","_","_","_","_","_","_","_","_","_",33892,-19.78
"SEP 1954",122556,13922,12.82,"_","_","_","_","_","_","_","_","_","_","_","_",37480,-12.47
"OCT 1954",133069,17029,14.68,"_","_","_","_","_","_","_","_","_","_","_","_",55317,4.04
"NOV 1954",133867,14982,12.60,"_","_","_","_","_","_","_","_","_","_","_","_",46462,-5.20
"DIC 1954",128966,9914,8.33,"_","_","_","_","_","_","_","_","_","_","_","_",52473,18.29
"ENE 1955",125289,1380,1.11,"_","_","_","_","_","_","_","_","_","_","_","_",49365,-7.18
