"","IE_7_2.1","IE_7_2.2","IE_7_2.3","IE_7_2.4","IE_7_2.5","IE_7_2.6","IE_7_2.7","IE_7_2.8","IE_7_2.9","IE_7_2.10","IE_7_2.11","IE_7_2.12","IE_7_2.13","IE_7_2.14","IE_7_2.15","IE_7_2.16"
"NÚMERO SECUENCIAL",2386887,2386889,2386894,2386913,2386914,2386895,2408038,2408040,2386896,2408037,2408039,2386897,2386888,2386898,2386899,2386900
"DESCRIPCIÓN DE LA SERIE","CF. Neto (VNA-VNP)","CF.  Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. VNA","CF. Inversión directa.VNP","CF. Inversión de cartera. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNA","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNP","CF. Otra inversión. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Otra inversión. Total sectores excluido el Banco de España. VNA","CF. Otra inversión. Total sectores excluido el Banco de España. VNP","CF. Derivados finan. y opciones de compra de acciones. Total sectores excluido el BE. Neto","CF.  Banco de España. Neto (VNA-VNP)","CF. Activos de reserva. Todas las monedas excepto moneda nacional. Banco de España. VNA","CF. Activos netos del Banco de España frente al Eurosistema. Banco de España. Neto (VNA-VNP)","CF. Otros activos netos del Banco de España. Neto (VNA-VNP)"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"JUL 2009",-2424,1107,816,705,-111,-8453,-3653,4800,7369,-7517,-14886,1375,-3531,348,-4015,136
"AGO 2009",-2546,3611,-1672,1494,3166,-6493,-95,6398,9627,7403,-2224,2149,-6158,2692,-6099,-2750
"SEP 2009",-4814,-3157,-1322,-336,986,-3436,3823,7259,612,7574,6962,988,-1656,285,-2001,60
"OCT 2009",-6055,-12247,-294,980,1274,-11764,-256,11508,-340,-230,110,151,6191,38,6159,-6
"NOV 2009",-5357,-16659,1857,5179,3323,-15214,1005,16219,-4477,-6642,-2165,1175,11302,-71,11663,-289
"DIC 2009",-1310,9402,2529,-3697,-6226,87,-1290,-1376,6341,14355,8014,446,-10712,444,-11581,425
"ENE 2010",-3491,-6810,800,3709,2909,-13421,-3273,10148,5916,7383,1467,-104,3319,2,3730,-413
"FEB 2010",-5956,-1267,-7782,-5505,2277,20496,-676,-21172,-13308,-12396,912,-672,-4689,113,-4298,-504
"MAR 2010",-7070,-5294,-790,1625,2415,-1151,3214,4365,-668,-2232,-1564,-2685,-1776,-1,-1603,-172
"ABR 2010",-3013,-10045,-1008,549,1557,-4551,-8383,-3832,-3949,1113,5063,-536,7032,6,7566,-540
"MAY 2010",-4790,35147,3760,4296,535,11555,-6962,-18517,21750,9105,-12645,-1919,-39937,413,-42402,2051
"JUN 2010",-2599,32496,881,99,-781,4746,-9381,-14128,30123,2574,-27549,-3254,-35096,9,-27477,-7627
"JUL 2010",-1916,-4181,850,277,-573,-6831,-9210,-2379,2961,1286,-1676,-1161,2265,52,3552,-1338
"AGO 2010",-3020,-20924,5210,6483,1272,-13293,-3937,9357,-13719,4993,18711,877,17904,-32,17970,-34
"SEP 2010",-6731,-31593,4081,9690,5609,-9290,-5237,4053,-26592,-14521,12071,208,24862,2,24966,-106
"OCT 2010",-1831,-18838,-2798,276,3074,-22635,-7748,14887,4740,17978,13239,1855,17007,212,16092,703
"NOV 2010",-1170,-2052,-2172,4646,6818,4388,-4705,-9093,-3831,-10430,-6598,-437,883,5,83,795
"DIC 2010",-1347,6123,-2495,2842,5337,1588,-8068,-9656,7808,12774,4966,-779,-7470,35,-7967,462
"ENE 2011",-5689,-9247,1209,5727,4518,-11138,-6548,4590,1402,13793,12391,-720,3557,216,2836,506
"FEB 2011",-1303,-6303,-1196,1478,2673,-14801,-3154,11647,10223,-2933,-13156,-530,5000,58,5121,-180
"MAR 2011",-2276,-4759,3427,6060,2633,2649,1517,-1132,-9659,194,9853,-1176,2483,218,2938,-673
"ABR 2011",-333,-2919,4147,7930,3782,5594,756,-4838,-14697,-195,14502,2037,2586,50,2495,41
"MAY 2011",-5683,9793,2354,2313,-41,8367,-3981,-12347,-1493,14897,16390,565,-15476,59,-15530,-5
"JUN 2011",-1032,-8050,2126,-5001,-7127,5792,-5220,-11012,-16312,-3082,13230,344,7018,27,7702,-711
"JUL 2011",-5128,5967,-282,2382,2664,3863,-4795,-8658,2168,-3763,-5932,218,-11095,1462,-11311,-1246
"AGO 2011",837,18590,923,1690,766,9090,-1100,-10191,7279,4660,-2619,1297,-17753,43,-21553,3756
"SEP 2011",-3931,6333,-1960,2756,4717,596,-1871,-2467,7924,1716,-6208,-227,-10264,92,-10396,40
"OCT 2011",-1735,17111,-943,2522,3466,6670,-3630,-10300,11606,5255,-6351,-221,-18845,948,-19867,73
"NOV 2011",-4293,18183,-677,2030,2707,-3736,-8382,-4646,23292,4732,-18560,-696,-22476,3688,-28690,2527
"DIC 2011",839,34805,97,2633,2536,13305,-5535,-18840,20226,-1380,-21606,1177,-33966,3160,-37801,675
"ENE 2012",-2047,6696,-2609,-1234,1374,7504,0,-7504,1645,-3400,-5046,155,-8743,71,-8017,-797
"FEB 2012",-5567,23233,-1473,990,2462,7047,2216,-4831,20367,8133,-12234,-2708,-28800,111,-27134,-1777
"MAR 2012",-1680,65109,-1648,-358,1290,24648,719,-23929,42339,18797,-23542,-229,-66789,30,-64664,-2156
"ABR 2012",-1499,26411,-1460,1859,3319,23333,-4149,-27481,3453,1041,-2412,1086,-27911,152,-25728,-2334
"MAY 2012",513,43629,1923,1940,16,10285,-2574,-12859,31705,19663,-12042,-284,-43117,243,-43331,-29
"JUN 2012",-148,61693,2890,-876,-3766,15079,-2090,-17169,44124,18589,-25535,-400,-61841,3502,-64978,-364
"JUL 2012",-2609,16137,867,-21,-887,5150,-6644,-11794,13689,-9755,-23444,-3568,-18745,-2025,-14719,-2001
"AGO 2012",187,10553,1021,2456,1435,-75,581,656,10119,-9584,-19704,-512,-10366,122,-9758,-731
"SEP 2012",4064,-31372,-3952,-3276,675,-10625,-1257,9368,-16097,-8923,7174,-699,35436,14,35813,-390
"OCT 2012",1872,-17516,-2744,3465,6209,-17881,-7757,10124,3825,1163,-2662,-716,19388,-2,21092,-1702
"NOV 2012",401,-14860,-7255,-4103,3152,-32321,-13046,19275,25499,1782,-23717,-783,15261,13,17179,-1930
"DIC 2012",8263,-19206,-6681,-2771,3910,23259,37759,14500,-36094,2514,38608,310,27469,-18,29642,-2155
"ENE 2013",-4152,-32395,-3432,1615,5046,-10219,222,10441,-18329,-3948,14382,-416,28243,934,28375,-1066
"FEB 2013",-4678,-16219,-2449,440,2889,-1465,272,1737,-12760,-1997,10763,455,11542,14,13053,-1526
"MAR 2013",5920,6426,430,4676,4246,13409,322,-13087,-7342,2221,9563,-71,-506,-148,-197,-160
"ABR 2013",11746,5091,-1006,1483,2489,3323,-3093,-6416,3680,3688,7,-907,6655,-133,9446,-2657
"MAY 2013",7896,4284,-2566,175,2741,-3808,1114,4922,10251,-2342,-12594,407,3612,-157,5159,-1391
"JUN 2013",-8706,-11047,268,2607,2339,11525,-2233,-13758,-22205,-16970,5235,-635,2341,-72,2518,-105
"JUL 2013",-574,-667,-1650,-2390,-740,-4855,-4555,299,5603,-32627,-38230,235,93,-98,2839,-2648
"AGO 2013",4245,4999,1799,4150,2351,440,2387,1946,2453,-6156,-8609,306,-754,-25,1892,-2621
"SEP 2013",6709,-5466,-1289,2426,3715,-7495,-920,6575,2983,7943,4960,334,12175,121,14711,-2656
"OCT 2013",-2217,-6222,-6469,-944,5525,-554,-3846,-3292,964,-2747,-3711,-163,4006,124,6167,-2285
"NOV 2013",5636,-17006,1158,3464,2306,-16392,4718,21110,-2071,-6650,-4579,298,22642,-5,23866,-1219
"DIC 2013",13311,-13715,803,1843,1040,-18441,-836,17605,2726,214,-2512,1197,27026,-20,28859,-1813
"ENE 2014",4615,11469,333,4573,4240,14703,8381,-6323,-4154,-3935,219,586,-6853,37,8,-6899
"FEB 2014",-2289,8523,5136,6163,1028,5477,4792,-685,-1826,-5241,-3414,-263,-10812,-101,-10002,-709
"MAR 2014",3986,-1190,-284,4140,4424,-2057,6741,8797,650,5892,5242,501,5176,26,6170,-1021
"ABR 2014",2061,6361,-2327,709,3036,13549,8437,-5112,-3406,2387,5793,-1454,-4300,103,-2065,-2338
"MAY 2014",-3611,-8894,-985,1501,2487,-17783,-1173,16610,9784,12722,2938,90,5283,-80,7275,-1911
"JUN 2014",10796,-4258,4000,6654,2654,-24404,-1219,23185,15945,7800,-8145,202,15054,96,15839,-881
"JUL 2014",-1845,5498,-9419,-1099,8320,21180,4181,-16999,-6255,-2473,3782,-9,-7343,45,-5233,-2155
"AGO 2014",-824,-3793,-3577,2261,5838,6540,10910,4370,-6945,-16050,-9105,190,2969,-8,5302,-2326
"SEP 2014",4540,2926,5380,4941,-440,5720,2967,-2753,-8210,9357,17567,35,1614,40,3669,-2095
"OCT 2014",9269,438,723,3419,2696,18643,8243,-10400,-19662,-4167,15495,733,8831,28,11892,-3089
"NOV 2014",1706,-10570,4453,3998,-456,-15966,8944,24910,767,12419,11652,176,12276,2634,10078,-436
"DIC 2014",-7300,-12067,5923,-3063,-8986,-31704,-8247,23456,13392,-23833,-37225,322,4767,1067,4039,-339
"ENE 2015",-8981,-7793,-973,2279,3252,-21285,10816,32102,14733,3512,-11221,-267,-1188,-109,-1069,-10
"FEB 2015",3486,717,682,1287,605,5367,11376,6009,-5379,1320,6699,47,2769,2596,632,-459
"MAR 2015",4916,21292,1990,4410,2420,14825,13877,-948,5051,8040,2989,-574,-16375,2170,-20065,1520
"ABR 2015",-5529,-11609,-1690,5450,7140,-4060,9474,13535,-5552,-11811,-6259,-306,6080,1,6926,-847
"MAY 2015",7761,9469,11582,10795,-786,4677,9335,4658,-6758,-5392,1365,-32,-1708,84,-2989,1196
"JUN 2015",6928,20124,4657,2407,-2251,4442,4366,-76,11256,6596,-4660,-232,-13196,32,-14489,1262
"JUL 2015",12076,12142,1015,5287,4272,12953,5641,-7311,-2058,2186,4244,233,-66,-97,1203,-1172
"AGO 2015",-6864,-6377,730,2785,2055,-17314,5131,22445,10471,-862,-11333,-264,-486,131,-158,-459
"SEP 2015",5077,4284,4210,2445,-1765,3514,2179,-1334,-3391,7895,11286,-48,794,52,2048,-1307
"OCT 2015",15592,9822,-891,2194,3085,8680,5610,-3070,1900,-6900,-8801,132,5771,60,2996,2714
"NOV 2015",-7799,3798,-1257,-757,500,2099,4118,2020,2680,9656,6975,276,-11597,97,-13160,1465
"DIC 2015",6756,17712,2797,4137,1340,-6124,-11740,-5616,21411,-4414,-25825,-371,-10956,50,-12803,1796
"ENE 2016",-9310,-15978,2264,4139,1876,-7915,1224,9139,-9533,-10581,-1048,-793,6667,39,6619,9
