"","IE_2_7.1","IE_2_7.2","IE_2_7.3","IE_2_7.4","IE_2_7.5","IE_2_7.6","IE_2_7.7","IE_2_7.8","IE_2_7.9","IE_2_7.10","IE_2_7.11"
"FEB 1968","_","_","_","_","_","_","_","_",12.618,35.2000,"_"
"MAR 1968","_","_","_","_","_","_","_","_",14.267,39.8000,"_"
"ABR 1968","_","_","_","_","_","_","_","_",14.016,39.1000,"_"
"MAY 1968","_","_","_","_","_","_","_","_",15.038,41.9500,"_"
"JUN 1968","_","_","_","_","_","_","_","_",14.661,40.9000,"_"
"JUL 1968","_","_","_","_","_","_","_","_",13.926,38.8500,"_"
"AGO 1968","_","_","_","_","_","_","_","_",14.267,39.8000,"_"
"SEP 1968","_","_","_","_","_","_","_","_",14.195,39.6000,"_"
"OCT 1968","_","_","_","_","_","_","_","_",13.980,39.0000,"_"
"NOV 1968","_","_","_","_","_","_","_","_",14.285,39.8500,"_"
"DIC 1968","_","_","_","_","_","_","_","_",15.020,41.9000,"_"
"ENE 1969","_","_","_","_","_","_","_","_",15.249,42.5400,"_"
"FEB 1969","_","_","_","_","_","_","_","_",15.306,42.7000,"_"
"MAR 1969","_","_","_","_","_","_","_","_",15.378,42.9000,"_"
"ABR 1969","_","_","_","_","_","_","_","_",15.629,43.6000,"_"
"MAY 1969","_","_","_","_","_","_","_","_",15.443,43.0800,"_"
"JUN 1969","_","_","_","_","_","_","_","_",14.769,41.2000,"_"
"JUL 1969","_","_","_","_","_","_","_","_",14.837,41.3900,"_"
"AGO 1969","_","_","_","_","_","_","_","_",14.647,40.8600,"_"
"SEP 1969","_","_","_","_","_","_","_","_",14.582,40.6800,"_"
"OCT 1969","_","_","_","_","_","_","_","_",14.249,39.7500,"_"
"NOV 1969","_","_","_","_","_","_","_","_",12.761,35.6000,"_"
"DIC 1969","_","_","_","_","_","_","_","_",12.618,35.2000,"_"
"ENE 1970","_","_","_","_","_","_","_","_",12.543,34.9900,"_"
"FEB 1970","_","_","_","_","_","_","_","_",12.553,35.0200,"_"
"MAR 1970","_","_","_","_","_","_","_","_",12.654,35.3000,"_"
"ABR 1970","_","_","_","_","_","_","_","_",12.851,35.8500,"_"
"MAY 1970","_","_","_","_","_","_","_","_",12.708,35.4500,"_"
"JUN 1970","_","_","_","_","_","_","_","_",12.722,35.4900,"_"
"JUL 1970","_","_","_","_","_","_","_","_",12.654,35.3000,"_"
"AGO 1970","_","_","_","_","_","_","_","_",12.833,35.8000,"_"
"SEP 1970","_","_","_","_","_","_","_","_",13.048,36.4000,"_"
"OCT 1970","_","_","_","_","_","_","_","_",13.353,37.2500,"_"
"NOV 1970","_","_","_","_","_","_","_","_",13.457,37.5400,"_"
"DIC 1970","_","_","_","_","_","_","_","_",13.396,37.3700,"_"
"ENE 1971","_","_","_","_","_","_","_","_",13.640,38.0500,"_"
"FEB 1971","_","_","_","_","_","_","_","_",13.908,38.8000,"_"
"MAR 1971","_","_","_","_","_","_","_","_",13.933,38.8700,"_"
"ABR 1971","_","_","_","_","_","_","_","_",14.231,39.7000,"_"
"MAY 1971","_","_","_","_","_","_","_","_",14.640,40.8400,"_"
"JUN 1971","_","_","_","_","_","_","_","_",14.374,40.1000,"_"
"JUL 1971","_","_","_","_","_","_","_","_",15.199,42.4000,"_"
"AGO 1971","_","_","_","_","_","_","_","_",14.572,40.6500,"_"
"SEP 1971","_","_","_","_","_","_","_","_",15.271,42.6000,"_"
"OCT 1971","_","_","_","_","_","_","_","_",15.177,42.3400,"_"
"NOV 1971","_","_","_","_","_","_","_","_",15.629,43.6000,"_"
"DIC 1971","_","_","_","_","_","_","_","_",15.640,43.6300,"_"
"ENE 1972","_","_","_","_","_","_","_","_",16.902,47.1500,"_"
"FEB 1972","_","_","_","_","_","_","_","_",17.278,48.2000,"_"
"MAR 1972","_","_","_","_","_","_","_","_",17.342,48.3800,"_"
"ABR 1972","_","_","_","_","_","_","_","_",17.780,49.6000,"_"
"MAY 1972","_","_","_","_","_","_","_","_",21.311,59.4500,"_"
"JUN 1972","_","_","_","_","_","_","_","_",23.175,64.6500,"_"
"JUL 1972","_","_","_","_","_","_","_","_",24.483,68.3000,"_"
"AGO 1972","_","_","_","_","_","_","_","_",23.970,66.8700,"_"
"SEP 1972","_","_","_","_","_","_","_","_",23.013,64.2000,"_"
"OCT 1972","_","_","_","_","_","_","_","_",23.081,64.3900,"_"
"NOV 1972","_","_","_","_","_","_","_","_",22.798,63.6000,"_"
"DIC 1972","_","_","_","_","_","_","_","_",23.264,64.9000,"_"
"ENE 1973","_","_","_","_","_","_","_","_",23.659,66.0000,"_"
"FEB 1973","_","_","_","_","_","_","_","_",30.469,85.0000,"_"
"MAR 1973","_","_","_","_","_","_","_","_",32.262,90.0000,"_"
"ABR 1973","_","_","_","_","_","_","_","_",32.520,90.7200,"_"
"MAY 1973","_","_","_","_","_","_","_","_",36.368,101.4552,"_"
"JUN 1973","_","_","_","_","_","_","_","_",43.052,120.1029,"_"
"JUL 1973","_","_","_","_","_","_","_","_",43.117,120.2825,"_"
"AGO 1973","_","_","_","_","_","_","_","_",53.159,148.2976,"_"
"SEP 1973","_","_","_","_","_","_","_","_",36.911,102.9700,"_"
"OCT 1973","_","_","_","_","_","_","_","_",35.844,99.9932,"_"
"NOV 1973","_","_","_","_","_","_","_","_",33.987,94.8119,"_"
"DIC 1973","_","_","_","_","_","_","_","_",38.138,106.3941,"_"
"ENE 1974","_","_","_","_","_","_","_","_",46.155,128.7595,"_"
"FEB 1974","_","_","_","_","_","_","_","_",53.924,150.4325,"_"
"MAR 1974","_","_","_","_","_","_","_","_",60.362,168.3925,"_"
"ABR 1974","_","_","_","_","_","_","_","_",61.318,171.0579,"_"
"MAY 1974","_","_","_","_","_","_","_","_",58.458,163.0789,"_"
"JUN 1974","_","_","_","_","_","_","_","_",55.153,153.8611,"_"
"JUL 1974","_","_","_","_","_","_","_","_",51.132,142.6429,"_"
"AGO 1974","_","_","_","_","_","_","_","_",55.461,154.7200,"_"
"SEP 1974","_","_","_","_","_","_","_","_",54.411,151.7905,"_"
"OCT 1974","_","_","_","_","_","_","_","_",56.915,158.7761,"_"
"NOV 1974","_","_","_","_","_","_","_","_",65.366,182.3500,"_"
"DIC 1974","_","_","_","_","_","_","_","_",65.846,183.6889,"_"
"ENE 1975","_","_","_","_","_","_","_","_",63.290,176.5605,"_"
"FEB 1975","_","_","_","_","_","_","_","_",64.279,179.3184,"_"
"MAR 1975","_","_","_","_","_","_","_","_",63.854,178.1323,"_"
"ABR 1975","_","_","_","_","_","_","_","_",60.902,169.8977,"_"
"MAY 1975","_","_","_","_","_","_","_","_",59.924,167.1700,"_"
"JUN 1975","_","_","_","_","_","_","_","_",58.878,164.2500,"_"
"JUL 1975","_","_","_","_","_","_","_","_",59.241,165.2636,"_"
"AGO 1975","_","_","_","_","_","_","_","_",58.415,162.9600,"_"
"SEP 1975","_","_","_","_","_","_","_","_",51.581,143.8952,"_"
"OCT 1975","_","_","_","_","_","_","_","_",51.166,142.7370,"_"
"NOV 1975","_","_","_","_","_","_","_","_",51.060,142.4421,"_"
"DIC 1975","_","_","_","_","_","_","_","_",49.911,139.2350,"_"
"ENE 1976","_","_","_","_","_","_","_","_",47.140,131.5047,"_"
"FEB 1976","_","_","_","_","_","_","_","_",46.987,131.0800,"_"
"MAR 1976","_","_","_","_","_","_","_","_",47.489,132.4795,"_"
"ABR 1976","_","_","_","_","_","_","_","_",45.867,127.9550,"_"
"MAY 1976","_","_","_","_","_","_","_","_",45.496,126.9200,"_"
"JUN 1976","_","_","_","_","_","_","_","_",45.059,125.7000,"_"
"JUL 1976","_","_","_","_","_","_","_","_",42.211,117.7545,"_"
"AGO 1976","_","_","_","_","_","_","_","_",39.412,109.9476,"_"
"SEP 1976","_","_","_","_","_","_","_","_",40.916,114.1432,"_"
"OCT 1976","_","_","_","_","_","_","_","_",41.656,116.2071,"_"
"NOV 1976","_","_","_","_","_","_","_","_",46.766,130.4619,"_"
"DIC 1976","_","_","_","_","_","_","_","_",47.970,133.8225,"_"
"ENE 1977","_","_","_","_","_","_","_","_",47.412,132.2637,"_"
"FEB 1977","_","_","_","_","_","_","_","_",48.858,136.2987,"_"
"MAR 1977","_","_","_","_","_","_","_","_",53.134,148.2282,"_"
"ABR 1977","_","_","_","_","_","_","_","_",53.480,149.1917,"_"
"MAY 1977","_","_","_","_","_","_","_","_",52.598,146.7333,"_"
"JUN 1977","_","_","_","_","_","_","_","_",50.438,140.7055,"_"
"JUL 1977","_","_","_","_","_","_","_","_",51.347,143.2425,"_"
"AGO 1977","_","_","_","_","_","_","_","_",51.959,144.9500,"_"
"SEP 1977","_","_","_","_","_","_","_","_",53.599,149.5238,"_"
"OCT 1977","_","_","_","_","_","_","_","_",56.936,158.8337,"_"
"NOV 1977","_","_","_","_","_","_","_","_",58.107,162.1000,"_"
"DIC 1977","_","_","_","_","_","_","_","_",57.515,160.4500,"_"
"ENE 1978","_","_","_","_","_","_","_","_",62.031,173.0476,"_"
"FEB 1978","_","_","_","_","_","_","_","_",63.862,178.1550,"_"
"MAR 1978","_","_","_","_","_","_","_","_",65.840,183.6725,"_"
"ABR 1978","_","_","_","_","_","_","_","_",62.824,175.2600,"_"
"MAY 1978","_","_","_","_","_","_","_","_",63.218,176.3600,"_"
"JUN 1978","_","_","_","_","_","_","_","_",65.868,183.7523,"_"
"JUL 1978","_","_","_","_","_","_","_","_",67.651,188.7262,"_"
"AGO 1978","_","_","_","_","_","_","_","_",73.951,206.3000,"_"
"SEP 1978","_","_","_","_","_","_","_","_",76.024,212.0833,"_"
"OCT 1978","_","_","_","_","_","_","_","_",81.512,227.3932,"_"
"NOV 1978","_","_","_","_","_","_","_","_",73.869,206.0727,"_"
"DIC 1978","_","_","_","_","_","_","_","_",74.501,207.8342,"_"
"ENE 1979","_","_","_","_","_","_","_","_",81.468,227.2704,"_"
"FEB 1979","_","_","_","_","_","_","_","_",88.064,245.6700,"_"
"MAR 1979","_","_","_","_","_","_","_","_",86.765,242.0477,"_"
"ABR 1979","_","_","_","_","_","_","_","_",85.730,239.1605,"_"
"MAY 1979","_","_","_","_","_","_","_","_",92.346,257.6165,"_"
"JUN 1979","_","_","_","_","_","_","_","_",100.030,279.0522,"_"
"JUL 1979","_","_","_","_","_","_","_","_",105.641,294.7053,"_"
"AGO 1979","_","_","_","_","_","_","_","_",107.830,300.8135,"_"
"SEP 1979","_","_","_","_","_","_","_","_",127.295,355.1147,"_"
"OCT 1979","_","_","_","_","_","_","_","_",140.281,391.3411,"_"
"NOV 1979","_","_","_","_","_","_","_","_",140.515,391.9929,"_"
"DIC 1979","_","_","_","_","_","_","_","_",164.262,458.2410,"_"
"ENE 1980","_","_","_","_","_","_","_","_",244.050,680.8237,"_"
"FEB 1980","_","_","_","_","_","_","_","_",238.492,665.3188,"_"
"MAR 1980","_","_","_","_","_","_","_","_",198.523,553.8188,"_"
"ABR 1980","_","_","_","_","_","_","_","_",185.743,518.1653,"_"
"MAY 1980","_","_","_","_","_","_","_","_",184.185,513.8198,"_"
"JUN 1980","_","_","_","_","_","_","_","_",215.335,600.7166,"_"
"JUL 1980","_","_","_","_","_","_","_","_",230.951,644.2825,"_"
"AGO 1980","_","_","_","_","_","_","_","_",224.809,627.1475,"_"
"SEP 1980","_","_","_","_","_","_","_","_",241.470,673.6250,"_"
"OCT 1980","_","_","_","_","_","_","_","_",236.997,661.1477,"_"
"NOV 1980","_","_","_","_","_","_","_","_",223.488,623.4624,"_"
"DIC 1980","_","_","_","_","_","_","_","_",212.812,593.6804,"_"
"ENE 1981","_","_","_","_","_","_","_","_",199.803,557.3875,"_"
"FEB 1981","_","_","_","_","_","_","_","_",179.146,499.7625,"_"
"MAR 1981","_","_","_","_","_","_","_","_",178.779,498.7385,"_"
"ABR 1981","_","_","_","_","_","_","_","_",177.726,495.7998,"_"
"MAY 1981","_","_","_","_","_","_","_","_",171.864,479.4473,"_"
"JUN 1981","_","_","_","_","_","_","_","_",165.166,460.7612,"_"
"JUL 1981","_","_","_","_","_","_","_","_",146.713,409.2839,"_"
"AGO 1981","_","_","_","_","_","_","_","_",147.026,410.1575,"_"
"SEP 1981","_","_","_","_","_","_","_","_",159.068,443.7500,"_"
"OCT 1981","_","_","_","_","_","_","_","_",156.919,437.7544,"_"
"NOV 1981","_","_","_","_","_","_","_","_",148.177,413.3689,"_"
"DIC 1981","_","_","_","_","_","_","_","_",147.003,410.0920,"_"
"ENE 1982","_","_","_","_","_","_","_","_",137.695,384.1250,"_"
"FEB 1982","_","_","_","_","_","_","_","_",134.112,374.1299,"_"
"MAR 1982","_","_","_","_","_","_","_","_",118.385,330.2585,"_"
"ABR 1982","_","_","_","_","_","_","_","_",125.583,350.3374,"_"
"MAY 1982","_","_","_","_","_","_","_","_",119.662,333.8184,"_"
"JUN 1982","_","_","_","_","_","_","_","_",112.824,314.7432,"_"
"JUL 1982","_","_","_","_","_","_","_","_",121.509,338.9727,"_"
"AGO 1982","_","_","_","_","_","_","_","_",130.562,364.2261,"_"
"SEP 1982","_","_","_","_","_","_","_","_",156.760,437.3113,"_"
"OCT 1982","_","_","_","_","_","_","_","_",151.324,422.1475,"_"
"NOV 1982","_","_","_","_","_","_","_","_",148.731,414.9136,"_"
"DIC 1982","_","_","_","_","_","_","_","_",159.262,444.2920,"_"
"ENE 1983","_","_","_","_","_","_","_","_",172.524,481.2874,"_"
"FEB 1983","_","_","_","_","_","_","_","_",176.046,491.1123,"_"
"MAR 1983","_","_","_","_","_","_","_","_",150.445,419.6956,"_"
"ABR 1983","_","_","_","_","_","_","_","_",155.172,432.8813,"_"
"MAY 1983","_","_","_","_","_","_","_","_",157.009,438.0073,"_"
"JUN 1983","_","_","_","_","_","_","_","_",147.988,412.8408,"_"
"JUL 1983","_","_","_","_","_","_","_","_",151.528,422.7166,"_"
"AGO 1983","_","_","_","_","_","_","_","_",149.259,416.3862,"_"
"SEP 1983","_","_","_","_","_","_","_","_",147.616,411.8022,"_"
"OCT 1983","_","_","_","_","_","_","_","_",141.083,393.5784,"_"
"NOV 1983","_","_","_","_","_","_","_","_",136.877,381.8430,"_"
"DIC 1983","_","_","_","_","_","_","_","_",139.223,388.3887,"_"
"ENE 1984","_","_","_","_","_","_","_","_",132.950,370.8879,"_"
"FEB 1984","_","_","_","_","_","_","_","_",138.338,385.9211,"_"
"MAR 1984","_","_","_","_","_","_","_","_",141.329,394.2634,"_"
"ABR 1984","_","_","_","_","_","_","_","_",136.635,381.1680,"_"
"MAY 1984","_","_","_","_","_","_","_","_",135.301,377.4473,"_"
"JUN 1984","_","_","_","_","_","_","_","_",135.379,377.6653,"_"
"JUL 1984","_","_","_","_","_","_","_","_",124.554,347.4680,"_"
"AGO 1984","_","_","_","_","_","_","_","_",124.630,347.6794,"_"
"SEP 1984","_","_","_","_","_","_","_","_",122.269,341.0923,"_"
"OCT 1984","_","_","_","_","_","_","_","_",121.940,340.1738,"_"
"NOV 1984","_","_","_","_","_","_","_","_",122.299,341.1770,"_"
"DIC 1984","_","_","_","_","_","_","_","_",114.757,320.1353,"_"
"ENE 1985","_","_","_","_","_","_","_","_",108.539,302.7908,"_"
"FEB 1985","_","_","_","_","_","_","_","_",107.216,299.0999,"_"
"MAR 1985","_","_","_","_","_","_","_","_",108.952,303.9426,"_"
"ABR 1985","_","_","_","_","_","_","_","_",116.598,325.2722,"_"
"MAY 1985","_","_","_","_","_","_","_","_",113.475,316.5598,"_"
"JUN 1985","_","_","_","_","_","_","_","_",113.450,316.4897,"_"
"JUL 1985","_","_","_","_","_","_","_","_",113.713,317.2236,"_"
"AGO 1985","_","_","_","_","_","_","_","_",118.250,329.8809,"_"
"SEP 1985","_","_","_","_","_","_","_","_",115.909,323.3499,"_"
"OCT 1985","_","_","_","_","_","_","_","_",116.803,325.8433,"_"
"NOV 1985","_","_","_","_","_","_","_","_",116.606,325.2949,"_"
"DIC 1985","_","_","_","_","_","_","_","_",115.324,321.7192,"_"
"ENE 1986","_","_","_","_","_","_","_",17.44,123.777,345.2998,"_"
"FEB 1986","_","_","_","_","_","_","_",17.44,121.479,338.8899,"_"
"MAR 1986","_","_","_","_","_","_","_",13.97,123.921,345.6997,"_"
"ABR 1986","_","_","_","_","_","_","_",12.27,122.035,340.4385,"_"
"MAY 1986","_","_","_","_","_","_","_",14.10,122.708,342.3164,"_"
"JUN 1986","_","_","_","_","_","_","_",11.95,122.851,342.7166,"_"
"JUL 1986","_","_","_","_","_","_","_",9.74,124.881,348.3801,"_"
"AGO 1986","_","_","_","_","_","_","_",13.99,134.993,376.5898,"_"
