"","IE_2_7.1","IE_2_7.2","IE_2_7.3","IE_2_7.4","IE_2_7.5","IE_2_7.6","IE_2_7.7","IE_2_7.8","IE_2_7.9","IE_2_7.10","IE_2_7.11"
"NÚMERO SECUENCIAL",1175935,1175914,1175915,1175916,1175917,1175918,1175937,250767,1176104,252168,891012
"DESCRIPCIÓN DE LA SERIE","Índice de precios internacionales de materias primas en euros. Base 2000=100","Índice de precios internacionales de materias primas en $USA. Base 2000=100","Índice de precios internacionales de materias primas en $USA. Alimentos. Base 2000=100","Índice de precios internacionales de materias primas en $USA. Productos industriales. Base 2000=100","Índice de precios internacionales de materias primas en $USA. Productos agrícolas no alimenticios. Base 2000=100","Índice de precios internacionales de materias primas en $USA. Metales. Base 2000=100","Economía mundial. Indice precio petróleo en dólares. Base 2000=100","Precio petróleo tipo North Sea Brent. Spot. $USA por barril","Indice del fixing del oro en $USA 15.30h. Londres. Base 2000=100 ","Tipo de cambio del oro Londres, fixing 15.30 h. $USA por onza troy.","Tipos de cambio. Euros por gramo de oro fino"
"DESCRIPCIÓN DE LAS UNIDADES","Base 2000 = 100","Base 2000 = 100","Base 2000 = 100","Base 2000 = 100","Base 2000 = 100","Base 2000 = 100","Base 2000 = 100","Dólares de Estados Unidos por barril","Base 2000 = 100","Dólares de Estados Unidos por onza troy","Euros por gramo"
"ENE 1957","_","_","_","_","_","_","_","_",12.500,34.8700,"_"
"FEB 1957","_","_","_","_","_","_","_","_",12.503,34.8800,"_"
"MAR 1957","_","_","_","_","_","_","_","_",12.521,34.9300,"_"
"ABR 1957","_","_","_","_","_","_","_","_",12.518,34.9200,"_"
"MAY 1957","_","_","_","_","_","_","_","_",12.525,34.9400,"_"
"JUN 1957","_","_","_","_","_","_","_","_",12.546,35.0000,"_"
"JUL 1957","_","_","_","_","_","_","_","_",12.546,35.0000,"_"
"AGO 1957","_","_","_","_","_","_","_","_",12.532,34.9600,"_"
"SEP 1957","_","_","_","_","_","_","_","_",12.528,34.9500,"_"
"OCT 1957","_","_","_","_","_","_","_","_",12.535,34.9700,"_"
"NOV 1957","_","_","_","_","_","_","_","_",12.539,34.9800,"_"
"DIC 1957","_","_","_","_","_","_","_","_",12.546,35.0000,"_"
"ENE 1958","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"FEB 1958","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAR 1958","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"ABR 1958","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"MAY 1958","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"JUN 1958","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"JUL 1958","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"AGO 1958","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"SEP 1958","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"OCT 1958","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"NOV 1958","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"DIC 1958","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"ENE 1959","_","_","_","_","_","_","_","_",12.564,35.0500,"_"
"FEB 1959","_","_","_","_","_","_","_","_",12.568,35.0600,"_"
"MAR 1959","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"ABR 1959","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"MAY 1959","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"JUN 1959","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"JUL 1959","_","_","_","_","_","_","_","_",12.593,35.1300,"_"
"AGO 1959","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"SEP 1959","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"OCT 1959","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"NOV 1959","_","_","_","_","_","_","_","_",12.568,35.0600,"_"
"DIC 1959","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"ENE 1960","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"FEB 1960","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"MAR 1960","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"ABR 1960","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"MAY 1960","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"JUN 1960","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"JUL 1960","_","_","_","_","_","_","_","_",12.593,35.1300,"_"
"AGO 1960","_","_","_","_","_","_","_","_",12.604,35.1600,"_"
"SEP 1960","_","_","_","_","_","_","_","_",12.629,35.2300,"_"
"OCT 1960","_","_","_","_","_","_","_","_",12.915,36.0300,"_"
"NOV 1960","_","_","_","_","_","_","_","_",12.768,35.6200,"_"
"DIC 1960","_","_","_","_","_","_","_","_",12.761,35.6000,"_"
"ENE 1961","_","_","_","_","_","_","_","_",12.675,35.3600,"_"
"FEB 1961","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAR 1961","_","_","_","_","_","_","_","_",12.578,35.0900,"_"
"ABR 1961","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAY 1961","_","_","_","_","_","_","_","_",12.568,35.0600,"_"
"JUN 1961","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"JUL 1961","_","_","_","_","_","_","_","_",12.596,35.1400,"_"
"AGO 1961","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"SEP 1961","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"OCT 1961","_","_","_","_","_","_","_","_",12.618,35.2000,"_"
"NOV 1961","_","_","_","_","_","_","_","_",12.604,35.1600,"_"
"DIC 1961","_","_","_","_","_","_","_","_",12.600,35.1500,"_"
"ENE 1962","_","_","_","_","_","_","_","_",12.604,35.1600,"_"
"FEB 1962","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAR 1962","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"ABR 1962","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"MAY 1962","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"JUN 1962","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"JUL 1962","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"AGO 1962","_","_","_","_","_","_","_","_",12.593,35.1300,"_"
"SEP 1962","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"OCT 1962","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"NOV 1962","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"DIC 1962","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"ENE 1963","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"FEB 1963","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"MAR 1963","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"ABR 1963","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAY 1963","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"JUN 1963","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"JUL 1963","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"AGO 1963","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"SEP 1963","_","_","_","_","_","_","_","_",12.571,35.0700,"_"
"OCT 1963","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"NOV 1963","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"DIC 1963","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"ENE 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"FEB 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAR 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"ABR 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"MAY 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"JUN 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"JUL 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"AGO 1964","_","_","_","_","_","_","_","_",12.575,35.0800,"_"
"SEP 1964","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"OCT 1964","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"NOV 1964","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"DIC 1964","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"ENE 1965","_","_","_","_","_","_","_","_",12.593,35.1300,"_"
"FEB 1965","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"MAR 1965","_","_","_","_","_","_","_","_",12.600,35.1500,"_"
"ABR 1965","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"MAY 1965","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"JUN 1965","_","_","_","_","_","_","_","_",12.582,35.1000,"_"
"JUL 1965","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"AGO 1965","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"SEP 1965","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"OCT 1965","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"NOV 1965","_","_","_","_","_","_","_","_",12.586,35.1100,"_"
"DIC 1965","_","_","_","_","_","_","_","_",12.589,35.1200,"_"
"ENE 1966","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"FEB 1966","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"MAR 1966","_","_","_","_","_","_","_","_",12.600,35.1500,"_"
"ABR 1966","_","_","_","_","_","_","_","_",12.593,35.1300,"_"
"MAY 1966","_","_","_","_","_","_","_","_",12.596,35.1400,"_"
"JUN 1966","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"JUL 1966","_","_","_","_","_","_","_","_",12.611,35.1800,"_"
"AGO 1966","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"SEP 1966","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"OCT 1966","_","_","_","_","_","_","_","_",12.600,35.1500,"_"
"NOV 1966","_","_","_","_","_","_","_","_",12.607,35.1700,"_"
"DIC 1966","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"ENE 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"FEB 1967","_","_","_","_","_","_","_","_",12.600,35.1500,"_"
"MAR 1967","_","_","_","_","_","_","_","_",12.611,35.1800,"_"
"ABR 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"MAY 1967","_","_","_","_","_","_","_","_",12.611,35.1800,"_"
"JUN 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"JUL 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"AGO 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"SEP 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"OCT 1967","_","_","_","_","_","_","_","_",12.614,35.1900,"_"
"NOV 1967","_","_","_","_","_","_","_","_",12.618,35.2000,"_"
"DIC 1967","_","_","_","_","_","_","_","_",12.618,35.2000,"_"
"ENE 1968","_","_","_","_","_","_","_","_",12.618,35.2000,"_"
