"","IE_8_9.1","IE_8_9.2","IE_8_9.3","IE_8_9.4","IE_8_9.5","IE_8_9.6","IE_8_9.7","IE_8_9.8","IE_8_9.9","IE_8_9.10","IE_8_9.11","IE_8_9.12","IE_8_9.13","IE_8_9.14","IE_8_9.15"
"MAR 1966",4143552,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1966",4308951,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1966",4460315,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1966",4736288,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1967",4820424,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1967",5053899,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1967",5195720,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1967","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1967",5496953,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1968",5604246,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1968",5843250,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1968",6052523,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1968","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1968",6684487,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1969",6828964,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1969",7227015,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1969",7578288,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1969","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1969",8079604,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1970",8210727,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1970",8513613,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1970",8647080,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1970",9294544,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1971",9410155,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1971",9809545,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1971",10120485,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1971","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1971",10892323,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1972",11092021,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1972",11744516,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1972",12354916,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1972","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1972",13457569,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1973",14002554,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1973",14985816,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1973",15893032,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1973","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1973",17134452,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1974",17837474,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1974",18921394,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1974",19951372,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1974","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1974",21612252,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1975",22335822,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1975",23464666,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1975",24371240,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1975","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1975",26324624,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1976",26998270,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1976",28527340,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1976",29647434,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1976","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1976",32354724,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1977",33525206,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1977",35611068,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1977",37021836,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1977","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1977",39490716,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1978",40013104,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1978",42003948,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1978",42735044,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1978","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1978",45294116,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1979",46336224,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1979",48314348,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1979",49916584,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1979","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1979",52991536,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1980",54666192,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1980",57236264,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1980",59294900,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1980",63205656,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1981",64144352,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1981",67321200,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1981",69325760,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1981","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1981",74259824,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1982",75477936,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1982",79043416,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1982",81378688,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1982","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1982",86138552,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1983",87382832,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1983",90023424,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1983",92069768,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1983","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1983",96407624,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1984",95169360,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1984",97039240,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1984",95028864,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1984","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1984",98677056,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1985",98213008,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1985",101915632,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1985",102803448,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1985",107814296,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1986",107567400,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1986",112325520,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1986",113751352,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1986",119030232,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1987",120383008,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1987",126119048,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1987",129986680,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1987",139317280,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1988",141176064,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1988",147071792,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1988",152950224,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
