"","IE_8_9.1","IE_8_9.2","IE_8_9.3","IE_8_9.4","IE_8_9.5","IE_8_9.6","IE_8_9.7","IE_8_9.8","IE_8_9.9","IE_8_9.10","IE_8_9.11","IE_8_9.12","IE_8_9.13","IE_8_9.14","IE_8_9.15"
"NÚMERO SECUENCIAL",2333577,2333578,2333603,2333604,2333605,2333606,2333611,2333579,2333580,2333581,2333585,2333586,2333587,2333588,2333456
"DESCRIPCIÓN DE LA SERIE","ENTIDADES DE CRÉDITO Y EFC. Credito a otros sectores residentes. Total","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación de actividades productivas","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación de agricultura, ganadería, caza, silvicultura y pesca","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación de industria (excepto construcción)","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación de construcción","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación de servicios","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación de actividades inmobiliarias","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para otras financiaciones a hogares por funciones de gasto","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para adquisición y rehabilitación de viviendas","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para adquisición de vivienda propia","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para adquisición de bienes de consumo duradero","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito. Resto de otras financiaciones a hogares","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito para financiación a instituciones privadas sin fines de lucro","ENTIDADES DE CRÉDITO Y EFC. OSR. Crédito a otros sectores residentes sin clasificar","ENTIDADES DE CREDITO. OSR. Crédito a otros sectores residentes. Pro memoria: construcción y vivienda"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"MAR 1962",1830166,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1962","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1962","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1962",1941966,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1962","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1962","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1962",2065955,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1962","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1962","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1962",2201039,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1963",2293282,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1963",2424291,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1963",2505103,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1963","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1963",2645060,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1964",2669065,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1964",2837769,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1964",2929694,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1964","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1964",3156402,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1965",3248140,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1965",3485870,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1965",3697703,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1965","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1965",4032052,"_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1966","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
