"","IE_7_7.1","IE_7_7.2","IE_7_7.3","IE_7_7.4","IE_7_7.5","IE_7_7.6","IE_7_7.7","IE_7_7.8","IE_7_7.9","IE_7_7.10","IE_7_7.11","IE_7_7.12"
"NÚMERO SECUENCIAL",2386964,2386965,2386997,2386998,2386974,2408042,2387000,2408044,2408041,2408043,2386973,2387006
"DESCRIPCIÓN DE LA SERIE","CF. Inversión directa. Participaciones de capital y en fondos de inversión. Stocks. VNA","CF. Inversión directa. Instrumentos de deuda. Stocks. VNA","CF. Inversión directa. Participaciones de capital y en fondos de inversión. Stocks. VNP","CF. Inversión directa. Instrumentos de deuda. Stocks. VNP","CF. Inversión de cartera. Participaciones de capital y en fondos de inversión. Stocks. VNA","CF. Inversión de cartera. Títulos de deuda.  Stocks. VNA","CF. Inversión de cartera. Participaciones de capital y en fondos de inversión. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda.  Stocks. VNP","CF. Otra inversión. Stocks. VNA","CF. Otra inversión. Stocks. VNP","CF. Derivados financieros y opciones de compra de acciones por parte de empleados. Stocks. VNA","CF. Derivados financieros y opciones de compra de acciones por parte de empleados. Stocks. VNP"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"DIC 1992","_","_","_","_",1358,5331,15357,25386,58183,81402,"_","_"
"MAR 1993",12339,1571,51392,10289,1413,6589,18268,35197,63780,81551,0,0
"JUN 1993",13638,1656,53079,11605,1571,7377,21904,50551,92709,97323,0,0
"SEP 1993",14478,1816,54699,12032,1781,9596,25508,57804,99399,98666,0,0
"DIC 1993",15741,3025,56483,13438,2167,10700,31945,68936,112861,105154,0,0
"MAR 1994",16094,2591,57830,13383,2785,11400,32536,62105,104274,99374,0,0
"JUN 1994",17543,2375,60423,13515,2726,10592,30790,52871,100556,104875,0,0
"SEP 1994",17983,2395,62211,13151,2827,10422,29681,45886,97383,107793,0,0
"DIC 1994",18546,2485,63913,13284,2933,10953,28435,47249,103930,113824,0,0
"MAR 1995",19350,2536,65096,13806,2959,10341,27174,46717,113712,118750,0,0
"JUN 1995",19600,2880,66619,14185,3439,10545,31188,52521,114246,111074,0,0
"SEP 1995",19988,3322,67721,14040,3606,10222,33300,55095,122037,113882,0,0
"DIC 1995",20735,3543,67791,14293,3226,10561,36897,62784,131618,113827,0,0
"MAR 1996",21768,4441,69491,14400,3289,11359,41986,63809,127312,116066,0,0
"JUN 1996",22446,3773,71112,14436,3501,11956,45554,64910,122992,119961,0,0
"SEP 1996",23600,4069,72427,14924,3655,11496,44006,65999,127278,124949,0,0
"DIC 1996",25383,4929,74571,15590,4272,13150,53370,69055,130196,130728,0,0
"MAR 1997",27858,6327,76253,15694,5409,17620,55772,61791,125666,149072,0,0
"JUN 1997",29993,6848,77974,16528,7124,19028,68964,71537,127027,149941,0,0
"SEP 1997",32878,8172,80776,17396,8817,21089,72995,80123,130468,155095,0,0
"DIC 1997",37074,8087,83046,16840,9917,23352,75414,82364,128624,157772,0,0
"MAR 1998",40176,8577,85184,18019,13359,31126,109120,78588,137026,182773,0,0
"JUN 1998",41839,7889,86955,18318,16557,32385,112660,85327,137650,183066,0,0
"SEP 1998",44571,7439,88566,18703,15507,37335,89671,96380,143397,191073,0,0
"DIC 1998",47178,8459,90760,20159,20250,52876,116698,92841,132710,192760,0,0
"MAR 1999",53131,8715,92692,21885,24648,67596,117559,102888,154939,216083,0,0
"JUN 1999",72989,14290,96121,30242,30397,84697,121702,103661,150066,230975,0,0
