"","IE_7_4.1","IE_7_4.2","IE_7_4.3","IE_7_4.4","IE_7_4.5","IE_7_4.6","IE_7_4.7","IE_7_4.8","IE_7_4.9","IE_7_4.10","IE_7_4.11","IE_7_4.12","IE_7_4.13","IE_7_4.14","IE_7_4.15","IE_7_4.16"
"NÚMERO SECUENCIAL",2588703,2588704,2601083,2601084,2601085,2601086,2601087,2601088,2588742,2588734,2588724,2588740,2588726,2588738,2588730,2588728
"DESCRIPCIÓN DE LA SERIE","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Total. Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Total. Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Total. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes de Consumo. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes de capital. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes intermedios. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Bienes intermedios. Productos energéticos intermedios.. Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales deflactados por el índice de valor unitario. Importe. España. Total. Productos intermedios no energéticos (grupo 3000 - grupo 3200). Dirección General de Aduanas. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Unión Europea (28 países). Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Zona Euro - EU19 (composición fija). Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Organización para la Cooperación y el Desarrollo Económico (OCDE). Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Estados Unidos de América. Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Organización de Países Exportadores de Petróleo (OPEP). Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. Resto América (excepto México, Canadá y EEUU). Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. China. Total. ","Series Comercio Exterior de España (DXE). Importaciones. Datos provisionales públicos. Importe. España. NIC asiáticos. Total. "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"ENE 1987",2214909.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1987",2980052.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1987",3007069.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1987",3028774.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1987",3089194.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1987",2909690.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1987",3543399.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1987",2231068.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1987",3085574.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1987",3617852.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1987",3236750.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1987",3295725.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1988",2575673.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1988",3360765.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1988",3659970.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1988",3467109.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1988",3561152.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1988",3652212.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1988",3401712.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1988",2898427.000,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
