"","IE_8_7.1","IE_8_7.2","IE_8_7.3","IE_8_7.4","IE_8_7.5","IE_8_7.6","IE_8_7.7","IE_8_7.8","IE_8_7.9","IE_8_7.10","IE_8_7.11","IE_8_7.12","IE_8_7.13","IE_8_7.14"
"NÚMERO SECUENCIAL",1656455,1656456,1656434,1656457,1656458,1656459,1656460,1656461,1656462,1656463,1656464,1656465,1656466,1656467
"DESCRIPCIÓN DE LA SERIE","Financiación total a los hogares e ISFLSH, residentes en España","Financiación total a los hogares e ISFLSH, residentes en España. Flujo efectivo","Financiación total a los hogares e ISFLSH, residentes en España. Tasa interanual","Financiación a los hogares e ISFLSH. Préstamos para vivienda","Financiación a los hogares e ISFLSH. Préstamos para vivienda. Tasa interanual","Financiación a los hogares e ISFLSH. Préstamos para vivienda. Contribución a la tasa del total","Financiación a los hogares e ISFLSH. Otros préstamos","Financiación a los hogares e ISFLSH. Otros préstamos. Tasa interanual","Financiación a los hogares e ISFLSH. Otros préstamos. Contribución a la tasa del total","Financiación a los hogares e ISFLSH. Préstamos del exterior","Financiación a los hogares e ISFLSH. Préstamos del exterior. Tasa interanual","Financiación a los hogares e ISFLSH. Préstamos del exterior. Contribución a la tasa del total","Financiación a los hogares e ISFLSH. Préstamos titulizados fuera de balance para vivienda","Financiación a los hogares e ISFLSH. Préstamos titulizados fuera de balance distintos de vivienda"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros"
"DIC 1994",128791936,-2062772,"_",67583136,"_","_",60971876,"_","_",236934,"_","_",471787,"_"
"ENE 1995",128523504,-143134,"_",67576904,"_","_",60706936,"_","_",239681,"_","_",531417,"_"
"FEB 1995",129495040,1084708,"_",68184096,"_","_",61072128,"_","_",238818,"_","_",529457,"_"
"MAR 1995",131240130,1870384,"_",69197921,"_","_",61795578,"_","_",246623,"_","_",510497,"_"
"ABR 1995",133260940,2131162,"_",70507842,"_","_",62508127,"_","_",244964,"_","_",765122,"_"
"MAY 1995",133526661,379752,"_",70783710,"_","_",62509572,"_","_",233374,"_","_",766211,"_"
"JUN 1995",136004087,2587778,"_",72193378,"_","_",63558327,"_","_",252379,"_","_",731274,"_"
"JUL 1995",137879419,1997554,"_",73673515,"_","_",63953671,"_","_",252231,"_","_",800732,"_"
"AGO 1995",135521264,-2235932,"_",72861450,"_","_",62402355,"_","_",257460,"_","_",800093,"_"
"SEP 1995",136640074,1237090,"_",73893239,"_","_",62487678,"_","_",259160,"_","_",793543,"_"
"OCT 1995",136712797,266190,"_",74372892,"_","_",62077848,"_","_",262060,"_","_",795224,"_"
"NOV 1995",137745123,1219553,"_",75392587,"_","_",62089839,"_","_",262702,"_","_",860961,"_"
"DIC 1995",139075209,1523553,9.25,76557249,14.57,7.65,62243604,3.33,1.58,274362,15.80,0.03,853761,"_"
"ENE 1996",139558151,586094,9.84,76725736,14.82,7.79,62551691,4.27,2.02,280727,17.13,0.03,853980,"_"
"FEB 1996",140474632,1012978,9.71,77143912,14.40,7.58,63047315,4.44,2.09,283406,18.67,0.03,865081,"_"
"MAR 1996",142817140,2445660,10.02,78324085,14.42,7.60,64201622,5.07,2.39,291432,18.17,0.03,859365,"_"
"ABR 1996",144307350,1669287,9.52,78992744,13.30,7.03,65022553,5.23,2.45,292054,19.22,0.04,860371,"_"
