"","IE_8_7.1","IE_8_7.2","IE_8_7.3","IE_8_7.4","IE_8_7.5","IE_8_7.6","IE_8_7.7","IE_8_7.8","IE_8_7.9","IE_8_7.10","IE_8_7.11","IE_8_7.12","IE_8_7.13","IE_8_7.14"
"MAY 1996",145601325,1479021,10.33,79545188,13.69,7.26,65761698,6.46,3.02,294444,26.17,0.05,860530,"_"
"JUN 1996",149166039,3743792,10.99,81329812,14.00,7.43,67539495,7.54,3.53,296742,17.58,0.03,850316,"_"
"JUL 1996",149010643,-55066,9.35,82030724,12.65,6.76,66676803,5.51,2.56,303122,20.18,0.04,813329,"_"
"AGO 1996",147845369,-1064945,10.38,82191471,14.11,7.59,65351385,5.99,2.76,302516,17.50,0.03,815418,"_"
"SEP 1996",149162021,1413745,10.42,83698285,14.54,7.86,65158571,5.52,2.52,305166,17.75,0.03,809797,"_"
"OCT 1996",149933927,921239,10.90,84364546,14.67,7.98,65263232,6.35,2.88,306150,16.82,0.03,774393,"_"
"NOV 1996",150487239,697827,10.43,84916548,13.82,7.57,65262396,6.29,2.84,308295,17.36,0.03,773122,"_"
"DIC 1996",152531112,2193206,10.82,86292379,13.86,7.63,65933913,7.07,3.16,304822,11.10,0.02,700043,"_"
"ENE 1997",154127253,1986765,11.79,87757652,15.51,8.54,66369602,7.22,3.24,310472,10.60,0.02,685650,"_"
"FEB 1997",154060090,10335,11.00,88103143,15.32,8.43,65956948,5.71,2.57,314781,11.07,0.02,742620,"_"
"MAR 1997",155416764,1442476,10.12,89271384,15.07,8.28,66145380,4.09,1.84,316824,8.71,0.02,729216,"_"
"ABR 1997",158058611,2727057,10.75,90826693,16.00,8.78,67231916,4.38,1.98,318602,9.09,0.02,872347,"_"
"MAY 1997",160741880,2771318,11.55,92343086,17.04,9.33,68398789,4.91,2.22,321394,9.15,0.02,871898,"_"
"JUN 1997",164197550,3540880,11.14,94287769,16.80,9.18,69909773,4.31,1.96,324055,9.20,0.02,839801,"_"
"JUL 1997",167802756,3678149,13.66,97507222,19.71,10.87,70295530,6.22,2.79,330783,9.13,0.02,891917,"_"
"AGO 1997",166866552,-863261,13.91,98096196,20.18,11.24,68770356,6.02,2.67,330287,9.18,0.02,897817,"_"
"SEP 1997",166743820,-52141,12.80,99107808,19.21,10.80,67636017,4.57,2.00,333713,9.35,0.02,878912,"_"
"OCT 1997",168891469,2282110,13.64,101174725,20.71,11.68,67716746,4.51,1.97,337341,10.19,0.02,1047409,"_"
"NOV 1997",172151331,3389984,15.39,103834752,23.06,13.04,68316578,5.41,2.35,339756,10.20,0.02,1044438,"_"
"DIC 1997",173383722,1366852,14.64,105308980,22.80,12.92,68074738,3.95,1.71,340455,11.69,0.02,1014332,"_"
"ENE 1998",178138901,4832552,16.30,108217421,24.06,13.70,69921474,6.05,2.60,343668,10.69,0.02,976887,"_"
"FEB 1998",179728839,1659824,17.38,109221008,24.71,14.13,70507823,7.59,3.25,343670,9.18,0.02,974865,"_"
"MAR 1998",179890621,239155,16.45,109360175,23.23,13.34,70530436,7.31,3.11,347151,9.57,0.02,961431,"_"
"ABR 1998",182437882,2614624,16.11,111179700,23.12,13.28,71258173,6.64,2.82,341331,7.13,0.01,1054437,"_"
"MAY 1998",185549227,3180954,16.09,113409619,23.50,13.50,72139600,6.09,2.59,345645,7.55,0.02,1281704,"_"
"JUN 1998",191264219,5782354,17.12,117219698,24.99,14.35,74044513,6.51,2.77,346394,6.89,0.01,1490394,"_"
"JUL 1998",194168539,3101775,16.41,119410105,23.19,13.47,74758427,7.01,2.94,347616,5.09,0.01,1448368,"_"
"AGO 1998",192206161,-1764923,15.96,118637650,21.74,12.78,73568506,7.72,3.18,347629,5.25,0.01,1441781,"_"
"SEP 1998",195882074,3866998,18.32,121311866,23.27,13.83,74570204,11.07,4.49,345010,3.39,0.01,1417122,"_"
"OCT 1998",199035478,3257334,18.67,123189091,22.59,13.53,75846382,12.80,5.13,346039,2.58,0.01,2373347,"_"
"NOV 1998",203697990,4763089,19.11,125699192,21.85,13.18,77998791,14.94,5.93,349205,2.78,0.01,2567715,"_"
"DIC 1998",205560105,1966044,19.32,126754608,21.13,12.84,78805489,16.52,6.49,349570,2.68,0.01,3498552,"_"
"ENE 1999",209847774,4339444,18.53,129110344,20.04,12.17,80737424,16.17,6.35,355250,3.37,0.01,3710480,13367
"FEB 1999",213036462,3235453,19.24,130738484,20.41,12.41,82297975,17.40,6.83,360314,4.84,0.01,3721132,28881
"MAR 1999",216236937,3252250,20.90,132595315,21.95,13.34,83641622,19.26,7.55,365386,5.25,0.01,4400795,44254
"ABR 1999",218082145,1889028,20.21,133593545,20.83,12.70,84488604,19.22,7.51,366480,7.37,0.01,4715703,63911
"MAY 1999",220676221,2639356,19.58,135154355,19.82,12.12,85521874,19.18,7.46,370258,7.12,0.01,5332850,80227
"JUN 1999",228017816,7385414,19.83,139378999,19.52,11.96,88638828,20.31,7.86,372501,7.54,0.01,5454823,97448
"JUL 1999",230713559,2760124,19.36,142349858,19.75,12.14,88363712,18.72,7.21,368871,6.11,0.01,6651436,122959
"AGO 1999",229959795,-689383,20.12,142978348,20.99,12.95,86981456,18.70,7.16,369660,6.34,0.01,7200710,144532
"SEP 1999",234171366,4273874,19.95,146365832,21.05,13.03,87805542,18.14,6.91,375506,8.84,0.02,7100568,164324
"OCT 1999",239267104,5187114,20.60,149215645,21.51,13.31,90051466,19.11,7.28,385911,11.38,0.02,7158948,188986
"NOV 1999",241580381,2401706,18.97,150455052,20.06,12.38,91125338,17.19,6.58,395409,13.09,0.02,7455668,212162
"DIC 1999",245507285,4018280,19.80,152515534,20.68,12.75,92991759,18.35,7.04,387286,10.65,0.02,7331422,211043
"ENE 2000",249286399,3810294,19.14,154785678,20.23,12.45,94500728,17.40,6.69,393892,10.74,0.02,7397356,245398
"FEB 2000",250416219,1158988,17.88,155640300,19.38,11.89,94775924,15.50,5.99,397894,10.30,0.02,8017600,308835
"MAR 2000",255457628,5072589,18.46,158623434,19.95,12.23,96834198,16.09,6.23,402444,10.01,0.02,7946890,345340
"ABR 2000",262009544,6612985,20.47,162693983,22.10,13.54,99315568,17.87,6.92,410154,11.79,0.02,7889673,366484
"MAY 2000",262128631,182192,19.11,163111811,21.01,12.87,99016832,16.11,6.24,412852,11.37,0.02,8529903,398534
"JUN 2000",267647406,5579844,17.70,166535627,19.81,12.11,101111795,14.40,5.60,413881,10.98,0.02,8457995,449736
"JUL 2000",271430797,3831139,17.96,170079277,19.79,12.21,101351537,15.02,5.75,393846,6.64,0.01,8820813,509228
"AGO 2000",268543729,-2839320,17.09,169386377,18.77,11.67,99157371,14.31,5.41,400966,8.34,0.01,8790724,541715
"SEP 2000",275184381,6686860,17.81,174564837,19.55,12.22,100619564,14.90,5.59,406418,8.10,0.01,8673541,539013
"OCT 2000",278262323,3121910,16.57,177326262,19.10,11.91,100936076,12.36,4.65,412848,6.98,0.01,8811360,611389
"NOV 2000",283414795,5195022,17.56,181342792,20.77,12.94,102072012,12.26,4.63,410900,3.92,0.01,8704204,606606
"DIC 2000",288426076,5055249,17.71,185307515,21.72,13.49,103118565,11.12,4.21,423586,9.37,0.01,8655723,670730
"ENE 2001",288557498,152443,15.97,186182699,20.50,12.73,102374806,8.55,3.24,430052,9.18,0.01,8573902,732015
"FEB 2001",290497554,1959043,16.22,188305016,21.20,13.17,102192547,8.04,3.04,431928,8.55,0.01,9025700,822343
"MAR 2001",295447600,4971068,15.86,192153859,21.34,13.25,103293753,6.87,2.61,440625,9.49,0.01,8964915,1090116
"ABR 2001",299537398,4133688,14.51,195364748,20.27,12.59,104172658,5.08,1.93,440154,7.31,0.01,8916345,1130931
"MAY 2001",300529503,1037457,14.83,196591883,20.71,12.89,103937625,5.15,1.95,454939,10.19,0.02,8837433,1187311
"JUN 2001",308366676,7881062,15.39,202314733,21.66,13.48,106051943,5.06,1.91,464291,12.18,0.02,8887533,1200428
"JUL 2001",310717826,2384750,14.64,205125009,20.77,13.02,105592825,4.35,1.62,465723,18.25,0.03,10569088,1361414
"AGO 2001",307968847,-2715380,14.84,204098067,20.66,13.03,103870796,4.91,1.81,459290,14.55,0.02,10529004,1383762
"SEP 2001",314580766,6644434,14.47,209170683,19.98,12.67,105410107,4.91,1.80,464263,14.23,0.02,10423755,1379852
"OCT 2001",316339308,1809247,13.84,210890979,19.09,12.16,105448344,4.62,1.68,473782,14.76,0.02,11255280,1500031
"NOV 2001",320759536,4469298,13.33,214115299,18.23,11.66,106644245,4.63,1.67,476242,15.90,0.02,11080992,1462922
"DIC 2001",324550683,3841852,12.68,217097667,17.31,11.12,107453016,4.35,1.56,482840,13.99,0.02,11307363,1404001
"ENE 2002",325081843,554071,12.81,217765189,17.12,11.05,107316655,4.98,1.77,495929,15.32,0.02,11315520,1574940
"FEB 2002",328210267,3149118,13.14,220182697,17.08,11.07,108027573,5.86,2.06,494517,14.49,0.02,11306347,1631944
"MAR 2002",336696690,8509334,14.11,226491428,18.02,11.72,110205266,6.84,2.39,500982,13.70,0.02,12137540,1686134
"ABR 2002",341188619,4524500,14.05,229564868,17.65,11.51,111623752,7.30,2.54,513553,16.68,0.02,12014935,1723530
"MAY 2002",345837742,4682780,15.22,232845083,18.58,12.16,112992657,8.85,3.06,515199,13.25,0.02,12158040,1755662
"JUN 2002",354108237,8303067,14.97,238692190,18.12,11.89,115416043,8.96,3.08,518482,11.67,0.02,13170862,1987239
"JUL 2002",359418221,5356015,15.81,243091061,18.65,12.31,116327160,10.30,3.50,509617,9.42,0.01,13539943,2991092
"AGO 2002",359398946,26756,16.84,244448341,19.91,13.20,114950609,10.81,3.65,552316,20.25,0.03,13547272,3054029
"SEP 2002",363534881,4180481,15.71,248778189,19.08,12.69,114756700,9.01,3.02,558247,20.24,0.03,14110013,3081121
"OCT 2002",367868567,4461987,16.46,250142171,18.78,12.52,117726407,11.81,3.94,574931,21.35,0.03,14122597,3190253
"NOV 2002",373157722,5413316,16.52,253203779,18.44,12.31,119953957,12.67,4.21,604729,26.98,0.04,17375676,3339504
"DIC 2002",376686489,3657068,16.27,253825392,17.13,11.46,122861114,14.55,4.82,613209,27.00,0.04,18739648,4348853
"ENE 2003",380791807,4131448,17.35,256131230,17.82,11.94,124660576,16.39,5.41,620373,25.09,0.04,18471352,4391751
"FEB 2003",385228700,4454168,17.58,259782913,18.18,12.20,125445786,16.35,5.38,628797,27.15,0.04,18699184,4462027
"MAR 2003",389584540,4395564,15.92,263664892,16.60,11.17,125919648,14.51,4.75,628109,25.38,0.04,19167376,5600400
"ABR 2003",396839746,7275119,16.51,268907276,17.31,11.65,127932469,14.87,4.86,635792,23.80,0.04,20065322,5746917
"MAY 2003",402158665,5339790,16.48,272852265,17.35,11.68,129306400,14.70,4.80,648050,25.79,0.04,20211122,5768778
"JUN 2003",411726712,9631067,16.47,277993668,16.62,11.20,133733044,16.17,5.27,659470,27.19,0.04,21983606,6014378
"JUL 2003",417790458,6087563,16.43,283845325,16.90,11.43,133945134,15.45,5.00,675470,32.54,0.05,23364754,6038987
"AGO 2003",420019523,2256019,17.05,286660514,17.39,11.83,133359010,16.33,5.22,679037,22.94,0.04,23304186,6083015
"SEP 2003",425235750,5261339,17.16,291153707,17.14,11.73,134082042,17.18,5.42,694600,24.43,0.04,26700772,6418467
"OCT 2003",432884164,7684132,17.83,297262038,18.91,12.86,135622126,15.53,4.97,708867,23.30,0.04,28343838,6461102
"NOV 2003",443578945,10743753,19.00,302961819,19.69,13.36,140617127,17.55,5.64,715070,18.25,0.03,29478148,6534240
"DIC 2003",448001833,4548685,19.06,308596663,21.59,14.55,139405168,13.85,4.52,721765,17.70,0.03,32638758,6679168
"ENE 2004",452021470,4057219,18.84,312158950,21.88,14.72,139862521,12.58,4.12,741323,19.50,0.03,33375208,6696709
"FEB 2004",457867194,5868069,18.99,316593199,21.87,14.75,141273993,13.01,4.24,749587,19.21,0.03,33668768,6741566
"MAR 2004",466369606,8544684,19.84,323893203,22.85,15.46,142476402,13.55,4.38,759446,20.91,0.03,35157248,6752666
"ABR 2004",474773088,8429801,19.77,329645685,22.59,15.31,145127405,13.84,4.46,766296,20.53,0.03,36064884,6891182
"MAY 2004",482468934,7731653,20.10,336082819,23.18,15.73,146386115,13.61,4.38,780727,20.47,0.03,37225176,6885880
"JUN 2004",494898712,12483341,20.33,343278825,23.49,15.86,151619889,13.76,4.47,798536,21.09,0.03,41741692,6981566
"JUL 2004",502438150,7561917,20.39,351240621,23.75,16.14,151197527,13.26,4.25,810618,20.01,0.03,46119476,7043026
"AGO 2004",505846425,3445580,20.56,355117262,23.89,16.30,150729165,13.41,4.26,819994,20.76,0.03,46098848,7387282
"SEP 2004",512181305,6396996,20.58,360458390,23.81,16.30,151722916,13.55,4.27,831007,19.64,0.03,45437524,7345073
"OCT 2004",519930359,7776485,20.23,366680245,23.36,16.04,153250116,13.38,4.19,840882,18.62,0.03,45529104,8804178
"NOV 2004",531627919,11730508,19.97,374076332,23.48,16.04,157551587,12.40,3.93,854787,19.54,0.03,46658220,9233044
"DIC 2004",538019772,6480390,20.20,381697855,23.70,16.32,156321917,12.46,3.88,860950,19.28,0.03,47872668,9801552
"ENE 2005",544089184,6090529,20.47,387634962,24.19,16.70,156454222,12.18,3.77,811240,13.03,0.02,47316884,9730660
"FEB 2005",550709140,6642875,20.38,393962170,24.45,16.90,156746971,11.27,3.48,821228,13.11,0.02,47391464,9099301
"MAR 2005",559704037,9049842,20.12,402162410,24.18,16.79,157541625,10.89,3.33,826178,12.30,0.02,50405580,9003338
"ABR 2005",570274017,10574948,20.21,409773768,24.32,16.88,160500247,10.89,3.33,835623,12.53,0.02,51775588,8883754
"MAY 2005",580530001,10267281,20.42,418601500,24.56,17.11,161928500,10.90,3.31,848092,12.04,0.02,54915092,8631895
"JUN 2005",595051614,14605471,20.33,427701899,24.60,17.06,167349717,10.67,3.27,859399,10.96,0.02,32713270,3907948
"JUL 2005",601639064,6613074,19.84,434832762,23.80,16.64,166806303,10.62,3.20,874096,11.12,0.02,29319010,4133035
"AGO 2005",606649504,5004042,20.01,440042429,23.92,16.79,166607075,10.81,3.22,882943,10.93,0.02,29391460,4050696
"SEP 2005",615317547,8729478,20.22,447549896,24.17,17.01,167767650,10.84,3.21,896408,11.08,0.02,28517740,3742535
"OCT 2005",625757980,10458422,20.43,456610299,24.53,17.30,169147680,10.63,3.13,900309,10.24,0.02,28642490,3334061
"NOV 2005",640283477,14558152,20.52,466013648,24.58,17.30,174269828,10.86,3.22,904336,8.92,0.01,28976430,3173597
"DIC 2005",650069315,9837389,20.90,477214616,25.03,17.76,172854700,10.81,3.14,927289,10.80,0.02,28527120,3030257
"ENE 2006",656938100,6882252,20.81,484108213,24.89,17.73,172829886,10.70,3.08,988574,21.86,0.03,28011790,2911477
"FEB 2006",665757312,8826363,20.96,491846776,24.85,17.78,173910537,11.17,3.18,994285,21.07,0.03,27554450,2694267
"MAR 2006",678824035,13101648,21.34,502197176,24.88,17.87,176626859,12.32,3.47,1003259,21.43,0.03,27159290,2581232
"ABR 2006",689364225,10558888,20.94,509614790,24.37,17.51,179749435,12.21,3.44,1042513,24.76,0.04,27307460,2445994
"MAY 2006",700885492,11538741,20.79,518932638,23.97,17.28,181952854,12.58,3.51,1060605,25.06,0.04,27234470,2292392
"JUN 2006",719782660,18966502,21.02,530064003,23.94,17.20,189718658,13.56,3.81,1088388,26.65,0.04,28061930,2256403
"JUL 2006",727126507,7370356,20.91,538073734,23.75,17.16,189052773,13.53,3.75,1098652,25.69,0.04,26887970,2173470
"AGO 2006",732185881,5100038,20.76,542885553,23.37,16.95,189300329,13.85,3.80,1113405,26.10,0.04,26624700,2090917
"SEP 2006",741330612,9220016,20.55,549376402,22.75,16.55,191954211,14.66,4.00,1124416,25.44,0.04,26192080,2215665
"OCT 2006",750582059,9275952,20.01,555506910,21.66,15.80,195075150,15.57,4.21,1120946,24.51,0.04,25902690,3431471
"NOV 2006",766470374,15927456,19.77,565775267,21.41,15.58,200695108,15.40,4.19,1132144,25.19,0.04,26586630,3249519
"DIC 2006",777197636,10869917,19.63,575676095,20.64,15.15,201521541,16.86,4.48,1174734,26.68,0.04,26936610,3420568
"ENE 2007",781326738,4185828,19.02,579979174,19.81,14.60,201347565,16.80,4.42,1173695,18.73,0.03,26177290,3383583
"FEB 2007",789056620,7770865,18.61,586086234,19.17,14.16,202970387,17.03,4.45,1180148,18.69,0.03,25488546,3605127
"MAR 2007",802171928,13216522,18.27,596486809,18.79,13.90,205685120,16.79,4.37,1235875,23.19,0.03,25497680,3167957
"ABR 2007",810769488,8697243,17.72,603291448,18.40,13.60,207478040,15.79,4.12,1249049,19.81,0.03,25881452,3302960
"MAY 2007",819625752,8867645,17.05,609436937,17.46,12.93,210188814,15.87,4.12,1285313,21.19,0.03,25048604,5068751
"JUN 2007",836989148,17498060,16.39,621210372,17.22,12.68,215778776,14.08,3.71,1300956,19.53,0.03,27555610,5107492
"JUL 2007",843708377,6753009,16.14,629746065,17.06,12.63,213962312,13.52,3.52,1373977,25.06,0.04,27464496,5157392
"AGO 2007",847634724,3969681,15.88,633401286,16.70,12.38,214233437,13.52,3.50,1468808,31.92,0.05,28264716,5065371
"SEP 2007",852576286,5207666,15.14,637171201,16.02,11.87,215405085,12.63,3.27,1519310,35.12,0.05,27380100,6132176
"OCT 2007",861050228,8532790,14.85,642524065,15.71,11.62,218526164,12.43,3.23,1599252,42.67,0.06,27008002,6076352
"NOV 2007",873291772,12321132,14.08,648019863,14.58,10.76,225271909,12.67,3.32,1664695,47.04,0.07,26737966,5938570
"DIC 2007",872626456,-126923,12.47,650116199,13.03,9.65,222510258,10.86,2.82,1777981,51.35,0.08,26575752,5624608
"ENE 2008",875613312,2955847,12.24,653131094,12.74,9.46,222482217,10.81,2.79,2928196,87.21,0.13,26184940,5546971
"FEB 2008",880062771,4519659,11.71,657260767,12.27,9.12,222802004,10.09,2.60,2934431,89.62,0.13,25885082,5492112
"MAR 2008",883951588,4311962,10.41,660605355,10.91,8.11,223346233,8.96,2.30,2979873,89.68,0.14,25595236,5496234
"ABR 2008",890429488,6521322,10.03,665183107,10.41,7.75,225246381,8.93,2.28,2999821,90.03,0.14,25308312,5494740
"MAY 2008",895560315,5294857,9.49,668514024,9.84,7.32,227046292,8.45,2.17,3035860,89.56,0.14,25025856,5324544
"JUN 2008",904580317,9368940,8.32,670109400,8.03,5.96,234470918,9.14,2.36,3049242,91.79,0.14,24823124,5298358
"JUL 2008",904899643,363558,7.50,672880126,7.01,5.23,232019518,8.93,2.27,3061716,83.08,0.14,24407136,5684684
"AGO 2008",904554014,-263845,6.96,674195512,6.60,4.93,230358502,8.04,2.03,3064112,71.55,0.12,23941682,5444276
"SEP 2008",905139215,910002,6.42,675999006,6.26,4.68,229140208,6.89,1.74,3060116,70.88,0.13,24040702,4830409
"OCT 2008",907080977,2104014,5.61,677414926,5.60,4.18,229666050,5.63,1.43,3089094,65.38,0.12,23427292,4617287
"NOV 2008",912990794,6054062,4.81,678951988,4.94,3.67,234038805,4.43,1.14,3105098,55.30,0.11,23515018,4540273
"DIC 2008",908160857,-4352888,4.33,678448491,4.48,3.33,229712366,3.90,1.00,3121677,36.87,0.08,23304004,4436498
"ENE 2009",905314998,-2707860,3.67,678334777,3.96,2.95,226980221,2.82,0.72,2836158,8.38,0.03,23178722,4318748
"FEB 2009",902323593,-2801673,2.82,677744946,3.22,2.41,224578646,1.62,0.41,2857824,7.47,0.02,23053726,4216873
"MAR 2009",900177736,-1440032,2.16,677119094,2.60,1.94,223058643,0.85,0.21,2893583,5.11,0.02,25624216,4228577
"ABR 2009",901112770,961156,1.52,677210508,1.91,1.43,223902263,0.34,0.09,2908429,4.60,0.02,25261450,4436012
"MAY 2009",899858687,-1006741,0.80,675975964,1.23,0.92,223882723,-0.47,-0.12,2921249,2.98,0.01,24130312,4116424
"JUN 2009",905873953,6614476,0.49,676650728,1.10,0.82,229223226,-1.26,-0.33,2921731,-0.23,-0.00,25087170,3673823
"JUL 2009",902989780,-2516951,0.17,677542796,0.83,0.62,225446984,-1.74,-0.45,2935093,-0.40,-0.00,24755620,3537498
"AGO 2009",900402130,-2329224,-0.06,676882453,0.54,0.41,223519677,-1.82,-0.46,2942542,-0.05,-0.00,24598978,3424496
"SEP 2009",900276679,531594,-0.10,676738877,0.26,0.19,223537802,-1.16,-0.29,2951022,-1.64,-0.01,24304888,3310316
"OCT 2009",900817354,871088,-0.23,677498252,0.16,0.12,223319103,-1.41,-0.36,2963040,-2.76,-0.01,24154628,3209543
"NOV 2009",906118698,5623891,-0.28,678402406,0.09,0.07,227716292,-1.35,-0.35,2971573,-0.98,-0.00,24622806,3039668
"DIC 2009",900375774,-4786203,-0.33,678551607,0.20,0.15,221824167,-1.89,-0.48,2966149,3.83,0.01,23985562,2985524
"ENE 2010",899012247,-1093219,-0.15,678681586,0.24,0.18,220330661,-1.31,-0.33,2748238,4.92,0.02,23797716,2893648
"FEB 2010",897928239,-805834,0.07,678908048,0.35,0.27,219020191,-0.79,-0.20,2762148,4.86,0.02,23563746,2784046
"MAR 2010",896326030,-1079001,0.11,678918863,0.43,0.32,217407168,-0.86,-0.21,2780900,3.08,0.01,23445376,2704597
"ABR 2010",897500782,1502550,0.17,678954681,0.42,0.32,218546101,-0.59,-0.15,2790808,2.74,0.01,23175408,2602930
"MAY 2010",899252674,2012611,0.51,680524902,0.83,0.63,218727772,-0.49,-0.12,2800786,2.54,0.01,22777208,2487596
"JUN 2010",907706597,9750372,0.85,680327662,1.04,0.78,227378936,0.27,0.07,2803940,3.63,0.01,19891328,2407217
"JUL 2010",901515761,-5881214,0.48,680760403,0.97,0.73,220755359,-1.00,-0.25,2812378,3.40,0.01,19834344,2310608
"AGO 2010",899707169,-1491602,0.57,679165237,0.83,0.63,220541932,-0.22,-0.05,2853489,4.28,0.01,19271240,2155840
"SEP 2010",894896016,-3849186,0.09,678448181,0.75,0.56,216447835,-1.91,-0.47,2858477,3.36,0.01,19215800,2069526
"OCT 2010",895126161,813667,0.08,677837789,0.55,0.41,217288373,-1.34,-0.33,2868020,4.96,0.02,18914232,2009142
"NOV 2010",900362479,5705408,0.09,677590374,0.37,0.28,222772106,-0.76,-0.19,2883394,5.58,0.02,17284656,1773156
"DIC 2010",895243791,-3641920,0.22,679958514,0.72,0.54,215285276,-1.33,-0.33,2902020,5.85,0.02,17160834,1637369
"ENE 2011",891195841,-4089206,-0.12,677703330,0.37,0.28,213492512,-1.63,-0.40,2891642,5.58,0.02,16634481,1516693
"FEB 2011",888574084,-2285550,-0.28,675957154,0.09,0.06,212616931,-1.42,-0.35,2898634,5.15,0.02,16738427,1542964
"MAR 2011",884957822,-2884955,-0.48,674686911,-0.08,-0.06,210270912,-1.74,-0.42,2922573,6.35,0.02,16553491,1382772
"ABR 2011",884231063,-315527,-0.69,676532421,0.19,0.14,207698641,-3.41,-0.83,2925754,4.83,0.02,16210679,1299512
"MAY 2011",881921534,-1970806,-1.13,674603056,-0.30,-0.23,207318479,-3.71,-0.90,2946363,5.06,0.02,16028222,929031
"JUN 2011",886214102,4857657,-1.66,674733989,-0.59,-0.44,211480113,-4.86,-1.22,2959187,5.81,0.02,15734790,760311
"JUL 2011",880664466,-5181815,-1.59,674239939,-0.72,-0.54,206424527,-4.28,-1.05,2983780,6.28,0.02,15669968,714202
"AGO 2011",875954660,-4457372,-1.92,671877501,-0.84,-0.63,204077158,-5.27,-1.29,2986318,4.73,0.01,15627127,647634
"SEP 2011",874604297,-624847,-1.57,671201284,-0.82,-0.62,203403013,-3.94,-0.95,2997702,5.12,0.02,15474899,604506
"OCT 2011",870946647,-3241268,-2.03,669149279,-1.04,-0.78,201797368,-5.11,-1.24,2679571,-7.70,-0.02,15305470,610186
"NOV 2011",874604196,4165352,-2.18,667908637,-1.19,-0.89,206695559,-5.23,-1.29,2692259,-7.90,-0.03,15250346,569723
"DIC 2011",867931626,-5594456,-2.42,666866450,-1.71,-1.30,201065176,-4.65,-1.12,2701316,-7.65,-0.02,10335663,546747
"ENE 2012",863047920,-4623813,-2.49,663730002,-1.83,-1.39,199317917,-4.58,-1.10,2713591,-7.63,-0.02,10245013,496778
