"","IE_8_13.1","IE_8_13.2","IE_8_13.3","IE_8_13.4","IE_8_13.5","IE_8_13.6","IE_8_13.7","IE_8_13.8","IE_8_13.9","IE_8_13.10","IE_8_13.11","IE_8_13.12","IE_8_13.13","IE_8_13.14","IE_8_13.15","IE_8_13.16"
"NÚMERO SECUENCIAL",2538412,2538413,2538414,2538415,2538416,2538417,2538418,2538419,2538420,2538421,2534071,2534072,2534073,2538422,2534075,2546016
"DESCRIPCIÓN DE LA SERIE","Otras entidades financieras. Activos financieros netos","Otras entidades financieras. Activos financieros exteriores netos","Otras entidades financieras. Activos financieros exteriores","Otras entidades financieras. Pasivos financieros exteriores","Otras entidades financieras. Activos financieros netos frente a Administraciones públicas residentes","Otras entidades financieras. Activos financieros frente a Administraciones públicas residentes","Otras entidades financieras. Pasivos financieros frente a Administraciones públicas residentes","Otras entidades financieras. Activos financieros netos frente a Instituciones financieras monetarias no FMM","Otras entidades financieras. Activos financieros frente a Instituciones financieras monetarias no FMM","Otras entidades financieras. Pasivos financieros frente a Instituciones financieras monetarias no FMM","Otras entidades financieras. Activos financieros netos frente a otros sectores residentes","Otras entidades financieras. Activos financieros frente a otros sectores residentes","Otras entidades financieras. Pasivos financieros frente a otros sectores residentes","Otras entidades financieras. Participaciones en el capital y en fondos de inversión","Otras entidades financieras. Otros pasivos financieros netos","Otras entidades financieras. Activos financieros totales"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"DIC 1994",7329.6,5979.6,6834.5,855.0,50326.6,50326.6,0.0,31770.9,38884.6,7113.7,-33213.7,20070.7,53284.3,51313.8,-3779.9,116116.4
"MAR 1995",10679.3,7901.0,8899.4,998.5,50216.5,50216.5,0.0,31076.5,37100.7,6024.2,-34377.6,20939.2,55316.7,47715.5,-3578.5,117155.8
"JUN 1995",11470.8,7860.7,8916.5,1055.7,51409.6,51409.6,0.0,33059.1,39039.4,5980.3,-36372.8,21102.7,57475.4,48369.4,-3883.5,120468.2
"SEP 1995",11685.3,7705.5,8775.1,1069.6,52138.0,52138.0,0.0,35948.3,41862.7,5914.4,-38336.3,21312.9,59649.2,50116.1,-4345.9,124088.7
"DIC 1995",8771.6,7801.4,8807.9,1006.5,50992.5,50992.5,0.0,41796.6,47839.6,6043.0,-42107.2,21022.5,63129.7,54160.7,-4448.9,128662.6
"MAR 1996",11683.6,9182.8,10291.0,1108.2,57436.4,57436.4,0.0,44640.9,51231.3,6590.4,-45263.2,21278.0,66541.2,58890.3,-4576.9,140236.7
"JUN 1996",15697.8,9517.0,10648.7,1131.7,66215.7,66215.7,0.0,47041.4,53659.3,6617.9,-47092.4,22017.9,69110.3,65304.0,-5320.1,152541.6
"SEP 1996",18718.5,12902.3,13926.8,1024.5,72319.6,72319.6,0.0,44791.0,56275.4,11484.4,-44863.2,26998.9,71862.1,71665.9,-5234.6,169520.7
"DIC 1996",19633.6,12924.6,13977.7,1053.1,83389.8,83389.8,0.0,51273.9,61041.5,9767.6,-47913.0,28186.9,76099.9,84832.9,-4791.1,186596.0
"MAR 1997",21771.5,19617.9,20834.3,1216.4,92547.4,92547.4,0.0,56266.2,67790.4,11524.2,-49087.0,30046.2,79133.2,101156.6,-3583.6,211218.3
"JUN 1997",18594.2,22091.0,23269.7,1178.7,95965.1,95965.1,0.0,62360.7,74591.6,12231.0,-48634.8,33747.7,82382.5,117156.2,-3968.4,227574.2
"SEP 1997",19784.5,27491.0,28668.7,1177.7,101592.0,101592.0,0.0,64758.8,74967.8,10209.0,-50449.5,34945.7,85395.2,128356.9,-4749.1,240174.2
"DIC 1997",19722.9,27882.0,29084.9,1202.8,104550.1,104550.1,0.0,71477.4,80501.6,9024.2,-54099.4,35504.2,89603.6,135410.5,-5323.3,249640.8
"MAR 1998",13639.3,42466.7,43809.5,1342.8,109232.3,109232.3,0.0,78057.8,88217.3,10159.5,-48961.5,44530.1,93491.6,172033.4,-4877.5,285789.1
"JUN 1998",10362.7,42107.8,43898.9,1791.1,116106.0,116106.0,0.0,80453.1,89573.9,9120.8,-51186.5,44901.7,96088.2,181884.3,-4766.6,294480.5
"SEP 1998",13548.7,47066.6,48912.7,1846.1,120976.3,120976.3,0.0,76540.3,86169.5,9629.2,-56784.4,41311.8,98096.2,178790.3,-4540.2,297370.2
"DIC 1998",15332.5,65105.9,67694.9,2589.0,122950.8,122950.8,0.0,71738.9,86462.8,14723.8,-54108.1,50001.0,104109.0,195314.4,-4959.4,327109.4
"MAR 1999",24158.5,74576.2,77666.8,3090.5,112559.8,112559.8,0.0,72104.8,88299.6,16194.8,-57319.0,50302.0,107621.0,183448.7,-5685.4,328828.1
"JUN 1999",21904.0,81079.3,84638.1,3558.8,116327.0,116327.0,0.0,65063.3,82580.8,17517.5,-58019.4,53342.9,111362.3,187903.9,-5357.7,336888.8
"SEP 1999",22548.2,81967.7,85728.1,3760.5,108417.0,108417.0,0.0,65921.9,86468.6,20546.7,-58797.0,55327.3,114124.3,180943.5,-5982.1,335941.1
