"","IE_08.11.01","IE_08.11.02","IE_08.11.03","IE_08.11.04","IE_08.11.05","IE_08.11.06","IE_08.11.07","IE_08.11.08","IE_08.11.09","IE_08.11.10","IE_08.11.11","IE_08.11.12","IE_08.11.13","IE_08.11.14","IE_08.11.15","IE_08.11.16","IE_08.11.17"
"NÚMERO SECUENCIAL",1625883,1625884,1625870,1625871,1625872,1625873,1625874,1625875,1625885,1625876,1625886,1625877,1625878,1625879,1625880,1625881,1625882
"DESCRIPCIÓN DE LA SERIE","I.I.C. FIM + FIAMM. Patrimonio. Dato fin de mes","I.I.C. FIM + FIAMM. Variación mensual patrimonio. Dato fin de mes        ","I.I.C. FIM + FIAMM. Suscripción neta. ","I.I.C. FIM + FIAMM. Rentabilidad acumulada anual.     ","I.I.C. FMM. Patrimonio. Dato fin de mes","I.I.C. FMM. Variación mensual patrimonio. Dato fin de mes","I.I.C. FMM. Suscripción neta.   ","I.I.C. FMM. Rentabilidad acumulada anual.  ","I.I.C. FIM.Renta fija. Patrimonio.  Dato fin de mes       ","I.I.C. FIM. Renta fija. Variación mensual patrimonio. Dato fin de mes      ","I.I.C. FIM.Renta fija. Suscripción neta. ","I.I.C. FIM. Renta fija.  Rentabilidad acumulada anual. ","I.I.C. FIM. Renta variable. Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable  Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable. Suscripción neta.       ","I.I.C. FIM.Renta variable.  Rentabilidad acumulada anual. ","I.I.C. FIM. Resto. Patrimonio. Dato fin de mes       "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros"
"ENE 2001",187103940.0,1035568.0,-2088591.6,0.945,33590040.0,221950.0,107289.5,3.153,100106820.0,-1082736.0,-2034859.3,2.991,51024840.0,1775444.0,-161021.9,-4.530,2373478.0
"FEB 2001",181391230.0,-5712704.0,-593371.7,-4.599,34037416.0,447376.0,354992.3,3.287,98603040.0,-1503776.0,-626679.3,0.739,46522776.0,-4502064.0,-321684.6,-19.671,2219270.0
"MAR 2001",179082300.0,-2308928.0,-933053.3,-5.545,34946128.0,908712.0,792863.3,3.421,97693600.0,-909440.0,-828899.8,0.252,44637204.0,-1885572.0,-897016.8,-22.103,1805371.0
"ABR 2001",182302880.0,3220576.0,255502.2,-3.558,35595224.0,649096.0,566992.5,3.460,98491096.0,797496.0,189408.3,0.813,45831184.0,1193980.0,-500898.6,-16.459,2385373.0
"MAY 2001",182076380.0,-226496.0,-479861.0,-1.939,36204488.0,609264.0,599758.5,3.709,97559440.0,-931656.0,-636209.7,1.815,45630096.0,-201088.0,-443409.8,-12.977,2682373.0
"JUN 2001",180535730.0,-1540656.0,253132.3,-2.979,36720768.0,516280.0,414311.8,3.781,97793008.0,233568.0,5077558.5,1.595,43491160.0,-2138936.0,-205486.7,-16.383,2530786.0
"JUL 2001",179034880.0,-1500848.0,-217758.2,-3.818,37346584.0,625816.0,511465.1,3.840,97914536.0,121528.0,-329463.5,1.526,41399000.0,-2092160.0,-399759.8,-19.578,2374768.0
"AGO 2001",176952580.0,-2082304.0,198928.0,-6.402,38200748.0,854164.0,732458.9,3.125,97479384.0,-435152.0,-349446.9,0.872,39007288.0,-2391712.0,-184084.1,-26.843,2265162.0
"SEP 2001",171623940.0,-5328640.0,-1441880.3,-7.437,39723248.0,1522500.0,1395174.5,3.129,95628760.0,-1850624.0,-1113439.4,0.658,33974240.0,-5033048.0,-1723615.4,-31.024,2297694.0
"OCT 2001",175729090.0,4105152.0,1434422.3,-5.714,41247332.0,1524084.0,1365161.0,3.121,96841280.0,1212520.0,205207.3,1.607,35273360.0,1299120.0,-135946.0,-27.353,2367126.0
"NOV 2001",179938500.0,4209408.0,2595980.3,-2.334,42592112.0,1344780.0,1662290.5,3.354,97640976.0,799696.0,668549.7,2.250,37168400.0,1895040.0,122836.3,-16.745,2537013.0
"DIC 2001",181322800.0,1384304.0,822720.6,-1.529,43830304.0,1238192.0,1294777.5,3.542,97245848.0,-395128.0,-268665.4,1.932,37493528.0,325128.0,-203391.6,-13.652,2753118.0
"ENE 2002",179702830.0,-1619968.0,-804076.3,-3.189,44609676.0,779372.0,704159.9,3.364,95499136.0,-1746712.0,-1522566.8,1.060,37775252.0,281724.0,-36074.8,-18.894,1818765.0
"FEB 2002",179302800.0,-400032.0,-113636.6,-1.231,45203384.0,593708.0,514348.8,3.265,95046784.0,-452352.0,-693698.4,1.737,37276460.0,-498792.0,-13975.6,-12.422,1776167.0
"MAR 2002",183848700.0,4545904.0,3452117.0,-0.057,48084936.0,2881552.0,2804831.5,3.096,94433568.0,-613216.0,-411754.0,1.598,38836432.0,1559972.0,956370.9,-7.099,2493769.0
"ABR 2002",181808960.0,-2039744.0,-610099.3,-1.967,48432748.0,347812.0,262615.3,3.093,93901584.0,-531984.0,-676792.0,1.496,37069516.0,-1766916.0,-246379.8,-15.456,2405113.0
"MAY 2002",181230980.0,-577984.0,482221.6,-2.625,49455360.0,1022612.0,911545.3,2.912,93520784.0,-380800.0,-308647.4,1.037,35842964.0,-1226552.0,-135069.8,-17.447,2411868.0
"JUN 2002",178425140.0,-2805840.0,328965.4,-3.389,49692404.0,237044.0,101873.9,2.833,93823744.0,302960.0,594625.1,1.040,32530672.0,-3312292.0,-357758.9,-21.473,2378320.0
"JUL 2002",174934980.0,-3490160.0,-1171765.9,-3.914,50318076.0,625672.0,533507.4,2.755,92449328.0,-1374416.0,-1325554.3,0.997,29733194.0,-2797478.0,-368345.3,-24.543,2434376.0
"AGO 2002",175573090.0,638112.0,-41779.9,-2.622,51061584.0,743508.0,639552.1,2.635,92414560.0,-34768.0,-460469.4,1.457,29634570.0,-98624.0,-241865.1,-19.964,2462373.0
"SEP 2002",172639300.0,-2933792.0,99492.0,-2.709,51622684.0,561100.0,420641.8,2.533,92740856.0,326296.0,134579.8,1.834,25817468.0,-3817102.0,-446793.5,-21.925,2458294.0
"OCT 2002",175360540.0,2721248.0,318877.1,-2.491,52387284.0,764600.0,671600.5,2.420,92947856.0,207000.0,-59618.5,1.155,27492008.0,1674540.0,-288897.6,-19.179,2533389.0
"NOV 2002",177026930.0,1666384.0,-267074.8,-2.263,52964332.0,577048.0,472252.8,2.398,92698824.0,-249032.0,-526347.7,1.405,28757882.0,1265874.0,-219728.3,-18.980,2605885.0
"DIC 2002",174733150.0,-2293776.0,-398913.4,-3.226,53366472.0,402140.0,289973.5,2.430,92742264.0,43440.0,-324345.1,1.746,26066722.0,-2691160.0,-395244.2,-25.679,2557690.0
"ENE 2003",175610050.0,876896.0,1481904.4,-3.058,54341448.0,974976.0,868740.3,2.439,94157712.0,1415448.0,1225947.6,2.094,24521182.0,-1545540.0,-677621.0,-26.660,2589702.0
"FEB 2003",181800420.0,6190368.0,5771662.0,-2.735,54715616.0,374168.0,279265.0,2.436,100648300.0,6490592.0,5796544.0,2.440,23638104.0,-883078.0,-500210.3,-27.025,2798396.0
"MAR 2003",185853260.0,4052848.0,4485648.0,-3.058,55398028.0,682412.0,606921.9,2.410,103979450.0,3331144.0,3461105.3,2.382,23347296.0,-290808.0,203368.8,-29.954,3128487.0
"ABR 2003",190335520.0,4482256.0,2225511.5,-1.439,56234504.0,836476.0,761933.0,2.311,105580080.0,1600632.0,1249259.8,2.690,24970044.0,1622748.0,-83966.4,-22.040,3550895.0
"MAY 2003",193743150.0,3407632.0,2416902.0,-0.437,56859628.0,625124.0,530970.0,2.300,107916070.0,2335992.0,1668629.9,3.443,25108244.0,138200.0,-63852.7,-19.174,3859204.0
"JUN 2003",197664450.0,3921296.0,2704376.3,1.335,57258636.0,399008.0,325622.5,2.202,110236140.0,2320072.0,2051718.5,3.670,25750086.0,641842.0,-185108.8,-8.780,4419573.0
"JUL 2003",201536900.0,3872448.0,3271031.3,2.615,58143592.0,884956.0,834303.5,2.054,111693030.0,1456888.0,1703754.5,3.251,26948284.0,1198198.0,270357.7,1.507,4751986.0
"AGO 2003",203768960.0,2232064.0,1831849.0,2.634,58977288.0,833696.0,783715.3,1.932,112156800.0,463768.0,733347.9,2.952,27642306.0,694022.0,179751.1,2.950,4992556.0
"SEP 2003",204587680.0,818720.0,1159673.6,3.854,58627132.0,-350156.0,-426046.8,1.831,113840640.0,1683840.0,805647.4,3.020,26717808.0,-924498.0,334480.5,11.337,5402097.0
"OCT 2003",207520770.0,2933088.0,1530999.4,3.147,58461304.0,-165828.0,-203713.3,1.714,114869500.0,1028864.0,1116913.6,2.707,28050032.0,1332224.0,-7588.5,7.989,6139917.0
"NOV 2003",209092220.0,1571456.0,1353579.4,2.200,58289280.0,-172024.0,-222796.8,1.601,115519660.0,650152.0,712922.3,2.301,28423072.0,373040.0,226754.5,3.295,6860215.0
"DIC 2003",210627150.0,1534928.0,-155940.9,4.024,58054416.0,-234864.0,-308819.1,1.515,115818780.0,299128.0,-396707.3,2.626,29400644.0,977572.0,101179.3,15.146,7353316.0
"ENE 2004",214022820.0,3395664.0,2018780.3,5.147,57185152.0,-869264.0,-928633.8,1.440,115878180.0,59392.0,-479014.0,2.848,31101148.0,1700504.0,988693.9,22.328,9858346.0
"FEB 2004",217639580.0,3616768.0,2283591.5,5.892,56356752.0,-828400.0,-892049.3,1.377,116217450.0,339272.0,-229916.5,3.009,32208480.0,1107332.0,472580.3,26.797,12856909.0
"MAR 2004",222254220.0,4614640.0,4899460.5,6.151,57101520.0,744768.0,684855.0,1.345,119476760.0,3259312.0,2552764.8,3.217,30782412.0,-1426068.0,-199176.8,27.522,14893525.0
