"","IE_7_1.1","IE_7_1.2","IE_7_1.3","IE_7_1.4","IE_7_1.5","IE_7_1.6","IE_7_1.7","IE_7_1.8","IE_7_1.9","IE_7_1.10","IE_7_1.11"
"NÚMERO SECUENCIAL",2386880,2386941,2386943,2386904,2386946,2386906,2386942,2386944,2386945,2386885,2386886
"DESCRIPCIÓN DE LA SERIE","Cuenta corriente. Saldo","Bienes y servicios. Saldo","Bienes y servicios. Ingresos","Servicios. Turismo. Ingresos","Bienes y servicios. Pagos","Servicios. Turismo. Pagos","Renta primaria y secundaria. Saldo","Renta primaria y secundaria. Ingresos","Renta primaria y secundaria. Pagos","Cuenta de capital. Saldo","Cuenta corriente más cuenta de capital. Saldo"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"ENE 1993",-479,-547,4725,974,5272,282,68,1286,1217,152,-327
"FEB 1993",-729,-511,5056,890,5567,254,-218,1160,1378,63,-666
"MAR 1993",-1081,-849,5812,995,6661,307,-232,1197,1429,114,-967
"ABR 1993",-1234,-955,5359,1047,6314,282,-279,1193,1472,92,-1142
"MAY 1993",-365,-438,5939,1072,6377,224,73,1664,1590,59,-306
"JUN 1993",-902,-535,6358,1327,6892,323,-367,1381,1748,60,-842
"JUL 1993",-79,215,6784,1852,6569,420,-294,1409,1703,168,89
"AGO 1993",79,-11,5287,2042,5297,392,90,1323,1233,54,133
"SEP 1993",-466,-414,6390,1658,6803,338,-53,1460,1513,253,-214
"OCT 1993",-675,-452,6337,1369,6789,307,-222,1238,1460,350,-325
"NOV 1993",373,-161,6815,1228,6977,243,534,1898,1363,471,844
"DIC 1993",-1028,-696,6385,996,7082,272,-332,1486,1818,431,-597
"ENE 1994",-211,145,6165,1056,6020,223,-356,1841,2198,422,211
"FEB 1994",-291,-244,6484,995,6728,205,-47,1689,1735,70,-221
"MAR 1994",-1104,-406,7326,1159,7732,298,-698,895,1593,-2,-1107
"ABR 1994",-1127,-613,6787,1219,7400,215,-514,1037,1551,184,-944
"MAY 1994",-372,-56,7475,1456,7531,232,-317,1504,1820,15,-357
"JUN 1994",-834,-107,7725,1665,7832,284,-727,1034,1761,10,-823
"JUL 1994",-542,339,7540,2050,7202,373,-881,1061,1941,10,-532
"AGO 1994",380,246,6026,2244,5780,358,134,1436,1301,-23,357
"SEP 1994",-1107,-586,7579,1824,8166,316,-520,1100,1620,22,-1084
"OCT 1994",-598,-362,7851,1520,8214,284,-236,1301,1537,-43,-641
"NOV 1994",-492,-307,8227,1397,8534,260,-184,1240,1424,43,-449
"DIC 1994",-1433,-896,7394,1103,8290,305,-537,1407,1944,1139,-295
"ENE 1995",-698,-316,7598,1191,7914,233,-382,1704,2086,652,-45
"FEB 1995",-1098,-565,7644,1070,8209,215,-532,1091,1623,-6,-1103
"MAR 1995",-1287,-893,8983,1122,9875,282,-394,1542,1937,55,-1232
"ABR 1995",-951,-686,7603,1297,8289,269,-265,1416,1681,89,-862
"MAY 1995",-935,-559,8872,1768,9431,256,-376,1518,1893,373,-562
"JUN 1995",51,194,9452,1992,9258,288,-143,1735,1878,460,511
"JUL 1995",468,497,9003,2370,8506,360,-28,2159,2187,709,1177
"AGO 1995",163,18,6825,2346,6807,366,145,1669,1524,396,559
"SEP 1995",-645,-361,8793,2082,9154,320,-284,1504,1788,109,-536
"OCT 1995",-264,-533,9123,1746,9655,301,269,2058,1790,534,270
"NOV 1995",507,-403,8964,1208,9367,271,910,2605,1695,277,784
"DIC 1995",318,-552,7995,1169,8547,256,870,2488,1618,595,913
"ENE 1996",-829,-139,8503,1320,8641,261,-690,1742,2432,807,-22
"FEB 1996",-893,-792,8424,1215,9216,261,-100,1659,1760,120,-772
"MAR 1996",-946,-340,9143,1339,9483,298,-606,1591,2197,170,-776
"ABR 1996",-904,-637,8783,1402,9420,305,-267,1762,2029,94,-810
"MAY 1996",-377,185,9950,1881,9765,312,-562,1530,2092,249,-128
"JUN 1996",-697,251,9711,2037,9460,314,-948,1601,2549,813,116
"JUL 1996",-350,691,10753,2564,10062,443,-1041,1650,2690,676,326
"AGO 1996",667,848,7781,2613,6933,383,-181,1435,1616,260,927
"SEP 1996",446,-5,9707,2277,9712,365,451,2241,1790,127,573
"OCT 1996",-155,225,10984,1936,10758,363,-380,1674,2055,211,56
"NOV 1996",506,-46,9897,1362,9943,292,552,2358,1806,604,1110
"DIC 1996",-141,-549,9260,1280,9809,282,408,3208,2799,582,441
"ENE 1997",-1016,-255,9457,1455,9712,289,-761,2141,2901,372,-645
"FEB 1997",-1052,-715,9149,1300,9864,248,-338,1848,2186,67,-986
"MAR 1997",-827,-115,10338,1401,10453,306,-712,1599,2311,410,-417
"ABR 1997",-768,-582,11191,1518,11773,320,-187,1943,2129,484,-284
"MAY 1997",-196,390,11264,2063,10874,290,-586,1510,2096,189,-7
"JUN 1997",-243,536,11713,2266,11177,344,-779,1989,2768,727,484
"JUL 1997",536,1653,13231,2878,11578,487,-1117,1697,2814,296,832
"AGO 1997",962,1250,9457,3145,8207,410,-288,1605,1893,77,1039
"SEP 1997",-281,-20,12025,2570,12045,414,-261,2167,2428,234,-48
"OCT 1997",-637,130,13121,2221,12991,411,-767,1770,2537,341,-296
"NOV 1997",582,-99,11492,1553,11591,319,681,2930,2249,446,1028
"DIC 1997",-809,-821,11061,1456,11882,326,12,3323,3311,581,-228
"ENE 1998",-2173,-251,10583,1618,10833,304,-1922,1461,3383,1430,-742
"FEB 1998",-341,-420,11148,1488,11569,283,80,2262,2182,240,-100
"MAR 1998",-1386,-725,12276,1593,13001,347,-661,2211,2871,304,-1082
"ABR 1998",-866,7,12059,1773,12052,376,-873,1609,2482,301,-565
"MAY 1998",-279,360,12695,2316,12335,344,-639,1677,2316,304,25
"JUN 1998",-767,111,13301,2600,13190,416,-878,2181,3058,141,-626
"JUL 1998",151,893,13753,3127,12860,547,-742,2086,2828,408,559
"AGO 1998",1146,847,10174,3388,9327,467,299,2357,2058,646,1792
"SEP 1998",-1151,-373,12608,2930,12981,492,-778,2172,2950,172,-980
"OCT 1998",-1320,-397,13122,2639,13519,451,-923,1692,2615,182,-1138
"NOV 1998",-685,-978,11979,1739,12956,361,293,2603,2310,233,-452
"DIC 1998",-1539,-1773,11441,1631,13214,383,233,3769,3536,935,-604
"ENE 1999",-2528,-572,10761,1880,11333,339,-1956,1629,3585,1451,-1077
"FEB 1999",-1104,-923,11579,1736,12502,335,-181,2082,2262,16,-1088
"MAR 1999",-956,-1112,13340,1856,14452,467,156,2954,2798,-12,-969
"ABR 1999",-2529,-1623,12007,2045,13630,390,-906,1685,2591,57,-2472
"MAY 1999",-1213,-758,13316,2646,14074,395,-455,1822,2278,228,-985
"JUN 1999",-1328,-347,14448,2961,14796,465,-980,2023,3003,796,-532
"JUL 1999",-1399,-64,14354,3482,14417,602,-1336,1915,3250,493,-906
"AGO 1999",-460,43,11469,3697,11426,556,-503,1898,2401,339,-120
"SEP 1999",-1972,-1187,14130,3282,15317,556,-785,1986,2771,297,-1676
"OCT 1999",-1089,-359,14356,3023,14715,506,-730,1862,2593,751,-338
"NOV 1999",-2182,-2073,14044,2036,16117,478,-109,2694,2803,258,-1924
"DIC 1999",-2839,-2641,13154,1636,15795,473,-198,3766,3964,1530,-1309
"ENE 2000",-3323,-2107,12330,1909,14436,384,-1216,2376,3592,585,-2738
"FEB 2000",-2001,-2009,13720,1899,15729,410,8,2297,2289,-21,-2022
"MAR 2000",-2820,-2154,15536,2202,17690,470,-665,2843,3508,424,-2395
"ABR 2000",-2489,-1612,13941,2371,15554,457,-876,2031,2908,1114,-1375
"MAY 2000",-2686,-1941,16662,2821,18603,507,-745,2559,3304,380,-2307
"JUN 2000",-1845,-960,16911,3265,17871,560,-885,2514,3398,262,-1582
"JUL 2000",-2169,-313,16554,3936,16867,660,-1855,2432,4287,333,-1835
"AGO 2000",-2306,-1076,13574,4043,14650,683,-1230,2142,3373,357,-1949
"SEP 2000",-2418,-1337,16562,3623,17900,641,-1081,2288,3369,289,-2129
"OCT 2000",-2463,-1492,17001,3228,18493,630,-971,2602,3573,77,-2386
"NOV 2000",-1626,-1827,17347,2233,19174,564,200,3444,3244,351,-1275
"DIC 2000",-2291,-2702,14780,1912,17482,540,411,4666,4255,528,-1763
"ENE 2001",-3844,-1982,15354,2077,17337,583,-1862,2949,4811,348,-3497
"FEB 2001",-2556,-1655,15333,2121,16989,495,-901,2208,3109,861,-1695
"MAR 2001",-3222,-1929,16979,2336,18908,570,-1293,3108,4401,141,-3081
"ABR 2001",-1810,-1568,15204,2486,16772,519,-242,3857,4099,1280,-530
"MAY 2001",-2820,-1416,17604,3082,19020,556,-1404,2609,4013,677,-2143
"JUN 2001",-3339,-1550,17728,3457,19279,624,-1789,2531,4320,190,-3149
"JUL 2001",-3447,-505,17728,4234,18233,750,-2942,2557,5500,300,-3146
"AGO 2001",-1116,-334,14650,4267,14985,739,-781,1939,2720,270,-846
"SEP 2001",-1562,-851,16434,3814,17285,656,-711,3124,3835,-9,-1571
"OCT 2001",-3550,-1169,17552,3213,18721,722,-2380,2448,4828,27,-3522
"NOV 2001",-1299,-1572,16236,2253,17808,621,273,3579,3306,55,-1244
"DIC 2001",-2150,-1902,14243,1974,16145,522,-248,4559,4807,638,-1512
"ENE 2002",-3389,-1901,15065,2123,16967,612,-1487,2970,4457,1501,-1888
"FEB 2002",-2933,-1675,15442,2074,17117,534,-1259,2188,3446,48,-2886
"MAR 2002",-2343,-1013,16027,2458,17041,562,-1330,2577,3906,-17,-2361
"ABR 2002",-3694,-1719,16756,2249,18475,509,-1974,2349,4323,866,-2828
"MAY 2002",-1464,-490,17730,2938,18220,559,-974,2632,3606,657,-807
"JUN 2002",-1675,-895,16919,3303,17814,638,-780,2987,3767,561,-1114
"JUL 2002",-1945,160,18368,4069,18208,851,-2105,3732,5837,320,-1625
"AGO 2002",-1238,149,14430,4281,14281,813,-1387,1718,3104,780,-458
