"","IE_7_1.1","IE_7_1.2","IE_7_1.3","IE_7_1.4","IE_7_1.5","IE_7_1.6","IE_7_1.7","IE_7_1.8","IE_7_1.9","IE_7_1.10","IE_7_1.11"
"SEP 2002",-2559,-1119,17043,3698,18162,723,-1440,2941,4381,715,-1844
"OCT 2002",-1817,-1517,18644,3249,20160,780,-300,3627,3928,1168,-649
"NOV 2002",-1015,-2014,17052,2234,19066,629,1000,4466,3467,37,-978
"DIC 2002",-3940,-2930,14963,2009,17894,551,-1010,5059,6069,423,-3517
"ENE 2003",-3417,-1796,15662,2156,17459,640,-1620,3024,4644,1271,-2145
"FEB 2003",-3024,-1727,15868,2115,17595,558,-1297,2265,3562,439,-2585
"MAR 2003",-3448,-1806,17223,2542,19029,524,-1642,2522,4164,6,-3442
"ABR 2003",-2585,-1415,16912,2529,18328,513,-1169,3342,4512,3,-2582
"MAY 2003",-2126,-872,18025,3167,18896,531,-1254,2570,3824,564,-1562
"JUN 2003",-2327,-783,17723,3495,18506,675,-1544,3016,4560,1553,-775
"JUL 2003",-3143,-584,18625,4158,19209,877,-2560,3335,5895,319,-2824
"AGO 2003",-1098,135,14778,4602,14643,815,-1233,2815,4048,960,-138
"SEP 2003",-3144,-1724,17847,3790,19571,832,-1420,2872,4292,144,-3000
"OCT 2003",-2173,-1422,19066,3365,20488,830,-751,3117,3867,825,-1348
"NOV 2003",-2242,-2747,16762,2270,19508,680,504,4243,3739,287,-1956
"DIC 2003",-2474,-2770,16052,2073,18822,620,296,5017,4721,1940,-534
"ENE 2004",-3997,-2374,15839,2422,18214,703,-1623,2661,4283,155,-3842
"FEB 2004",-3796,-2557,16437,2181,18993,677,-1240,2824,4064,490,-3307
"MAR 2004",-4403,-3041,18442,2518,21484,728,-1362,3053,4415,318,-4085
"ABR 2004",-3568,-3184,17127,2428,20311,590,-384,4009,4394,499,-3069
"MAY 2004",-3795,-1957,19027,3046,20984,608,-1838,2853,4691,1799,-1997
"JUN 2004",-4712,-2589,19569,3527,22158,915,-2123,4203,6327,375,-4337
"JUL 2004",-3932,-1420,19880,4417,21301,1022,-2512,3374,5886,527,-3405
"AGO 2004",-2837,-1508,15908,4725,17415,1007,-1329,2423,3752,1177,-1660
"SEP 2004",-5339,-3239,19035,4066,22274,956,-2100,2627,4727,250,-5090
"OCT 2004",-3774,-2468,19407,3732,21875,954,-1306,3066,4372,229,-3545
"NOV 2004",-3035,-3788,19153,2461,22941,906,754,5565,4811,355,-2680
"DIC 2004",-4932,-4746,17211,2169,21956,812,-186,5996,6182,1579,-3353
"ENE 2005",-7468,-3784,16547,2608,20331,869,-3684,2715,6399,441,-7027
"FEB 2005",-5493,-3650,17317,2238,20968,841,-1843,2360,4202,37,-5456
"MAR 2005",-6219,-4422,18675,2647,23098,967,-1797,3378,5174,496,-5723
"ABR 2005",-5238,-4400,19024,2416,23423,728,-838,4357,5195,244,-4994
"MAY 2005",-5349,-3230,19884,3203,23114,801,-2118,3234,5353,915,-4433
"JUN 2005",-6498,-3856,20882,3747,24738,1167,-2641,3343,5984,1253,-5245
"JUL 2005",-4565,-2068,20456,4786,22524,1183,-2497,3383,5881,424,-4141
"AGO 2005",-5115,-3149,17434,5023,20583,1311,-1966,5021,6987,667,-4448
"SEP 2005",-6644,-3947,20848,4404,24795,1181,-2697,3454,6151,392,-6252
"OCT 2005",-5101,-3448,20051,3958,23499,1172,-1652,3460,5112,225,-4875
"NOV 2005",-4989,-4958,20139,2667,25097,1059,-31,5771,5802,303,-4686
"DIC 2005",-7056,-5264,18506,2289,23770,951,-1792,6685,8477,1929,-5127
"ENE 2006",-6508,-4778,18822,2687,23600,1007,-1731,5208,6938,322,-6186
"FEB 2006",-8980,-5891,18274,2303,24165,914,-3089,3641,6730,259,-8721
"MAR 2006",-8373,-5916,21428,2754,27344,933,-2456,4202,6658,203,-8169
"ABR 2006",-7530,-4935,19056,2776,23991,972,-2595,4224,6819,180,-7349
"MAY 2006",-6171,-4738,22400,3475,27138,774,-1433,6164,7596,586,-5585
"JUN 2006",-6346,-4653,22788,4107,27441,1237,-1692,5302,6994,153,-6192
"JUL 2006",-8351,-3142,21860,5060,25002,1279,-5209,4560,9769,514,-7838
"AGO 2006",-6611,-4068,19065,5272,23132,1531,-2544,4014,6558,698,-5913
"SEP 2006",-7393,-4074,22399,4571,26473,1274,-3318,4195,7513,-32,-7425
"OCT 2006",-7819,-5293,22716,4046,28010,1247,-2525,5329,7854,298,-7521
"NOV 2006",-10046,-6129,22036,2752,28166,1173,-3917,4246,8163,504,-9542
"DIC 2006",-6493,-5765,19854,2396,25619,1028,-728,11289,12017,1929,-4564
"ENE 2007",-9431,-6179,20341,2804,26520,1108,-3251,5141,8393,1194,-8236
"FEB 2007",-9763,-5888,20724,2410,26612,1046,-3875,5194,9070,90,-9674
"MAR 2007",-6825,-4867,24607,2937,29474,1026,-1959,5989,7948,52,-6773
"ABR 2007",-8075,-5339,21345,2820,26684,1063,-2736,5697,8433,195,-7880
"MAY 2007",-7931,-4584,24507,3472,29091,850,-3347,5862,9208,184,-7747
"JUN 2007",-7541,-5417,24672,4236,30090,1326,-2124,8182,10306,51,-7490
"JUL 2007",-9917,-3868,25960,5192,29828,1390,-6049,5576,11624,198,-9719
"AGO 2007",-7550,-3528,21533,5483,25061,1593,-4022,4814,8836,63,-7487
"SEP 2007",-9123,-5156,23797,4692,28954,1383,-3967,4920,8887,100,-9023
"OCT 2007",-9496,-6149,25716,4143,31865,1358,-3347,6296,9643,772,-8724
"NOV 2007",-10513,-6175,24204,2927,30379,1238,-4338,5026,9364,225,-10288
"DIC 2007",-8112,-7340,20390,2534,27730,1085,-772,11521,12293,1132,-6980
"ENE 2008",-12368,-7465,22456,2894,29921,1122,-4903,5554,10457,1207,-11161
"FEB 2008",-9338,-6485,23117,2580,29601,1210,-2853,5759,8612,556,-8781
"MAR 2008",-9504,-5779,22554,3114,28334,1041,-3725,5122,8847,292,-9212
"ABR 2008",-9301,-5954,25002,2751,30956,1035,-3346,5253,8599,115,-9185
"MAY 2008",-8972,-4521,24828,3672,29349,830,-4452,6110,10562,922,-8050
"JUN 2008",-8883,-5812,24239,4253,30051,1309,-3072,6065,9137,184,-8700
"JUL 2008",-7335,-2717,27795,5281,30512,1330,-4618,6248,10866,225,-7110
"AGO 2008",-6738,-2493,21533,5536,24025,1464,-4245,3397,7643,359,-6379
"SEP 2008",-8468,-4060,25228,4600,29288,1323,-4407,5009,9416,287,-8181
"OCT 2008",-9849,-5003,25060,3990,30062,1308,-4846,5584,10430,130,-9719
"NOV 2008",-7740,-2621,21781,2650,24401,1048,-5119,4440,9559,171,-7569
"DIC 2008",-4758,-4305,18934,2240,23239,934,-453,10500,10953,223,-4536
"ENE 2009",-5691,-2204,17648,2632,19852,870,-3487,5525,9013,308,-5384
"FEB 2009",-7301,-2256,18389,2246,20645,956,-5045,3554,8599,205,-7095
"MAR 2009",-5214,-485,20362,2615,20848,848,-4729,4784,9513,327,-4887
"ABR 2009",-3175,-629,19724,2663,20354,850,-2545,4067,6613,847,-2328
"MAY 2009",-2803,569,20048,3326,19479,653,-3373,5254,8627,80,-2723
"JUN 2009",-2192,-133,21869,3886,22003,1157,-2059,6175,8234,99,-2093
"JUL 2009",-1512,1119,23254,4853,22135,1244,-2631,6005,8636,121,-1391
"AGO 2009",-2450,56,18736,5051,18680,1293,-2506,3218,5724,391,-2059
"SEP 2009",-3864,-1704,21877,4150,23581,1236,-2160,4533,6693,24,-3839
"OCT 2009",-4407,-1064,22374,3739,23439,1144,-3343,3809,7152,-51,-4459
"NOV 2009",-4355,-2870,20479,2509,23349,1033,-1486,5770,7256,338,-4018
"DIC 2009",-3226,-2330,19891,2186,22221,964,-896,9382,10278,643,-2583
"ENE 2010",-4957,-2797,18436,2574,21233,887,-2160,4541,6701,1196,-3761
"FEB 2010",-5490,-1213,20124,2223,21337,920,-4277,3363,7640,132,-5358
"MAR 2010",-3839,-1688,23457,2693,25145,909,-2151,3950,6101,244,-3595
"ABR 2010",-4083,-2564,20825,2534,23389,871,-1519,5497,7016,-320,-4403
"MAY 2010",-4682,-1112,23308,3380,24420,670,-3570,5407,8977,1722,-2960
"JUN 2010",-2427,-358,25345,4002,25703,1218,-2069,5269,7338,-29,-2456
"JUL 2010",-1708,661,25366,5143,24705,1257,-2370,5490,7860,459,-1249
"AGO 2010",-2937,107,21548,5398,21441,1388,-3044,3636,6680,162,-2775
"SEP 2010",-4307,-551,24724,4437,25275,1360,-3756,4392,8149,369,-3938
"OCT 2010",-2426,-41,25433,3983,25475,1219,-2385,4489,6874,41,-2385
"NOV 2010",-3631,-1333,24644,2653,25978,1106,-2297,5084,7381,164,-3467
"DIC 2010",-1900,-2989,23058,2197,26047,981,1089,13089,12000,753,-1147
"ENE 2011",-5992,-2462,23008,2754,25469,881,-3531,3663,7194,78,-5914
"FEB 2011",-5023,-1193,23509,2380,24703,913,-3830,4356,8186,1168,-3855
"MAR 2011",-4021,-1155,27339,2848,28494,861,-2866,4112,6978,63,-3958
"ABR 2011",-2402,-460,24371,2934,24831,832,-1942,4501,6444,202,-2200
"MAY 2011",-2902,723,26849,3646,26125,650,-3626,6339,9965,479,-2423
"JUN 2011",-774,1157,27803,4418,26646,1109,-1930,6239,8170,322,-452
"JUL 2011",-1410,2610,27737,5618,25127,1302,-4019,4773,8792,206,-1203
"AGO 2011",-1559,778,24380,5906,23602,1399,-2337,4706,7043,845,-713
"SEP 2011",-2530,210,27774,4824,27563,1267,-2740,5337,8077,-88,-2618
"OCT 2011",-1312,924,26738,4336,25815,1182,-2236,4675,6911,137,-1176
"NOV 2011",-3051,-1317,26114,2757,27431,1113,-1734,6823,8557,766,-2285
"DIC 2011",-3064,-1703,24267,2291,25970,984,-1361,9899,11260,-124,-3188
"ENE 2012",-3754,-559,23835,2820,24394,822,-3194,4043,7237,-32,-3786
"FEB 2012",-4994,-995,24230,2354,25225,872,-3999,4149,8149,13,-4981
"MAR 2012",-2128,-145,26773,2796,26917,801,-1983,4950,6933,359,-1769
"ABR 2012",-880,188,24253,2838,24066,845,-1068,5000,6068,226,-655
"MAY 2012",-10,2213,27654,3687,25441,687,-2223,5448,7671,593,583
"JUN 2012",-598,1655,28081,4522,26427,1130,-2253,5473,7726,630,32
"JUL 2012",1612,3945,29888,5827,25942,1246,-2334,4514,6848,-13,1599
"AGO 2012",1297,2731,26017,6066,23286,1315,-1433,3879,5313,550,1847
"SEP 2012",887,2137,27932,5105,25795,1219,-1250,4802,6052,707,1594
"OCT 2012",1182,2783,29407,4296,26624,1113,-1601,4197,5797,891,2074
"NOV 2012",1395,1186,26623,2704,25436,1067,209,6349,6139,727,2122
"DIC 2012",3585,860,24846,2252,23986,894,2726,10333,7607,528,4114
"ENE 2013",-2617,-454,24661,2778,25116,751,-2163,4408,6571,251,-2367
"FEB 2013",-1514,1823,24661,2389,22838,826,-3337,4099,7436,675,-838
"MAR 2013",2235,4010,27810,2977,23800,829,-1775,4342,6116,317,2552
"ABR 2013",450,1865,27102,2861,25237,789,-1415,4547,5961,908,1359
"MAY 2013",2653,4299,28858,3927,24559,686,-1646,4730,6376,1316,3969
"JUN 2013",3111,4741,29646,4724,24906,1163,-1630,5270,6900,118,3229
"JUL 2013",1927,4962,30607,6010,25645,1305,-3035,4125,7160,373,2300
"AGO 2013",3223,4613,26350,6368,21737,1359,-1389,4092,5482,563,3786
"SEP 2013",699,2236,28451,5282,26215,1312,-1537,4387,5924,50,749
"OCT 2013",2000,3527,29940,4524,26412,1182,-1528,4042,5569,347,2347
"NOV 2013",710,1272,26206,2862,24934,1175,-563,6245,6808,203,912
"DIC 2013",2688,563,25584,2461,25021,983,2125,10502,8377,1663,4351
"ENE 2014",-791,639,25001,2982,24362,828,-1430,5136,6566,24,-767
"FEB 2014",-2024,1249,25077,2527,23828,863,-3273,4092,7365,55,-1969
"MAR 2014",-441,906,27784,3003,26878,860,-1347,4904,6251,1536,1095
"ABR 2014",-902,1192,26323,3163,25131,913,-2094,4731,6825,484,-419
"MAY 2014",-292,2649,28291,4057,25642,773,-2941,4733,7674,761,469
"JUN 2014",1373,3104,30039,4872,26935,1325,-1731,5223,6955,438,1811
"JUL 2014",1784,4334,31540,6096,27207,1492,-2550,4473,7023,-1,1783
"AGO 2014",2054,3515,26637,6652,23122,1536,-1461,4037,5498,332,2386
"SEP 2014",1382,2647,31496,5513,28850,1476,-1265,4329,5594,15,1397
"OCT 2014",1241,2867,31505,4717,28638,1237,-1626,4372,5998,207,1448
"NOV 2014",2632,2061,27514,2932,25453,1203,571,6593,6022,241,2873
"DIC 2014",4221,793,27639,2497,26846,1065,3428,11032,7604,358,4579
"ENE 2015",-426,983,25004,3054,24022,940,-1408,5101,6509,141,-285
"FEB 2015",-2008,918,26358,2594,25440,979,-2926,4417,7343,15,-1992
"MAR 2015",846,2197,31334,3082,29137,1000,-1351,4670,6021,667,1513
"ABR 2015",-290,1284,28311,3244,27027,1069,-1574,4906,6480,722,432
"MAY 2015",1427,3153,29607,4261,26454,912,-1726,5646,7372,973,2400
"JUN 2015",1409,2367,32480,4965,30114,1619,-958,5645,6602,504,1914
"JUL 2015",2888,4715,34262,6400,29547,1797,-1827,4974,6800,642,3530
"AGO 2015",1437,2994,27043,6833,24050,1792,-1557,4308,5865,901,2338
"SEP 2015",1673,2154,32158,5595,30004,1748,-482,4648,5130,413,2085
"OCT 2015",2244,3039,31931,5047,28893,1506,-795,5047,5841,-3,2241
"NOV 2015",1968,1691,29837,3210,28146,1409,277,6451,6173,121,2089
"DIC 2015",3979,199,28603,2662,28404,1229,3780,10582,6802,875,4853
"ENE 2016",-664,640,25544,3095,24905,1067,-1303,5178,6481,-503,-1166
