"","IE_7_6.1","IE_7_6.2","IE_7_6.3","IE_7_6.4","IE_7_6.5","IE_7_6.6","IE_7_6.7","IE_7_6.8","IE_7_6.9","IE_7_6.10","IE_7_6.11","IE_7_6.12","IE_7_6.13","IE_7_6.14","IE_7_6.15","IE_7_6.16"
"NÚMERO SECUENCIAL",2386949,2386950,2386951,2386952,2386953,2386954,2386955,2386999,2408045,2386958,2386957,2386959,2386960,2386961,2394120,2394121
"DESCRIPCIÓN DE LA SERIE","CF.  Stocks. Neto (VNA-VNP)","CF. Total sectores excluido el Banco de España. Stocks. Neto (VNA-VNP)","CF. Inversión directa. Total sectores excluido el Banco de España. Stocks. Neto (VNA-VNP)","CF. Inversión directa. Total sectores excluido el Banco de España. Stocks. VNA","CF. Inversión directa. Total sectores excluido el Banco de España. Stocks. VNP","CF. Inversión de cartera. Total sectores excluido el Banco de España. Stocks. Neto (VNA-VNP)","CF. Inversión de cartera. Total sectores excluido el Banco de España. Stocks. VNA","CF. Inversión de cartera. Stocks. VNP","CF. Otra inversión. Total sectores excluido el Banco de España. Stocks. Neto (VNA-VNP)","CF. Otra inversión. Total sectores excluido el Banco de España. Stocks. VNA","CF. Otra inversión. Total sectores excluido el Banco de España. Stocks. VNP","CF. Derivados finan. y opc. de compra de acciones. Total sectores excluido el BE. Stocks. Neto","CF. Banco de España. Stocks. Neto (VNA-VNP)","CF. Activos de reserva. Todas las monedas excepto moneda nacional. Banco de España. Stocks. VNA","CF. Activos netos del Banco de España frente al Eurosistema. Banco de España. Stocks. Neto (VNA-VNP)","CF. Otros activos netos del Banco de España. Banco de España. Stocks. Neto (VNA-VNP)"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"DIC 1992",-70096,-103746,-46390,"_","_",-34053,6689,40742,-23303,58067,81370,"_",33651,33566,0,85
"MAR 1993",-78215,-110777,-47771,13910,61681,-45464,8002,53466,-17542,63676,81218,0,32562,32791,0,-229
"JUN 1993",-85752,-117257,-49390,15294,64684,-63507,8948,72455,-4360,92590,96950,0,31504,31758,0,-254
"SEP 1993",-88535,-121393,-50438,16293,66731,-71935,11377,83312,980,99274,98294,0,32858,33105,0,-247
"DIC 1993",-94619,-131196,-51155,18767,69922,-88014,12868,100882,7973,112732,104759,0,36577,36843,0,-266
"MAR 1994",-90970,-127848,-52529,18684,71213,-80456,14186,94641,5137,104145,99009,0,36877,37114,0,-237
"JUN 1994",-92428,-128427,-54020,19918,73938,-70343,13317,83661,-4064,100425,104489,0,35999,36254,0,-255
