"","IE_6_2.1","IE_6_2.2","IE_6_2.3","IE_6_2.4","IE_6_2.5","IE_6_2.6","IE_6_2.7","IE_6_2.8","IE_6_2.9","IE_6_2.10","IE_6_2.11","IE_6_2.12","IE_6_2.13","IE_6_2.14"
"NÚMERO SECUENCIAL",2359317,2332388,2324922,2324345,2324348,2327192,2359319,2359320,2324955,2359307,2359311,2359313,2359314,2359315
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL","SEC2010.AAPP.ORGANISMOS DE LA ADMINISTRACION CENTRAL.DEUDA SEGUN PDE.TOTAL PASIVOS","ADMINISTRACIONES PÚBLICAS . COMUNIDADES AUTÓNOMAS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PASIVOS. ","ADMINISTRACIONES PÚBLICAS . CORPORACIONES LOCALES. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL . ","PDE2010.AAPP.AASS.DEUDA SEGUN PDE.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.DEUDA EN PODER DE AAPP.","PDE2010.AAPP.DEUDA SEGUN PDE.EFECTIVO Y DEPOSITOS","PDE2010.ADMINISTRACIONES PÚBLICAS.VALORES DISTINTOS DE ACCIONES.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A LARGO PLAZO"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"MAR 1997",319311352,263713602,3521505,31803086,18861322,13841644,12429807,2390834,249269157,80197632,169071525,67651361,9404084,58247276
"ABR 1997",323017235,268153404,2314829,32387038,18750124,14130328,12718491,2161460,253825295,78500344,175324951,67030475,8621092,58409384
"MAY 1997",331667900,276207236,2304280,32843830,18900708,14224386,12812544,2177387,262358204,77336784,185021420,67132305,8525214,58607092
"JUN 1997",326859745,268995069,3605895,33534886,19312052,14483524,13071676,2234134,260667623,72443496,188224127,63957995,9307800,54650196
"JUL 1997",327154321,270120372,2453009,33843228,19325864,14697484,13285630,2269830,262611741,67582792,195028949,62272755,8401722,53871032
"AGO 1997",330665787,273977196,2452527,33539682,19284520,14910844,13498984,2294898,267699324,66612192,201087132,60671563,8056129,52615432
"SEP 1997",330961476,273029445,3798810,33373070,19348286,15125406,13713539,2298186,266919475,57463112,209456363,61743817,8567700,53176116
"OCT 1997",331353907,274087776,2449813,33988200,18785184,15969827,13926892,2303859,268392183,50865332,217526851,60657865,7916522,52741344
"NOV 1997",329959068,272797614,2446026,33965788,18706696,16183788,14140847,2309897,267911717,45525804,222385913,59737449,7502536,52234912
"DIC 1997",333627255,274621204,4340340,34295152,18293724,16347558,14270726,2332734,270578334,43055284,227523050,60716185,7518971,53197216
"ENE 1998",336644710,279674794,2608672,34635868,18279598,15779601,14333826,2343789,275885978,41694000,234191978,58414938,7095608,51319332
"FEB 1998",341262125,283561530,2912926,34864176,18477710,16192496,14746721,2339235,280289053,40496168,239792885,58633825,6992644,51641180
"MAR 1998",343789172,284950947,4431058,34661476,18299898,16431098,14985317,2371440,282267236,36838160,245429076,59150484,6966462,52184020
"ABR 1998",342183014,284162414,2908136,35132032,18534636,16669099,15223312,2402594,282157839,31151586,251006253,57622573,6842938,50779636
"MAY 1998",343092311,285067561,2899439,35293804,18385708,16907100,15461313,2413841,282939180,28406454,254532726,57739279,7013546,50725732
"JUN 1998",349355692,289358480,4491287,35442340,18617780,17145102,15699308,2432901,287671311,25945856,261725455,59251467,8243110,51008356
"JUL 1998",350027722,291377278,2805407,35792092,18607140,17383102,15937308,2470719,289966750,20731576,269235174,57590241,7029866,50560376
"AGO 1998",347904197,290098089,2594344,35122380,18643564,17621704,16175904,2476586,288766744,20780916,267985828,56660850,6540365,50120484
"SEP 1998",353728060,293949492,4572113,35019876,18740752,17859704,16413899,2488070,293317458,20709626,272607832,57922512,7093374,50829136
"OCT 1998",357794376,298585369,3325789,35694416,18742976,18097706,16651894,2492758,298769676,21291814,277477862,56531926,6296948,50234980
"NOV 1998",354815258,288201129,10958334,35322344,18887616,18335706,16889888,2489003,288338701,21740744,266597957,63987535,10547800,53439736
"DIC 1998",346416966,284480190,5132534,36100044,19168564,18523516,16987902,2503298,285286306,22556388,262729918,58627344,5858736,52768608
"ENE 1999",345034723,284605553,3128334,36579032,19186172,18567390,17031776,2513330,285672572,22575944,263096628,56848805,5540430,51308376
"FEB 1999",347792456,287288149,3282120,36348432,19338122,18611762,17076148,2500646,288596973,22453510,266143463,56694818,5536718,51158100
"MAR 1999",350850713,288158914,4659380,36949764,19547022,18655740,17120126,2508330,290218505,24140364,266078141,58123859,6075082,52048776
"ABR 1999",347208806,285461386,3026407,37462032,19723348,18700016,17164402,2536787,287759022,24523552,263235470,56912977,5777711,51135264
"MAY 1999",351299014,289566817,3034066,37417052,19745448,18744136,17208522,2550052,291742375,24780278,266962097,57006572,5489470,51517100
"JUN 1999",353859633,290394101,4593164,37387460,19949278,18788562,17252948,2577587,292478835,24315636,268163199,58803197,6287704,52515492
"JUL 1999",347213557,285113622,3371916,37489736,19702648,18832388,17296774,2611446,288011079,23045002,264966077,56591013,5742164,50848848
